,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,372,1926,2299,142,142,284,0,0,0,0.012160928534167968,0.06281186308143782,0.03748639580780289
1,Venda Nova,Carreira,583.47,619,3747,4366,140,142,282,0,0,0,0.020493661041747588,0.12217168949153356,0.07169323565121427
2,Carreira,Baguim,786.02,827,5537,6365,140,142,282,0,0,0,0.027363932955029507,0.1805519540610088,0.10450116344101909
3,Baguim,Campainha,751.7,946,6399,7345,140,144,284,0,0,0,0.03129016342637784,0.2057351285975676,0.11974113168219236
4,Campainha,Rio Tinto,859.99,1309,8127,9437,138,138,276,0,0,0,0.043936925325211415,0.27265627847655943,0.15829660190088543
5,Rio Tinto,Levada,452.83,1633,9536,11169,138,143,281,0,0,0,0.05478491312787899,0.3087298356897443,0.1840166708728852
6,Levada,Nau Vitória,1111.62,2412,11550,13962,138,140,278,0,0,0,0.08091891695820592,0.381948752105208,0.2325166756653293
7,Nau Vitória,Nasoni,499.02,2576,11737,14314,138,140,278,0,0,0,0.0864462024491268,0.3881501860421157,0.2383834603736536
8,Nasoni,Contumil,650.0,2701,11903,14605,138,140,278,0,0,0,0.09063561644846564,0.39363894134372623,0.24322721891370483
9,Contumil,Estádio do Dragão,619.19,3274,13643,16917,138,139,277,0,0,0,0.10985676246655926,0.45440767786612485,0.2827541532266301
10,Estádio do Dragão,Campanhã,1166.02,7665,22517,30182,234,235,469,157,157,314,0.08566501820550164,0.25103830785151166,0.16845134331650152
11,Campanhã,Heroismo,950.92,15927,46033,61961,293,298,591,236,233,469,0.1307497027489195,0.376855817091063,0.2539722322573858
12,Heroismo,24 de Agosto,571.9,17564,48253,65818,302,300,602,238,237,475,0.1413557783514517,0.39047801813664496,0.2655751281678396
13,24 de Agosto,Bolhão,680.44,28350,53976,82326,294,302,596,238,237,475,0.23137874322387533,0.43526567768140584,0.3339341954426565
14,Bolhão,Trindade,451.8,42961,58819,101780,294,302,596,238,237,475,0.35062254299241774,0.47432251411613796,0.4128438251544967
15,Trindade,Lapa,857.4300000000001,62040,78194,140235,292,304,596,266,237,503,0.4807859496690388,0.6283705149149372,0.553239095081693
16,Lapa,Carolina Michaelis,460.97,62020,76960,138981,290,304,594,241,239,480,0.5066723383702656,0.6160025420349942,0.561896149439289
17,Carolina Michaelis,Casa da Música,627.48,60934,70449,131384,290,304,594,239,237,476,0.4998262367308915,0.5661323763799315,0.5333195147149409
18,Casa da Música,Francos,871.87,62725,51073,113799,290,304,594,241,233,474,0.5124321871883314,0.4137229112361678,0.4628687732478837
19,Francos,Ramalde,965.03,60372,44398,104770,294,304,598,241,237,478,0.4897508766494454,0.3567833366930961,0.42295362551842186
20,Ramalde,Viso,621.15,57166,42042,99209,289,306,595,241,235,476,0.46784212267500663,0.3380276764565627,0.40235997753506475
21,Viso,Sete Bicas,743.81,55746,37855,93602,291,315,606,239,237,476,0.4564630386657578,0.2985078469511138,0.37599817270198965
22,Sete Bicas,Sra da Hora,674.5,51626,32176,83802,289,306,595,241,237,478,0.42250550301661943,0.25767236172083463,0.33919492753865726
23,Sra da Hora,Vasco da Gama,824.48,11943,14197,26140,153,152,305,0,0,0,0.3613869126688391,0.4324313677029658,0.3967926738661744
24,Vasco da Gama,Estádio do Mar,661.6,10544,14415,24959,153,152,305,0,0,0,0.31905349060696553,0.43907247793225473,0.37886623183137197
