,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,738,434,1172,139,133,272,0,0,0,0.02458033573141488,0.015133858030205834,0.019961285973103104
4,Venda Nova,Carreira,583.47,1402,803,2205,139,133,272,0,0,0,0.046696036371184614,0.02797979354642299,0.03754434410760632
5,Carreira,Baguim,786.02,2237,1036,3273,139,133,272,0,0,0,0.07453957676171322,0.036062571684286955,0.055725452955471697
6,Baguim,Campainha,751.7,3020,1088,4108,140,136,276,0,0,0,0.09988051560733968,0.037056154972954045,0.0689235842802511
7,Campainha,Rio Tinto,859.99,4250,1313,5563,143,133,276,0,0,0,0.13760553160904063,0.045716176713811764,0.09332551638778902
8,Rio Tinto,Levada,452.83,4975,1585,6561,143,135,278,0,0,0,0.16109723963741635,0.054380692643816356,0.10927445602541634
9,Levada,Nau Vitória,1111.62,6141,2134,8276,141,133,274,0,0,0,0.20165299801121508,0.07430080105596902,0.13983605569352267
10,Nau Vitória,Nasoni,499.02,6418,2239,8657,140,132,272,0,0,0,0.21224835494192143,0.07853419326613781,0.14735765883455582
11,Nasoni,Contumil,650.0,6589,2272,8862,140,134,274,0,0,0,0.2179020842817873,0.07852886693067333,0.1497414597378119
12,Contumil,Estádio do Dragão,619.19,7931,2983,10915,140,134,274,0,0,0,0.26228758913416084,0.1030945616421378,0.18443406474025173
13,Estádio do Dragão,Campanhã,1166.02,12953,6691,19645,233,226,459,158,161,319,0.14471148474669848,0.07540569408995049,0.11020788831211877
14,Campanhã,Heroismo,950.92,32111,13529,45640,297,294,591,240,245,485,0.25964797308276333,0.10887522555328535,0.18408159829651585
15,Heroismo,24 de Agosto,571.9,33749,15068,48817,298,292,590,240,244,484,0.27241938842567437,0.12192873998922614,0.19726649720416237
16,24 de Agosto,Bolhão,680.44,41717,21274,62991,289,297,586,240,242,482,0.3421055961424583,0.17133280768589662,0.2559476046707936
17,Bolhão,Trindade,451.8,42348,31828,74177,289,295,584,242,242,484,0.3458705092662638,0.25723048632125456,0.30131717393250396
18,Trindade,Lapa,857.4300000000001,43684,48744,92428,268,295,563,265,242,507,0.3534138233442036,0.39393640957810044,0.373685601637744
19,Lapa,Carolina Michaelis,460.97,42549,48614,91164,262,295,557,284,242,526,0.33497420543413536,0.3928872916628618,0.36355106632741063
20,Carolina Michaelis,Casa da Música,627.48,38566,46491,85058,262,297,559,296,242,538,0.2966688294285422,0.3744214477713276,0.3346531040594437
21,Casa da Música,Francos,871.87,28143,43286,71429,271,293,564,278,239,517,0.22076894671065386,0.3531825938928111,0.285673028452156
22,Francos,Ramalde,965.03,24417,40518,64935,278,299,577,280,239,519,0.1885679934634995,0.32713802400809905,0.2563127583015534
23,Ramalde,Viso,621.15,23788,37944,61732,273,298,571,278,239,517,0.18597807382225726,0.30689227915008516,0.2454084593756722
24,Viso,Sete Bicas,743.81,21779,35392,57172,263,305,568,278,241,519,0.17319595323971826,0.2816796231340332,0.2274153492416311
25,Sete Bicas,Sra da Hora,674.5,17694,33693,51388,264,298,562,280,241,521,0.13991980470423346,0.2714277429774798,0.2050629388841525
26,Sra da Hora,Vasco da Gama,824.48,8687,7925,16613,154,151,305,0,0,0,0.26118254889377823,0.242997981909574,0.25217969769831977
27,Vasco da Gama,Estádio do Mar,661.6,9264,6853,16117,154,151,305,0,0,0,0.27850559255199664,0.21011328775249521,0.24464579574962053
28,Estádio do Mar,Pedro Hispano,786.97,8967,6807,15774,154,151,305,0,0,0,0.2695901802822187,0.20870253822825097,0.23944580667517237
29,Pedro Hispano,Parque de Real,656.68,8336,5948,14285,155,151,306,0,0,0,0.24900586124190216,0.18237683735424873,0.21612683311433462
30,Parque de Real,C. Matosinhos,723.67,8223,5401,13625,160,151,311,0,0,0,0.23795962850065921,0.1656042615656819,0.2028288876415545
31,C. Matosinhos,Matosinhos Sul,616.61,5898,3646,9544,158,147,305,0,0,0,0.17283938233300733,0.11483394794216355,0.14488266477414163
32,Matosinhos Sul,Brito Capelo,535.72,2637,2224,4862,157,152,309,0,0,0,0.0777879325760839,0.06776052908886715,0.07285535869240446
33,Brito Capelo,Mercado,487.53,1166,1349,2516,161,154,315,0,0,0,0.033549530181754904,0.040578116932988934,0.03698572814902487
34,Mercado,Sr. de Matosinhos,708.96,218,363,581,159,152,311,0,0,0,0.006359819223504548,0.011056286549707603,0.008655198752709899
35,Sra da Hora,Fonte do Cuco,687.03,6316,14002,20319,74,81,155,160,159,319,0.11346891563314826,0.24597599292540948,0.18046624134095918
36,Fonte do Cuco,Custoias,689.2,6084,13744,19828,72,81,153,164,159,323,0.10821179007572687,0.24143819861017493,0.1752394430120343
37,Custoias,Esposade,1779.24,5936,13491,19428,71,81,152,168,152,320,0.10414784580477415,0.24445396302020012,0.1731703716653862
38,Esposade,Crestins,2035.56,5876,13361,19237,75,77,152,160,156,316,0.10515765581233805,0.24152853622553305,0.17299971610422607
39,Crestins,Verdes,591.8199999999999,5836,13163,18999,77,77,154,160,158,318,0.10364729661215404,0.23583111503447096,0.16944684720665357
40,Verdes,Pedras Rubras,960.78,3546,9112,12659,0,0,0,160,158,318,0.0893738185145391,0.2325642788286369,0.16051876420519148
41,Pedras Rubras,Lidador,1147.58,3190,7801,10992,0,0,0,160,158,318,0.08041404999588167,0.19909482149644112,0.1393812257728892
42,Lidador,Vilar do Pinheiro,1987.51,3118,7409,10527,0,0,0,160,158,318,0.07859092437930107,0.18908530361738576,0.13349064739696578
43,Vilar do Pinheiro,Modivas Sul,2037.38,3173,7026,10200,0,0,0,160,158,318,0.07997521526885096,0.17933092847333162,0.12934063252139166
44,Modivas Sul,Modivas Centro,1051.08,3174,6893,10067,0,0,0,162,158,320,0.07902560258504113,0.17591516942778182,0.12686482621364434
45,Modivas Centro,Modivas Norte,852.51,3200,6760,9961,0,0,0,163,158,321,0.07917992071667271,0.17252949557543246,0.12512768653500306
46,Modivas Norte,Mindelo,1834.12,2709,6414,9123,0,0,0,167,160,327,0.06542292878727507,0.16165061922824533,0.11250681401833086
47,Mindelo,Espaço Natureza,776.86,2689,5908,8597,0,0,0,175,158,333,0.06196545207148355,0.1507832231855845,0.10410721734484076
