,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,8681,12761,21442,2090,2051,4141,0,0,0,0.019229576466418576,0.028807046019132452,0.02397321086695375
4,Venda Nova,Carreira,583.47,15898,23331,39229,2088,2053,4141,0,0,0,0.035251186592954474,0.05261299777921132,0.04385872061019314
5,Carreira,Baguim,786.02,24512,32228,56740,2090,2055,4145,0,0,0,0.0542978077001692,0.07260537442642497,0.06337429735576765
6,Baguim,Campainha,751.7,30591,36477,67069,2089,2058,4147,0,0,0,0.06779748337583086,0.08205863646312557,0.07487475683945577
7,Campainha,Rio Tinto,859.99,42153,46114,88268,2085,2058,4143,0,0,0,0.0935993334498107,0.1037390796186608,0.09863616608690784
8,Rio Tinto,Levada,452.83,48729,54922,103652,2085,2060,4145,0,0,0,0.10820147963171925,0.12343256004775877,0.11577108775163274
9,Levada,Nau Vitória,1111.62,62188,68081,130270,2096,2069,4165,0,0,0,0.13736212746960622,0.15234077712429242,0.14480290205197016
10,Nau Vitória,Nasoni,499.02,65261,69805,135066,2095,2068,4163,0,0,0,0.14421728073853277,0.15627332305159225,0.15020620591350442
11,Nasoni,Contumil,650.0,67242,71078,138321,2095,2068,4163,0,0,0,0.1485953753236259,0.1591236416063595,0.15382536683760453
12,Contumil,Estádio do Dragão,619.19,79320,84211,163531,2095,2068,4163,0,0,0,0.17528552911335177,0.18852439485190353,0.18186203027773443
13,Estádio do Dragão,Campanhã,1166.02,146115,150143,296258,3628,3575,7203,2448,2407,4855,0.10506240684716928,0.10966262838296478,0.10734450268317165
14,Campanhã,Heroismo,950.92,304540,299524,604064,4378,4308,8686,3960,3875,7835,0.1579787723543082,0.15835035505221437,0.15816280271975244
15,Heroismo,24 de Agosto,571.9,328438,323398,651836,4378,4308,8686,3962,3877,7839,0.17033220405779567,0.17092716381917814,0.17062686507131364
