,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,489,683,1173,89,88,177,0,0,0,0.02548897211818559,0.03595631947498067,0.030693077018739075
4,Venda Nova,Carreira,583.47,928,1239,2168,89,88,177,0,0,0,0.048308292206935166,0.06522403290057727,0.05671837797552559
5,Carreira,Baguim,786.02,1327,1609,2936,89,97,186,0,0,0,0.06905316144191326,0.07680816284231098,0.07309743636577658
6,Baguim,Campainha,751.7,1559,1822,3382,80,91,171,0,0,0,0.09027266392567243,0.09272761828116378,0.09157910162362397
7,Campainha,Rio Tinto,859.99,2152,2300,4453,67,87,154,0,0,0,0.14875037508426836,0.1224148012956056,0.13387248599586796
8,Rio Tinto,Levada,452.83,2440,2711,5152,69,87,156,0,0,0,0.16377394954850885,0.14428463923447302,0.15290491110414273
9,Levada,Nau Vitória,1111.62,3073,3642,6715,89,87,176,0,0,0,0.1598626298667598,0.1938241244872653,0.17665041413939603
10,Nau Vitória,Nasoni,499.02,3243,3742,6986,89,87,176,0,0,0,0.1687214430328138,0.1991738840422474,0.18377463830452248
11,Nasoni,Contumil,650.0,3375,3844,7220,89,87,176,0,0,0,0.17558411551955738,0.20460593515336967,0.1899301286339987
12,Contumil,Estádio do Dragão,619.19,4090,4566,8657,89,87,176,0,0,0,0.21280468873273362,0.24300408703898554,0.22773280039548316
13,Estádio do Dragão,Campanhã,1166.02,8377,9074,17451,201,201,402,106,88,194,0.1201906403330793,0.13908850160244693,0.12932699666765915
14,Campanhã,Heroismo,950.92,15699,15929,31628,242,222,464,149,152,301,0.17595217399100432,0.18598746536728053,0.18086721262380606
15,Heroismo,24 de Agosto,571.9,16988,17215,34204,226,221,447,149,138,287,0.19807210783925697,0.2100517135707247,0.20392592166730653
16,24 de Agosto,Bolhão,680.44,21612,20678,42291,226,220,446,149,149,298,0.25199051583042814,0.24480255265772183,0.2484238944422418
17,Bolhão,Trindade,451.8,27429,27685,55115,226,221,447,155,153,308,0.31435922440884656,0.3231250282834366,0.31870218409320883
18,Trindade,Lapa,857.4300000000001,31663,37827,69491,204,222,426,171,153,324,0.366176160954853,0.4403834206636669,0.4031558020712335
19,Lapa,Carolina Michaelis,460.97,31445,37426,68871,221,221,442,171,153,324,0.3488315175905395,0.43681366082754663,0.3917056987748304
20,Carolina Michaelis,Casa da Música,627.48,30182,35706,65888,205,213,418,171,153,324,0.34817398779583514,0.42531579642781625,0.3861264556713161
21,Casa da Música,Francos,871.87,28155,29127,57282,220,220,440,171,157,328,0.31308791614420667,0.3368999904885027,0.32475959100990004
22,Francos,Ramalde,965.03,26552,27189,53742,204,222,426,175,153,328,0.3035833554196049,0.3165395221863577,0.31000284607833245
23,Ramalde,Viso,621.15,25747,25978,51725,204,222,426,172,152,324,0.2968990640287965,0.30331225820009267,0.30008571847964105
24,Viso,Sete Bicas,743.81,24757,24611,49368,202,225,427,171,152,323,0.2877405651050312,0.28519747079724905,0.28646712910567895
