,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,273,984,1257,174,110,284,0,0,0,0.0072637292464878675,0.04141699932599008,0.02049210850263309
1,Venda Nova,Carreira,583.47,497,1755,2252,174,115,289,0,0,0,0.013231558089877544,0.07065822249538216,0.036082998943279036
2,Carreira,Baguim,786.02,722,2389,3111,174,119,293,0,0,0,0.01921254214782382,0.09294658572906671,0.04915913322689516
3,Baguim,Campainha,751.7,880,2685,3565,183,110,293,0,0,0,0.022273156486919757,0.1130238213981056,0.05634337198258679
4,Campainha,Rio Tinto,859.99,1313,3373,4686,183,109,292,0,0,0,0.03321918527864626,0.14330165992870159,0.0743116158843176
5,Rio Tinto,Levada,452.83,1553,3953,5507,174,110,284,0,0,0,0.04132914314310594,0.16641128786877038,0.0897764527199478
6,Levada,Nau Vitória,1111.62,2392,4856,7248,174,110,284,0,0,0,0.06365318708716033,0.20439253356549258,0.11816490579355662
7,Nau Vitória,Nasoni,499.02,2578,4992,7570,148,110,258,0,0,0,0.08064459076206587,0.21011241411574402,0.13584405033146355
8,Nasoni,Contumil,650.0,2678,5098,7777,131,129,260,0,0,0,0.09466132916654992,0.18298498346744396,0.13848344995430117
9,Contumil,Estádio do Dragão,619.19,3287,6008,9295,131,146,277,0,0,0,0.11618450736836114,0.19051952384776732,0.1553646965596727
10,Estádio do Dragão,Campanhã,1166.02,7797,10497,18295,277,255,532,86,87,173,0.0960816388321956,0.1369419516927212,0.11592872748376737
11,Campanhã,Heroismo,950.92,13348,20087,33435,249,262,511,231,197,428,0.12017894798568571,0.19049449572128743,0.1544235160515629
12,Heroismo,24 de Agosto,571.9,14805,21587,36392,267,264,531,209,204,413,0.13520621027225013,0.20059430690096267,0.16761596251430766
13,24 de Agosto,Bolhão,680.44,19493,25149,44642,265,269,534,209,193,402,0.17871824178905923,0.2373326885531005,0.20760242935738105
14,Bolhão,Trindade,451.8,27494,30918,58412,246,279,525,209,188,397,0.2619295109316691,0.2892573297348897,0.2757172530595231
15,Trindade,Lapa,857.4300000000001,34098,41070,75169,265,263,528,209,188,397,0.3126220712108092,0.39708111167035265,0.353730791389307
16,Lapa,Carolina Michaelis,460.97,33910,40787,74697,269,268,537,204,189,393,0.31197576348119926,0.38933976863832126,0.3499444932440548
17,Carolina Michaelis,Casa da Música,627.48,33036,38560,71596,286,289,575,187,189,376,0.30546657856924225,0.35280447051101044,0.32926004752580884
18,Casa da Música,Francos,871.87,31843,30342,62186,293,302,595,182,183,365,0.29369477924084586,0.27430462262410416,0.2839026793307039
19,Francos,Ramalde,965.03,30044,27769,57814,301,299,600,164,171,335,0.284276085245297,0.2595497006893287,0.2718370908104082
20,Ramalde,Viso,621.15,28949,26827,55777,269,301,570,185,170,355,0.27840648694486436,0.25031055353487563,0.2641461641604878
21,Viso,Sete Bicas,743.81,27802,25564,53366,267,298,565,186,170,356,0.2678454759186706,0.23997743634290553,0.25373072885728504
22,Sete Bicas,Sra da Hora,674.5,24873,22243,47116,257,323,580,186,165,351,0.24472461672253376,0.2009529157502906,0.22190613759017414
23,Sra da Hora,Vasco da Gama,824.48,8740,10636,19376,154,171,325,0,0,0,0.262767995530388,0.28796151305497675,0.27602366167409464
