,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,8969,12115,21085,2215,2191,4406,0,0,0,0.018748432405317265,0.02559933923860699,0.02215522697448154
1,Venda Nova,Carreira,583.47,15837,21910,37748,2214,2192,4406,0,0,0,0.033117437807394526,0.04627676907331938,0.03966424991245746
2,Carreira,Baguim,786.02,23815,29761,53577,2217,2193,4410,0,0,0,0.049732274507171784,0.06282995008045106,0.05624547236027869
3,Baguim,Campainha,751.7,29336,33578,62915,2215,2195,4410,0,0,0,0.06131747451051767,0.0708236030457104,0.06604898293109547
4,Campainha,Rio Tinto,859.99,39525,42264,81789,2217,2198,4415,0,0,0,0.082538189641674,0.08902193166697035,0.08576610922754067
5,Rio Tinto,Levada,452.83,45374,49146,94520,2217,2198,4415,0,0,0,0.09475205053346514,0.10351692501239615,0.09911562790712093
6,Levada,Nau Vitória,1111.62,59243,61295,120539,2217,2198,4415,0,0,0,0.12371542312715456,0.1291067769023967,0.12639949914028756
7,Nau Vitória,Nasoni,499.02,62054,63022,125077,2217,2198,4415,0,0,0,0.12958457113727773,0.13274454823116066,0.13115776018650868
8,Nasoni,Contumil,650.0,63781,64082,127864,2215,2197,4412,0,0,0,0.13331111545810098,0.1350384203503161,0.13417124439014916
9,Contumil,Estádio do Dragão,619.19,75295,74698,149993,2215,2196,4411,0,0,0,0.15737695427128495,0.15748015212559055,0.15742833094053346
10,Estádio do Dragão,Campanhã,1166.02,139730,135569,275299,4019,3915,7934,1953,1997,3950,0.10331698850620882,0.10110329973021763,0.10221489147553933
11,Campanhã,Heroismo,950.92,275022,256691,531713,4376,4278,8654,3336,3354,6690,0.15515666663025446,0.14619303889245744,0.15069607046863104
12,Heroismo,24 de Agosto,571.9,294941,276243,571184,4378,4281,8659,3336,3354,6690,0.16635371280013353,0.1572701306568947,0.16183313884567097
13,24 de Agosto,Bolhão,680.44,373128,330902,704031,4381,4286,8667,3336,3354,6690,0.21037650360823903,0.1882729000651716,0.19937495334646285
14,Bolhão,Trindade,451.8,454064,415299,869363,4376,4280,8656,3335,3353,6688,0.2562012899007635,0.23649973613437109,0.24639594309234605
15,Trindade,Lapa,857.4300000000001,530770,598848,1129618,4683,4629,9312,3333,3351,6684,0.28875825881321127,0.3270768376088325,0.30787995050556555
16,Lapa,Carolina Michaelis,460.97,526032,596737,1122770,4683,4632,9315,3332,3350,6682,0.28621963817965396,0.32585245930608614,0.30600066283551375
17,Carolina Michaelis,Casa da Música,627.48,501482,572501,1073983,4679,4632,9311,3332,3350,6682,0.27298985044753066,0.3126181412714074,0.29277327250248547
18,Casa da Música,Francos,871.87,454660,482307,936968,4679,4633,9312,3330,3347,6677,0.2475683062794411,0.26344336736507934,0.2554934563725369
19,Francos,Ramalde,965.03,423881,450204,874086,4678,4633,9311,3330,3348,6678,0.2308362171561419,0.24587496508961026,0.2383448143623073
