,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,547,703,1250,76,76,152,0,0,0,0.033321150097465904,0.042884468501723005,0.03810280929959445
4,Venda Nova,Carreira,583.47,1006,1273,2279,76,76,152,0,0,0,0.06131617033207989,0.07755305218753906,0.06943461125980949
5,Carreira,Baguim,786.02,1492,1654,3147,76,76,152,0,0,0,0.09094552493478177,0.10076510678671144,0.09585531586074661
6,Baguim,Campainha,751.7,1886,1839,3725,72,76,148,0,0,0,0.1212786025569625,0.11206519152970462,0.11654739148891115
7,Campainha,Rio Tinto,859.99,2657,2330,4988,76,73,149,0,0,0,0.16188505973033002,0.14780333793140768,0.154985961130858
8,Rio Tinto,Levada,452.83,3067,2737,5805,76,72,148,0,0,0,0.18686462287593497,0.17603643070618044,0.1815968537122706
9,Levada,Nau Vitória,1111.62,4051,3916,7967,76,75,151,0,0,0,0.24677563595560292,0.24176419115528253,0.24428650774352326
10,Nau Vitória,Nasoni,499.02,4300,4017,8317,76,75,151,0,0,0,0.26195337994479945,0.24800698567021148,0.25502636292099745
11,Nasoni,Contumil,650.0,4480,4101,8582,76,76,152,0,0,0,0.2729316386373769,0.24987793945685075,0.26140478904711384
12,Contumil,Estádio do Dragão,619.19,5029,4707,9737,70,76,146,0,0,0,0.3326605298681771,0.28677490487012564,0.3087748620609722
13,Estádio do Dragão,Campanhã,1166.02,8915,8620,17536,205,203,408,94,94,188,0.13190641596733088,0.1283535672191294,0.13013568661318983
14,Campanhã,Heroismo,950.92,16152,15728,31881,201,197,398,170,170,340,0.18875361218835993,0.18566975061372573,0.18721950478378407
15,Heroismo,24 de Agosto,571.9,17734,17211,34945,189,202,391,186,170,356,0.20395745760601738,0.20061791202771695,0.20229889757352104
16,24 de Agosto,Bolhão,680.44,23254,21568,44823,186,204,390,184,170,354,0.27101068587208715,0.2501409732167978,0.26055059644692397
17,Bolhão,Trindade,451.8,27786,28814,56600,191,205,396,169,170,339,0.33410495239943994,0.33334146732731496,0.3337158454608847
18,Trindade,Lapa,857.4300000000001,32234,40171,72405,191,205,396,169,179,348,0.3875779734353313,0.4530392395535263,0.4213569619667128
19,Lapa,Carolina Michaelis,460.97,31892,39445,71337,188,215,403,166,171,337,0.38999932327371784,0.4439641641910868,0.4181001073710687
20,Carolina Michaelis,Casa da Música,627.48,30596,37027,67623,205,209,414,154,170,324,0.37098832550267763,0.42411945294289505,0.39830997255550454
21,Casa da Música,Francos,871.87,28299,31272,59572,203,192,395,161,180,341,0.33780293198566513,0.36316159057281516,0.35065660504236523
22,Francos,Ramalde,965.03,26426,28439,54866,205,170,375,170,187,357,0.30572453832350655,0.3422537607741377,0.32362889060713745
23,Ramalde,Viso,621.15,25028,27209,52237,205,184,389,170,173,343,0.2895419790052623,0.32921558911072185,0.3089339200536869
24,Viso,Sete Bicas,743.81,23975,25736,49711,205,202,407,169,170,339,0.2781641113375447,0.2999836570115759,0.28904851024945794
25,Sete Bicas,Sra da Hora,674.5,19818,24329,44147,205,199,404,166,170,336,0.23193850664361154,0.2857424821121022,0.2587925542383942
26,Sra da Hora,Vasco da Gama,824.48,7071,7647,14719,114,113,227,0,0,0,0.2871796809799732,0.313339558746068,0.3002019989868838
27,Vasco da Gama,Estádio do Mar,661.6,7072,7318,14391,114,113,227,0,0,0,0.28723751891215027,0.2998311709790954,0.29350660562388947
28,Estádio do Mar,Pedro Hispano,786.97,6809,7286,14095,117,113,230,0,0,0,0.26943127991679994,0.298546762890589,0.2837358432908789
29,Pedro Hispano,Parque de Real,656.68,6158,6754,12913,119,113,232,0,0,0,0.23961248509195737,0.27673135403428095,0.257691934188865
30,Parque de Real,C. Matosinhos,723.67,5869,6108,11977,113,116,229,0,0,0,0.24047377634449438,0.2437893445761433,0.24215327815615934
31,C. Matosinhos,Matosinhos Sul,616.61,4405,4260,8665,113,113,226,0,0,0,0.1804764401710739,0.17455072965065604,0.17751358491086497
32,Matosinhos Sul,Brito Capelo,535.72,2293,2233,4527,113,114,227,0,0,0,0.09398125368483111,0.09071700818695434,0.09234194096783573
33,Brito Capelo,Mercado,487.53,1059,1236,2296,115,115,230,0,0,0,0.04265941940671888,0.049781199723186155,0.04622030956495251
34,Mercado,Sr. de Matosinhos,708.96,236,270,506,114,113,227,0,0,0,0.009595477614861712,0.011061946902654867,0.010325482150194869
35,Sra da Hora,Fonte do Cuco,687.03,7777,10798,18575,91,91,182,93,93,186,0.18205824663915227,0.25277169016302775,0.21741496840109
36,Fonte do Cuco,Custoias,689.2,7466,10514,17980,91,91,182,93,97,190,0.1747732343693696,0.24053521070879358,0.20803160522448
37,Custoias,Esposade,1779.24,7266,10291,17558,91,91,182,92,97,189,0.17109301400414087,0.23543944634494232,0.20372913266283754
38,Esposade,Crestins,2035.56,7156,10185,17342,91,91,182,95,95,190,0.16560839649732353,0.23569218850290916,0.20065029250011632
39,Crestins,Verdes,591.8199999999999,7132,10080,17212,89,91,180,95,95,190,0.16669838538368584,0.23326540389395337,0.20014908622019426
40,Verdes,Pedras Rubras,960.78,5682,6768,12450,0,0,0,95,95,190,0.24119041755214898,0.28727641497422657,0.2642334162631878
41,Pedras Rubras,Lidador,1147.58,5232,5915,11147,0,0,0,95,95,190,0.22207836582110668,0.25107960324196676,0.23657898453153672
42,Lidador,Vilar do Pinheiro,1987.51,5042,5629,10671,0,0,0,95,95,190,0.2140325439005869,0.2389357077575961,0.2264841258290915
43,Vilar do Pinheiro,Modivas Sul,2037.38,4904,5444,10348,0,0,0,95,95,190,0.20816797891013264,0.23107472497827253,0.2196213519442026
44,Modivas Sul,Modivas Centro,1051.08,4853,5409,10263,0,0,0,95,95,190,0.2060217420191494,0.22961128455461036,0.2178165132868799
45,Modivas Centro,Modivas Norte,852.51,4825,5358,10183,0,0,0,94,101,195,0.2069837522204582,0.2139218965393028,0.21057735517534693
46,Modivas Norte,Mindelo,1834.12,4005,5011,9016,0,0,0,95,113,208,0.170007375472423,0.17882257901154397,0.17479640431819543
47,Mindelo,Espaço Natureza,776.86,3845,4893,8739,0,0,0,97,99,196,0.15986587385521583,0.19931704785709806,0.17979274235616655
48,Espaço Natureza,Varziela,1539.0,3823,4869,8693,0,0,0,95,96,191,0.16228687644484113,0.20453876042820562,0.18352342546265785
49,Varziela,Árvore,858.71,3598,4577,8175,0,0,0,97,95,192,0.1495728621429774,0.19427362925228014,0.17169042920226782
50,Árvore,Azurara,664.57,3592,4560,8152,0,0,0,96,95,191,0.1508767656791252,0.19358496550363574,0.17211906402115923
51,Azurara,Santa Clara,1218.09,3547,4514,8061,0,0,0,95,95,190,0.1505764591464016,0.19160760882205527,0.17109203398422845
52,Santa Clara,Vila do Conde,670.57,3474,4322,7797,0,0,0,92,96,188,0.1522943562965232,0.1815752221805397,0.16724628781176568
53,Vila do Conde,Alto de Pega,730.41,2461,3027,5489,0,0,0,91,78,169,0.10908710407179203,0.15650844457507457,0.1309738766117686
54,Alto de Pega,Portas Fronhas,671.05,2347,2760,5107,0,0,0,80,78,158,0.11831055806742975,0.1426959416051408,0.13034891196579343
55,Portas Fronhas,São Brás,562.21,1837,2255,4092,0,0,0,80,78,158,0.09260563179319403,0.11658148056259236,0.10444181029960586
56,São Brás,Póvoa de Varzim,624.94,1760,2161,3921,0,0,0,80,78,158,0.08875287460138484,0.11171422663358149,0.10008822560462118
57,Sra da Hora,Fonte do Cuco,685.98,5782,7206,12988,0,0,0,76,76,152,0.3067746139609366,0.3823650145451811,0.3445698142530589
58,Fonte do Cuco,Cândido dos Reis,913.51,5664,7137,12801,0,0,0,76,76,152,0.3005242858784298,0.3786649517299125,0.33959461880417113
59,Cândido dos Reis,Pias,916.73,5430,6865,12295,0,0,0,76,76,152,0.28813168043177306,0.3642340292630449,0.326182854847409
60,Pias,Araújo,1258.13,5236,6588,11824,0,0,0,76,85,161,0.27781344882079606,0.3125560156750407,0.29615579778111156
61,Araújo,Custió,651.69,5133,6342,11476,0,0,0,76,77,153,0.27238649157900646,0.332153104529427,0.3024651137828129
62,Custió,Parque de Maia,1418.51,4872,5988,10861,0,0,0,76,76,152,0.25852771372012495,0.31771529217263994,0.28812150294638245
63,Parque de Maia,Forum,824.81,4394,5332,9727,0,0,0,76,76,152,0.2331553824676753,0.28293297144158236,0.25804417695462883
64,Forum,Zona Industrial,1119.4,2093,3169,5262,0,0,0,57,57,114,0.1481238742386821,0.22418460807587698,0.18615424115727952
65,Zona Industrial,Mandim,1194.23,1983,3127,5111,0,0,0,58,57,115,0.13790793223064882,0.22123739576890308,0.17921036198439222
66,Mandim,Castêlo da Maia,1468.1,1933,3054,4987,0,0,0,57,57,114,0.13675385268554316,0.21608357247310356,0.17641871257932337
67,Castêlo da Maia,ISMAI,702.48,1394,2159,3553,0,0,0,57,60,117,0.09865079749444969,0.14509408602150542,0.12246786853396545
68,Santo Ovídio,D. João II,463.71,7505,6084,13590,356,356,712,0,0,0,0.09761235955056176,0.07912172422381088,0.08836704188718632
69,D. João II,João de Deus,716.25,10191,8972,19164,354,348,702,0,0,0,0.13328369700303275,0.11936971726923841,0.1263861685879894
70,João de Deus,C.M.Gaia,405.01,16839,14887,31726,356,358,714,0,0,0,0.21898567206607472,0.1925203050113135,0.20571592219828128
71,C.M.Gaia,General Torres,488.39,19070,17002,36072,358,358,716,0,0,0,0.24661235472309018,0.219874987801647,0.23324367126236856
72,General Torres,Jardim do Morro,419.98,21027,18612,39639,358,356,714,0,0,0,0.2719223933848398,0.2420418170509315,0.25702395476457185
73,Jardim do Morro,São Bento,795.7,21415,19682,41097,355,348,703,0,0,0,0.2792821377153479,0.2618470846506294,0.2706514144343777
74,São Bento,Aliados,443.38,24080,25464,49544,356,354,710,0,0,0,0.31315363583697375,0.3330211170469071,0.3230593940740391
75,Aliados,Trindade,450.27,25566,28150,53716,354,354,708,0,0,0,0.33435733092934117,0.3681519749185132,0.3512546529239272
76,Trindade,Faria Guimaraes,555.34,24455,27553,52008,360,350,710,0,0,0,0.3145021269971157,0.36445893341789193,0.33912872171158287
77,Faria Guimaraes,Marques,621.04,23420,26484,49904,358,354,712,0,0,0,0.30286730857340494,0.3463679664282347,0.32449544464167707
78,Marques,Combatentes,702.75,20003,20015,40018,360,354,714,0,0,0,0.25724770900638727,0.2617600010772867,0.25948489583145506
79,Combatentes,Salgueiros,471.25,18037,17913,35950,360,358,718,0,0,0,0.23196162174537438,0.23165737752041426,0.23180992337136921
80,Salgueiros,Polo Universitario,775.36,16475,16360,32835,358,348,706,0,0,0,0.213053965071151,0.2176485880239148,0.21531873672492127
81,Polo Universitario,I.P.O.,827.64,12412,13344,25756,358,358,716,0,0,0,0.1605177539132619,0.17256603119759129,0.1665418925554266
82,I.P.O.,Hospital São João,351.77,5101,5778,10880,358,358,716,0,0,0,0.06596770425523032,0.07473360231740118,0.07035065328631575
83,Verdes (E) ,Botica,683.54,1581,3548,5129,89,91,180,0,0,0,0.08226192361126954,0.18053306654252357,0.13194344587095908
84,Botica,Aeroporto,649.66,1466,3387,4854,81,110,191,0,0,0,0.08382333614816652,0.14259259259259258,0.11766950478108204
