,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,288,1345,1633,159,166,325,0,0,0,0.008385744234800839,0.03751285962723011,0.023262978558318558
1,Venda Nova,Carreira,583.47,504,2493,2998,159,166,325,0,0,0,0.014684655599594277,0.06955347832122814,0.0427099619743365
2,Carreira,Baguim,786.02,722,3561,4283,159,166,325,0,0,0,0.02103090983574172,0.09933354074072176,0.061025484390285364
3,Baguim,Campainha,751.7,888,4211,5099,169,167,336,0,0,0,0.024348330670989682,0.11674223405711744,0.0702703005087377
4,Campainha,Rio Tinto,859.99,1232,5276,6508,193,165,358,0,0,0,0.02957587433940673,0.14803663708498538,0.08417371191767622
5,Rio Tinto,Levada,452.83,1427,6219,7646,177,163,340,0,0,0,0.03733939916892273,0.17664769591314283,0.10412543554924002
6,Levada,Nau Vitória,1111.62,2172,7613,9786,176,163,339,0,0,0,0.05715800367520826,0.21623575529835765,0.13364671610757803
7,Nau Vitória,Nasoni,499.02,2253,7763,10016,176,163,339,0,0,0,0.059267715115923755,0.2205056034321438,0.13679507734466673
8,Nasoni,Contumil,650.0,2330,7944,10275,192,169,361,0,0,0,0.056200221386449895,0.21763016282564052,0.13177268704634798
9,Contumil,Estádio do Dragão,619.19,2582,8690,11273,192,165,357,0,0,0,0.06227802160046982,0.24385049220559263,0.1461980710398123
10,Estádio do Dragão,Campanhã,1166.02,5298,16085,21384,271,265,536,150,151,301,0.05534892366518426,0.1698764177749495,0.11229751923226326
11,Campanhã,Heroismo,950.92,10608,25113,35722,320,329,649,270,277,547,0.07795497235199796,0.17969364977724353,0.12950296233514877
12,Heroismo,24 de Agosto,571.9,11654,26262,37917,324,326,650,242,277,519,0.08964824091195867,0.188789709496228,0.14089741589373161
13,24 de Agosto,Bolhão,680.44,16348,29600,45948,346,330,676,244,277,521,0.12087654362705419,0.21146569511584987,0.16694922285850078
14,Bolhão,Trindade,451.8,24766,30959,55726,343,326,669,241,277,518,0.18502389192884725,0.22255115466895192,0.2041488171006675
15,Trindade,Lapa,857.4300000000001,34129,40832,74961,352,316,668,243,272,515,0.25040368090646375,0.3008793445364106,0.2755873272056437
16,Lapa,Carolina Michaelis,460.97,34003,40237,74240,362,314,676,245,262,507,0.2447105415535967,0.30299506944995735,0.27319307454189745
17,Carolina Michaelis,Casa da Música,627.48,33002,38018,71021,366,332,698,238,240,478,0.23901034089492332,0.28970810229123,0.26371465642323294
18,Casa da Música,Francos,871.87,33578,27171,60749,382,344,726,234,233,467,0.2389173280750466,0.20570459592891804,0.2228260278472016
19,Francos,Ramalde,965.03,31677,24444,56121,388,333,721,216,232,448,0.23059125662395932,0.18880925110493113,0.2103196872845969
20,Ramalde,Viso,621.15,29691,23589,53280,378,331,709,219,228,447,0.21838121148239975,0.1842320769733423,0.2018188812455069
21,Viso,Sete Bicas,743.81,28706,21734,50441,390,334,724,218,228,446,0.20756065526810855,0.16889594669313215,0.1889245762204346
22,Sete Bicas,Sra da Hora,674.5,26398,16293,42691,399,337,736,218,221,439,0.18822375851148318,0.12768815695073854,0.159385227855473
