,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,10679,13929,24609,1908,1866,3774,0,0,0,0.025914279058933138,0.03456034266795343,0.030189200811564797
4,Venda Nova,Carreira,583.47,18778,25304,44083,1907,1869,3776,0,0,0,0.04558911580280503,0.06268078407138312,0.0540489484283274
5,Carreira,Baguim,786.02,27415,33836,61252,1907,1868,3775,0,0,0,0.0665576808130356,0.0838594342721389,0.07511918424657335
6,Baguim,Campainha,751.7,34424,38399,72824,1908,1867,3775,0,0,0,0.08352967270785794,0.0952191406870374,0.08931092746736206
7,Campainha,Rio Tinto,859.99,46660,48643,95304,1903,1869,3772,0,0,0,0.11351515536295288,0.12049397752238303,0.11697311363866203
8,Rio Tinto,Levada,452.83,53131,56849,109981,1906,1870,3776,0,0,0,0.12905558638289635,0.1407440582290887,0.1348441039550308
9,Levada,Nau Vitória,1111.62,69254,71871,141125,1906,1870,3776,0,0,0,0.16821738708155437,0.1779348409259006,0.1730297913953593
10,Nau Vitória,Nasoni,499.02,72571,73752,146324,1907,1871,3778,0,0,0,0.17618210995630168,0.182494831279568,0.17930839412671762
11,Nasoni,Contumil,650.0,74844,75102,149947,1906,1872,3778,0,0,0,0.18179642942959942,0.1857347464716755,0.1837478665663825
12,Contumil,Estádio do Dragão,619.19,83540,85198,168738,1905,1873,3778,0,0,0,0.20302405435617185,0.21059166210427016,0.2067758090708855
13,Estádio do Dragão,Campanhã,1166.02,152500,150460,302960,3591,3470,7061,1796,1859,3655,0.12489129995195637,0.12429073731019274,0.12459231676254148
14,Campanhã,Heroismo,950.92,290287,275652,565940,4293,4192,8485,3218,3212,6430,0.16824854340628492,0.16195336672617214,0.16512235653634483
15,Heroismo,24 de Agosto,571.9,312399,296577,608977,4292,4194,8486,3220,3218,6438,0.18103489098435016,0.17405138670118336,0.1775651954436518
16,24 de Agosto,Bolhão,680.44,398562,358006,756569,4290,4193,8483,3219,3221,6440,0.2310572535825021,0.21003647697732675,0.2206095577316203
17,Bolhão,Trindade,451.8,470288,443537,913825,4294,4198,8492,3225,3228,6453,0.27226733095254824,0.25978675296141296,0.26606336504451045
18,Trindade,Lapa,857.4300000000001,553257,636839,1190096,4521,4459,8980,3225,3228,6453,0.3114600724922498,0.3610838134565293,0.33618329370595007
19,Lapa,Carolina Michaelis,460.97,546114,631972,1178086,4520,4461,8981,3231,3234,6465,0.30721858422596465,0.3579344922276764,0.332490657081553
20,Carolina Michaelis,Casa da Música,627.48,517601,602729,1120330,4517,4460,8977,3231,3234,6465,0.2912846724943868,0.3414138129280746,0.31626739117635544
21,Casa da Música,Francos,871.87,474086,507476,981562,4515,4463,8978,3226,3229,6455,0.2670475394253578,0.2875546462764965,0.2772707152816895
22,Francos,Ramalde,965.03,438698,467128,905827,4516,4463,8979,3223,3226,6449,0.24718760597298034,0.26480387930069293,0.2559691003093322
23,Ramalde,Viso,621.15,418536,446079,864615,4517,4466,8983,3219,3222,6441,0.2359304818601148,0.25292057279491115,0.24440086124341723
24,Viso,Sete Bicas,743.81,397792,420137,817930,4508,4467,8975,3216,3219,6435,0.22457726832027017,0.23828345373916363,0.23141463246764862
25,Sete Bicas,Sra da Hora,674.5,348060,375046,723106,4504,4463,8967,3212,3216,6428,0.19670663664709526,0.21290367922335462,0.20478712154813128
26,Sra da Hora,Vasco da Gama,824.48,113505,119202,232707,2393,2341,4734,0,0,0,0.2195935261996109,0.23573794708779197,0.22757706851039078
27,Vasco da Gama,Estádio do Mar,661.6,109801,113557,223359,2390,2343,4733,0,0,0,0.2126947582798811,0.22438289424051103,0.21848079304763007
28,Estádio do Mar,Pedro Hispano,786.97,106412,111475,217887,2390,2345,4735,0,0,0,0.20612956371278385,0.22008125883777627,0.21303911494152877
29,Pedro Hispano,Parque de Real,656.68,96959,102512,199472,2389,2345,4734,0,0,0,0.18789815268513899,0.20238523392450883,0.19507436846594217
30,Parque de Real,C. Matosinhos,723.67,91171,96051,187223,2389,2345,4734,0,0,0,0.17668087109056405,0.18963101369581503,0.18309576006591546
31,C. Matosinhos,Matosinhos Sul,616.61,64682,68855,133537,2383,2345,4728,0,0,0,0.12566369365236435,0.13593757260671346,0.13075934639093217
32,Matosinhos Sul,Brito Capelo,535.72,32642,36933,69576,2386,2347,4733,0,0,0,0.06333750431046822,0.07285420414078153,0.06805664534189551
33,Brito Capelo,Mercado,487.53,16340,20599,36939,2404,2363,4767,0,0,0,0.03146809277768719,0.040358344721664496,0.035874987122897675
34,Mercado,Sr. de Matosinhos,708.96,3652,4678,8330,2384,2347,4731,0,0,0,0.007093411256781008,0.009227698085814832,0.00815220880227718
35,Sra da Hora,Fonte do Cuco,687.03,129596,156479,286075,1393,1362,2755,1766,1820,3586,0.1754010271144072,0.20988352125289939,0.19272004753867136
36,Fonte do Cuco,Custoias,689.2,124193,153701,277894,1393,1363,2756,1820,1875,3695,0.1650963286031115,0.20239658304468217,0.18383479266170968
37,Custoias,Esposade,1779.24,121029,151164,272193,1393,1360,2753,1820,1874,3694,0.160889805741294,0.199290432365906,0.18016972849691876
38,Esposade,Crestins,2035.56,119085,149277,268362,1393,1360,2753,1820,1874,3694,0.15830636240924167,0.19680267721127062,0.17763432762748718
39,Crestins,Verdes,591.8199999999999,117476,147058,264534,1393,1360,2753,1820,1874,3694,0.15616662609358362,0.19387768870905941,0.17510033728966362
40,Verdes,Pedras Rubras,960.78,95188,104045,199233,0,0,0,1820,1876,3696,0.21089197019734962,0.22363505812848622,0.21736005270785078
41,Pedras Rubras,Lidador,1147.58,85228,92164,177393,0,0,0,1820,1876,3696,0.18882640919051713,0.19809858870986394,0.19353274273442803
42,Lidador,Vilar do Pinheiro,1987.51,81972,88639,170611,0,0,0,1820,1876,3696,0.1816130066570801,0.19051999437051736,0.186133977693446
43,Vilar do Pinheiro,Modivas Sul,2037.38,79777,86021,165798,0,0,0,1820,1876,3696,0.176748628325153,0.18489330183434868,0.18088266715179022
44,Modivas Sul,Modivas Centro,1051.08,79125,85239,164364,0,0,0,1820,1876,3696,0.1753049986463177,0.18321235970764818,0.17931858342744755
45,Modivas Centro,Modivas Norte,852.51,78477,84411,162888,0,0,0,1820,1876,3696,0.1738679098364948,0.18143411508348445,0.17770833219670926
46,Modivas Norte,Mindelo,1834.12,69856,76810,146666,0,0,0,1819,1876,3695,0.15485363082416473,0.16509568539059707,0.16005365636317073
47,Mindelo,Espaço Natureza,776.86,66984,73487,140472,0,0,0,1821,1876,3697,0.14832513632958008,0.1579543181390268,0.15321135355287518
48,Espaço Natureza,Varziela,1539.0,66388,72903,139291,0,0,0,1821,1876,3697,0.14700474225986673,0.15669709962270517,0.15192301718891324
49,Varziela,Árvore,858.71,61720,67597,129318,0,0,0,1821,1876,3697,0.13666919194530885,0.14529342397974104,0.1410454589987562
50,Árvore,Azurara,664.57,61539,67207,128747,0,0,0,1819,1876,3695,0.13641748535277112,0.14445591536395896,0.1404987017806435
51,Azurara,Santa Clara,1218.09,60871,66463,127334,0,0,0,1819,1877,3696,0.13493576994723352,0.1427801864318229,0.13891952799419624
52,Santa Clara,Vila do Conde,670.57,59023,64391,123414,0,0,0,1820,1879,3699,0.13076769800431032,0.13818159254615658,0.13453377203624575
53,Vila do Conde,Alto de Pega,730.41,42110,46535,88646,0,0,0,1821,1882,3703,0.09324558453847302,0.09970516386001789,0.09652857894385987
54,Alto de Pega,Portas Fronhas,671.05,39682,44073,83756,0,0,0,1821,1883,3704,0.08786974421495015,0.09437991521231251,0.09117931548601746
55,Portas Fronhas,São Brás,562.21,30816,34415,65231,0,0,0,1822,1883,3705,0.06819881907203428,0.07369671198490749,0.07099302483585081
56,São Brás,Póvoa de Varzim,624.94,29480,32911,62391,0,0,0,1824,1885,3709,0.06517111750515396,0.07040087276461025,0.06782900067152632
57,Sra da Hora,Fonte do Cuco,685.98,107088,109087,216176,701,735,1436,1433,1374,2807,0.21130415624316062,0.21838830067117787,0.21482057575473135
58,Fonte do Cuco,Cândido dos Reis,913.51,103813,108789,212603,699,731,1430,1433,1373,2806,0.20501607957302287,0.21827783912009055,0.21159437521764785
59,Cândido dos Reis,Pias,916.73,99433,104652,204085,699,733,1432,1433,1373,2806,0.19636520653419182,0.2097946088499109,0.20302956747326342
60,Pias,Araújo,1258.13,96511,101526,198037,699,733,1432,1433,1373,2806,0.19059580095325135,0.20352813890119703,0.1970134929580759
61,Araújo,Custió,651.69,93964,97640,191604,697,733,1430,1431,1373,2804,0.18590695565990262,0.19573733620743217,0.1907898045188624
62,Custió,Parque de Maia,1418.51,89256,92760,182017,697,733,1430,1429,1373,2802,0.17676469154408425,0.18595610842015758,0.18133241667710737
63,Parque de Maia,Forum,824.81,78128,79270,157398,697,731,1428,1429,1373,2802,0.15472670929562943,0.15904924616538063,0.15687388152756984
64,Forum,Zona Industrial,1119.4,36801,38301,75103,402,346,748,875,865,1740,0.1211260216671213,0.13241232419609342,0.12663048428366447
65,Zona Industrial,Mandim,1194.23,34170,35495,69666,402,346,748,875,865,1740,0.11246612051390822,0.12271413704477983,0.11746419882548055
66,Mandim,Castêlo da Maia,1468.1,31937,33078,65015,402,346,748,875,865,1740,0.10511604711202162,0.11435633098185906,0.10962264234081347
67,Castêlo da Maia,ISMAI,702.48,20699,20550,41249,402,346,748,876,866,1742,0.06807126644008459,0.07098347518514425,0.069491614833117
68,Santo Ovídio,D. João II,463.71,127986,103705,231692,5306,5342,10648,0,0,0,0.11167214613784532,0.0898756897814483,0.10073707195904434
69,D. João II,João de Deus,716.25,173429,153784,327213,5298,5332,10630,0,0,0,0.1515501125010209,0.13352681849841833,0.14250964179341252
70,João de Deus,C.M.Gaia,405.01,268330,247359,515690,5298,5340,10638,0,0,0,0.234479253662225,0.21445381301187258,0.22442700201032786
71,C.M.Gaia,General Torres,488.39,309700,281842,591542,5304,5348,10652,0,0,0,0.2703239320211006,0.24398379254575941,0.2570994609439203
72,General Torres,Jardim do Morro,419.98,343021,311002,654024,5298,5348,10646,0,0,0,0.2997479402405235,0.26922740063564865,0.28441599906009224
73,Jardim do Morro,São Bento,795.7,351815,325515,677331,5292,5342,10634,0,0,0,0.3077807810245414,0.2821075445083129,0.2948838062765921
74,São Bento,Aliados,443.38,396276,388887,785163,5300,5346,10646,0,0,0,0.3461530441834733,0.33677651421693916,0.34144452180877
75,Aliados,Trindade,450.27,421983,417346,839329,5292,5346,10638,0,0,0,0.369165817712212,0.36142162733531913,0.36527406721824046
76,Trindade,Faria Guimaraes,555.34,360220,351347,711568,5340,5292,10632,0,0,0,0.31230142711633224,0.3073712846446782,0.30984748487028324
77,Faria Guimaraes,Marques,621.04,342904,337432,680336,5334,5292,10626,0,0,0,0.2976230208147181,0.2951978557529754,0.2964152311001743
78,Marques,Combatentes,702.75,281258,272393,553652,5336,5288,10624,0,0,0,0.2440258720989862,0.23847993779714904,0.24126543341411094
79,Combatentes,Salgueiros,471.25,246720,236644,483365,5334,5292,10626,0,0,0,0.21414053085554655,0.20702512303885698,0.21059688901798573
80,Salgueiros,Polo Universitario,775.36,222579,212786,435366,5332,5294,10626,0,0,0,0.19325970747835008,0.18608305738947303,0.18968421476514521
81,Polo Universitario,I.P.O.,827.64,169336,168390,337726,5312,5276,10588,0,0,0,0.1475835892849153,0.14776053922503485,0.14767176343339197
82,I.P.O.,Hospital São João,351.77,76194,89606,165800,5312,5278,10590,0,0,0,0.06640687061071461,0.07859844497775534,0.07248308680611036
83,Verdes (E) ,Botica,683.54,23800,45047,68848,1393,1358,2751,0,0,0,0.07910168360864744,0.15357383696048818,0.11586401885103194
84,Botica,Aeroporto,649.66,20619,41288,61907,1393,1358,2751,0,0,0,0.06852850584691413,0.1407571046746305,0.10418333580258074
