,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,111,484,595,76,127,203,0,0,0,0.006761695906432749,0.017670312862919632,0.01358629863290484
4,Venda Nova,Carreira,583.47,206,933,1139,76,124,200,0,0,0,0.012557829828771372,0.034840399661009866,0.026373023124759237
5,Carreira,Baguim,786.02,270,1336,1607,76,117,193,0,0,0,0.01649448977899505,0.052897837732380826,0.03856284061084031
6,Baguim,Campainha,751.7,327,1575,1902,59,114,173,0,0,0,0.025659238860648536,0.06399251748699987,0.050919318417897395
7,Campainha,Rio Tinto,859.99,451,2175,2626,59,114,173,0,0,0,0.035402445085848874,0.08834021854913855,0.07028629580732301
8,Rio Tinto,Levada,452.83,531,2532,3064,75,114,189,0,0,0,0.03282697325587193,0.10284796140196015,0.07506185499478228
9,Levada,Nau Vitória,1111.62,975,3022,3998,75,114,189,0,0,0,0.06023792739501378,0.12273859647518887,0.09793674366559557
10,Nau Vitória,Nasoni,499.02,1009,3095,4105,77,112,189,0,0,0,0.060694441769743986,0.1279611567885891,0.10055619881794849
11,Nasoni,Contumil,650.0,1071,3158,4230,77,110,187,0,0,0,0.06444623211592819,0.1329287055975151,0.10473004004627344
12,Contumil,Estádio do Dragão,619.19,1283,3666,4949,89,101,190,0,0,0,0.06677498407526763,0.1680490120519952,0.1206101252628965
13,Estádio do Dragão,Campanhã,1166.02,2899,6034,8933,170,195,365,78,78,156,0.051710191808644855,0.09817486449324565,0.07600997264288269
14,Campanhã,Heroismo,950.92,6272,10456,16729,194,260,454,132,115,247,0.08404245717940642,0.12348079928881528,0.10500428751975756
15,Heroismo,24 de Agosto,571.9,6769,11106,17875,190,249,439,171,117,288,0.08111746161231496,0.1341374032574926,0.10752410210255069
16,24 de Agosto,Bolhão,680.44,9781,13252,23034,192,230,422,152,141,293,0.12355991169401559,0.15655485655144813,0.1406092603064341
