,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,70,290,360,42,43,85,0,0,0,0.007716049382716049,0.03125700222689094,0.019625001998004526
1,Venda Nova,Carreira,583.47,121,535,657,42,43,85,0,0,0,0.01343673815764925,0.05766509746069581,0.03581108462860222
2,Carreira,Baguim,786.02,183,727,910,42,43,85,0,0,0,0.02018657939693606,0.07832789653838235,0.049599245715550064
3,Baguim,Campainha,751.7,212,799,1011,42,43,85,0,0,0,0.023384923421028436,0.08604544950526746,0.05508377779305523
4,Campainha,Rio Tinto,859.99,271,1073,1345,42,43,85,0,0,0,0.029980624262585524,0.11554071281255308,0.07326396317609853
5,Rio Tinto,Levada,452.83,317,1263,1581,42,41,83,0,0,0,0.034999676989162246,0.14272427539653748,0.08821303282895
6,Levada,Nau Vitória,1111.62,549,1612,2161,42,41,83,0,0,0,0.06056547957191436,0.1820321981902686,0.12056711166049901
7,Nau Vitória,Nasoni,499.02,540,1642,2182,42,41,83,0,0,0,0.05960142438512926,0.1854398950447093,0.12176259663865675
8,Nasoni,Contumil,650.0,567,1660,2228,42,41,83,0,0,0,0.06255460203843465,0.18751806477210967,0.12428354146109338
9,Contumil,Estádio do Dragão,619.19,617,1822,2439,42,41,83,0,0,0,0.06801622457123374,0.20575278217541085,0.13605476507450195
10,Estádio do Dragão,Campanhã,1166.02,7271,2775,10047,63,47,110,50,45,95,0.2795851727105075,0.1302548137331144,0.21232970756836456
11,Campanhã,Heroismo,950.92,9236,4670,13907,63,47,110,81,80,161,0.2741199819839114,0.15571886424570475,0.21836244016748926
12,Heroismo,24 de Agosto,571.9,9340,4999,14339,63,47,110,85,80,165,0.2692634697786714,0.16669448406160498,0.2217024150534664
13,24 de Agosto,Bolhão,680.44,10232,5927,16159,64,47,111,85,80,165,0.2931534138641441,0.19762319267539025,0.24900366050657038
14,Bolhão,Trindade,451.8,11120,6768,17888,66,41,107,85,80,165,0.31470135139039385,0.23587075174048813,0.27937334527542484
15,Trindade,Lapa,857.4300000000001,10501,8691,19192,137,116,253,87,80,167,0.20523612015826942,0.19358468701501788,0.19979076349605027
16,Lapa,Carolina Michaelis,460.97,10255,8606,18861,136,117,253,85,80,165,0.20325112899325665,0.1907723043376586,0.197360613989664
17,Carolina Michaelis,Casa da Música,627.48,9773,8120,17893,135,121,256,85,80,165,0.1945347986943254,0.176617602911734,0.18597321856939378
18,Casa da Música,Francos,871.87,8590,6465,15055,135,116,251,85,80,165,0.17098889121229222,0.1440033817644411,0.1582540544294684
19,Francos,Ramalde,965.03,7976,5888,13864,134,115,249,85,80,165,0.15944944290476176,0.1317878526559469,0.1463990981218904
20,Ramalde,Viso,621.15,7347,5880,13228,134,117,251,87,80,167,0.1454419818825637,0.130363434797292,0.1383290550786615
21,Viso,Sete Bicas,743.81,6956,5571,12528,134,117,251,87,80,167,0.13770303585287658,0.12351345010153628,0.13100945428588578
22,Sete Bicas,Sra da Hora,674.5,6602,4079,10682,132,117,249,85,76,161,0.13313484731547784,0.09246811328515914,0.11398877951820897
23,Sra da Hora,Vasco da Gama,824.48,1830,1410,3240,81,78,159,0,0,0,0.10462411044886731,0.08369805217882699,0.09435849695790414
24,Vasco da Gama,Estádio do Mar,661.6,1635,1442,3078,80,78,158,0,0,0,0.09467389585541847,0.08564599406747386,0.09021708358035721
25,Estádio do Mar,Pedro Hispano,786.97,1609,1418,3027,80,76,156,0,0,0,0.09312940287801688,0.08639058969367404,0.08984639132667036
