,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,9092,12146,21239,1923,1900,3823,0,0,0,0.021891431212804062,0.029597928652422785,0.025721497949732015
4,Venda Nova,Carreira,583.47,16539,22352,38891,1926,1900,3826,0,0,0,0.0397563658120859,0.054464622149926915,0.04706051820149989
5,Carreira,Baguim,786.02,25664,31471,57135,1926,1900,3826,0,0,0,0.06169028109952899,0.07668403935413688,0.06913621436763014
6,Baguim,Campainha,751.7,31985,35860,67845,1926,1902,3828,0,0,0,0.07688453505983037,0.08728699949124397,0.0820531576691691
7,Campainha,Rio Tinto,859.99,44727,46406,91133,1926,1902,3828,0,0,0,0.10751381416646746,0.11295690105468777,0.11021829464227598
8,Rio Tinto,Levada,452.83,51613,54329,105942,1926,1902,3828,0,0,0,0.12406549029186477,0.13224235691972402,0.12812829079504878
9,Levada,Nau Vitória,1111.62,65933,67615,133549,1928,1903,3831,0,0,0,0.15832375264452392,0.1644957680113149,0.16138962193270018
10,Nau Vitória,Nasoni,499.02,68901,69392,138293,1928,1903,3831,0,0,0,0.16545114025736554,0.16881768729015603,0.1671234292167496
11,Nasoni,Contumil,650.0,71077,70776,141854,1932,1907,3839,0,0,0,0.17032169792326202,0.17182551257844628,0.17106870874572525
12,Contumil,Estádio do Dragão,619.19,83514,83310,166824,1932,1907,3839,0,0,0,0.20012405305946215,0.20225328146081273,0.20118173437266235
13,Estádio do Dragão,Campanhã,1166.02,156653,154359,311013,3586,3496,7082,1851,1917,3768,0.12698657629256102,0.1254394888348167,0.12621399691296223
14,Campanhã,Heroismo,950.92,303961,292891,596853,4313,4258,8571,3258,3260,6518,0.1747316457014806,0.16947727708509247,0.17211308584284085
15,Heroismo,24 de Agosto,571.9,325712,314703,640415,4312,4257,8569,3260,3260,6520,0.18720497684459012,0.18212064492147825,0.1846715196823479
16,24 de Agosto,Bolhão,680.44,420502,380009,800512,4313,4262,8575,3262,3264,6526,0.24158716661095486,0.21965067092017881,0.2306521649972024
17,Bolhão,Trindade,451.8,500424,470236,970661,4312,4261,8573,3256,3260,6516,0.2877855910634321,0.2719929522946462,0.27991209714946397
18,Trindade,Lapa,857.4300000000001,566843,650269,1217113,4571,4554,9125,3264,3269,6533,0.3154724106370957,0.3623932229951733,0.338916929101156
19,Lapa,Carolina Michaelis,460.97,557734,643393,1201128,4570,4555,9125,3264,3269,6533,0.3104405176142614,0.35851782580554864,0.33446578411734745
20,Carolina Michaelis,Casa da Música,627.48,523180,607410,1130591,4568,4554,9122,3263,3269,6532,0.29131735497583844,0.3385080960723498,0.3149026309330301
21,Casa da Música,Francos,871.87,470696,501092,971788,4568,4554,9122,3263,3269,6532,0.26209337866034293,0.2792570377099289,0.2706715366996868
22,Francos,Ramalde,965.03,433273,460644,893917,4568,4554,9122,3263,3270,6533,0.24125515721249113,0.25668011172972066,0.24896486784497845
23,Ramalde,Viso,621.15,410824,438475,849299,4566,4556,9122,3263,3270,6533,0.2288103673574318,0.24426823971003012,0.23653839083742637
24,Viso,Sete Bicas,743.81,390807,412361,803168,4564,4557,9121,3263,3272,6535,0.21771407355592184,0.22962944348062295,0.22367295310278265
25,Sete Bicas,Sra da Hora,674.5,349294,373693,722988,4564,4557,9121,3263,3273,6536,0.19458806125163478,0.20806780812076853,0.20132975147294915
26,Sra da Hora,Vasco da Gama,824.48,117138,121781,238920,2403,2347,4750,0,0,0,0.2256804292557821,0.2402225067274729,0.23286574627179438
27,Vasco da Gama,Estádio do Mar,661.6,113764,116246,230010,2402,2347,4749,0,0,0,0.2192701414887026,0.22930436789053787,0.22422914956726808
28,Estádio do Mar,Pedro Hispano,786.97,109768,113801,223570,2402,2349,4751,0,0,0,0.21156888607356,0.22429129631132275,0.21785912847484493
29,Pedro Hispano,Parque de Real,656.68,99385,104522,203908,2402,2347,4749,0,0,0,0.19155609823605746,0.20617879203198547,0.19878276960667085
30,Parque de Real,C. Matosinhos,723.67,92645,97240,189885,2402,2347,4749,0,0,0,0.1785657453264738,0.19181357671086552,0.1851129468971555
31,C. Matosinhos,Matosinhos Sul,616.61,65502,68875,134377,2402,2348,4750,0,0,0,0.12624913984472586,0.13580390613475316,0.13097221168661724
32,Matosinhos Sul,Brito Capelo,535.72,32336,35678,68015,2402,2348,4750,0,0,0,0.06232596775517254,0.07034897891849069,0.06629186885232434
33,Brito Capelo,Mercado,487.53,16053,19515,35568,2415,2361,4776,0,0,0,0.03077563631362848,0.03826686214880268,0.034478899336418734
34,Mercado,Sr. de Matosinhos,708.96,3572,4155,7727,2399,2344,4743,0,0,0,0.006893367398639339,0.008206532043989382,0.00754233596889034
35,Sra da Hora,Fonte do Cuco,687.03,126400,153738,280138,1409,1415,2824,1834,1893,3727,0.166497043405207,0.19834546293382954,0.18258656902654954
36,Fonte do Cuco,Custoias,689.2,120387,150519,270907,1408,1417,2825,1834,1895,3729,0.15862218421235175,0.19396088999952615,0.1764880535650471
37,Custoias,Esposade,1779.24,117813,148913,266726,1408,1411,2819,1834,1895,3729,0.1552298019523862,0.19221169252617049,0.17391094996057777
38,Esposade,Crestins,2035.56,115798,147079,262877,1408,1411,2819,1834,1895,3729,0.15257552540692526,0.18984407260671574,0.17140147604080372
39,Crestins,Verdes,591.8199999999999,114295,144968,259264,1408,1411,2819,1834,1895,3729,0.1505954019741753,0.1871202881493867,0.16904569734942476
40,Verdes,Pedras Rubras,960.78,88708,98298,187007,0,0,0,1834,1895,3729,0.19503569464138998,0.20916379116400122,0.202215298532607
41,Pedras Rubras,Lidador,1147.58,77825,85475,163300,0,0,0,1834,1895,3729,0.1711075808958153,0.18187766204621944,0.17658071143483803
42,Lidador,Vilar do Pinheiro,1987.51,74582,81998,156581,0,0,0,1834,1895,3729,0.16397722621832583,0.1744806781386369,0.16931486134543486
43,Vilar do Pinheiro,Modivas Sul,2037.38,72171,79235,151406,0,0,0,1834,1895,3729,0.1586765265461027,0.16859970853600958,0.1637192806010433
44,Modivas Sul,Modivas Centro,1051.08,71268,78215,149483,0,0,0,1834,1895,3729,0.15669216346295922,0.1664291685819581,0.16164030631640597
45,Modivas Centro,Modivas Norte,852.51,70539,77263,147803,0,0,0,1834,1895,3729,0.1550901066191896,0.16440501687079218,0.15982374966740276
46,Modivas Norte,Mindelo,1834.12,64777,71977,136754,0,0,0,1834,1895,3729,0.14242009835020705,0.15315635833483568,0.14787604167841067
47,Mindelo,Espaço Natureza,776.86,61428,67906,129334,0,0,0,1834,1895,3729,0.13505723947531062,0.14449323260503308,0.1398524143159714
48,Espaço Natureza,Varziela,1539.0,60936,67485,128421,0,0,0,1834,1895,3729,0.13397593606960537,0.1435975413101973,0.13886543511249133
49,Varziela,Árvore,858.71,56126,62174,118301,0,0,0,1834,1895,3729,0.12340015304442846,0.1322982285720926,0.12792196938256833
50,Árvore,Azurara,664.57,55898,61867,117765,0,0,0,1834,1895,3729,0.12289925100587733,0.13164342495841608,0.12734285777446433
51,Azurara,Santa Clara,1218.09,55338,61249,116587,0,0,0,1834,1895,3729,0.12166718585091377,0.13032926256905694,0.12606907251781677
52,Santa Clara,Vila do Conde,670.57,54120,59677,113797,0,0,0,1834,1895,3729,0.11898930947357911,0.12698438027297898,0.12305223764865628
53,Vila do Conde,Alto de Pega,730.41,40269,44669,84939,0,0,0,1833,1894,3727,0.0885859308770715,0.0950998678668906,0.09189620634224922
54,Alto de Pega,Portas Fronhas,671.05,38551,42826,81377,0,0,0,1833,1896,3729,0.08480513368118393,0.09107957903878035,0.0879953585130431
55,Portas Fronhas,São Brás,562.21,30090,33498,63589,0,0,0,1832,1895,3727,0.06622983204937623,0.07128002065731735,0.06879760972902432
56,São Brás,Póvoa de Varzim,624.94,28406,31737,60144,0,0,0,1836,1900,3736,0.06238766351841804,0.06735568760611203,0.06491422823111039
57,Sra da Hora,Fonte do Cuco,685.98,106066,107851,213918,746,781,1527,1427,1360,2787,0.2059425207493737,0.21315620895000698,0.20951737334700626
58,Fonte do Cuco,Cândido dos Reis,913.51,102788,107189,209978,746,779,1525,1425,1358,2783,0.19976909585246758,0.21223696107512752,0.20594501700754056
59,Cândido dos Reis,Pias,916.73,98584,102843,201427,746,779,1525,1425,1358,2783,0.19159802943485324,0.2036308210486913,0.19755843812995408
