,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,36,191,227,43,45,88,0,0,0,0.003875968992248063,0.019682926257320474,0.01195907213916009
4,Venda Nova,Carreira,583.47,54,364,419,43,45,88,0,0,0,0.005833617707947082,0.03754888349997275,0.02205165135159657
5,Carreira,Baguim,786.02,90,546,636,43,45,88,0,0,0,0.009690670432463636,0.056180154342052174,0.0334637019771396
6,Baguim,Campainha,751.7,113,606,719,43,45,88,0,0,0,0.01216698395528879,0.06243723003408897,0.03787335979103888
7,Campainha,Rio Tinto,859.99,138,783,921,43,45,88,0,0,0,0.014883122967460083,0.08058330645055697,0.04847980770313463
8,Rio Tinto,Levada,452.83,156,920,1076,43,45,88,0,0,0,0.01684217383252023,0.09466234785527025,0.05663658100324468
9,Levada,Nau Vitória,1111.62,438,1131,1570,43,45,88,0,0,0,0.047193893251167,0.11643950953122915,0.0826035833943806
10,Nau Vitória,Nasoni,499.02,457,1174,1632,43,45,88,0,0,0,0.049299136379698946,0.12088448228864446,0.08590527917404608
11,Nasoni,Contumil,650.0,499,1215,1715,43,45,88,0,0,0,0.05381682634767046,0.1250186192038687,0.09022683405822639
12,Contumil,Estádio do Dragão,619.19,547,1415,1963,43,45,88,0,0,0,0.058912223292823564,0.14567294563839323,0.10327850176498986
13,Estádio do Dragão,Campanhã,1166.02,3771,2248,6019,53,47,100,48,45,93,0.16148787516766844,0.10552036541619496,0.13478226062747045
14,Campanhã,Heroismo,950.92,5550,3561,9112,55,47,102,94,87,181,0.15773438477907895,0.11224994477185095,0.1361693771199437
15,Heroismo,24 de Agosto,571.9,5655,3840,9496,55,47,102,90,87,177,0.1653748885154298,0.1210502566993764,0.1440435586061387
16,24 de Agosto,Bolhão,680.44,6171,4835,11007,55,47,102,90,87,177,0.1804612488894222,0.1523975290915134,0.16695551988584176
17,Bolhão,Trindade,451.8,6911,5799,12710,55,47,102,90,87,177,0.2020906838072872,0.18278155049905948,0.19279811947038256
18,Trindade,Lapa,857.4300000000001,8467,7788,16255,140,132,272,90,87,177,0.16109562361624746,0.15549711436535615,0.15836378148236618
19,Lapa,Carolina Michaelis,460.97,8266,7863,16129,142,132,274,90,87,177,0.15600193077500812,0.15698531376762973,0.1564797701942401
20,Carolina Michaelis,Casa da Música,627.48,7762,7774,15536,142,127,269,90,87,177,0.1464908811324221,0.1586300868668628,0.1523234124523581
21,Casa da Música,Francos,871.87,7065,6130,13195,142,131,273,90,87,177,0.13332847300383965,0.12291748435498598,0.12828086814795586
22,Francos,Ramalde,965.03,6543,5792,12335,142,132,274,90,87,177,0.12347516561935715,0.11563652111303888,0.11966625966250354
23,Ramalde,Viso,621.15,6049,5704,11753,142,132,274,90,87,177,0.11416293410575418,0.11387979235367131,0.11402535160596444
24,Viso,Sete Bicas,743.81,5675,5689,11365,142,132,274,90,87,177,0.10709859500302163,0.11359998087877736,0.11025770846581609
25,Sete Bicas,Sra da Hora,674.5,5442,4123,9566,142,132,274,90,84,174,0.1027079498386502,0.08356754992260235,0.09347890147387666
26,Sra da Hora,Vasco da Gama,824.48,1535,1142,2677,90,88,178,0,0,0,0.07896892969721754,0.06010938396487525,0.06964510933516067
27,Vasco da Gama,Estádio do Mar,661.6,1317,1157,2474,90,87,177,0,0,0,0.0677625970090166,0.06157972881163699,0.06472356009844019
28,Estádio do Mar,Pedro Hispano,786.97,1340,1162,2502,90,87,177,0,0,0,0.06897694735235055,0.0618367779858151,0.06546737257896872
29,Pedro Hispano,Parque de Real,656.68,1213,1142,2356,92,88,180,0,0,0,0.06108967733237602,0.06009539972248809,0.06060358605643081
30,Parque de Real,C. Matosinhos,723.67,1100,1069,2170,90,88,178,0,0,0,0.05662098558898938,0.056273752463072604,0.056449319773929404
31,C. Matosinhos,Matosinhos Sul,616.61,772,809,1582,90,88,178,0,0,0,0.039745206473488434,0.042589198173543404,0.04115122484205494
32,Matosinhos Sul,Brito Capelo,535.72,367,281,649,90,88,178,0,0,0,0.018887880029547444,0.014834241922806747,0.016883834223967775
33,Brito Capelo,Mercado,487.53,216,136,352,90,88,178,0,0,0,0.011145264195950648,0.007171389277227068,0.009180651876581687
34,Mercado,Sr. de Matosinhos,708.96,38,23,61,90,88,178,0,0,0,0.001981699482912139,0.0012100168350168351,0.0016001934547391797
35,Sra da Hora,Fonte do Cuco,687.03,1948,2504,4453,44,44,88,45,47,92,0.09429781877360234,0.11838337404144965,0.10648341435192218
36,Fonte do Cuco,Custoias,689.2,1857,2508,4365,44,44,88,48,46,94,0.08674437611886263,0.11995218542308704,0.10315367924197087
37,Custoias,Esposade,1779.24,1782,2497,4280,44,44,88,45,44,89,0.08626835671140327,0.12233166116679621,0.10419115183704354
