,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,2323,452,2776,196,110,306,0,0,0,0.054894179894179884,0.019050817988348998,0.042009311235221065
1,Venda Nova,Carreira,583.47,4344,672,5016,196,95,291,0,0,0,0.10261125816034716,0.03276723331799661,0.07980994420837706
2,Carreira,Baguim,786.02,6822,860,7682,152,98,250,0,0,0,0.20778689035366682,0.0406587863952979,0.1422726736019862
3,Baguim,Campainha,751.7,8232,878,9111,152,126,278,0,0,0,0.25076034402244307,0.03226907982319174,0.15173192931342988
4,Campainha,Rio Tinto,859.99,10655,1223,11879,152,132,284,0,0,0,0.3245613230808677,0.042909582756588495,0.1936527677188788
5,Rio Tinto,Levada,452.83,11483,1490,12973,152,132,284,0,0,0,0.34976232417003467,0.052272854633413864,0.21149257072343625
6,Levada,Nau Vitória,1111.62,14041,1849,15891,152,132,284,0,0,0,0.4276781196869944,0.06487836752995393,0.2590528827689333
7,Nau Vitória,Nasoni,499.02,14439,1974,16413,152,132,284,0,0,0,0.4397979147579347,0.06925084235886923,0.26757181068512964
8,Nasoni,Contumil,650.0,14648,2011,16660,126,132,258,0,0,0,0.5382430735734678,0.07054837784523763,0.2989574152939082
9,Contumil,Estádio do Dragão,619.19,16571,2525,19097,108,160,268,0,0,0,0.7103764538405747,0.07308918444869003,0.32990644226333016
10,Estádio do Dragão,Campanhã,1166.02,22945,5790,28736,238,242,480,149,131,280,0.2596844837031264,0.06831389726359012,0.1659889493534551
11,Campanhã,Heroismo,950.92,40634,12002,52636,364,266,630,213,201,414,0.30912641617807035,0.11185280225544508,0.22046434060025996
12,Heroismo,24 de Agosto,571.9,43328,13676,57005,362,276,638,253,200,453,0.3074370413114679,0.12522879503511194,0.2278851855385039
13,24 de Agosto,Bolhão,680.44,50180,18427,68607,346,280,626,253,212,465,0.3650028898557677,0.1629908608608094,0.27384364747122414
14,Bolhão,Trindade,451.8,49907,26741,76649,341,280,621,253,236,489,0.365891053396972,0.22470363444225264,0.30010442042164137
15,Trindade,Lapa,857.4300000000001,48055,49446,97502,329,290,619,254,238,492,0.3584746060329986,0.40642114186822165,0.3812861473119622
16,Lapa,Carolina Michaelis,460.97,45893,50667,96560,342,263,605,249,238,487,0.33838860975398166,0.4374189177996102,0.3840064460416075
17,Carolina Michaelis,Casa da Música,627.48,40241,52444,92685,347,286,633,233,242,475,0.3031702341301428,0.4306060754297558,0.3641484604296559
18,Casa da Música,Francos,871.87,33773,53086,86860,373,301,674,233,231,464,0.24411420234837355,0.4340571077004112,0.33323847762373887
19,Francos,Ramalde,965.03,29560,53323,82883,364,339,703,231,220,451,0.21749817337400118,0.41729305664211713,0.3143164389659439
20,Ramalde,Viso,621.15,28630,51797,80428,364,329,693,201,220,421,0.22285555278968883,0.41232551939965095,0.3165287120893625
21,Viso,Sete Bicas,743.81,27057,50244,77301,364,319,683,189,220,409,0.21560107924562266,0.4069579312852592,0.31049858237954653
22,Sete Bicas,Sra da Hora,674.5,24873,49095,73969,364,347,711,187,214,401,0.1989898270073233,0.38348905931543753,0.29234195849292943
23,Sra da Hora,Vasco da Gama,824.48,10349,9978,20328,158,196,354,0,0,0,0.3032584685339273,0.2357006785889312,0.2658535904852854
24,Vasco da Gama,Estádio do Mar,661.6,10832,8072,18905,170,214,384,0,0,0,0.2950140954452049,0.1746378329150154,0.22792940747265136
25,Estádio do Mar,Pedro Hispano,786.97,10779,7523,18302,152,218,370,0,0,0,0.32831401654800985,0.1597726588938884,0.2290112706869329
26,Pedro Hispano,Parque de Real,656.68,9494,6544,16039,152,218,370,0,0,0,0.28919173979976864,0.13898927713635073,0.20069407260888997
27,Parque de Real,C. Matosinhos,723.67,8370,5558,13928,150,174,324,0,0,0,0.2583542673767451,0.1478883912774013,0.19903000058265305
28,C. Matosinhos,Matosinhos Sul,616.61,5160,3833,8994,138,182,320,0,0,0,0.17310916880686814,0.09752746440434236,0.1301220744279316
29,Matosinhos Sul,Brito Capelo,535.72,2299,2343,4643,113,218,331,0,0,0,0.0942231064992797,0.04976567682796689,0.0649429866553335
30,Brito Capelo,Mercado,487.53,1122,1649,2772,113,218,331,0,0,0,0.046006897715734296,0.03503168025108349,0.03877850675714253
31,Mercado,Sr. de Matosinhos,708.96,274,461,735,129,218,347,0,0,0,0.009863146389507775,0.009790180088345226,0.009817305889065597
33,Fonte do Cuco,Custoias,689.2,9062,22807,31870,86,66,152,103,152,255,0.20540738818060456,0.43901899502202385,0.33173545669823107
34,Custoias,Esposade,1779.24,8976,22434,31410,86,66,152,103,176,279,0.20344789268441898,0.3874450305954886,0.30787597111304926
35,Esposade,Crestins,2035.56,8901,21991,30893,86,66,152,89,176,265,0.21899677664383965,0.37979300555861095,0.31347222959335785
36,Crestins,Verdes,591.8199999999999,8689,21426,30115,86,66,152,86,199,285,0.2177598048927994,0.33684449538983985,0.2909372045482572
