,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,10342,13780,24123,2235,2198,4433,0,0,0,0.02142472450078712,0.029026072941808832,0.02519367642349538
1,Venda Nova,Carreira,583.47,19265,25644,44910,2238,2199,4437,0,0,0,0.039853864860417254,0.053990890942339546,0.04686024763124149
2,Carreira,Baguim,786.02,29370,35939,65309,2237,2199,4436,0,0,0,0.0607839933646407,0.07566449133236122,0.06816050712276005
3,Baguim,Campainha,751.7,36388,40750,77138,2239,2199,4438,0,0,0,0.07524063403221377,0.0857937068742453,0.08046961266664986
4,Campainha,Rio Tinto,859.99,50765,52895,103661,2237,2199,4436,0,0,0,0.10506332002757691,0.11136352985891204,0.10818644027534653
5,Rio Tinto,Levada,452.83,55969,60505,116474,2237,2199,4436,0,0,0,0.11583240241655984,0.12738414060038744,0.12155879382012992
6,Levada,Nau Vitória,1111.62,71962,75560,147522,2238,2200,4438,0,0,0,0.1488657593639864,0.15900689252924163,0.15389290964870056
7,Nau Vitória,Nasoni,499.02,75589,77780,153370,2238,2200,4438,0,0,0,0.15636835181293962,0.1636798809184911,0.15999281419063527
8,Nasoni,Contumil,650.0,78193,79452,157646,2238,2200,4438,0,0,0,0.16175550096935246,0.16719764425943326,0.16445327366835602
9,Contumil,Estádio do Dragão,619.19,92766,93912,186678,2238,2200,4438,0,0,0,0.1919004044821726,0.19762663752581291,0.19473900581070092
10,Estádio do Dragão,Campanhã,1166.02,166190,163308,329499,4122,4013,8135,2120,2208,4328,0.11735709750334729,0.11546217583135855,0.11641021240673993
11,Campanhã,Heroismo,950.92,335658,321318,656976,5011,4941,9952,3811,3821,7632,0.16555271721153955,0.15947379515460003,0.16252276021323225
12,Heroismo,24 de Agosto,571.9,360802,346043,706846,5011,4943,9954,3811,3821,7632,0.17795425226156242,0.1717083920993186,0.1748407524590668
13,24 de Agosto,Bolhão,680.44,468632,419166,887798,5011,4943,9954,3811,3821,7632,0.23113740970922145,0.20799253111688995,0.21959991558445366
14,Bolhão,Trindade,451.8,560981,522089,1083071,5009,4943,9952,3811,3823,7634,0.2767448967793465,0.2589999334073053,0.2678971702157882
15,Trindade,Lapa,857.4300000000001,639058,727718,1366777,5316,5292,10608,3818,3827,7645,0.3050225411752468,0.3478297177505695,0.3264110401276092
16,Lapa,Carolina Michaelis,460.97,629816,720668,1350484,5316,5292,10608,3822,3829,7651,0.300468770584659,0.34437827570844753,0.32240545104462337
17,Carolina Michaelis,Casa da Música,627.48,593223,682021,1275245,5313,5294,10607,3822,3830,7652,0.2830988525049919,0.32580485015594735,0.3044410443520858
