,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,440,548,989,128,128,256,0,0,0,0.015950520833333332,0.01985624050101929,0.01790338066717631
4,Venda Nova,Carreira,583.47,862,1043,1905,128,128,256,0,0,0,0.03119231687645824,0.03773212754015072,0.03446222220830448
5,Carreira,Baguim,786.02,1136,1312,2448,128,128,256,0,0,0,0.04110996960727839,0.047462503148217344,0.04428623637774787
6,Baguim,Campainha,751.7,1500,1472,2972,128,126,254,0,0,0,0.05425381730213629,0.05410011407600668,0.05417757081988302
7,Campainha,Rio Tinto,859.99,2047,1857,3904,136,140,276,0,0,0,0.06968793809540098,0.06142433419391503,0.06549625495696608
8,Rio Tinto,Levada,452.83,2393,2169,4562,126,136,262,0,0,0,0.08793102848426564,0.07385307801673317,0.0806233900736381
9,Levada,Nau Vitória,1111.62,2951,2777,5729,126,129,255,0,0,0,0.10845824111566488,0.09968579481185,0.10402041533844088
10,Nau Vitória,Nasoni,499.02,3126,2885,6012,126,129,255,0,0,0,0.11488634159363832,0.1035737795801817,0.1091635161044779
11,Nasoni,Contumil,650.0,3191,2955,6147,126,129,255,0,0,0,0.11727808925727261,0.1060603021726879,0.11160320873212976
12,Contumil,Estádio do Dragão,619.19,3839,3680,7520,126,128,254,0,0,0,0.14108914718880156,0.13312781626405787,0.13707713790389134
13,Estádio do Dragão,Campanhã,1166.02,7747,7196,14944,222,226,448,128,126,254,0.09721283825162723,0.08988790034183997,0.09354193296363769
14,Campanhã,Heroismo,950.92,15349,13340,28690,283,287,570,202,200,402,0.13800887460912084,0.1195503209477145,0.12876435482515716
15,Heroismo,24 de Agosto,571.9,16798,14440,31239,273,283,556,203,200,403,0.1536750880656595,0.13041517703390088,0.14197029153446258
16,24 de Agosto,Bolhão,680.44,22283,17185,39469,277,279,556,206,199,405,0.20089764165032944,0.15678224730981205,0.1789703687060929
17,Bolhão,Trindade,451.8,27619,23446,51065,271,280,551,214,199,413,0.24746847971538155,0.21347474523286344,0.2306079312793089
18,Trindade,Lapa,857.4300000000001,30843,33659,64503,274,282,556,217,194,411,0.27295149066852026,0.3087352898105605,0.29052298256877335
19,Lapa,Carolina Michaelis,460.97,30551,33187,63738,267,283,550,217,200,417,0.27403490380254236,0.2997175847725665,0.28683232567337447
20,Carolina Michaelis,Casa da Música,627.48,29410,31119,60529,263,285,548,225,200,425,0.2611727055692722,0.27994920416086094,0.2705002036183275
21,Casa da Música,Francos,871.87,26731,25171,51903,256,284,540,219,194,413,0.2438871472176585,0.22996701417552012,0.2369319100163826
22,Francos,Ramalde,965.03,24687,23540,48227,259,282,541,218,197,415,0.22441409028729128,0.21445280510823564,0.21943888666389938
23,Ramalde,Viso,621.15,23746,22484,46230,270,283,553,214,200,414,0.2131752552821139,0.20305734710160034,0.20813142430331005
24,Viso,Sete Bicas,743.81,22395,21449,43845,266,280,546,214,200,414,0.20262493341299564,0.19485733522131302,0.19874902134752012
25,Sete Bicas,Sra da Hora,674.5,19011,20515,39527,266,282,548,216,199,415,0.1712399412475025,0.1860596581472999,0.17862435099515833
26,Sra da Hora,Vasco da Gama,824.48,9043,7372,16416,149,151,300,0,0,0,0.2810082736917626,0.22605051351572372,0.25334620106982303
27,Vasco da Gama,Estádio do Mar,661.6,8986,7311,16298,150,151,301,0,0,0,0.2773736527801268,0.2241587487297964,0.25067780390437966
28,Estádio do Mar,Pedro Hispano,786.97,8961,7359,16321,158,151,309,0,0,0,0.26259310435580935,0.225633182434459,0.2445317832874472
29,Pedro Hispano,Parque de Real,656.68,8433,6734,15168,153,161,314,0,0,0,0.255183801443859,0.19366535912906524,0.22364090586206983
30,Parque de Real,C. Matosinhos,723.67,8173,6541,14714,150,152,302,0,0,0,0.25226419385586624,0.19923329054681677,0.22557314318376187
31,C. Matosinhos,Matosinhos Sul,616.61,6755,4868,11623,144,152,296,0,0,0,0.21717647317857672,0.1482705530060179,0.18179235200888436
32,Matosinhos Sul,Brito Capelo,535.72,2630,2710,5340,148,151,299,0,0,0,0.08227340610834763,0.08311418692857798,0.0826980144824439
33,Brito Capelo,Mercado,487.53,1402,1368,2771,148,150,298,0,0,0,0.04388465643143042,0.04223709341874153,0.04305534619014407
34,Mercado,Sr. de Matosinhos,708.96,267,245,512,149,149,298,0,0,0,0.008325604363914184,0.007612478250062143,0.007969041306988164
35,Sra da Hora,Fonte do Cuco,687.03,7046,9767,16814,76,78,154,128,127,255,0.1463136387556618,0.20204290604025604,0.1742314006889125
36,Fonte do Cuco,Custoias,689.2,6829,9563,16393,76,78,154,130,128,258,0.1403557234840482,0.19682095033994207,0.1685697567123058
37,Custoias,Esposade,1779.24,6659,9398,16058,76,78,154,125,129,254,0.14044909322495994,0.19243438589502074,0.16682627172817813
38,Esposade,Crestins,2035.56,6580,9330,15910,76,78,154,116,127,243,0.14563269989244454,0.19300633554811517,0.1701198165007088
39,Crestins,Verdes,591.8199999999999,6506,9243,15750,72,78,150,118,127,245,0.14518767693279544,0.19120472760718354,0.16906754273144955
40,Verdes,Pedras Rubras,960.78,4393,5073,9467,0,0,0,127,127,254,0.13949142995708474,0.16109415487351353,0.15029279241529916
41,Pedras Rubras,Lidador,1147.58,3856,4545,8401,0,0,0,129,127,256,0.12053462303404908,0.14431318748982894,0.1323310202445336
42,Lidador,Vilar do Pinheiro,1987.51,3712,4382,8094,0,0,0,129,127,256,0.11604163660208729,0.13913208629688373,0.1274966643803652
43,Vilar do Pinheiro,Modivas Sul,2037.38,3615,4299,7914,0,0,0,129,132,261,0.11301258780045217,0.13132474441024516,0.12227390838471529
44,Modivas Sul,Modivas Centro,1051.08,3586,4252,7839,0,0,0,129,131,260,0.11212095413087204,0.13089170835566583,0.12157852645182583
45,Modivas Centro,Modivas Norte,852.51,3562,4220,7782,0,0,0,132,131,263,0.1088236541594341,0.12991000014417858,0.11932673904156918
46,Modivas Norte,Mindelo,1834.12,2853,4173,7026,0,0,0,139,130,269,0.08276870289438708,0.1294485439117071,0.10532773386930008
47,Mindelo,Espaço Natureza,776.86,2783,4075,6859,0,0,0,140,128,268,0.08018069301138447,0.12839438566516287,0.10320812830871147
48,Espaço Natureza,Varziela,1539.0,2742,4041,6783,0,0,0,142,128,270,0.07786505084720904,0.12730944314392903,0.10130535534343185
49,Varziela,Árvore,858.71,2657,3855,6512,0,0,0,134,128,262,0.0799609511928943,0.12146318275100094,0.10023685058006092
50,Árvore,Azurara,664.57,2642,3827,6470,0,0,0,130,128,258,0.08195291262840013,0.12058815986083433,0.10112078722433647
51,Azurara,Santa Clara,1218.09,2625,3777,6402,0,0,0,131,128,259,0.08080035269219056,0.1189848530271985,0.09967145710485857
52,Santa Clara,Vila do Conde,670.57,2495,3519,6014,0,0,0,140,131,271,0.07187446006214364,0.10831958451794015,0.08949184494667997
53,Vila do Conde,Alto de Pega,730.41,2006,2725,4732,0,0,0,139,128,267,0.05821992795559172,0.0858713770271138,0.07147605335317533
54,Alto de Pega,Portas Fronhas,671.05,1931,2618,4549,0,0,0,135,128,263,0.05769411219196908,0.0824793238326793,0.06975687679277101
55,Portas Fronhas,São Brás,562.21,1605,2237,3843,0,0,0,128,128,256,0.050585986349510004,0.0704802369879534,0.0605331116687317
56,São Brás,Póvoa de Varzim,624.94,1573,2167,3741,0,0,0,128,128,256,0.04956723604258958,0.0682963709677419,0.058931803505165734
57,Sra da Hora,Fonte do Cuco,685.98,3861,4926,8787,28,55,83,92,72,164,0.1337786508239981,0.1656730599994446,0.14996315852435776
58,Fonte do Cuco,Cândido dos Reis,913.51,3712,4851,8563,24,55,79,103,72,175,0.12080562269495805,0.16314661008012626,0.14162878359872497
59,Cândido dos Reis,Pias,916.73,3517,4673,8190,24,55,79,103,72,175,0.1144581315894662,0.15716038385368983,0.13545896139445684
60,Pias,Araújo,1258.13,3351,4543,7894,24,55,79,103,76,179,0.10905874191474985,0.14785413998154456,0.1284564409481472
61,Araújo,Custió,651.69,3235,4426,7661,24,37,61,103,87,190,0.10528893997489698,0.14970270362876467,0.12706859639849988
62,Custió,Parque de Maia,1418.51,3070,4245,7315,24,35,59,103,91,194,0.09993334880138113,0.14090334758309012,0.1202163796166718
63,Parque de Maia,Forum,824.81,2751,3690,6441,24,35,59,103,91,194,0.08955287648134799,0.12248215160964328,0.105855183584432
64,Forum,Zona Industrial,1119.4,1127,1443,2570,24,33,57,89,69,158,0.04136363496787282,0.05953862477130589,0.04991889659664433
65,Zona Industrial,Mandim,1194.23,1054,1345,2400,37,33,70,80,69,149,0.037881981670459974,0.055514528209166136,0.04609009597561893
66,Mandim,Castêlo da Maia,1468.1,1027,1309,2337,41,33,74,61,69,130,0.04283632551893496,0.05404137751526989,0.048468592862812666
