,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,515,798,1314,124,123,247,0,0,0,0.01926523297491039,0.030058522307713973,0.024640028877480593
1,Venda Nova,Carreira,583.47,1003,1422,2425,124,123,247,0,0,0,0.037462723924224145,0.05353015517196403,0.04546391438362498
2,Carreira,Baguim,786.02,1418,1845,3263,124,126,250,0,0,0,0.05295538596884741,0.06781099012481204,0.06044261046345358
3,Baguim,Campainha,751.7,1716,2056,3773,116,126,242,0,0,0,0.06851665379837443,0.07556838325987753,0.07218821541882646
4,Campainha,Rio Tinto,859.99,2420,2669,5089,114,121,235,0,0,0,0.09830602441046946,0.10212780006640342,0.10027383230139716
5,Rio Tinto,Levada,452.83,2726,3144,5870,116,125,241,0,0,0,0.10881800146359122,0.11646037679077491,0.11278188908142507
6,Levada,Nau Vitória,1111.62,3435,4131,7566,126,123,249,0,0,0,0.12623542875803084,0.15549794239711348,0.14069040537492708
7,Nau Vitória,Nasoni,499.02,3596,4222,7818,126,123,249,0,0,0,0.13214413356452556,0.15892775209454066,0.1453745957299547
8,Nasoni,Contumil,650.0,3731,4318,8050,126,123,249,0,0,0,0.13711462206014832,0.16255142441704334,0.1496797894894579
9,Contumil,Estádio do Dragão,619.19,4424,5052,9476,126,125,251,0,0,0,0.1625514461486231,0.18712216576695775,0.1747878603011802
10,Estádio do Dragão,Campanhã,1166.02,8984,9861,18846,230,224,454,137,126,263,0.10740365083467553,0.12383650609041782,0.11541759631582094
11,Campanhã,Heroismo,950.92,16944,18105,35049,288,260,548,198,218,416,0.15222238099147442,0.16426197007966514,0.15821261132720646
12,Heroismo,24 de Agosto,571.9,18311,19617,37928,279,256,535,198,208,406,0.16742741036282072,0.1835447217940311,0.17539334875655274
13,24 de Agosto,Bolhão,680.44,23822,23792,47615,281,258,539,200,212,412,0.21599037666091364,0.21968632561657608,0.217821511407913
14,Bolhão,Trindade,451.8,30357,31829,62187,280,264,544,205,216,421,0.2727043586767168,0.28781083970561666,0.280232820183747
15,Trindade,Lapa,857.4300000000001,35206,43488,78694,271,262,533,214,215,429,0.31544581642830405,0.3956645206031159,0.3552480835520939
16,Lapa,Carolina Michaelis,460.97,34802,42995,77797,282,262,544,214,218,432,0.30532821010487116,0.38855006422627514,0.34632267898689606
17,Carolina Michaelis,Casa da Música,627.48,33258,40611,73870,274,256,530,216,222,438,0.2949747825408346,0.36801782882518125,0.33110343215523064
18,Casa da Música,Francos,871.87,30922,32727,63649,280,272,552,218,209,427,0.26996100296844805,0.29594759390383657,0.28272574645659254
19,Francos,Ramalde,965.03,29359,29308,58668,277,279,556,218,205,423,0.25777498282487105,0.2637930816717142,0.2607466932883363
