,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,9591,13909,23501,2382,2350,4732,0,0,0,0.018642908231489244,0.02740150497836573,0.022992591738496798
1,Venda Nova,Carreira,583.47,17367,25269,42637,2386,2350,4736,0,0,0,0.03369875988192267,0.049782502470363685,0.04167950208691346
2,Carreira,Baguim,786.02,26623,34651,61275,2386,2350,4736,0,0,0,0.05165918095352932,0.06826602167246146,0.059899484097425126
3,Baguim,Campainha,751.7,33541,39330,72872,2386,2350,4736,0,0,0,0.06508214887538652,0.07748352721800972,0.07123570442968645
4,Campainha,Rio Tinto,859.99,45948,49864,95813,2386,2351,4737,0,0,0,0.08915476986621046,0.09819491867234036,0.09364144705498213
5,Rio Tinto,Levada,452.83,52716,58376,111092,2386,2351,4737,0,0,0,0.10228742207813422,0.11495556781148254,0.10857469474418908
6,Levada,Nau Vitória,1111.62,68135,72461,140597,2387,2351,4738,0,0,0,0.1321502045679699,0.1426925422226066,0.13738132230246777
7,Nau Vitória,Nasoni,499.02,71490,74463,145954,2387,2351,4738,0,0,0,0.13865800334257838,0.14663447686937575,0.14261593691402213
8,Nasoni,Contumil,650.0,73733,75859,149592,2387,2351,4738,0,0,0,0.14300663018036314,0.1493829496015657,0.14617056579860865
9,Contumil,Estádio do Dragão,619.19,87174,88620,175794,2387,2354,4741,0,0,0,0.1690757146062925,0.1742904832165278,0.1716649500647388
10,Estádio do Dragão,Campanhã,1166.02,159574,157306,316880,4054,3964,8018,2279,2280,4559,0.11074978290367297,0.11064945239867689,0.11069995398822269
11,Campanhã,Heroismo,950.92,321072,304093,625165,4711,4595,9306,3765,3730,7495,0.16454317579194647,0.1585835859237523,0.16158936434286322
