,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,370,551,921,167,167,334,0,0,0,0.010257263251275236,0.01528005710341751,0.012768660177346371
4,Venda Nova,Carreira,583.47,681,1059,1740,167,167,334,0,0,0,0.018891749638223456,0.029368585758140445,0.02413016769818195
5,Carreira,Baguim,786.02,931,1308,2240,167,167,334,0,0,0,0.025818732698077905,0.0362861938363081,0.031052463267193003
6,Baguim,Campainha,751.7,1200,1504,2704,167,163,330,0,0,0,0.03327504929355264,0.04272105316060355,0.03794080271879294
7,Campainha,Rio Tinto,859.99,1705,1825,3531,168,165,333,0,0,0,0.04701003317460914,0.051228678961398676,0.0491003531590544
8,Rio Tinto,Levada,452.83,2002,2107,4109,168,165,333,0,0,0,0.05517055322378886,0.05913108313329065,0.05713297795372218
9,Levada,Nau Vitória,1111.62,2569,2649,5219,168,165,333,0,0,0,0.07081487148034472,0.07435166330395693,0.07256733589744986
10,Nau Vitória,Nasoni,499.02,2745,2748,5494,168,165,333,0,0,0,0.07567116736629302,0.07712272114785308,0.07639040572652549
11,Nasoni,Contumil,650.0,2828,2828,5656,168,165,333,0,0,0,0.07794043507326372,0.07936460134385788,0.07864610304517974
12,Contumil,Estádio do Dragão,619.19,3395,3538,6933,168,165,333,0,0,0,0.09357348838525416,0.09927546215058032,0.09639879070140676
13,Estádio do Dragão,Campanhã,1166.02,6507,6547,13054,246,249,495,168,168,336,0.06864195556289994,0.06859376864849835,0.06861778004144477
14,Campanhã,Heroismo,950.92,13400,12703,26103,336,334,670,247,247,494,0.10012639740302288,0.09522579917934032,0.09768005937823822
15,Heroismo,24 de Agosto,571.9,14904,13854,28759,346,332,678,247,247,494,0.10959987057134174,0.10419432708510942,0.10692748692218447
16,24 de Agosto,Bolhão,680.44,20425,17029,37454,338,336,674,247,247,494,0.15212824346806433,0.12724397022507228,0.13970615564632843
17,Bolhão,Trindade,451.8,25955,23287,49243,338,330,668,245,247,492,0.19403270718063717,0.1757097586166958,0.1849136165516172
18,Trindade,Lapa,857.4300000000001,29126,32757,61883,340,332,672,242,243,485,0.2182460623885259,0.24820759883449114,0.2331433006039359
19,Lapa,Carolina Michaelis,460.97,28762,32355,61118,340,332,672,248,247,495,0.21314501211269096,0.24333535701891487,0.2281288492737393
20,Carolina Michaelis,Casa da Música,627.48,27578,30085,57663,340,332,672,250,249,499,0.20361812246695055,0.2254166514461167,0.2144372953750346
21,Casa da Música,Francos,871.87,25040,24250,49290,340,332,672,246,244,490,0.18624503320253982,0.18340498741157304,0.18483685306114966
22,Francos,Ramalde,965.03,22988,22357,45345,340,330,670,248,247,495,0.17035553855228647,0.16869014896191437,0.16953034012717225
23,Ramalde,Viso,621.15,22094,21419,43514,326,330,656,248,247,495,0.16748569478644446,0.16161173579278185,0.1645418741539609
24,Viso,Sete Bicas,743.81,20908,20351,41260,341,328,669,248,247,495,0.15469653056194566,0.15406030669852813,0.15438205604516483
25,Sete Bicas,Sra da Hora,674.5,17849,19236,37085,337,330,667,248,247,495,0.13291074877837467,0.1451391517920922,0.13898462155909838
26,Sra da Hora,Vasco da Gama,824.48,7356,6787,14144,165,163,328,0,0,0,0.20641816141093453,0.1927905463137044,0.1996459014693232
27,Vasco da Gama,Estádio do Mar,661.6,7186,6726,13913,165,163,328,0,0,0,0.20163194667605625,0.19106022790366006,0.196378318139774
28,Estádio do Mar,Pedro Hispano,786.97,7075,6719,13794,165,163,328,0,0,0,0.19851909207230126,0.19085054990942107,0.19470820069257727
29,Pedro Hispano,Parque de Real,656.68,6566,6025,12592,165,163,328,0,0,0,0.18423828445356177,0.17115364995531282,0.1777358593827856
30,Parque de Real,C. Matosinhos,723.67,6306,5768,12074,167,163,330,0,0,0,0.17482955352278776,0.1638370908506012,0.16939994317258653
31,C. Matosinhos,Matosinhos Sul,616.61,5021,4069,9091,161,153,314,0,0,0,0.1444021529372341,0.12313402122601393,0.1340390186957797
32,Matosinhos Sul,Brito Capelo,535.72,2250,2324,4575,165,163,328,0,0,0,0.0631366649798151,0.06603388824698095,0.06457644361563228
33,Brito Capelo,Mercado,487.53,1235,1119,2354,171,171,342,0,0,0,0.03344097850316181,0.030299100096897992,0.031870039300029906
34,Mercado,Sr. de Matosinhos,708.96,236,221,457,165,165,330,0,0,0,0.006642255522442413,0.0062008978675645345,0.006421576695003473
35,Sra da Hora,Fonte do Cuco,687.03,7043,8754,15797,84,84,168,168,168,336,0.11776733760560282,0.14637342295480413,0.1320703802802035
36,Fonte do Cuco,Custoias,689.2,6781,8581,15362,84,84,168,168,168,336,0.1133826418013279,0.14347910295938254,0.12843087238035525
37,Custoias,Esposade,1779.24,6586,8450,15037,84,84,168,166,170,336,0.1110467640080338,0.1401372769435601,0.12571264726833323
38,Esposade,Crestins,2035.56,6495,8405,14901,84,84,168,168,168,336,0.1086069130462269,0.14054331048029384,0.12457511176326036
39,Crestins,Verdes,591.8199999999999,6441,8369,14810,86,84,170,168,168,336,0.10693157067428555,0.13993576323231344,0.12337428316021228
40,Verdes,Pedras Rubras,960.78,4417,4388,8806,0,0,0,168,168,336,0.10603720199794875,0.10532983059509753,0.10568351629652314
41,Pedras Rubras,Lidador,1147.58,3865,3852,7717,0,0,0,168,168,336,0.09277108637960624,0.09247226153049096,0.09262167395504858
42,Lidador,Vilar do Pinheiro,1987.51,3714,3710,7424,0,0,0,168,168,336,0.08915878575248151,0.08904868727307054,0.08910373651277602
43,Vilar do Pinheiro,Modivas Sul,2037.38,3612,3657,7270,0,0,0,168,168,336,0.0867131638065884,0.08778856704090925,0.08725086542374882
44,Modivas Sul,Modivas Centro,1051.08,3597,3618,7216,0,0,0,168,168,336,0.08635682427074846,0.08685073498616977,0.08660377962845912
45,Modivas Centro,Modivas Norte,852.51,3538,3613,7152,0,0,0,168,168,336,0.08493253263848205,0.08672806679994821,0.08583029971921513
46,Modivas Norte,Mindelo,1834.12,2833,3393,6227,0,0,0,168,168,336,0.06799851141309417,0.08146070051189337,0.07472960596249377
47,Mindelo,Espaço Natureza,776.86,2716,3301,6018,0,0,0,166,168,334,0.06597625448615221,0.07925257902224754,0.07265416622885884
48,Espaço Natureza,Varziela,1539.0,2696,3279,5975,0,0,0,174,168,342,0.06248049913802651,0.0787150856867979,0.07045538375847561
49,Varziela,Árvore,858.71,2543,3176,5720,0,0,0,166,168,334,0.06177973614298182,0.07624971591848821,0.06905804932347606
50,Árvore,Azurara,664.57,2521,3168,5690,0,0,0,168,168,336,0.06052061056402461,0.07605865834699269,0.06828963445550865
51,Azurara,Santa Clara,1218.09,2503,3108,5611,0,0,0,168,168,336,0.06007968569861373,0.07461282882659702,0.06734625726260537
52,Santa Clara,Vila do Conde,670.57,2465,2963,5429,0,0,0,168,174,342,0.05918686713707384,0.06868092100490555,0.06401717524526893
53,Vila do Conde,Alto de Pega,730.41,1954,2210,4164,0,0,0,168,166,334,0.04690152366664778,0.05368951291918578,0.05027519497180139
54,Alto de Pega,Portas Fronhas,671.05,1887,2080,3967,0,0,0,168,166,334,0.04530127098886972,0.05053533419193952,0.04790263174249124
55,Portas Fronhas,São Brás,562.21,1549,1764,3314,0,0,0,168,168,336,0.03718528703846968,0.042357843261624374,0.039771565150047025
56,São Brás,Póvoa de Varzim,624.94,1516,1673,3190,0,0,0,168,168,336,0.03638734966355539,0.040178571428571425,0.03828296054606341
57,Sra da Hora,Fonte do Cuco,685.98,4071,4796,8868,54,83,137,98,79,177,0.11321102643799409,0.1278469102347897,0.12068351664123503
