,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,537,656,1193,165,157,322,0,0,0,0.015067340067340073,0.01937166267210597,0.017166031523701088
1,Venda Nova,Carreira,583.47,1039,1222,2262,165,157,322,0,0,0,0.029178680094152032,0.036051151331265956,0.03252954339920447
2,Carreira,Baguim,786.02,1493,1592,3085,163,157,320,0,0,0,0.04241442203302957,0.046964686777940245,0.044646895673501365
3,Baguim,Campainha,751.7,1864,1749,3614,163,157,320,0,0,0,0.05296914090282778,0.051601926410832284,0.052298351292692495
4,Campainha,Rio Tinto,859.99,2634,2150,4784,168,156,324,0,0,0,0.07260015751321562,0.06381816498400748,0.06837179073989319
5,Rio Tinto,Levada,452.83,3075,2570,5646,168,156,324,0,0,0,0.0847639112922703,0.07628054868616481,0.08067932929673803
6,Levada,Nau Vitória,1111.62,3764,3338,7103,168,156,324,0,0,0,0.1037476862723097,0.09907737389338941,0.10149901734912586
7,Nau Vitória,Nasoni,499.02,4014,3428,7442,168,156,324,0,0,0,0.11063298350603883,0.10173637630066343,0.10634943188863584
8,Nasoni,Contumil,650.0,4176,3480,7657,168,156,324,0,0,0,0.11510383325353288,0.10328180578846655,0.10941174595553797
9,Contumil,Estádio do Dragão,619.19,5141,4130,9271,168,156,324,0,0,0,0.14168666961832405,0.12257757079318189,0.13248599240621856
10,Estádio do Dragão,Campanhã,1166.02,9015,8012,17027,248,240,488,168,168,336,0.09466413344802553,0.08569205136504478,0.09021916501017035
11,Campanhã,Heroismo,950.92,17370,15187,32558,298,324,622,286,248,534,0.1283891057893058,0.11550551531788296,0.12203925893227373
12,Heroismo,24 de Agosto,571.9,18926,16763,35690,294,328,622,286,248,534,0.1407888604361617,0.12665833107059196,0.1337786805805786
13,24 de Agosto,Bolhão,680.44,24758,21323,46081,295,324,619,286,248,534,0.1838754100201391,0.1621684650910876,0.1731508076558174
14,Bolhão,Trindade,451.8,31047,29516,60564,297,322,619,286,248,534,0.22984697964658513,0.22522181675792619,0.22756936463946062
15,Trindade,Lapa,857.4300000000001,34602,41823,76425,326,328,654,265,254,519,0.2541734764210265,0.3124868842024576,0.28308221829981106
16,Lapa,Carolina Michaelis,460.97,33959,41448,75407,331,328,659,243,250,493,0.2577338221339685,0.3119977048967461,0.2849773230760016
17,Carolina Michaelis,Casa da Música,627.48,32042,39501,71544,329,327,656,243,248,491,0.243991020098512,0.2989489167605285,0.27155424176573106
18,Casa da Música,Francos,871.87,28113,32727,60841,329,327,656,249,240,489,0.21167439309218206,0.25145886506068194,0.2313651105773673
19,Francos,Ramalde,965.03,26003,29877,55880,331,327,658,245,245,490,0.19661149528574326,0.2273922279478503,0.21195142589754218
20,Ramalde,Viso,621.15,25095,28207,53303,333,323,656,245,245,490,0.18913506363608282,0.21610151311046993,0.20250764249524336
21,Viso,Sete Bicas,743.81,24133,26252,50386,331,320,651,247,245,492,0.18179519279034762,0.20212940207966545,0.1918511155358493
22,Sete Bicas,Sra da Hora,674.5,20202,24597,44800,329,328,657,248,245,493,0.15239033677369265,0.18690349260369257,0.16958420530253185
23,Sra da Hora,Vasco da Gama,824.48,8580,8258,16838,167,160,327,0,0,0,0.2378578416704938,0.2389689187891802,0.23840148796709876
24,Vasco da Gama,Estádio do Mar,661.6,8812,7757,16570,167,160,327,0,0,0,0.24431327240164652,0.22445924626062772,0.2345987641980899
25,Estádio do Mar,Pedro Hispano,786.97,8837,7668,16506,167,160,327,0,0,0,0.24499890692415272,0.22190304191693666,0.23369817786863417
26,Pedro Hispano,Parque de Real,656.68,8229,6954,15183,165,162,327,0,0,0,0.23090839497038965,0.19874182853412545,0.21497266480930463
27,Parque de Real,C. Matosinhos,723.67,8066,6536,14603,169,162,331,0,0,0,0.2209881329702628,0.18679257252998388,0.20425193722607796
28,C. Matosinhos,Matosinhos Sul,616.61,6268,4991,11259,169,157,326,0,0,0,0.1717100498499149,0.14717978559718542,0.15989639497973537
29,Matosinhos Sul,Brito Capelo,535.72,2671,2542,5213,164,162,326,0,0,0,0.07540164065336018,0.07264977445097487,0.0740341488595368
30,Brito Capelo,Mercado,487.53,1232,1436,2668,164,162,326,0,0,0,0.03479903070479306,0.04103795713770433,0.037899356110104795
31,Mercado,Sr. de Matosinhos,708.96,285,330,615,164,162,326,0,0,0,0.008070933217229775,0.009430727023319615,0.008746658973630249
33,Fonte do Cuco,Custoias,689.2,7210,9819,17030,83,86,169,168,168,336,0.12099432841333713,0.16301302939121307,0.14211728844827978
34,Custoias,Esposade,1779.24,7083,9651,16734,83,86,169,164,168,332,0.12087063828866705,0.16021611690455043,0.140814862723376
