,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,9373,13389,22762,2481,2435,4916,0,0,0,0.017490333945392397,0.02545677739384662,0.021436283863412335
1,Venda Nova,Carreira,583.47,17237,24657,41895,2481,2435,4916,0,0,0,0.0321659150156346,0.0468815544999071,0.03945488615969553
2,Carreira,Baguim,786.02,26317,33931,60249,2481,2435,4916,0,0,0,0.049109843553397516,0.06451390010423048,0.056739802402314986
3,Baguim,Campainha,751.7,33093,38664,71757,2481,2435,4916,0,0,0,0.06175433186938885,0.07351143134707766,0.0675778748368771
4,Campainha,Rio Tinto,859.99,45705,49369,95074,2480,2435,4915,0,0,0,0.08532195474908275,0.09386514013931647,0.08955443825370515
5,Rio Tinto,Levada,452.83,52614,58629,111244,2480,2435,4915,0,0,0,0.09822062054856927,0.11147099156854895,0.10478514820546662
6,Levada,Nau Vitória,1111.62,67553,72857,140411,2482,2437,4919,0,0,0,0.12600642377067345,0.13841012164163166,0.13215153694642567
7,Nau Vitória,Nasoni,499.02,70995,74974,145970,2481,2436,4917,0,0,0,0.13248002813447687,0.14249017664500682,0.13743929634103594
8,Nasoni,Contumil,650.0,73079,76268,149348,2483,2438,4921,0,0,0,0.1362587846138291,0.1448300393519465,0.14050522213700126
9,Contumil,Estádio do Dragão,619.19,86300,89720,176021,2483,2438,4921,0,0,0,0.1609101892217519,0.17037468344354675,0.16559916238020259
10,Estádio do Dragão,Campanhã,1166.02,155217,154948,310166,3918,3849,7767,2575,2533,5108,0.10453167729618648,0.10616050017377793,0.10533908543874335
11,Campanhã,Heroismo,950.92,317067,305859,622926,4889,4782,9671,4078,4004,8082,0.15336786029578084,0.1509741428710728,0.15218312551500263
12,Heroismo,24 de Agosto,571.9,343062,331816,674879,4887,4782,9669,4078,4004,8082,0.1659765734539416,0.16378697812130177,0.16489275147634747
13,24 de Agosto,Bolhão,680.44,445943,406860,852804,4887,4782,9669,4078,4004,8082,0.21575104204216225,0.20082918639756678,0.20836491235280022
14,Bolhão,Trindade,451.8,544253,510034,1054287,4887,4782,9669,4078,4004,8082,0.26331404487167454,0.2517563272851048,0.2575931209436681
15,Trindade,Lapa,857.4300000000001,644321,732747,1377068,5179,5126,10305,4086,4012,8098,0.30221569522456426,0.34856356042220205,0.3252265307091706
16,Lapa,Carolina Michaelis,460.97,636872,727844,1364716,5180,5126,10306,4087,4014,8101,0.29865660010303796,0.34614970749666124,0.32223624391191036
17,Carolina Michaelis,Casa da Música,627.48,602522,692182,1294705,5178,5127,10305,4087,4014,8101,0.282605955467463,0.32915546378869703,0.30572066892817745
18,Casa da Música,Francos,871.87,548798,578071,1126869,5178,5127,10305,4085,4012,8097,0.25746705681992194,0.27495687490512083,0.26615182046794755
19,Francos,Ramalde,965.03,506876,532534,1039411,5178,5128,10306,4085,4012,8097,0.23779951496023502,0.2532716122332403,0.24548275426212016
20,Ramalde,Viso,621.15,482750,509112,991863,5178,5128,10306,4085,4014,8099,0.22648106570705942,0.2420749707947253,0.2342257126453579
21,Viso,Sete Bicas,743.81,458871,479865,938736,5178,5130,10308,4085,4014,8099,0.21527813074994306,0.22812143138049693,0.22165736106625417
22,Sete Bicas,Sra da Hora,674.5,409707,435059,844767,5177,5128,10305,4085,4014,8099,0.19223269949723354,0.2068636976673575,0.19949949345485313
23,Sra da Hora,Vasco da Gama,824.48,141434,142655,284090,2795,2831,5626,0,0,0,0.2342722174349011,0.2332889191141042,0.23377742227916415
24,Vasco da Gama,Estádio do Mar,661.6,136995,136464,273460,2795,2831,5626,0,0,0,0.2269194739314339,0.2231650051594197,0.22503022738085227
25,Estádio do Mar,Pedro Hispano,786.97,133950,134882,268832,2795,2831,5626,0,0,0,0.22187484684434255,0.22057761401523335,0.22122208002258498
26,Pedro Hispano,Parque de Real,656.68,122850,124930,247781,2795,2833,5628,0,0,0,0.20348871344552016,0.20415943662244426,0.20382633938017297
27,Parque de Real,C. Matosinhos,723.67,115980,117914,233894,2794,2835,5629,0,0,0,0.1921782391633634,0.19255755843718436,0.19236928022594688
28,C. Matosinhos,Matosinhos Sul,616.61,86153,87603,173757,2790,2831,5621,0,0,0,0.14295995151463017,0.143261620230042,0.14311188606957254
29,Matosinhos Sul,Brito Capelo,535.72,39315,42254,81569,2792,2833,5625,0,0,0,0.06519217039392827,0.06905130308730943,0.06713580113532361
30,Brito Capelo,Mercado,487.53,20149,23380,43529,2817,2857,5674,0,0,0,0.033114436229135256,0.0378862952551428,0.03551718583035196
31,Mercado,Sr. de Matosinhos,708.96,4745,5397,10142,2789,2828,5617,0,0,0,0.007876970630084325,0.008835258525852588,0.008359441374117198
33,Fonte do Cuco,Custoias,689.2,144800,184936,329737,1374,1353,2727,2536,2501,5037,0.1564210284557515,0.20267129674214146,0.1793799018858844
34,Custoias,Esposade,1779.24,141228,182057,323285,1374,1350,2724,2536,2501,5037,0.15256152751240484,0.199657452358106,0.17593182555910966
35,Esposade,Crestins,2035.56,138999,180025,319025,1374,1350,2724,2536,2501,5037,0.15015457446048927,0.19742981129891088,0.17361385206809993
36,Crestins,Verdes,591.8199999999999,137227,177643,314870,1374,1350,2724,2536,2501,5037,0.1482400567237287,0.19481681997754652,0.1713527324564761
37,Verdes,Pedras Rubras,960.78,105635,114956,220592,0,0,0,2536,2501,5037,0.167961872916358,0.1853389570655404,0.17659004195687916
38,Pedras Rubras,Lidador,1147.58,93865,101283,195148,0,0,0,2538,2501,5039,0.1491287332843874,0.16329560135613677,0.15616015559981608
39,Lidador,Vilar do Pinheiro,1987.51,90111,97382,187493,0,0,0,2538,2501,5039,0.14316516485731098,0.15700522316827423,0.15003438212972992
40,Vilar do Pinheiro,Modivas Sul,2037.38,87475,94458,181934,0,0,0,2538,2501,5039,0.13897768461943696,0.15229185030344497,0.1455858863213032
41,Modivas Sul,Modivas Centro,1051.08,86767,93566,180333,0,0,0,2538,2501,5039,0.1378517283512882,0.150852787851457,0.14430452648780778
42,Modivas Centro,Modivas Norte,852.51,85948,92615,178563,0,0,0,2538,2501,5039,0.136550804265988,0.14932030830211562,0.14288867479473483
43,Modivas Norte,Mindelo,1834.12,76330,83788,160118,0,0,0,2538,2501,5039,0.12126974919609611,0.13508915858304535,0.1281287178162112
44,Mindelo,Espaço Natureza,776.86,72776,79654,152431,0,0,0,2537,2501,5038,0.11567023556809754,0.12842404937822105,0.12200157505581466
45,Espaço Natureza,Varziela,1539.0,72122,79049,151172,0,0,0,2537,2501,5038,0.11463082090453816,0.12744838266889455,0.12099380660772502
46,Varziela,Árvore,858.71,67657,73756,141413,0,0,0,2537,2501,5038,0.10753369514386737,0.1189140714245344,0.11318322294814451
47,Árvore,Azurara,664.57,67462,73414,140876,0,0,0,2537,2499,5036,0.10722341267045978,0.11845757465350341,0.11279810901589783
48,Azurara,Santa Clara,1218.09,66495,72401,138896,0,0,0,2537,2499,5036,0.10568640520940983,0.11682315202176512,0.11121276150092609
49,Santa Clara,Vila do Conde,670.57,64392,69956,134348,0,0,0,2537,2499,5036,0.10234383819748231,0.11287767050612872,0.10757101193443772
50,Vila do Conde,Alto de Pega,730.41,47317,51945,99262,0,0,0,2537,2499,5036,0.07520526252799928,0.08381626241069433,0.0794782745825773
51,Alto de Pega,Portas Fronhas,671.05,45007,49500,94508,0,0,0,2537,2499,5036,0.07153452567058062,0.07987156032517911,0.07567158873687164
52,Portas Fronhas,São Brás,562.21,35659,39489,75148,0,0,0,2537,2499,5036,0.056676457250471164,0.06371782594364771,0.060170575670695184
53,São Brás,Póvoa de Varzim,624.94,33856,37611,71467,0,0,0,2537,2499,5036,0.05381114904475778,0.06068717809704528,0.05722322144381784
55,Fonte do Cuco,Cândido dos Reis,913.51,116819,119630,236449,971,932,1903,1509,1474,2983,0.2000440029088324,0.21103829831359547,0.2054594504027547
56,Cândido dos Reis,Pias,916.73,112056,115193,227250,971,932,1903,1509,1474,2983,0.19188843319006968,0.20321209757350703,0.1974661175845363
57,Pias,Araújo,1258.13,108524,111638,220163,971,930,1901,1509,1474,2983,0.18583955475166572,0.19709146423902554,0.1913797508527994
58,Araújo,Custió,651.69,105875,107685,213560,971,930,1901,1509,1474,2983,0.18130330111520057,0.19011198114312816,0.18564050404077348
59,Custió,Parque de Maia,1418.51,101308,102467,203776,971,930,1901,1509,1474,2983,0.17348361721652392,0.1808998596618251,0.17713521408785288
60,Parque de Maia,Forum,824.81,88637,87960,176598,971,930,1901,1509,1474,2983,0.1517855137588257,0.15528914906943916,0.15351062776809327
61,Forum,Zona Industrial,1119.4,43574,43924,87498,971,928,1899,1509,1472,2981,0.07461785952043291,0.07767243113250642,0.0761206124930273
62,Zona Industrial,Mandim,1194.23,39719,39785,79504,971,928,1899,1509,1472,2981,0.06801654539659845,0.07035364697950795,0.06916632572490715
63,Mandim,Castêlo da Maia,1468.1,36474,36341,72816,971,928,1899,1509,1472,2981,0.062460413302661846,0.06426347886071515,0.06334746473613859
64,Castêlo da Maia,ISMAI,702.48,21837,20738,42576,971,928,1899,1509,1472,2981,0.037395364687111424,0.036673480647351736,0.03704022048871402
65,Santo Ovídio,D. João II,463.71,138090,113311,251402,5660,5700,11360,0,0,0,0.11295232953801856,0.09203368275909649,0.10245617754507351
66,D. João II,João de Deus,716.25,187882,169237,357119,5660,5700,11360,0,0,0,0.1536792501688448,0.13745740569803994,0.14553976834810645
67,João de Deus,C.M.Gaia,405.01,289785,270079,559865,5658,5700,11358,0,0,0,0.2371156424276752,0.2193628736577033,0.2282064346455974
68,C.M.Gaia,General Torres,488.39,335609,308352,643961,5656,5700,11356,0,0,0,0.2747078159848385,0.25044834666761007,0.26253108341102716
69,General Torres,Jardim do Morro,419.98,368420,341519,709939,5654,5700,11354,0,0,0,0.3016717072794841,0.2773872567416805,0.28948028856665337
70,Jardim do Morro,São Bento,795.7,381510,360346,741856,5654,5702,11356,0,0,0,0.3123899442931609,0.29257633919481607,0.3024412672703745
71,São Bento,Aliados,443.38,456417,449041,905459,5654,5703,11357,0,0,0,0.3737254877254521,0.3645268665652937,0.36910633332936305
72,Aliados,Trindade,450.27,485419,478569,963988,5654,5703,11357,0,0,0,0.3974730188237292,0.3884968093748483,0.39296555008313155
73,Trindade,Faria Guimaraes,555.34,397311,381690,779001,5698,5649,11347,0,0,0,0.3228158272700767,0.3128136221975602,0.31783632110504223
74,Faria Guimaraes,Marques,621.04,376392,364359,740752,5697,5649,11346,0,0,0,0.3058731805144402,0.29861005764647447,0.3022569826401992
75,Marques,Combatentes,702.75,302158,286623,588781,5697,5649,11346,0,0,0,0.24554688199056798,0.23490172415904867,0.2402468205953404
76,Combatentes,Salgueiros,471.25,261304,245777,507081,5697,5649,11346,0,0,0,0.2123473728047138,0.201426499068509,0.20691003667428715
77,Salgueiros,Polo Universitario,775.36,233836,219605,453441,5697,5651,11348,0,0,0,0.190025293953021,0.1799136885601807,0.18498998534578268
78,Polo Universitario,I.P.O.,827.64,181443,177855,359298,5693,5645,11338,0,0,0,0.147552765890373,0.1458641369328836,0.14671202585994192
79,I.P.O.,Hospital São João,351.77,83567,97559,181127,5691,5647,11338,0,0,0,0.06798177404896656,0.07998347205005607,0.07395933522484877
80,Verdes (E) ,Botica,683.54,33738,65493,99232,1374,1350,2724,0,0,0,0.11367959375790207,0.2246017164115016,0.1686520113725714
81,Botica,Aeroporto,649.66,30122,61329,91451,1378,1352,2730,0,0,0,0.10120329354833274,0.21000780736357663,0.15508743372350114
82,Sra da Hora,Fonte do Cuco,687.03,271241,307969,579212,2347,2288,4635,4045,3975,4045,0.18460091652707147,0.2089298049658192,0.19666589916064514
