,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,376,746,1122,163,161,324,0,0,0,0.01067939104748921,0.021462879396506453,0.016037852850550247
1,Venda Nova,Carreira,583.47,812,1421,2234,163,161,324,0,0,0,0.023082932745901313,0.04087775819614166,0.03192542317024914
2,Carreira,Baguim,786.02,1133,1867,3000,163,161,324,0,0,0,0.03219513361731211,0.05369807877798275,0.042880239082954005
3,Baguim,Campainha,751.7,1396,2057,3454,163,163,326,0,0,0,0.03966802472196451,0.05844639941100069,0.0490572120664826
4,Campainha,Rio Tinto,859.99,2047,2575,4622,162,166,328,0,0,0,0.05850327729590571,0.0718330855923846,0.06524946076302612
5,Rio Tinto,Levada,452.83,2304,3010,5314,162,162,324,0,0,0,0.06584690937385533,0.08604167615077654,0.07594429276231593
6,Levada,Nau Vitória,1111.62,2996,3852,6848,162,166,328,0,0,0,0.08563102801407282,0.10743325534228157,0.09666508208871506
7,Nau Vitória,Nasoni,499.02,3183,3976,7159,162,166,328,0,0,0,0.09096740161902493,0.11090781847502217,0.10105919795468207
8,Nasoni,Contumil,650.0,3311,4061,7372,162,166,328,0,0,0,0.09462319806840828,0.1132814871776705,0.10406611267858368
9,Contumil,Estádio do Dragão,619.19,4028,4885,8913,162,164,326,0,0,0,0.1151327210056418,0.13790256765041306,0.1265874904833795
10,Estádio do Dragão,Campanhã,1166.02,8182,9415,17598,240,248,488,167,168,335,0.08774306440954838,0.09886905329836142,0.09336437809455456
11,Campanhã,Heroismo,950.92,15643,18480,34123,325,289,614,239,279,518,0.12082267580892364,0.1404103371534302,0.13069693136842303
12,Heroismo,24 de Agosto,571.9,17232,19899,37132,318,287,605,239,279,518,0.13467269079257493,0.1516925772024868,0.1432885058560064
13,24 de Agosto,Bolhão,680.44,23470,24430,47901,324,279,603,239,279,518,0.18158119020783964,0.18871952218549323,0.18515311537752302
14,Bolhão,Trindade,451.8,30483,32043,62527,324,282,606,239,279,518,0.23584162981602633,0.24629075132932296,0.24108327272690674
15,Trindade,Lapa,857.4300000000001,35656,44227,79884,330,284,614,238,271,509,0.27364339239109375,0.3440435511452829,0.3086052291195008
16,Lapa,Carolina Michaelis,460.97,35212,43529,78741,332,284,616,232,279,511,0.2724407672907593,0.3334670244771616,0.3031051789099668
17,Carolina Michaelis,Casa da Música,627.48,33483,40986,74469,332,284,616,230,279,509,0.2600598065015412,0.313982609549259,0.28720671271639453
18,Casa da Música,Francos,871.87,31326,31922,63248,330,303,633,232,257,489,0.2431842278236148,0.24710853682945966,0.2451491810585414
19,Francos,Ramalde,965.03,29414,28526,57941,336,313,649,232,246,478,0.2260701944659073,0.2217976930451381,0.22394629584367218
20,Ramalde,Viso,621.15,28212,27214,55426,330,317,647,232,246,478,0.21901632090155046,0.2101799611637546,0.21458678324378647
21,Viso,Sete Bicas,743.81,26820,25547,52367,336,315,651,232,246,478,0.2061321073424902,0.19796879804005002,0.2020672102176974
22,Sete Bicas,Sra da Hora,674.5,23327,23240,46567,338,317,655,232,246,478,0.17869268914577927,0.17949082345943915,0.17909012334774785
23,Sra da Hora,Vasco da Gama,824.48,8759,9363,18123,165,161,326,0,0,0,0.24577269233583265,0.26926543843461154,0.2573749381085425
24,Vasco da Gama,Estádio do Mar,661.6,8665,9096,17761,165,161,326,0,0,0,0.24312937690648292,0.2615610751169946,0.25223214810860684
25,Estádio do Mar,Pedro Hispano,786.97,8492,9000,17492,165,161,326,0,0,0,0.2382757240957801,0.2588081316456717,0.24841596218023573
26,Pedro Hispano,Parque de Real,656.68,7861,8321,16183,167,161,328,0,0,0,0.21793737064776403,0.23929491145895346,0.22842079769228077
27,Parque de Real,C. Matosinhos,723.67,7550,7988,15538,171,161,332,0,0,0,0.20440973623556913,0.22970944886024017,0.2166785727794608
28,C. Matosinhos,Matosinhos Sul,616.61,5640,6094,11734,160,152,312,0,0,0,0.16321186014539052,0.1856171339595448,0.17412724995228618
29,Matosinhos Sul,Brito Capelo,535.72,3208,3393,6601,163,162,325,0,0,0,0.09112159026872015,0.09697527332187385,0.09403942612906138
30,Brito Capelo,Mercado,487.53,1973,2064,4037,165,164,329,0,0,0,0.05537352386875073,0.05826776695238045,0.056816246864845786
31,Mercado,Sr. de Matosinhos,708.96,1073,797,1870,163,162,325,0,0,0,0.03048646120795309,0.022776634659350713,0.026643409205265138
33,Fonte do Cuco,Custoias,689.2,8321,9263,17584,82,80,162,169,168,337,0.13956333275864613,0.15715125480147316,0.14830685948501748
34,Custoias,Esposade,1779.24,8099,9092,17191,82,80,162,171,170,341,0.13472288665461013,0.152966225808059,0.1437926765448828
35,Esposade,Crestins,2035.56,7973,9012,16986,76,80,156,169,168,337,0.1367029708425605,0.15290220975596436,0.1448451355409683
36,Crestins,Verdes,591.8199999999999,7917,8949,16866,78,80,158,169,166,335,0.13473609516285923,0.15312134698005764,0.14390425090488718
37,Verdes,Pedras Rubras,960.78,5730,4573,10304,0,0,0,169,166,335,0.1367317939612369,0.11110414095194146,0.12403271814170545
38,Pedras Rubras,Lidador,1147.58,5085,3995,9080,0,0,0,171,168,339,0.11991405815218649,0.09590224327022073,0.10801439767970787
39,Lidador,Vilar do Pinheiro,1987.51,4899,3820,8720,0,0,0,171,168,339,0.11552617214465669,0.09170536220031457,0.10372116898639866
40,Vilar do Pinheiro,Modivas Sul,2037.38,4725,3703,8429,0,0,0,167,166,333,0.11410565438744469,0.08995643553544093,0.10206730504980918
41,Modivas Sul,Modivas Centro,1051.08,4640,3691,8332,0,0,0,169,168,337,0.11072181130439351,0.08860387492266891,0.09969565904288094
42,Modivas Centro,Modivas Norte,852.51,4588,3662,8250,0,0,0,170,168,338,0.10882868275433084,0.0878998767141581,0.09842619927874202
43,Modivas Norte,Mindelo,1834.12,4061,3336,7397,0,0,0,170,170,340,0.09633382060790194,0.0791352043072758,0.08773451245758887
44,Mindelo,Espaço Natureza,776.86,3913,3319,7232,0,0,0,168,168,336,0.09393106582798817,0.07966456722127643,0.0867978165246323
45,Espaço Natureza,Varziela,1539.0,3909,3297,7207,0,0,0,166,168,334,0.09497299914455921,0.07914949569478379,0.08701387166083985
46,Varziela,Árvore,858.71,3685,3145,6830,0,0,0,166,168,334,0.08952046544241676,0.07548689833580043,0.0824616652211247
47,Árvore,Azurara,664.57,3655,3119,6775,0,0,0,166,168,334,0.08879438378149387,0.0748768413593021,0.08179394328170879
48,Azurara,Santa Clara,1218.09,3594,3085,6680,0,0,0,168,168,336,0.08627959009521005,0.07406798906987655,0.0801737895825433
49,Santa Clara,Vila do Conde,670.57,3496,2978,6475,0,0,0,174,162,336,0.08102845676544705,0.07414523375719168,0.07770975995789535
50,Vila do Conde,Alto de Pega,730.41,2603,2224,4828,0,0,0,175,168,343,0.05999468258770568,0.05340117003666763,0.05676520705250337
51,Alto de Pega,Portas Fronhas,671.05,2488,2081,4570,0,0,0,169,168,337,0.05937552370187455,0.049965662966970845,0.05468455455213027
52,Portas Fronhas,São Brás,562.21,2000,1791,3792,0,0,0,169,168,337,0.04773847338422352,0.0430016933791206,0.04537711124518111
53,São Brás,Póvoa de Varzim,624.94,1878,1733,3611,0,0,0,169,168,337,0.04481589933176577,0.04159466205837175,0.04321005997885718
55,Fonte do Cuco,Cândido dos Reis,913.51,5593,5006,10599,87,72,159,66,77,143,0.15908023929757578,0.14449325130373628,0.1518402387244244
56,Cândido dos Reis,Pias,916.73,5249,4753,10002,87,72,159,66,77,143,0.14929111378499124,0.13720254370383617,0.1432911599663478
57,Pias,Araújo,1258.13,5020,4541,9561,87,72,159,66,80,146,0.14277745280705623,0.12830990073061754,0.1355198895474843
58,Araújo,Custió,651.69,4850,4346,9197,87,51,138,66,105,171,0.13796883324276815,0.11729622113917011,0.12736115192407244
59,Custió,Parque de Maia,1418.51,4603,4080,8684,87,43,130,66,107,173,0.13093738474367897,0.11390471922682441,0.12234138832933494
60,Parque de Maia,Forum,824.81,4083,3512,7595,87,43,130,66,107,173,0.11614519419651334,0.09804118951218557,0.10700851742694052
61,Forum,Zona Industrial,1119.4,1943,1857,3801,87,43,130,66,107,173,0.055286927211960685,0.05184015984430846,0.05354742261685794
62,Zona Industrial,Mandim,1194.23,1867,1641,3508,87,43,130,70,107,177,0.05165246159392801,0.04581667660543032,0.048747866153393084
63,Mandim,Castêlo da Maia,1468.1,1785,1543,3329,84,43,127,71,107,178,0.04995507288581104,0.04307495041990698,0.04651155121348306
64,Castêlo da Maia,ISMAI,702.48,1021,939,1961,84,49,133,71,98,169,0.028580468285670266,0.026943361614308638,0.02777192670086754
65,Santo Ovídio,D. João II,463.71,6718,7163,13882,412,378,790,0,0,0,0.07550116864437252,0.08774019276233787,0.08135730929828505
