,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,1901,630,2531,161,156,317,0,0,0,0.05466413618587533,0.018702739825788618,0.03696704523264654
4,Venda Nova,Carreira,583.47,3809,1136,4945,161,156,317,0,0,0,0.1095356747832412,0.03371949106916319,0.07222550235612395
5,Carreira,Baguim,786.02,6333,1405,7738,161,154,315,0,0,0,0.18211612477744624,0.04225158652415956,0.11373790607583943
6,Baguim,Campainha,751.7,8024,1483,9507,161,142,303,0,0,0,0.23074918147139367,0.04835304968362212,0.1452698061781146
7,Campainha,Rio Tinto,859.99,11049,1944,12994,161,154,315,0,0,0,0.3177427468079166,0.058467945702608895,0.19098617737865503
8,Rio Tinto,Levada,452.83,12295,2470,14766,161,156,317,0,0,0,0.3535731254366611,0.07332724184588998,0.21566032467905763
9,Levada,Nau Vitória,1111.62,15083,2931,18014,161,154,315,0,0,0,0.43373473247894234,0.08811605590596708,0.26476560170993224
10,Nau Vitória,Nasoni,499.02,15500,3062,18562,161,154,315,0,0,0,0.44572614600171595,0.09205744319129623,0.2728214468499552
11,Nasoni,Contumil,650.0,15793,3135,18929,161,154,315,0,0,0,0.45414847966154187,0.0942698051073129,0.27820779432391884
12,Contumil,Estádio do Dragão,619.19,18321,3996,22318,161,154,315,0,0,0,0.5268535159518205,0.12013908347330846,0.3280153489623257
13,Estádio do Dragão,Campanhã,1166.02,28924,9341,38266,241,233,474,168,168,336,0.308628670066864,0.10155007533268069,0.2060527778962612
14,Campanhã,Heroismo,950.92,69416,19605,89021,327,273,600,245,284,529,0.528313730863214,0.1515075532382838,0.3413497159215517
15,Heroismo,24 de Agosto,571.9,71571,22848,94420,322,253,575,245,286,531,0.5492349162340359,0.18195126776720963,0.36899195275051894
16,24 de Agosto,Bolhão,680.44,81725,32899,114624,330,261,591,245,286,531,0.6189422212530626,0.2584337539574692,0.44197969302569584
17,Bolhão,Trindade,451.8,80553,47957,128511,330,274,604,245,286,531,0.6100691670848319,0.36858676172023486,0.49021595701281856
18,Trindade,Lapa,857.4300000000001,81887,77234,159121,339,277,616,236,282,518,0.6215301365081034,0.59516990117232,0.6084500087203474
19,Lapa,Carolina Michaelis,460.97,79452,78132,157584,345,277,622,226,286,512,0.6085138071719294,0.5975231414637268,0.6030144368480277
20,Carolina Michaelis,Casa da Música,627.48,68774,79452,148226,345,277,622,233,286,519,0.5198227630334409,0.6076185879291668,0.5634630257199549
21,Casa da Música,Francos,871.87,51387,79630,131018,346,295,641,229,256,485,0.39069457520791,0.6259886918087748,0.5063773328626732
22,Francos,Ramalde,965.03,42984,77334,120318,336,308,644,229,249,478,0.3322635486183712,0.6028586874213544,0.4669897813298484
23,Ramalde,Viso,621.15,40462,71628,112091,336,309,645,229,249,478,0.3127722729337996,0.5574402112058915,0.43469255415262315
24,Viso,Sete Bicas,743.81,36640,68484,105124,344,302,646,229,249,478,0.2794925631103573,0.5393132114195334,0.4073330203518809
25,Sete Bicas,Sra da Hora,674.5,31206,65359,96565,342,314,656,229,249,478,0.23883046094513816,0.504408474150565,0.37106430908188265
26,Sra da Hora,Vasco da Gama,824.48,15815,13413,29229,164,159,323,0,0,0,0.44646712297621977,0.3905607236825635,0.418946635398228
27,Vasco da Gama,Estádio do Mar,661.6,16750,10835,27586,164,159,323,0,0,0,0.47285914962834286,0.3155036843088463,0.395399338526795
28,Estádio do Mar,Pedro Hispano,786.97,16364,10496,26861,166,159,325,0,0,0,0.4564075474786667,0.3056314878956314,0.382643259867274
29,Pedro Hispano,Parque de Real,656.68,15389,9120,24509,166,159,325,0,0,0,0.4291949628921738,0.2655596470245801,0.3491395314369511
30,Parque de Real,C. Matosinhos,723.67,14465,7981,22446,160,159,319,0,0,0,0.4185639758157706,0.23238775041959456,0.32576767538319384
31,C. Matosinhos,Matosinhos Sul,616.61,9617,5440,15057,159,162,321,0,0,0,0.28003159662350274,0.1554674868705783,0.21716746646782123
32,Matosinhos Sul,Brito Capelo,535.72,4154,3134,7288,163,163,326,0,0,0,0.11799446725354515,0.08902903596394024,0.1035117516087427
33,Brito Capelo,Mercado,487.53,1876,2019,3895,167,167,334,0,0,0,0.052014852760977386,0.05598722646592483,0.0540010396134511
34,Mercado,Sr. de Matosinhos,708.96,418,547,965,163,163,326,0,0,0,0.01189818212749728,0.015536241763235632,0.013717211945366455
35,Sra da Hora,Fonte do Cuco,687.03,10984,26094,37078,83,82,165,167,168,335,0.1851005206814924,0.4394738964500535,0.31232149069188736
36,Fonte do Cuco,Custoias,689.2,9971,24399,34371,83,82,165,167,168,335,0.16803609447606346,0.41092871397311853,0.28951513907897064
