,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,9878,14269,24148,2407,2374,4781,0,0,0,0.019001292526427547,0.027826761500416044,0.0233835689004599
1,Venda Nova,Carreira,583.47,18262,26318,44581,2408,2374,4782,0,0,0,0.03511173002641203,0.05132545306172559,0.043160951792584
2,Carreira,Baguim,786.02,27566,36044,63610,2408,2374,4782,0,0,0,0.05300032662826022,0.07029088472720028,0.06158413777984611
3,Baguim,Campainha,751.7,34221,40778,74999,2408,2374,4782,0,0,0,0.06579384241389477,0.07952293619421053,0.07260958240437355
4,Campainha,Rio Tinto,859.99,46818,51657,98476,2408,2375,4783,0,0,0,0.09001358436618141,0.10069693719946868,0.09531840623092265
5,Rio Tinto,Levada,452.83,52432,60355,112787,2408,2375,4783,0,0,0,0.10080656052963738,0.11765184566854711,0.10917109161993857
6,Levada,Nau Vitória,1111.62,67548,75123,142672,2408,2375,4783,0,0,0,0.1298698780519906,0.14643919984544831,0.13809737946521705
7,Nau Vitória,Nasoni,499.02,71054,77134,148188,2406,2375,4781,0,0,0,0.13672274670282394,0.15035913926575628,0.1434967338053055
8,Nasoni,Contumil,650.0,73250,78478,151728,2406,2375,4781,0,0,0,0.1409479039913549,0.15298025691649353,0.1469250715707743
9,Contumil,Estádio do Dragão,619.19,86955,93285,180240,2406,2375,4781,0,0,0,0.16732065135833168,0.1818421145913754,0.17453430439712667
10,Estádio do Dragão,Campanhã,1166.02,164706,165923,330630,4030,4002,8032,2575,2525,5100,0.10914382120967889,0.1113108193106072,0.11022065682362547
11,Campanhã,Heroismo,950.92,343447,334400,677847,5018,4946,9964,3953,3885,7838,0.1663801464869201,0.16458215453393232,0.1654882651373969
12,Heroismo,24 de Agosto,571.9,370749,361436,732185,5018,4946,9964,3954,3887,7841,0.17958475357949197,0.17784490017297336,0.17872165753841673
13,24 de Agosto,Bolhão,680.44,484614,442288,926903,5018,4946,9964,3954,3889,7843,0.2347393769051297,0.21757517033330595,0.22622361320171028
14,Bolhão,Trindade,451.8,586052,552789,1138841,5018,4947,9965,3954,3889,7843,0.2838742723186506,0.2719048678066406,0.27793551383577303
15,Trindade,Lapa,857.4300000000001,698387,795465,1493853,5269,5221,10490,3954,3888,7842,0.3296306628051331,0.3802491289847718,0.3547791922763502
16,Lapa,Carolina Michaelis,460.97,689400,788448,1477849,5269,5223,10492,3954,3888,7842,0.32538919627431545,0.37681679374278143,0.3509423771915127
17,Carolina Michaelis,Casa da Música,627.48,650986,747653,1398639,5265,5228,10493,3954,3888,7842,0.30738327608396315,0.35713545323738927,0.33211547062744357
18,Casa da Música,Francos,871.87,590359,618429,1208789,5264,5226,10490,3950,3884,7834,0.2789157963852162,0.29560960589515045,0.2872139604611145
19,Francos,Ramalde,965.03,545778,569414,1115192,5262,5226,10488,3948,3884,7832,0.257966535572325,0.2721801881888508,0.2650334207081834
20,Ramalde,Viso,621.15,518761,543434,1062196,5262,5229,10491,3948,3884,7832,0.24519673246535942,0.2596817163130389,0.25239964221286
21,Viso,Sete Bicas,743.81,493732,512398,1006130,5262,5229,10491,3948,3884,7832,0.2333664563622287,0.24485082602769243,0.23907725860247564
22,Sete Bicas,Sra da Hora,674.5,442869,466839,909708,5262,5231,10493,3946,3882,7828,0.20937468968982018,0.22308726641489082,0.21619420550160592
23,Sra da Hora,Vasco da Gama,824.48,158789,158781,317570,2909,2952,5861,0,0,0,0.2527108075523538,0.24901736848271358,0.25085053931594736
