,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,38,283,321,42,69,111,0,0,0,0.004188712522045856,0.019040809787643578,0.013421097308768764
4,Venda Nova,Carreira,583.47,82,550,633,42,66,108,0,0,0,0.009147858696934436,0.038585890427324715,0.02713776697661739
5,Carreira,Baguim,786.02,116,831,948,42,62,104,0,0,0,0.012854904574008268,0.06212049211275743,0.042224774068262576
6,Baguim,Campainha,751.7,141,973,1115,60,60,120,0,0,0,0.010905427919830844,0.07514953677093682,0.04302748234538383
7,Campainha,Rio Tinto,859.99,227,1244,1471,60,60,120,0,0,0,0.017518407978474395,0.09604998806133731,0.056784198019905856
8,Rio Tinto,Levada,452.83,258,1451,1709,60,60,120,0,0,0,0.01995933525048737,0.11197531209381921,0.06596732367215329
9,Levada,Nau Vitória,1111.62,491,1630,2122,60,60,120,0,0,0,0.037946725443530234,0.12581398597371535,0.08188035570862279
10,Nau Vitória,Nasoni,499.02,510,1669,2180,60,60,120,0,0,0,0.03940273006234463,0.1288303314539114,0.08411653075812803
11,Nasoni,Contumil,650.0,545,1710,2255,60,50,110,0,0,0,0.0420905083395869,0.15836042266417197,0.09494046939621646
12,Contumil,Estádio do Dragão,619.19,662,2010,2672,60,44,104,0,0,0,0.05113010684820572,0.21150468717608564,0.11898089083307799
13,Estádio do Dragão,Campanhã,1166.02,1806,3261,5067,91,117,208,48,86,134,0.05723424927414136,0.06998327336660255,0.0648353818574153
14,Campanhã,Heroismo,950.92,4277,5765,10042,107,111,218,91,158,249,0.09363456481051341,0.09127762121345448,0.0922668272361819
15,Heroismo,24 de Agosto,571.9,4644,6289,10934,111,111,222,75,154,229,0.10909758243550048,0.10117461644704928,0.10439511785929531
16,24 de Agosto,Bolhão,680.44,6414,7653,14068,111,111,222,90,135,225,0.13856320523648077,0.13320220320995932,0.1355943782988235
17,Bolhão,Trindade,451.8,8950,8671,17621,112,122,234,90,126,216,0.19242914028031843,0.15054928064521989,0.16925909345592088
18,Trindade,Lapa,857.4300000000001,11354,11905,23259,141,153,294,90,109,199,0.2151407277802284,0.19816233556308865,0.20610211393244224
19,Lapa,Carolina Michaelis,460.97,11094,11752,22847,132,153,285,90,107,197,0.21826743305559007,0.19724069680081918,0.2069207346332213
20,Carolina Michaelis,Casa da Música,627.48,10547,10865,21412,132,160,292,90,105,195,0.20748910327397824,0.17930104123986942,0.1921596058291958
21,Casa da Música,Francos,871.87,9781,8053,17835,132,153,285,93,105,198,0.1896583764895333,0.1362997518450422,0.1611680416652572
22,Francos,Ramalde,965.03,8950,7333,16283,114,137,251,111,105,216,0.1716159064243512,0.13181663884759773,0.15107377722307874
23,Ramalde,Viso,621.15,8444,7262,15707,120,132,252,111,105,216,0.15799256707123221,0.13313661792963047,0.1454375509825965
24,Viso,Sete Bicas,743.81,8028,7042,15071,132,132,264,108,93,201,0.14519885441340438,0.13654952156442826,0.14102472095451157
