,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,104,93,198,42,42,84,0,0,0,0.01157407407407407,0.010332043518468833,0.01095305879627145
1,Venda Nova,Carreira,583.47,150,186,336,42,42,84,0,0,0,0.01658029745191437,0.02055966898632079,0.01856998321911758
2,Carreira,Baguim,786.02,220,275,495,42,42,84,0,0,0,0.024277065047615197,0.03031922044193158,0.027298142744773386
3,Baguim,Campainha,751.7,232,299,532,42,42,84,0,0,0,0.025580637873219174,0.03306635190301307,0.02932349488811612
4,Campainha,Rio Tinto,859.99,263,388,651,42,42,84,0,0,0,0.029044596970960533,0.04280609953920936,0.03592534825508495
5,Rio Tinto,Levada,452.83,283,475,759,42,42,84,0,0,0,0.03130231967141487,0.052376931994739064,0.04183962583307697
6,Levada,Nau Vitória,1111.62,539,549,1089,42,42,84,0,0,0,0.05950989612968388,0.06058237721182542,0.060046136670754646
7,Nau Vitória,Nasoni,499.02,564,581,1145,42,42,84,0,0,0,0.06223375211566737,0.064047372813269,0.06314056246446818
8,Nasoni,Contumil,650.0,584,594,1179,42,42,84,0,0,0,0.0644823256570516,0.06548111040797396,0.06498171803251278
9,Contumil,Estádio do Dragão,619.19,597,697,1295,42,42,84,0,0,0,0.06585419448423838,0.07692892355837301,0.07139155902130569
10,Estádio do Dragão,Campanhã,1166.02,1130,1172,2302,42,63,105,42,63,105,0.05799650025857441,0.040107097353911596,0.047262858515776725
11,Campanhã,Heroismo,950.92,2282,2074,4356,60,63,123,76,126,202,0.07177214100595955,0.04623723766679098,0.05683170450144966
12,Heroismo,24 de Agosto,571.9,2426,2267,4694,60,63,123,90,126,216,0.06878478635777045,0.05054997070323386,0.05857787696623738
13,24 de Agosto,Bolhão,680.44,3035,2992,6028,54,63,117,88,126,214,0.09065171753217749,0.06671443750220468,0.07694638421980564
14,Bolhão,Trindade,451.8,3458,3548,7006,42,63,105,84,126,210,0.11564850874093816,0.07910283121795272,0.0937211022271469
15,Trindade,Lapa,857.4300000000001,4933,4577,9511,148,192,340,84,126,210,0.09344418813684094,0.06295047467328863,0.07577765815700088
16,Lapa,Carolina Michaelis,460.97,4774,4678,9452,168,190,358,84,126,210,0.08358111116905932,0.06472138064954856,0.07304596496639493
17,Carolina Michaelis,Casa da Música,627.48,4523,4663,9186,168,175,343,84,126,210,0.07919620267645902,0.06753608570207971,0.07281496688888259
18,Casa da Música,Francos,871.87,4080,4077,8158,169,168,337,84,126,210,0.07116596689377779,0.06038112363179198,0.0653330726137032
19,Francos,Ramalde,965.03,3828,3759,7587,189,168,357,84,126,210,0.062090395863794466,0.05566259402018451,0.05873021856713491
20,Ramalde,Viso,621.15,3497,3765,7262,189,168,357,84,126,210,0.05671901350162168,0.05576064754660631,0.05621802115582691
21,Viso,Sete Bicas,743.81,3277,3675,6953,189,168,357,84,126,210,0.0531605370470749,0.05442688528004504,0.05382252923128036
22,Sete Bicas,Sra da Hora,674.5,3374,2152,5526,189,168,357,84,110,194,0.054734439260058027,0.03385636360422896,0.0441360115362212
23,Sra da Hora,Vasco da Gama,824.48,913,419,1333,126,126,252,0,0,0,0.03357854141555182,0.015406284602700089,0.024492413009125958
24,Vasco da Gama,Estádio do Mar,661.6,785,434,1220,126,126,252,0,0,0,0.028878859167919643,0.015977593981334484,0.022428226574627064
25,Estádio do Mar,Pedro Hispano,786.97,763,442,1206,126,105,231,0,0,0,0.02805372144299893,0.01951390515990316,0.02417198676886449
26,Pedro Hispano,Parque de Real,656.68,655,453,1108,131,105,236,0,0,0,0.02316233887327382,0.019993291222658388,0.021752381232110173
27,Parque de Real,C. Matosinhos,723.67,567,465,1033,147,105,252,0,0,0,0.017886120052775862,0.020532176980863452,0.01898864377281236
28,C. Matosinhos,Matosinhos Sul,616.61,388,381,769,147,105,252,0,0,0,0.01222171863435509,0.016822500961336473,0.014138711270597334
29,Matosinhos Sul,Brito Capelo,535.72,191,191,382,147,105,252,0,0,0,0.00603173494868905,0.00842462061512434,0.007028770643037086
30,Brito Capelo,Mercado,487.53,89,103,192,147,105,252,0,0,0,0.0028051937862892157,0.004570521575060189,0.0035407470316104546
31,Mercado,Sr. de Matosinhos,708.96,16,10,26,145,128,273,0,0,0,0.0005129334875376744,0.0003616898148148148,0.0004420207032573593
33,Fonte do Cuco,Custoias,689.2,1279,1224,2504,63,42,105,45,45,90,0.05167279533500429,0.06054435900673303,0.05566145036181353
34,Custoias,Esposade,1779.24,1260,1228,2489,63,42,105,63,42,105,0.04312810691357444,0.06304825131346352,0.051096164673530065
35,Esposade,Crestins,2035.56,1218,1187,2406,63,42,105,63,42,105,0.04169842740499305,0.06094623252871322,0.04939754945448112
36,Crestins,Verdes,591.8199999999999,1164,1166,2330,63,42,105,63,42,105,0.03982036740072494,0.059866449028687124,0.04783880005190982
37,Verdes,Pedras Rubras,960.78,865,544,1409,0,0,0,63,42,105,0.05537936053258762,0.052245459831483314,0.0541258002521459
38,Pedras Rubras,Lidador,1147.58,767,549,1316,0,0,0,63,42,105,0.04910208487991207,0.05271024294668016,0.05054534810661931
39,Lidador,Vilar do Pinheiro,1987.51,742,523,1265,0,0,0,63,42,105,0.04750082753303713,0.05024516719270169,0.04859856339690295
40,Vilar do Pinheiro,Modivas Sul,2037.38,725,518,1243,0,0,0,63,42,105,0.04643546396986568,0.049765392094203637,0.04776743521960087
41,Modivas Sul,Modivas Centro,1051.08,719,519,1239,0,0,0,63,42,105,0.04607913637199213,0.04986151513773116,0.04759208787828774
