,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,10004,13987,23991,2136,2101,4237,0,0,0,0.021682965737272863,0.030821441052261832,0.026214458925092506
1,Venda Nova,Carreira,583.47,18437,25816,44254,2139,2101,4240,0,0,0,0.039906726639364946,0.05688721373697713,0.04832087838278079
2,Carreira,Baguim,786.02,28404,36042,64446,2139,2101,4240,0,0,0,0.061478014045114104,0.07942042230948444,0.0703688158761146
3,Baguim,Campainha,751.7,35468,41028,76496,2141,2102,4243,0,0,0,0.07669487351513318,0.09036572983970072,0.08346747308954773
4,Campainha,Rio Tinto,859.99,49742,52936,102679,2141,2102,4243,0,0,0,0.10756170599855795,0.11659247317296483,0.11203558594213638
5,Rio Tinto,Levada,452.83,57330,62077,119408,2141,2102,4243,0,0,0,0.12396896673644694,0.1367258450177256,0.13028877775394582
6,Levada,Nau Vitória,1111.62,72015,76419,148434,2143,2103,4246,0,0,0,0.15557775217941708,0.16823264858524387,0.16184559182648578
7,Nau Vitória,Nasoni,499.02,75467,78514,153982,2143,2103,4246,0,0,0,0.16303594532047136,0.17284563586796425,0.16789458385588765
8,Nasoni,Contumil,650.0,77912,80129,158041,2143,2103,4246,0,0,0,0.168318576538719,0.17639930121689337,0.17232087611436683
9,Contumil,Estádio do Dragão,619.19,91727,94647,186374,2141,2101,4242,0,0,0,0.1983476809021253,0.20855898258062427,0.20340518793336676
10,Estádio do Dragão,Campanhã,1166.02,166613,167165,333778,3856,3756,7612,2122,2182,4304,0.12258633226528384,0.12360354889879338,0.12309368012029795
11,Campanhã,Heroismo,950.92,331738,320696,652434,4661,4578,9239,3714,3708,7422,0.1720769226317588,0.168041779539926,0.17006956232410853
12,Heroismo,24 de Agosto,571.9,356931,345780,702711,4661,4580,9241,3719,3708,7427,0.18502621968460045,0.18114445896178094,0.18309556674772054
13,24 de Agosto,Bolhão,680.44,462418,419031,881449,4659,4578,9237,3719,3708,7427,0.23976184098933517,0.2195682863726923,0.22971828039751424
14,Bolhão,Trindade,451.8,551036,519198,1070235,4657,4578,9235,3719,3708,7427,0.2857741413136988,0.2720551609790905,0.27895003691707393
15,Trindade,Lapa,857.4300000000001,635090,723925,1359016,4951,4916,9867,3720,3708,7428,0.31882440365404296,0.36535325170614613,0.3420271392056085
16,Lapa,Carolina Michaelis,460.97,625063,716355,1341419,4957,4922,9879,3724,3712,7436,0.3134308795102577,0.36111573194638685,0.33721015733520493
17,Carolina Michaelis,Casa da Música,627.48,587061,676846,1263907,4962,4928,9890,3735,3723,7458,0.29381376788973657,0.34050865184092827,0.3171007592279766
18,Casa da Música,Francos,871.87,530330,557303,1087634,4950,4916,9866,3720,3708,7428,0.2662622571723833,0.28126209373747946,0.273742695147704
19,Francos,Ramalde,965.03,488858,513272,1002131,4950,4916,9866,3720,3710,7430,0.24544037331154087,0.2589754089221658,0.2521911600697578
20,Ramalde,Viso,621.15,464252,489472,953725,4950,4916,9866,3720,3710,7430,0.2330867196078199,0.24696686187854297,0.2400096330998102
21,Viso,Sete Bicas,743.81,442045,461289,903335,4950,4918,9868,3720,3710,7430,0.22193728211789288,0.23269626018480927,0.2273040578816722
22,Sete Bicas,Sra da Hora,674.5,395369,418738,814108,4950,4917,9867,3720,3710,7430,0.1985027508546528,0.21125460126117473,0.20486326054560428
23,Sra da Hora,Vasco da Gama,824.48,127955,131145,259101,2629,2583,5212,0,0,0,0.22532741406078394,0.23505885095136497,0.2301501887131958
24,Vasco da Gama,Estádio do Mar,661.6,123028,124348,247376,2629,2583,5212,0,0,0,0.21665071102555045,0.22287562093216934,0.21973569611549607
25,Estádio do Mar,Pedro Hispano,786.97,119149,122051,241200,2629,2583,5212,0,0,0,0.20982116914436247,0.21875775436881117,0.21425002555931855
26,Pedro Hispano,Parque de Real,656.68,107901,111991,219893,2629,2583,5212,0,0,0,0.1900127350306432,0.20072832892671125,0.1953232452059202
27,Parque de Real,C. Matosinhos,723.67,100828,104452,205280,2627,2582,5209,0,0,0,0.17769202897352035,0.18728717121928865,0.1824481543869536
28,C. Matosinhos,Matosinhos Sul,616.61,71583,74706,146289,2627,2584,5211,0,0,0,0.12615395634101656,0.1338473978936829,0.12996893484266497
29,Matosinhos Sul,Brito Capelo,535.72,35182,38753,73936,2627,2582,5209,0,0,0,0.062003216117813835,0.06948712917099394,0.06571284627778907
