,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,471,2758,3230,190,188,378,0,0,0,0.011500974658869394,0.06792236177025374,0.03956240528569547
1,Venda Nova,Carreira,583.47,785,5151,5937,190,186,376,0,0,0,0.019151153566395032,0.12821793490392802,0.07310440178123848
2,Carreira,Baguim,786.02,1024,7032,8057,190,185,375,0,0,0,0.024974590763944027,0.17599932422059428,0.09948012593589148
3,Baguim,Campainha,751.7,1253,8072,9325,191,184,375,0,0,0,0.030372934290871675,0.2031025525377518,0.11512560031067419
4,Campainha,Rio Tinto,859.99,1755,9972,11727,188,186,374,0,0,0,0.04322214738197667,0.24821539224709635,0.14517065953414848
5,Rio Tinto,Levada,452.83,2021,11367,13389,188,187,375,0,0,0,0.04978907799774676,0.2814265153299189,0.16529894674738996
6,Levada,Nau Vitória,1111.62,2959,13932,16891,188,187,375,0,0,0,0.0728786687377916,0.34493219404011366,0.2085426933552162
7,Nau Vitória,Nasoni,499.02,3302,14232,17534,194,187,381,0,0,0,0.07880032750140112,0.3523664317244014,0.21307030516465847
8,Nasoni,Contumil,650.0,3463,14426,17889,190,189,379,0,0,0,0.08438425525925324,0.3533917871857342,0.21853313001942448
9,Contumil,Estádio do Dragão,619.19,4403,16360,20764,188,186,374,0,0,0,0.10844268946762134,0.40722781718557266,0.2570363626107736
10,Estádio do Dragão,Campanhã,1166.02,9738,24913,34651,272,271,543,165,167,332,0.09770075969877892,0.24925335319569375,0.1735833430815567
11,Campanhã,Heroismo,950.92,17960,50958,68918,392,395,787,312,285,597,0.11083142367890654,0.3266592967073373,0.2166932690369506
12,Heroismo,24 de Agosto,571.9,20578,53280,73859,429,406,835,310,277,587,0.12137749402776479,0.34068739179154806,0.2266077034279955
13,24 de Agosto,Bolhão,680.44,32874,59587,92461,423,414,837,281,273,554,0.20411799615975496,0.37922683765172516,0.2905915524854982
14,Bolhão,Trindade,451.8,49017,65446,114464,429,414,843,281,273,554,0.30192291365266605,0.416515950452476,0.35828254394652026
15,Trindade,Lapa,857.4300000000001,67530,83861,151392,427,449,876,279,249,528,0.4183427441928449,0.5283104803105826,0.47286497857685666
16,Lapa,Carolina Michaelis,460.97,68054,81616,149670,423,454,877,299,259,558,0.41115466419602564,0.5028852615121328,0.45656888748596547
17,Carolina Michaelis,Casa da Música,627.48,67255,73963,141218,425,455,880,279,274,553,0.41775712357545985,0.4449386457859359,0.43156552027035955
18,Casa da Música,Francos,871.87,69325,53404,122729,465,467,932,257,274,531,0.42226147806104575,0.3163302052690918,0.3685565495390372
19,Francos,Ramalde,965.03,66472,46122,112595,456,451,907,239,274,513,0.4213310098629334,0.27890859470829116,0.3484449496613685
20,Ramalde,Viso,621.15,62907,44729,107637,446,474,920,241,274,515,0.4029835881162224,0.2625967893299557,0.32972992509068166
21,Viso,Sete Bicas,743.81,60913,41736,102650,458,449,907,239,276,515,0.3850424292535277,0.25228919502749014,0.3171825357804415
22,Sete Bicas,Sra da Hora,674.5,55971,36220,92191,447,435,882,237,292,529,0.3603408478202355,0.21769967182876238,0.28657095905056734
23,Sra da Hora,Vasco da Gama,824.48,13990,16501,30491,166,189,355,0,0,0,0.3901744776780399,0.4042098147286853,0.39764681205148206
24,Vasco da Gama,Estádio do Mar,661.6,12421,17209,29630,168,204,372,0,0,0,0.3422900969627814,0.3905483413168798,0.3687542954795451
25,Estádio do Mar,Pedro Hispano,786.97,11806,16316,28122,166,203,369,0,0,0,0.3292739553674656,0.3721138172358945,0.35284168425443324
26,Pedro Hispano,Parque de Real,656.68,10474,15644,26119,166,203,369,0,0,0,0.29213553743790033,0.3567857625570104,0.3277019214465164
27,Parque de Real,C. Matosinhos,723.67,9433,14850,24284,173,205,378,0,0,0,0.2524520215163248,0.3353855262212321,0.29742918676634067
28,C. Matosinhos,Matosinhos Sul,616.61,6577,10882,17460,179,209,388,0,0,0,0.17013225347472985,0.2410536326075604,0.20833474893545556
29,Matosinhos Sul,Brito Capelo,535.72,3536,4916,8453,171,207,378,0,0,0,0.09574668153952749,0.10995949041204935,0.10352988639828946
30,Brito Capelo,Mercado,487.53,1914,2442,4357,169,207,376,0,0,0,0.05245075804505565,0.054630694527063206,0.05365088265084173
31,Mercado,Sr. de Matosinhos,708.96,481,657,1138,167,208,375,0,0,0,0.013342127549802622,0.014623397435897436,0.014052805246623213
33,Fonte do Cuco,Custoias,689.2,19978,12591,32569,104,105,209,163,172,335,0.3176780742666489,0.19271711452991927,0.2540047427112539
34,Custoias,Esposade,1779.24,19474,12476,31950,104,105,209,167,168,335,0.30486719599241785,0.19389613027737929,0.2491808794497391
35,Esposade,Crestins,2035.56,19096,12352,31448,104,111,215,175,168,343,0.28993962321034017,0.18817984565314422,0.2391464017200863
36,Crestins,Verdes,591.8199999999999,18871,12042,30913,103,105,208,167,168,335,0.2964174216170037,0.1871600979981533,0.24149856317900523
37,Verdes,Pedras Rubras,960.78,16501,8617,25119,0,0,0,167,168,335,0.3984441193806078,0.20684458129156028,0.30235838087624967
38,Pedras Rubras,Lidador,1147.58,14718,7787,22505,0,0,0,167,168,335,0.35537353568984803,0.18690887635068743,0.27088976623020933
39,Lidador,Vilar do Pinheiro,1987.51,14169,7649,21818,0,0,0,167,168,335,0.34213200962842183,0.1835889796117504,0.2626238632320015
40,Vilar do Pinheiro,Modivas Sul,2037.38,13667,7588,21255,0,0,0,167,168,335,0.33000570529021983,0.18213437574922048,0.2558493370427933
41,Modivas Sul,Modivas Centro,1051.08,13458,7614,21073,0,0,0,167,168,335,0.3249540950593058,0.18276643764148842,0.2536480459661914
42,Modivas Centro,Modivas Norte,852.51,13096,7758,20855,0,0,0,161,172,333,0.3280142159744416,0.18188313309243587,0.25253509808944163
43,Modivas Norte,Mindelo,1834.12,12126,6886,19012,0,0,0,158,170,328,0.30946989707743605,0.16333630461923926,0.23372992537654136
44,Mindelo,Espaço Natureza,776.86,11433,6434,17868,0,0,0,166,168,334,0.2777355647870851,0.15443498906324465,0.2157161135247941
45,Espaço Natureza,Varziela,1539.0,11474,6204,17679,0,0,0,170,168,338,0.27216472915332945,0.14892153320878582,0.21090775602113027
46,Varziela,Árvore,858.71,10529,5805,16334,0,0,0,170,168,338,0.2497404010695933,0.13934302705596474,0.1948683335125235
47,Árvore,Azurara,664.57,10460,5769,16230,0,0,0,170,168,338,0.2481147392618017,0.13848352144014905,0.19362348306642405
48,Azurara,Santa Clara,1218.09,10271,5735,16007,0,0,0,170,178,348,0.24363637907928956,0.12992287168209615,0.18547257357152971
49,Santa Clara,Vila do Conde,670.57,10245,5421,15667,0,0,0,164,170,334,0.2519044128378785,0.12860252865964722,0.18914596879506618
50,Vila do Conde,Alto de Pega,730.41,7662,2897,10560,0,0,0,142,168,310,0.2175837964588183,0.06954844116903955,0.13735818455984145
51,Alto de Pega,Portas Fronhas,671.05,7318,2563,9882,0,0,0,134,170,304,0.22023612317418698,0.06080839196799083,0.13108245769703783
52,Portas Fronhas,São Brás,562.21,5522,2096,7618,0,0,0,154,168,322,0.1445941502506495,0.05031022560135293,0.09540253739014694
53,São Brás,Póvoa de Varzim,624.94,5227,2026,7254,0,0,0,168,168,336,0.12546457817430406,0.048651113671274955,0.08705784592278952
55,Fonte do Cuco,Cândido dos Reis,913.51,17800,12536,30337,163,98,261,83,142,225,0.31905992490577684,0.22233535328445148,0.27044241094292554
56,Cândido dos Reis,Pias,916.73,16825,12348,29173,163,98,261,83,142,225,0.3015718235220659,0.21900328655314188,0.26006968056407304
57,Pias,Araújo,1258.13,16105,12364,28470,165,98,263,83,142,225,0.28645901608540253,0.21929165279616222,0.25282761679138677
58,Araújo,Custió,651.69,15492,12041,27533,153,98,251,97,142,239,0.27129614694661314,0.2135638061392212,0.2426131116998559
59,Custió,Parque de Maia,1418.51,14443,11917,26360,141,92,233,111,154,265,0.2490981145384285,0.20524088550114158,0.22715438309263858
60,Parque de Maia,Forum,824.81,12119,11231,23351,129,92,221,115,154,269,0.21494867421055402,0.1934350471546682,0.20403395974308447
61,Forum,Zona Industrial,1119.4,5397,6424,11821,89,44,133,41,80,121,0.18363446737573458,0.2189205141069567,0.20126307258005532
62,Zona Industrial,Mandim,1194.23,5320,5429,10749,119,44,163,41,80,121,0.14831622016828647,0.1850294698857679,0.16483538110593635
63,Mandim,Castêlo da Maia,1468.1,5176,4281,9457,111,85,196,41,38,79,0.15160825234815994,0.15409225090001305,0.15272269841075986
64,Castêlo da Maia,ISMAI,702.48,2911,3318,6229,93,85,178,41,38,79,0.09621480762040696,0.11942124964008068,0.10732383217372561
65,Santo Ovídio,D. João II,463.71,6778,18061,24840,390,398,788,0,0,0,0.08047245963912629,0.2100936840108453,0.14594104758321788
66,D. João II,João de Deus,716.25,10245,26929,37174,394,380,774,0,0,0,0.12038570186097616,0.3280890073684778,0.2223589009473465
67,João de Deus,C.M.Gaia,405.01,19533,40246,59780,392,384,776,0,0,0,0.23069739642493176,0.48522520397286745,0.35664930119092053
68,C.M.Gaia,General Torres,488.39,23519,45152,68671,386,404,790,0,0,0,0.28208526865653943,0.517426680413709,0.4024370792260286
69,General Torres,Jardim do Morro,419.98,24842,52137,76979,386,392,778,0,0,0,0.29795767940674445,0.6157576385572564,0.4580831086959484
70,Jardim do Morro,São Bento,795.7,26300,53852,80153,404,386,790,0,0,0,0.30139189130760835,0.6458974149127921,0.46971990663874874
71,São Bento,Aliados,443.38,35649,61451,97101,384,388,772,0,0,0,0.42980456422177465,0.7332423603701229,0.5823095705761259
72,Aliados,Trindade,450.27,41074,61408,102482,386,410,796,0,0,0,0.49263930500305897,0.693407436519065,0.596050026010047
73,Trindade,Faria Guimaraes,555.34,40168,56024,96192,384,388,772,0,0,0,0.48427870004044543,0.6684900224672362,0.5768615926590915
