,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,130,672,803,84,137,221,0,0,0,0.007220017636684302,0.02273352651375713,0.01683698920301452
4,Venda Nova,Carreira,583.47,210,1253,1463,85,140,225,0,0,0,0.011448458080896689,0.041438697932035876,0.03010905176604996
5,Carreira,Baguim,786.02,265,1710,1975,85,129,214,0,0,0,0.014456899561592223,0.061382878864370105,0.04274405530952842
6,Baguim,Campainha,751.7,316,1948,2265,66,125,191,0,0,0,0.022204551549707196,0.07218342290973881,0.05491323699475406
7,Campainha,Rio Tinto,859.99,434,2569,3003,67,123,190,0,0,0,0.030012571029062043,0.09670050524027117,0.07318423370263427
8,Rio Tinto,Levada,452.83,497,3022,3519,86,123,209,0,0,0,0.026796207665361824,0.11374714846745088,0.07796829244362476
9,Levada,Nau Vitória,1111.62,976,3609,4586,86,123,209,0,0,0,0.05257234071206015,0.13587469512150088,0.10159717129752048
10,Nau Vitória,Nasoni,499.02,1007,3694,4702,87,121,208,0,0,0,0.05361228891403023,0.14136226068528085,0.10465914749249815
11,Nasoni,Contumil,650.0,1064,3799,4863,87,113,200,0,0,0,0.05666526511816415,0.15565010661392437,0.11259170056326868
12,Contumil,Estádio do Dragão,619.19,1318,4370,5688,91,105,196,0,0,0,0.06707121781597689,0.19269394113746502,0.13436910530963123
13,Estádio do Dragão,Campanhã,1166.02,3303,6858,10161,201,212,413,86,84,170,0.05102316115537737,0.10294270543749304,0.07735444212373857
14,Campanhã,Heroismo,950.92,6832,12311,19143,230,289,519,145,126,271,0.07978341993714784,0.1314290052758403,0.10676290413143488
15,Heroismo,24 de Agosto,571.9,7509,13220,20730,230,275,505,180,128,308,0.07962174286542428,0.14504631517890057,0.1117738436447641
16,24 de Agosto,Bolhão,680.44,10779,16014,26794,233,261,494,165,152,317,0.11813364375491879,0.1702393457073675,0.14458350126663233
17,Bolhão,Trindade,451.8,15260,17847,33107,234,246,480,165,166,331,0.1668455853943646,0.189251366796175,0.17821974461078685
18,Trindade,Lapa,857.4300000000001,20649,24188,44838,211,236,447,164,164,328,0.23942276891208322,0.2639283266622576,0.252047478611503
19,Lapa,Carolina Michaelis,460.97,20316,24159,44475,211,231,442,178,162,340,0.2264404600268427,0.26822114512138173,0.2473717020611675
20,Carolina Michaelis,Casa da Música,627.48,19501,22444,41946,213,214,427,204,161,365,0.20188370103590308,0.26052777455539555,0.2295293860180172
21,Casa da Música,Francos,871.87,19649,16508,36158,217,209,426,207,161,368,0.20008315161747145,0.19405614569479362,0.19728563171429572
22,Francos,Ramalde,965.03,18375,15006,33381,225,209,434,216,161,377,0.1798540344777057,0.1763993257912378,0.1782843967006538
23,Ramalde,Viso,621.15,17116,14778,31895,249,215,464,216,161,377,0.1594461997448611,0.17110873801005078,0.1646458182916704
24,Viso,Sete Bicas,743.81,16500,13573,30074,241,214,455,216,172,388,0.1562220622637357,0.15271851433709194,0.15462109087127024
25,Sete Bicas,Sra da Hora,674.5,15175,9748,24924,254,214,468,218,163,381,0.13932004274551973,0.11250407519922664,0.12743949525527962
26,Sra da Hora,Vasco da Gama,824.48,3921,3562,7483,107,84,191,0,0,0,0.16965928896687252,0.19632529758189024,0.1813867482530583
27,Vasco da Gama,Estádio do Mar,661.6,3405,3722,7127,121,79,200,0,0,0,0.13028792750826737,0.2181269621527181,0.1649843461928254
