,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,183,1018,1201,108,170,278,0,0,0,0.007844650205761318,0.027729501647876006,0.020004451447342246
1,Venda Nova,Carreira,583.47,302,1799,2101,107,175,282,0,0,0,0.013072959955077668,0.04759272999951891,0.03449480306776284
2,Carreira,Baguim,786.02,426,2433,2859,108,168,276,0,0,0,0.018263763787627767,0.067050556692939,0.047960072512599816
3,Baguim,Campainha,751.7,532,2801,3333,88,163,251,0,0,0,0.027990621726876285,0.07956026594131843,0.06148007195378494
4,Campainha,Rio Tinto,859.99,716,3564,4280,86,158,244,0,0,0,0.03857314797857536,0.10443620626597812,0.08122217752533617
5,Rio Tinto,Levada,452.83,818,4179,4997,114,158,272,0,0,0,0.033233371001374266,0.12246619902964444,0.0850671461060312
6,Levada,Nau Vitória,1111.62,1492,5062,6555,115,157,272,0,0,0,0.060098550245960954,0.14928266157896275,0.11157614391978919
7,Nau Vitória,Nasoni,499.02,1570,5197,6768,115,157,272,0,0,0,0.06322396392474909,0.1532761243421003,0.1152026006362349
8,Nasoni,Contumil,650.0,1673,5260,6934,115,142,257,0,0,0,0.06738050243656563,0.17152417166891654,0.12492291889957663
9,Contumil,Estádio do Dragão,619.19,1986,5946,7932,129,138,267,0,0,0,0.07127648531328423,0.19948061795193633,0.1375392954411269
10,Estádio do Dragão,Campanhã,1166.02,5979,9577,15557,283,295,578,110,118,228,0.06763435029818812,0.10300416409969361,0.0857653966867785
11,Campanhã,Heroismo,950.92,11909,16522,28432,298,374,672,193,179,372,0.10611902923361642,0.13199206574654634,0.11976087457388514
12,Heroismo,24 de Agosto,571.9,12867,17707,30574,303,366,669,233,186,419,0.10441589699896217,0.14145096012752656,0.12307893538089491
13,24 de Agosto,Bolhão,680.44,17529,21603,39133,312,342,654,215,212,427,0.14522044394070585,0.17084892223189466,0.15833207131958693
14,Bolhão,Trindade,451.8,23670,24505,48175,317,324,641,217,217,434,0.19356095558560663,0.19794462588529788,0.19576625768526926
15,Trindade,Lapa,857.4300000000001,31585,33276,64862,286,318,604,221,213,434,0.27092547781774434,0.27385657128287527,0.2724213577532955
16,Lapa,Carolina Michaelis,460.97,31042,33228,64271,299,320,619,233,211,444,0.253684703417876,0.27360426309049546,0.2636069016457211
17,Carolina Michaelis,Casa da Música,627.48,29599,31161,60760,296,292,588,267,207,474,0.22742437635623686,0.27236919998056897,0.24845008530787485
18,Casa da Música,Francos,871.87,28171,23038,51209,303,301,604,279,205,484,0.209235087069076,0.19885114439946838,0.2044324472587395
19,Francos,Ramalde,965.03,26235,21073,47309,324,286,610,280,206,486,0.18817241712202348,0.18671775784177747,0.18752165820758568
20,Ramalde,Viso,621.15,24562,20716,45278,346,288,634,280,207,487,0.1703641123817701,0.18244940974701868,0.1756885458911593
21,Viso,Sete Bicas,743.81,23659,19432,43092,329,288,617,282,227,509,0.16779883839787668,0.1639833692683705,0.16605648238901746
22,Sete Bicas,Sra da Hora,674.5,21776,14679,36455,346,282,628,284,223,507,0.15000699464377676,0.12631186025453206,0.1394717142204132
23,Sra da Hora,Vasco da Gama,824.48,5959,5776,11736,150,125,275,0,0,0,0.1839310452862825,0.21395228312970394,0.19757706248783768
24,Vasco da Gama,Estádio do Mar,661.6,5370,5928,11298,163,118,281,0,0,0,0.15252507867860718,0.23259102364449538,0.1861470769205104
25,Estádio do Mar,Pedro Hispano,786.97,5083,5839,10923,180,131,311,0,0,0,0.13074822168404632,0.20638221255231268,0.16260691237132252
26,Pedro Hispano,Parque de Real,656.68,4562,5313,9876,180,134,314,0,0,0,0.1173519107773197,0.18359382961363316,0.14562075512147896
27,Parque de Real,C. Matosinhos,723.67,4160,5125,9286,181,125,306,0,0,0,0.10642891876577786,0.18984999510034584,0.14050615583055237
28,C. Matosinhos,Matosinhos Sul,616.61,2960,3861,6821,191,125,316,0,0,0,0.07175855940843974,0.14300202032180415,0.09994030818746047
29,Matosinhos Sul,Brito Capelo,535.72,1502,1450,2952,190,126,316,0,0,0,0.03660449570312004,0.05329916986715248,0.04326123286979121
30,Brito Capelo,Mercado,487.53,867,903,1770,204,127,331,0,0,0,0.019679518048555573,0.03292895316424537,0.02476313816847281
31,Mercado,Sr. de Matosinhos,708.96,187,135,322,200,126,326,0,0,0,0.004329796309487707,0.00496031746031746,0.004573494668397365
33,Fonte do Cuco,Custoias,689.2,7890,6644,14534,145,106,251,135,117,252,0.12176549144867464,0.12798789288781381,0.12453313576552802
34,Custoias,Esposade,1779.24,7687,6572,14259,145,106,251,123,112,235,0.12433979464636553,0.12970121364094228,0.1267547589410355
35,Esposade,Crestins,2035.56,7565,6503,14069,145,86,231,126,112,238,0.12091718360585944,0.1403116126813848,0.12917067769793392
36,Crestins,Verdes,591.8199999999999,7504,6439,13943,145,86,231,156,112,268,0.10719192163832279,0.13892681535929285,0.11983351491568962
37,Verdes,Pedras Rubras,960.78,6168,2914,9082,0,0,0,156,112,268,0.15943523885287286,0.10491262168695414,0.1366496674999516
38,Pedras Rubras,Lidador,1147.58,5601,2635,8236,0,0,0,156,112,268,0.1447737389869519,0.09487961006012058,0.12392246122648505
39,Lidador,Vilar do Pinheiro,1987.51,5423,2586,8010,0,0,0,156,129,285,0.1401984215515471,0.08085637240804452,0.1133383361497512
40,Vilar do Pinheiro,Modivas Sul,2037.38,5236,2588,7824,0,0,0,156,132,288,0.13534417888146538,0.07906077702522323,0.1095476196973544
41,Modivas Sul,Modivas Centro,1051.08,5190,2612,7803,0,0,0,158,121,279,0.13247520993063955,0.08705439616812663,0.11277657743865367
42,Modivas Centro,Modivas Norte,852.51,5121,2627,7749,0,0,0,157,115,272,0.1315480464900179,0.09212705408582691,0.11488108278971657
43,Modivas Norte,Mindelo,1834.12,4777,1974,6752,0,0,0,155,113,268,0.12428034801019745,0.07046943150714081,0.10159141679808774
44,Mindelo,Espaço Natureza,776.86,4579,1965,6545,0,0,0,180,113,293,0.10259725882602025,0.07013250209088717,0.09007672124557643
45,Espaço Natureza,Varziela,1539.0,4560,1917,6477,0,0,0,180,113,293,0.10215865323773567,0.06842236810759507,0.08914773098617974
46,Varziela,Árvore,858.71,4182,1822,6005,0,0,0,170,113,283,0.099199109089859,0.06505089818550085,0.08556395773935557
47,Árvore,Azurara,664.57,4134,1828,5962,0,0,0,170,113,283,0.09805690594317458,0.06523753568005106,0.0849523517391712
48,Azurara,Santa Clara,1218.09,4066,1839,5905,0,0,0,171,96,267,0.09588743096080825,0.0772571632073245,0.08918890772360061
49,Santa Clara,Vila do Conde,670.57,3954,1812,5767,0,0,0,162,113,275,0.09844034387611114,0.064683360420201,0.0845692924924099
50,Vila do Conde,Alto de Pega,730.41,3015,1139,4155,0,0,0,161,113,274,0.07552947140672897,0.04066961245511179,0.06115296023325181
51,Alto de Pega,Portas Fronhas,671.05,2940,1058,3999,0,0,0,168,113,281,0.07058071120205481,0.0377783851040484,0.057389740208906324
52,Portas Fronhas,São Brás,562.21,2207,861,3069,0,0,0,198,113,311,0.04495977268928801,0.030754034930505835,0.039798202378219245
53,São Brás,Póvoa de Varzim,624.94,2114,836,2951,0,0,0,201,114,315,0.042418404217625306,0.02960526315789472,0.03778126745315138
55,Fonte do Cuco,Cândido dos Reis,913.51,5627,2955,8582,48,48,96,149,103,252,0.11891543688253549,0.08229825858991148,0.10311627181567762
56,Cândido dos Reis,Pias,916.73,5322,2882,8204,48,48,96,150,103,253,0.11189053458930016,0.08026379907635334,0.09828512819566161
57,Pias,Araújo,1258.13,5133,2835,7969,48,48,96,152,103,255,0.10680094422961299,0.07896309722084793,0.09489620047212549
58,Araújo,Custió,651.69,5013,2797,7810,48,48,96,155,103,258,0.1027138396109192,0.07790126190114091,0.09219602456472518
59,Custió,Parque de Maia,1418.51,4688,2707,7396,50,12,62,157,103,260,0.09427590177921012,0.09622812935442362,0.09498126282112773
60,Parque de Maia,Forum,824.81,4012,2545,6558,52,4,56,165,103,268,0.07694242233846146,0.09638645284684853,0.08347854705416266
61,Forum,Zona Industrial,1119.4,1828,1299,3127,44,2,46,63,61,124,0.07275384049514404,0.0835305349274056,0.07687508915238916
62,Zona Industrial,Mandim,1194.23,1757,1072,2830,44,2,46,63,61,124,0.06994616868862609,0.06893275144546067,0.06955861529933062
63,Mandim,Castêlo da Maia,1468.1,1717,1032,2749,44,2,46,65,61,126,0.06701668239568713,0.06634020276271999,0.06676109714197286
64,Castêlo da Maia,ISMAI,702.48,880,785,1666,44,2,46,92,61,153,0.027249731869133684,0.0505141388174807,0.034810178237477035
65,Santo Ovídio,D. João II,463.71,2761,6994,9756,190,309,499,0,0,0,0.06730019493177387,0.10479868074035208,0.09052070017195557
66,D. João II,João de Deus,716.25,3937,10247,14184,190,306,496,0,0,0,0.09593601302257994,0.15503932454728978,0.13239894311645334
67,João de Deus,C.M.Gaia,405.01,7729,15338,23067,190,302,492,0,0,0,0.18834137946413085,0.2351333104860466,0.21706325582311164
68,C.M.Gaia,General Torres,488.39,8837,17558,26396,190,276,466,0,0,0,0.21534541843759542,0.29452367565907195,0.2622406952468819
69,General Torres,Jardim do Morro,419.98,9636,19847,29484,190,258,448,0,0,0,0.23481513056342007,0.35615737830804395,0.30469526430920796
70,Jardim do Morro,São Bento,795.7,10854,20900,31754,204,262,466,0,0,0,0.24633435738417256,0.36931919773063604,0.3154803405832572
71,São Bento,Aliados,443.38,17119,23963,41083,239,284,523,0,0,0,0.33162781301791405,0.3906443542681186,0.36367503618246105
72,Aliados,Trindade,450.27,20760,25345,46106,240,281,521,0,0,0,0.400466648107416,0.41758670620156657,0.4097003070795011
73,Trindade,Faria Guimaraes,555.34,19978,20728,40706,215,278,493,0,0,0,0.4301951906610826,0.3451911227416962,0.3822618623008607
74,Faria Guimaraes,Marques,621.04,18752,20153,38905,212,238,450,0,0,0,0.40951236492537413,0.3920306331044721,0.40026647120676373
75,Marques,Combatentes,702.75,14658,17031,31689,212,234,446,0,0,0,0.3201074123329872,0.33695502036696473,0.32894674031493953
76,Combatentes,Salgueiros,471.25,12477,15547,28025,212,234,446,0,0,0,0.27248505178952176,0.30760172574258593,0.2909094950743133
77,Salgueiros,Polo Universitario,775.36,10797,14827,25624,215,234,449,0,0,0,0.23250036640604424,0.2933602915760356,0.26421801114942506
78,Polo Universitario,I.P.O.,827.64,8454,10875,19329,257,236,493,0,0,0,0.15230521108391315,0.2133371381646931,0.1815213059947936
79,I.P.O.,Hospital São João,351.77,4882,5638,10520,257,227,484,0,0,0,0.08795689970687344,0.1149861315059553,0.10063383280272381
80,Verdes (E) ,Botica,683.54,1384,3618,5002,144,84,228,0,0,0,0.04451681730949782,0.1994189714118361,0.10158603197878036
81,Botica,Aeroporto,649.66,1185,3434,4619,144,84,228,0,0,0,0.038129076083964264,0.18926366843033512,0.09381024168525878
82,Sra da Hora,Fonte do Cuco,687.03,14089,9588,23679,161,154,315,284,213,284,0.13609865673109955,0.10720679365015098,0.12240513799981234
