,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,157,188,345,62,62,124,0,0,0,0.011723416965352451,0.014111540437130634,0.012917478701241544
4,Venda Nova,Carreira,583.47,228,321,550,62,62,124,0,0,0,0.017066386110872578,0.02401144355182835,0.020538914831350463
5,Carreira,Baguim,786.02,330,434,764,62,62,124,0,0,0,0.024661578257986122,0.03241195921407919,0.02853676873603266
6,Baguim,Campainha,751.7,405,504,910,62,62,124,0,0,0,0.03031521227853764,0.0376448708540709,0.03398004156630427
7,Campainha,Rio Tinto,859.99,455,671,1126,62,62,124,0,0,0,0.03398470326913657,0.05015777051915271,0.04207123689414464
8,Rio Tinto,Levada,452.83,484,810,1294,62,62,124,0,0,0,0.03616656044653063,0.06050225136359801,0.04833440590506432
9,Levada,Nau Vitória,1111.62,998,992,1990,62,62,124,0,0,0,0.07455473717461408,0.07407670675464469,0.07431572196462938
10,Nau Vitória,Nasoni,499.02,1029,1060,2089,62,62,124,0,0,0,0.07686557723872604,0.07916334655307757,0.0780144618959018
11,Nasoni,Contumil,650.0,1060,1095,2155,62,62,124,0,0,0,0.07917156160254404,0.08179807342649685,0.08048481751452045
12,Contumil,Estádio do Dragão,619.19,1114,1343,2458,62,62,124,0,0,0,0.08324443667115779,0.10035799449093077,0.09180121558104427
13,Estádio do Dragão,Campanhã,1166.02,2030,2342,4372,62,93,155,93,113,206,0.05568550325631064,0.048694417035394344,0.05170816974646383
14,Campanhã,Heroismo,950.92,3757,4380,8138,84,93,177,141,206,347,0.07074783664133238,0.0615510008863184,0.0654810853725142
15,Heroismo,24 de Agosto,571.9,3926,4687,8613,84,93,177,156,206,362,0.069081585860383,0.06585559115457532,0.06728784328819558
16,24 de Agosto,Bolhão,680.44,5021,6048,11070,79,93,172,156,206,362,0.09006935821536156,0.08498068191854682,0.0872158379195869
17,Bolhão,Trindade,451.8,6246,7102,13348,62,93,155,156,206,362,0.11994282601310324,0.09978117886456778,0.10830018470197712
18,Trindade,Lapa,857.4300000000001,11062,10286,21348,226,282,508,154,206,360,0.12714520381012445,0.09184094853467525,0.10727627094888113
19,Lapa,Carolina Michaelis,460.97,10815,10358,21174,246,279,525,151,206,357,0.11939654350169018,0.09302860470401682,0.10485667581589606
20,Carolina Michaelis,Casa da Música,627.48,10255,10263,20519,247,270,517,147,206,353,0.11419591270149561,0.09380762798009376,0.10299881279586988
21,Casa da Música,Francos,871.87,9030,9011,18042,248,250,498,147,206,353,0.10031703395989887,0.08575551810678977,0.09247415101076437
22,Francos,Ramalde,965.03,8329,8404,16734,277,248,525,147,206,353,0.08650872560638301,0.08030728349227993,0.08327887984889051
23,Ramalde,Viso,621.15,7726,8429,16156,277,248,525,148,206,354,0.08004194732277024,0.0805478853215007,0.08030512601374769
24,Viso,Sete Bicas,743.81,7276,8292,15569,277,248,525,148,205,353,0.07537570961549848,0.07942816741673749,0.0774813162228705
25,Sete Bicas,Sra da Hora,674.5,7450,5198,12649,278,249,527,148,179,327,0.0770093242788835,0.05295007801340914,0.06489182160425896
26,Sra da Hora,Vasco da Gama,824.48,2041,1468,3510,187,186,373,0,0,0,0.050537045667897185,0.03655744557215478,0.043565985030341994
27,Vasco da Gama,Estádio do Mar,661.6,1866,1491,3357,187,185,372,0,0,0,0.04621044152255035,0.03731844206944679,0.04178834502033487
28,Estádio do Mar,Pedro Hispano,786.97,1774,1298,3073,187,157,344,0,0,0,0.04392501553159907,0.03830361789437531,0.041359435796005664
29,Pedro Hispano,Parque de Real,656.68,1603,1323,2926,192,156,348,0,0,0,0.03865693489710265,0.0392743887968663,0.03893372457630705
30,Parque de Real,C. Matosinhos,723.67,1411,1293,2704,216,156,372,0,0,0,0.030256711438954115,0.03837980417726571,0.03366316968405252
31,C. Matosinhos,Matosinhos Sul,616.61,1038,1044,2082,217,156,373,0,0,0,0.022150941488186065,0.03100026311207915,0.02585199825313867
32,Matosinhos Sul,Brito Capelo,535.72,529,532,1061,217,157,374,0,0,0,0.011288135969657163,0.015711971703722818,0.013145200702941407
33,Brito Capelo,Mercado,487.53,292,298,590,217,163,380,0,0,0,0.006230470857944,0.008478771117465691,0.007194873337686199
34,Mercado,Sr. de Matosinhos,708.96,52,33,85,214,185,399,0,0,0,0.0011450416062283066,0.0008258258258258258,0.0009970342895003394
35,Sra da Hora,Fonte do Cuco,687.03,2785,2900,5685,93,63,156,64,91,155,0.07746295681297981,0.08017082380600393,0.07882094445215637
36,Fonte do Cuco,Custoias,689.2,2692,2920,5613,93,63,156,72,66,138,0.07096824697565463,0.09742579715007905,0.08264509509150483
37,Custoias,Esposade,1779.24,2634,2910,5545,93,63,156,93,62,155,0.061047847172348235,0.10042700800435264,0.0768702603579257
38,Esposade,Crestins,2035.56,2591,2840,5432,93,63,156,93,62,155,0.06006145574872556,0.09801053046819863,0.0753092651874137
39,Crestins,Verdes,591.8199999999999,2568,2843,5411,93,63,156,93,62,155,0.05952319948651221,0.09809437051976824,0.07502096511293858
40,Verdes,Pedras Rubras,960.78,1875,1220,3096,0,0,0,93,62,155,0.08132366630809423,0.0793738860181811,0.08054375419212897
41,Pedras Rubras,Lidador,1147.58,1724,1239,2964,0,0,0,93,62,155,0.07476756882650065,0.08063807086482312,0.07711576964182963
42,Lidador,Vilar do Pinheiro,1987.51,1626,1241,2867,0,0,0,93,62,155,0.07050907786607148,0.0807386039986872,0.07460088831911776
43,Vilar do Pinheiro,Modivas Sul,2037.38,1572,1230,2802,0,0,0,93,62,155,0.06817349252098981,0.08002648773190467,0.07291469060535576
44,Modivas Sul,Modivas Centro,1051.08,1547,1236,2783,0,0,0,93,62,155,0.06711078221070803,0.08038564374213322,0.0724207268232781
45,Modivas Centro,Modivas Norte,852.51,1530,1243,2774,0,0,0,93,62,155,0.06637317904247074,0.08090118528765658,0.07218438154054509
46,Modivas Norte,Mindelo,1834.12,1447,1142,2590,0,0,0,93,62,155,0.06276028776209971,0.07432639861529051,0.06738673210337603
