,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,15198,22875,38073,2689,2647,5336,0,0,0,0.026166274120904102,0.04000869795322871,0.03303300873187922
4,Venda Nova,Carreira,583.47,26899,41609,68509,2688,2647,5335,0,0,0,0.04633059631003879,0.07277588358775468,0.05945162263133476
5,Carreira,Baguim,786.02,39703,54916,94619,2688,2647,5335,0,0,0,0.06838181248303002,0.09604935203061453,0.08210926837477438
6,Baguim,Campainha,751.7,49434,61696,111131,2689,2648,5337,0,0,0,0.08511086039874567,0.10786721518908401,0.09640162814932014
7,Campainha,Rio Tinto,859.99,66504,76396,142901,2689,2648,5337,0,0,0,0.11450097638806911,0.13356759787583886,0.12396105015603129
8,Rio Tinto,Levada,452.83,75964,87864,163829,2689,2648,5337,0,0,0,0.1307877441494095,0.15361775723546234,0.14211505811828115
9,Levada,Nau Vitória,1111.62,99980,108695,208676,2689,2648,5337,0,0,0,0.17213562442223254,0.19003796944374632,0.18101803207015618
10,Nau Vitória,Nasoni,499.02,104974,111543,216517,2689,2649,5338,0,0,0,0.18073373794919276,0.1949425594801342,0.18778491221585888
11,Nasoni,Contumil,650.0,108281,113315,221596,2689,2649,5338,0,0,0,0.18642666681969944,0.19804038418387612,0.1921900121358673
12,Contumil,Estádio do Dragão,619.19,125443,131600,257043,2689,2649,5338,0,0,0,0.215974435619017,0.2299972442223144,0.22293330036051845
13,Estádio do Dragão,Campanhã,1166.02,226918,233669,460588,5539,5365,10904,2617,2711,5328,0.12296176335593682,0.1276068799166039,0.1252753058391615
14,Campanhã,Heroismo,950.92,447580,438122,885702,6483,6343,12826,4672,4683,9355,0.17490539074039044,0.1730703266459604,0.17399281760877805
15,Heroismo,24 de Agosto,571.9,480873,471757,952630,6487,6345,12832,4674,4685,9359,0.18781607661913732,0.18628852551310127,0.18705649191962648
16,24 de Agosto,Bolhão,680.44,621997,574015,1196012,6483,6345,12828,4674,4683,9357,0.24301696943374362,0.22671283806075235,0.23490905703903875
17,Bolhão,Trindade,451.8,750845,713109,1463954,6485,6347,12832,4674,4683,9357,0.29330910783400316,0.28160139052100536,0.2874869495201253
18,Trindade,Lapa,857.4300000000001,890570,1011689,1902259,6910,6834,13744,4678,4687,9365,0.33572165780642926,0.3834305010284627,0.3595121336997575
19,Lapa,Carolina Michaelis,460.97,879197,1003723,1882921,6912,6840,13752,4677,4690,9367,0.33141154379528215,0.38011769894634695,0.3557079050792119
20,Carolina Michaelis,Casa da Música,627.48,831673,956372,1788045,6910,6835,13745,4678,4690,9368,0.31351913101346696,0.3623335768990866,0.33786536569203734
21,Casa da Música,Francos,871.87,756828,797854,1554682,6908,6836,13744,4675,4688,9363,0.2854309915980759,0.3023092813538712,0.2938504723053613
22,Francos,Ramalde,965.03,700083,736661,1436744,6907,6836,13743,4678,4688,9366,0.2639775913046607,0.2791228594382407,0.2715318263781753
23,Ramalde,Viso,621.15,668366,706001,1374368,6908,6841,13749,4675,4690,9365,0.2520685262163484,0.2673462391550638,0.2596918633608981
24,Viso,Sete Bicas,743.81,637547,668535,1306082,6908,6842,13750,4673,4688,9361,0.24049013313798245,0.2531856564316254,0.24682525571028502
25,Sete Bicas,Sra da Hora,674.5,566823,605032,1171855,6909,6844,13753,4674,4689,9363,0.21377493495371455,0.22907691094792626,0.22141100455116708
26,Sra da Hora,Vasco da Gama,824.48,187758,192770,380529,3665,3583,7248,0,0,0,0.2371763763320843,0.2490810760560802,0.24306138448758616
27,Vasco da Gama,Estádio do Mar,661.6,182638,185290,367928,3667,3585,7252,0,0,0,0.23058322591792943,0.23928167426202443,0.23488327243110935
28,Estádio do Mar,Pedro Hispano,786.97,175253,179830,355083,3666,3584,7250,0,0,0,0.22131955425739053,0.23229616154655458,0.22674578329523384
29,Pedro Hispano,Parque de Real,656.68,160716,166435,327151,3665,3584,7249,0,0,0,0.20301665990735543,0.21499335007107565,0.20893809149057702
30,Parque de Real,C. Matosinhos,723.67,151048,156227,307276,3663,3582,7245,0,0,0,0.19090832115759296,0.20191987892402025,0.1963525447489446
31,C. Matosinhos,Matosinhos Sul,616.61,110793,115034,225827,3669,3588,7257,0,0,0,0.13980150641151692,0.1484303421007203,0.14406776829009785
32,Matosinhos Sul,Brito Capelo,535.72,52796,57991,110788,3669,3588,7257,0,0,0,0.06662014890455664,0.07482747914217061,0.0706780104027734
33,Brito Capelo,Mercado,487.53,27470,33288,60758,3675,3594,7269,0,0,0,0.03460632828107054,0.04288063410861844,0.03869738002741902
34,Mercado,Sr. de Matosinhos,708.96,6219,7149,13368,3659,3589,7248,0,0,0,0.007868816374054987,0.00922185071669608,0.008538799853047658
35,Sra da Hora,Fonte do Cuco,687.03,217108,268195,485303,2288,2242,4530,2569,2631,5200,0.19190695496592725,0.23592974619293414,0.21397114501002287
36,Fonte do Cuco,Custoias,689.2,209103,264592,473696,2289,2243,4532,2570,2631,5201,0.1847558589628723,0.23271583250814806,0.20879072333002152
37,Custoias,Esposade,1779.24,204203,260466,464670,2287,2238,4525,2569,2630,5199,0.18053494672819462,0.2293553095662785,0.20499406153931832
38,Esposade,Crestins,2035.56,201231,257594,458825,2287,2237,4524,2570,2633,5203,0.17786778144727522,0.22672079114745075,0.2023462519001678
39,Crestins,Verdes,591.8199999999999,199015,254514,453530,2287,2235,4522,2569,2632,5201,0.1759478574556599,0.224144226647345,0.20009273720139437
40,Verdes,Pedras Rubras,960.78,153165,162468,315633,0,0,0,2569,2632,5201,0.24040538501331704,0.24890320154627152,0.24470576054008808
41,Pedras Rubras,Lidador,1147.58,138609,146046,284655,0,0,0,2572,2635,5207,0.21730495350138332,0.22348991592283987,0.22043485094339177
42,Lidador,Vilar do Pinheiro,1987.51,133683,140906,274589,0,0,0,2572,2635,5207,0.20958295766467025,0.2156242248425751,0.21264013819353125
43,Vilar do Pinheiro,Modivas Sul,2037.38,130231,137063,267295,0,0,0,2572,2637,5209,0.20417128890538713,0.20958463004676392,0.2069117344016073
44,Modivas Sul,Modivas Centro,1051.08,129182,135827,265009,0,0,0,2572,2637,5209,0.2025260569004755,0.20769464674179222,0.205142599694016
45,Modivas Centro,Modivas Norte,852.51,128142,134672,262814,0,0,0,2572,2637,5209,0.20089539476274348,0.2059285287759311,0.2034433645060293
46,Modivas Norte,Mindelo,1834.12,115790,123176,238967,0,0,0,2572,2637,5209,0.1815307279964538,0.18835028002947432,0.18498305257143463
47,Mindelo,Espaço Natureza,776.86,111519,118249,229769,0,0,0,2572,2637,5209,0.17483504458434532,0.18081651360398815,0.17786309868394182
48,Espaço Natureza,Varziela,1539.0,110553,117403,227956,0,0,0,2573,2637,5210,0.17325339218347563,0.17952194303625313,0.17642616926577395
49,Varziela,Árvore,858.71,103373,109570,212944,0,0,0,2575,2637,5212,0.16187576102394208,0.1675447789390429,0.16474398823847025
50,Árvore,Azurara,664.57,102929,108921,211850,0,0,0,2575,2638,5213,0.1611796809412398,0.1664890232655196,0.1638664342601445
51,Azurara,Santa Clara,1218.09,101825,107683,209509,0,0,0,2575,2639,5214,0.15945138512869486,0.16453496090639802,0.16202437256202026
52,Santa Clara,Vila do Conde,670.57,99094,104695,203789,0,0,0,2575,2639,5214,0.155174737084659,0.15996926617456372,0.15760142720131773
53,Vila do Conde,Alto de Pega,730.41,70315,75489,145805,0,0,0,2575,2639,5214,0.11010805958659439,0.11534488232325334,0.1127586110254212
54,Alto de Pega,Portas Fronhas,671.05,66562,71616,138178,0,0,0,2575,2640,5215,0.10423191522523213,0.10938489924989747,0.1068405207525795
55,Portas Fronhas,São Brás,562.21,51797,55986,107783,0,0,0,2577,2643,5220,0.08104729943190477,0.08541431448075798,0.08325841452273217
56,São Brás,Póvoa de Varzim,624.94,49401,53413,102814,0,0,0,2576,2640,5216,0.07732924324222686,0.08158143939393943,0.07948142841103843
57,Sra da Hora,Fonte do Cuco,685.98,166721,164872,331593,965,998,1963,2079,2001,4080,0.23026749195791243,0.23162206407477123,0.23093901575843584
58,Fonte do Cuco,Cândido dos Reis,913.51,161805,164209,326015,963,992,1955,2079,2003,4082,0.22361242646301108,0.23095054891027586,0.2272493038364437
59,Cândido dos Reis,Pias,916.73,155318,158374,313692,961,990,1951,2081,2001,4082,0.21462728083160515,0.22303490997793035,0.2187912900642031
60,Pias,Araújo,1258.13,150900,153569,304469,961,990,1951,2078,2001,4079,0.208737154963208,0.21626787384794136,0.2124687971532185
61,Araújo,Custió,651.69,147187,147967,295154,961,990,1951,2080,2001,4081,0.20346112000933902,0.2083796866766526,0.2058975381621027
62,Custió,Parque de Maia,1418.51,141050,141278,282328,961,992,1953,2078,2001,4079,0.19511235975568106,0.19883798402068664,0.1969590575963802
63,Parque de Maia,Forum,824.81,124727,122941,247668,963,992,1955,2080,2001,4081,0.17231190344472555,0.17302962161309668,0.1726674280471923
64,Forum,Zona Industrial,1119.4,64775,65445,130221,546,457,1003,1357,1329,2686,0.14253020350528575,0.15280042213753214,0.14751309352615816
65,Zona Industrial,Mandim,1194.23,60432,60862,121295,546,457,1003,1357,1329,2686,0.13297340014954545,0.14210219494079893,0.13740249578000324
66,Mandim,Castêlo da Maia,1468.1,57074,57288,114363,546,459,1005,1358,1330,2688,0.12551607604216172,0.13354450761765924,0.12941338633042931
67,Castêlo da Maia,ISMAI,702.48,38571,37334,75906,546,459,1005,1358,1330,2688,0.08482520587270054,0.0870312179475225,0.08589608920456893
68,Santo Ovídio,D. João II,463.71,189584,157615,347199,6930,6975,13905,0,0,0,0.12665277109721554,0.10461663525882746,0.11559904600028947
69,D. João II,João de Deus,716.25,256984,233495,490480,6930,6978,13908,0,0,0,0.17168020938301293,0.15491510531301828,0.1632687270562641
70,João de Deus,C.M.Gaia,405.01,395274,370329,765604,6928,6976,13904,0,0,0,0.2641420803752756,0.2457697047908648,0.2549241796217622
71,C.M.Gaia,General Torres,488.39,455601,421827,877429,6930,6978,13908,0,0,0,0.30436772365980586,0.2798659187133156,0.2920745402461871
72,General Torres,Jardim do Morro,419.98,508121,470682,978804,6929,6979,13908,0,0,0,0.3395029594355013,0.3122344994346806,0.3258197136528059
73,Jardim do Morro,São Bento,795.7,529918,498833,1028752,6927,6977,13904,0,0,0,0.354168881283378,0.3310040971069476,0.3425448379002541
74,São Bento,Aliados,443.38,647887,635135,1283022,6949,7002,13951,0,0,0,0.43164206166358654,0.4199429036837432,0.4257702600597687
75,Aliados,Trindade,450.27,695700,680748,1376448,6948,7002,13950,0,0,0,0.4635628912971168,0.450101854052718,0.45680631905444435
76,Trindade,Faria Guimaraes,555.34,608646,587770,1196417,7004,6951,13955,0,0,0,0.4023140743548493,0.3914777151830768,0.396916472591826
77,Faria Guimaraes,Marques,621.04,581130,565309,1146440,7005,6953,13958,0,0,0,0.38407099573103504,0.37640951687605084,0.38025452757809725
78,Marques,Combatentes,702.75,475458,454127,929586,7003,6951,13954,0,0,0,0.31432222255282233,0.3024662385225078,0.30841632137791075
79,Combatentes,Salgueiros,471.25,423639,401915,825554,7003,6951,13954,0,0,0,0.2800649424811269,0.26769074175995866,0.27390089853581795
80,Salgueiros,Polo Universitario,775.36,386685,366287,752972,7004,6952,13956,0,0,0,0.2555981045482187,0.2439262103232732,0.2497839021512696
81,Polo Universitario,I.P.O.,827.64,291986,287462,579449,6992,6940,13932,0,0,0,0.19333358358119715,0.19176470180936744,0.19255207055388604
82,I.P.O.,Hospital São João,351.77,129969,150474,280443,6980,6929,13909,0,0,0,0.08620464663690355,0.10053960007055694,0.09334584243399784
83,Verdes (E) ,Botica,683.54,48749,95750,144500,2287,2236,4523,0,0,0,0.09868485312325188,0.1982516974137093,0.14790693223743778
84,Botica,Aeroporto,649.66,43561,89715,133277,2287,2236,4523,0,0,0,0.08818292103289224,0.18575664215199086,0.13641967549283135
