,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,514,467,982,98,159,257,0,0,0,0.024329176114890397,0.013624491967078262,0.017706433782197287
4,Venda Nova,Carreira,583.47,1002,860,1863,92,156,248,0,0,0,0.050451032242100353,0.025546089447316435,0.03478501983892982
5,Carreira,Baguim,786.02,1398,1095,2494,85,140,225,0,0,0,0.0761688933620845,0.0362328869400802,0.051319822699504046
6,Baguim,Campainha,751.7,1696,1209,2905,99,130,229,0,0,0,0.0793121951136175,0.0430560552412307,0.058730106976454685
7,Campainha,Rio Tinto,859.99,2266,1525,3791,98,122,220,0,0,0,0.10707951203919312,0.05788097375117907,0.07979668626129442
8,Rio Tinto,Levada,452.83,2588,1751,4339,101,133,234,0,0,0,0.11865440532023762,0.060960991110320224,0.08586284938041276
9,Levada,Nau Vitória,1111.62,3341,2259,5600,101,138,239,0,0,0,0.15315722174143667,0.07579816800829635,0.10848965096665272
10,Nau Vitória,Nasoni,499.02,3507,2318,5825,101,138,239,0,0,0,0.1607559020200652,0.07778315841922163,0.11284695383213042
11,Nasoni,Contumil,650.0,3613,2353,5967,96,122,218,0,0,0,0.17426599946344315,0.0893187015107159,0.12672668593026554
12,Contumil,Estádio do Dragão,619.19,4301,2975,7277,94,120,214,0,0,0,0.21186991248405107,0.11481373199661178,0.15744588604249635
13,Estádio do Dragão,Campanhã,1166.02,7946,6209,14156,185,233,418,96,119,215,0.12462202335714709,0.07776977590721589,0.098574146940774
14,Campanhã,Heroismo,950.92,17938,12291,30230,222,226,448,175,245,420,0.1963712162055244,0.1121723212033687,0.1504533843515458
15,Heroismo,24 de Agosto,571.9,19537,13430,32968,219,215,434,175,246,421,0.21540276824153876,0.12499562710005896,0.16637946036995674
16,24 de Agosto,Bolhão,680.44,25467,16657,42124,252,202,454,161,246,407,0.26989513523103664,0.1591884722023824,0.21168234518421059
17,Bolhão,Trindade,451.8,28998,23726,52724,257,182,439,155,248,403,0.30864794825629954,0.23534012490672107,0.27070228203386515
18,Trindade,Lapa,857.4300000000001,31479,36032,67512,261,174,435,159,231,390,0.3285722974911959,0.37980332964428754,0.3540620734636529
19,Lapa,Carolina Michaelis,460.97,31102,35560,66662,255,176,431,164,216,380,0.32482284694050173,0.3882778277672077,0.35584443896783785
20,Carolina Michaelis,Casa da Música,627.48,29232,33363,62595,249,188,437,187,199,386,0.2918545161574413,0.3708733735134375,0.3292442511024519
21,Casa da Música,Francos,871.87,24628,27860,52489,246,198,444,190,193,383,0.24566032226436446,0.30739947543093676,0.2749735474529189
22,Francos,Ramalde,965.03,22612,25741,48354,252,194,446,209,195,404,0.21279977898145588,0.28518013218914573,0.2460435925954901
23,Ramalde,Viso,621.15,22038,24291,46330,268,193,461,200,206,406,0.20503379764151755,0.26183157109475536,0.23134641613459464
24,Viso,Sete Bicas,743.81,20791,22870,43662,275,195,470,200,205,405,0.19074794511456122,0.2460276011492068,0.21619257189699664
25,Sete Bicas,Sra da Hora,674.5,17672,21905,39578,283,200,483,193,195,388,0.1621493415727716,0.2392425596562504,0.1973454754817993
26,Sra da Hora,Vasco da Gama,824.48,7969,6634,14603,143,125,268,0,0,0,0.2579975715001065,0.24571347155530643,0.2522680472721214
27,Vasco da Gama,Estádio do Mar,661.6,8150,6401,14551,138,124,262,0,0,0,0.27343016896660255,0.23899263617481814,0.2571314893246893
28,Estádio do Mar,Pedro Hispano,786.97,7955,6358,14313,141,120,261,0,0,0,0.26121563612864596,0.2453063416531106,0.2539010179789745
29,Pedro Hispano,Parque de Real,656.68,7476,5768,13244,145,120,265,0,0,0,0.2387166132334733,0.22253562407654265,0.23138937286052358
30,Parque de Real,C. Matosinhos,723.67,7346,5559,12905,143,135,278,0,0,0,0.2378279556558096,0.19065884540128727,0.2149220927624265
31,C. Matosinhos,Matosinhos Sul,616.61,5890,4045,9936,146,140,286,0,0,0,0.18678504437147306,0.13379367340810966,0.1608452124313651
32,Matosinhos Sul,Brito Capelo,535.72,2568,2425,4993,162,120,282,0,0,0,0.07339955697130802,0.09356025938825856,0.08197857927639335
33,Brito Capelo,Mercado,487.53,1298,1305,2603,164,121,285,0,0,0,0.03664749203682797,0.0499538735630646,0.042296868053230186
34,Mercado,Sr. de Matosinhos,708.96,284,262,546,159,135,294,0,0,0,0.0082811484708611,0.008984910836762689,0.0086043046592853
35,Sra da Hora,Fonte do Cuco,687.03,6945,10371,17316,105,75,180,110,99,209,0.13901509146901456,0.25450136229624704,0.19089683268022564
36,Fonte do Cuco,Custoias,689.2,6647,10080,16728,105,75,180,108,100,208,0.13439852345227948,0.2458663682230379,0.18491786413587843
37,Custoias,Esposade,1779.24,6480,9926,16406,105,75,180,106,88,194,0.13234307490508498,0.26105626058338416,0.18860330771076422
38,Esposade,Crestins,2035.56,6401,9852,16253,105,59,164,84,92,176,0.1471111154677319,0.2770573497813052,0.20555010894444511
39,Crestins,Verdes,591.8199999999999,6318,9763,16081,105,55,160,112,92,204,0.12522364865129249,0.2814000512009809,0.18885922342186734
40,Verdes,Pedras Rubras,960.78,3778,5573,9352,0,0,0,108,92,200,0.14107812881149812,0.24427772156000663,0.188549941475812
41,Pedras Rubras,Lidador,1147.58,3448,5023,8471,0,0,0,108,92,200,0.12875083402912763,0.22016701735244715,0.17080227835785458
42,Lidador,Vilar do Pinheiro,1987.51,3380,4821,8202,0,0,0,108,93,201,0.12621839045972882,0.20904765104675954,0.1645423767014893
43,Vilar do Pinheiro,Modivas Sul,2037.38,3251,4688,7939,0,0,0,108,93,201,0.12138980230694979,0.2032717272995963,0.1592754690945922
44,Modivas Sul,Modivas Centro,1051.08,3243,4644,7887,0,0,0,108,94,202,0.12108296599491257,0.1992119579225949,0.15744002164442814
45,Modivas Centro,Modivas Norte,852.51,3180,4606,7786,0,0,0,107,96,203,0.11984134449237048,0.19349803486738193,0.15467406506380446
46,Modivas Norte,Mindelo,1834.12,2608,4364,6973,0,0,0,103,91,194,0.10212923339953497,0.1934086777728204,0.1449458799870039
47,Mindelo,Espaço Natureza,776.86,2627,4113,6741,0,0,0,98,92,190,0.1081262948663852,0.18029260169912062,0.14306998028013077
48,Espaço Natureza,Varziela,1539.0,2591,4093,6684,0,0,0,103,94,197,0.1014711598043352,0.1755756083082842,0.13683064284682864
49,Varziela,Árvore,858.71,2520,3839,6359,0,0,0,107,95,202,0.09498279168865256,0.1629638414040628,0.12695407744589995
50,Árvore,Azurara,664.57,2514,3792,6306,0,0,0,111,95,206,0.09135295776063859,0.16095761139134102,0.12345219123110815
51,Azurara,Santa Clara,1218.09,2513,3729,6242,0,0,0,114,91,205,0.08888689016375441,0.1652530588852049,0.1227860187181544
52,Santa Clara,Vila do Conde,670.57,2388,3566,5954,0,0,0,109,99,208,0.08835008474643087,0.1452538861929013,0.11543410562720285
53,Vila do Conde,Alto de Pega,730.41,1811,2757,4569,0,0,0,104,94,198,0.07025120202098291,0.11828962174753727,0.09305732047702386
54,Alto de Pega,Portas Fronhas,671.05,1743,2674,4417,0,0,0,107,95,202,0.06571452219469465,0.11350419510123148,0.08818986341311544
55,Portas Fronhas,São Brás,562.21,1437,2204,3641,0,0,0,130,95,225,0.044580227201400036,0.09355809832657605,0.06525977278758546
56,São Brás,Póvoa de Varzim,624.94,1389,2111,3500,0,0,0,133,96,229,0.04214062751701452,0.08866767473118281,0.0616454158688056
57,Sra da Hora,Fonte do Cuco,685.98,4085,5280,9365,50,0,50,74,95,169,0.1401426602809072,0.2241110637050147,0.17767293013733407
58,Fonte do Cuco,Cândido dos Reis,913.51,4026,5212,9238,70,0,70,77,95,172,0.11767538022015168,0.22124125315426246,0.15990765601507775
59,Cândido dos Reis,Pias,916.73,3901,4937,8839,70,0,70,77,95,172,0.11402754269142155,0.20957156851048442,0.15298865540772455
60,Pias,Araújo,1258.13,3794,4763,8557,70,0,70,77,113,190,0.1109043578490972,0.1699626534231211,0.13749577293853238
61,Araújo,Custió,651.69,3755,4548,8304,70,0,70,77,115,192,0.10976534411665712,0.15948085292293926,0.13236618432252245
62,Custió,Parque de Maia,1418.51,3723,4256,7980,70,0,70,81,82,163,0.10575561222903546,0.20932587237674566,0.14367518608694693
63,Parque de Maia,Forum,824.81,3470,3691,7161,70,0,70,110,80,190,0.08184272040654866,0.18608174458729088,0.11507058415567986
64,Forum,Zona Industrial,1119.4,1939,1584,3524,65,0,65,22,55,77,0.09947564190692566,0.1161909430467356,0.10635627649006808
65,Zona Industrial,Mandim,1194.23,1866,1547,3414,65,0,65,21,55,76,0.09698053934816658,0.11347949885139717,0.10382333330414034
66,Mandim,Castêlo da Maia,1468.1,1817,1514,3332,65,0,65,22,55,77,0.09324500160360538,0.11106342209879268,0.1005797208079256
67,Castêlo da Maia,ISMAI,702.48,1392,768,2161,65,0,65,36,53,89,0.06060790182739262,0.05850578210590382,0.05984277495490566
68,Santo Ovídio,D. João II,463.71,8022,4142,12164,350,344,694,0,0,0,0.10611111111111111,0.05575518076832443,0.08115082287203529
69,D. João II,João de Deus,716.25,10744,6134,16879,350,354,704,0,0,0,0.14211747268920175,0.08023307528373062,0.11099946603929155
70,João de Deus,C.M.Gaia,405.01,16163,10572,26736,352,346,698,0,0,0,0.21258484747448048,0.1414697263347474,0.177332939287736
71,C.M.Gaia,General Torres,488.39,18970,11973,30944,350,340,690,0,0,0,0.2509376173936696,0.16304436226130872,0.20762789747337584
72,General Torres,Jardim do Morro,419.98,21404,12557,33961,350,342,692,0,0,0,0.2831225441424236,0.16999110590538388,0.22721076397325077
73,Jardim do Morro,São Bento,795.7,21781,14025,35806,350,350,700,0,0,0,0.2881186450120399,0.185517829084851,0.23681823704844546
74,São Bento,Aliados,443.38,24594,22713,47308,354,346,700,0,0,0,0.32164408800524846,0.3039229599473662,0.31288478756520954
75,Aliados,Trindade,450.27,25152,26062,51215,348,346,694,0,0,0,0.3346172052263222,0.34873145446134146,0.3416539923089111
76,Trindade,Faria Guimaraes,555.34,22721,21616,44338,348,334,682,0,0,0,0.30228142887660003,0.2996273136104661,0.30098161289582476
77,Faria Guimaraes,Marques,621.04,21717,20194,41912,348,344,692,0,0,0,0.2889204835638437,0.2717824883254506,0.2804010177227928
78,Marques,Combatentes,702.75,18360,15566,33927,348,346,694,0,0,0,0.2442650556348836,0.20829310667530637,0.22633091393457563
79,Combatentes,Salgueiros,471.25,16875,13176,30052,346,346,692,0,0,0,0.2258005641029487,0.1763132934974665,0.2010569288002076
80,Salgueiros,Polo Universitario,775.36,15825,11520,27345,344,346,690,0,0,0,0.21298268900144668,0.1541436143465284,0.18347787765274853
81,Polo Universitario,I.P.O.,827.64,11917,9981,21898,344,346,690,0,0,0,0.1603821425517652,0.13355501313423612,0.14692969794529406
82,I.P.O.,Hospital São João,351.77,4463,5838,10301,348,346,694,0,0,0,0.05937597497510442,0.07811496467565834,0.06871846839929989
83,Verdes (E) ,Botica,683.54,2726,4395,7121,105,55,160,0,0,0,0.12021819868233694,0.3699570258487435,0.2060659205207892
84,Botica,Aeroporto,649.66,2595,4132,6728,105,90,195,0,0,0,0.1144512314696009,0.21260288065843613,0.1597519926336787
