,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,2128,626,2754,194,195,389,0,0,0,0.05078274150439099,0.014869233924427544,0.0327798263936124
1,Venda Nova,Carreira,583.47,3842,1072,4915,194,205,399,0,0,0,0.09170715190754235,0.024220008944259745,0.05703330652540466
2,Carreira,Baguim,786.02,6197,1253,7451,232,206,438,0,0,0,0.12367965249210082,0.02817742036488159,0.07876307756468721
3,Baguim,Campainha,751.7,7815,1307,9123,234,183,417,0,0,0,0.15463402405010926,0.03308552916321285,0.10129259823643527
4,Campainha,Rio Tinto,859.99,10866,1627,12493,209,181,390,0,0,0,0.24071092887610632,0.041620855925328576,0.1483127155322838
5,Rio Tinto,Levada,452.83,12329,2005,14334,208,179,387,0,0,0,0.27442592097142116,0.05186158729378389,0.1714827278750463
6,Levada,Nau Vitória,1111.62,15526,2449,17975,208,179,387,0,0,0,0.34557985343538783,0.0633576091908991,0.21504294976674834
7,Nau Vitória,Nasoni,499.02,16012,2637,18649,208,180,388,0,0,0,0.3563981966140697,0.06783458734054751,0.22252848097171404
8,Nasoni,Contumil,650.0,16350,2671,19021,207,192,399,0,0,0,0.36567589673039685,0.06441888697053366,0.22071011759783113
9,Contumil,Estádio do Dragão,619.19,18563,3451,22014,208,179,387,0,0,0,0.4131790153352904,0.08926207889665,0.2633569697990717
10,Estádio do Dragão,Campanhã,1166.02,27107,8072,35180,311,242,553,158,213,371,0.25486973200281526,0.0768115046264987,0.16637279900331955
11,Campanhã,Heroismo,950.92,62103,17102,79206,421,387,808,268,264,532,0.39455681175140744,0.11473473983389525,0.2584514377815055
12,Heroismo,24 de Agosto,571.9,64035,19781,83817,408,396,804,268,264,532,0.41422536830998363,0.1309961888269321,0.2742715988879396
13,24 de Agosto,Bolhão,680.44,72376,28271,100647,404,414,818,263,248,511,0.474636364544588,0.18731616923986685,0.33171488895677803
14,Bolhão,Trindade,451.8,70814,41085,111900,402,419,821,263,238,501,0.46571150527463734,0.27477108986315807,0.3710415677592265
15,Trindade,Lapa,857.4300000000001,71454,67263,138717,422,399,821,263,258,521,0.45693771731725435,0.44792047635015375,0.4525204035171227
16,Lapa,Carolina Michaelis,460.97,69604,67853,137457,421,395,816,252,268,520,0.45365183755363475,0.44703746536333594,0.45036250846036213
17,Carolina Michaelis,Casa da Música,627.48,60955,68010,128965,421,372,793,243,270,513,0.40314506342294343,0.46167425854744376,0.4320285012484928
18,Casa da Música,Francos,871.87,45055,69029,114084,431,391,822,237,272,509,0.29666554595457517,0.45440356987012726,0.3755449427926554
19,Francos,Ramalde,965.03,37329,67108,104437,433,366,799,219,272,491,0.252497185663197,0.45804298181046754,0.3548064130002931
20,Ramalde,Viso,621.15,35695,62094,97789,409,378,787,245,270,515,0.23939864965890792,0.41783754461981854,0.32846945400119515
21,Viso,Sete Bicas,743.81,32051,59397,91449,404,357,761,255,272,527,0.21296296977219176,0.410861448068312,0.3099216348109399
