,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,10856,15868,26724,2042,2009,4051,0,0,0,0.02461276163528857,0.03656782839475857,0.030541601210646564
4,Venda Nova,Carreira,583.47,19373,29019,48393,2040,2009,4049,0,0,0,0.04396751146750193,0.0668746278758951,0.05533337880868786
5,Carreira,Baguim,786.02,28743,38462,67205,2040,2009,4049,0,0,0,0.0652319208158801,0.08863388403120526,0.07684331723464725
6,Baguim,Campainha,751.7,35466,43163,78630,2039,2008,4047,0,0,0,0.08052914958162447,0.09951635957664427,0.08995003361177019
7,Campainha,Rio Tinto,859.99,47579,53686,101265,2038,2007,4045,0,0,0,0.10808302802505455,0.12384006282522086,0.11590116618177489
8,Rio Tinto,Levada,452.83,54308,62002,116311,2037,2007,4044,0,0,0,0.12343114082392496,0.14302325779308836,0.1331545282514994
9,Levada,Nau Vitória,1111.62,71075,76272,147348,2037,2007,4044,0,0,0,0.16153898847634832,0.17594016073649818,0.16868615779536927
10,Nau Vitória,Nasoni,499.02,74567,78414,152982,2037,2007,4044,0,0,0,0.16947551062316402,0.1808815459233095,0.17513622102063978
11,Nasoni,Contumil,650.0,76727,79668,156395,2035,2007,4042,0,0,0,0.1745548390279529,0.18377362698905583,0.17913230252076182
12,Contumil,Estádio do Dragão,619.19,88857,92224,181082,2035,2007,4042,0,0,0,0.2021508841875854,0.21273839012686455,0.20740796593427843
13,Estádio do Dragão,Campanhã,1166.02,162246,165107,327353,3791,3666,7457,1929,1991,3920,0.12506940479247203,0.12842607277930582,0.12674018558374053
14,Campanhã,Heroismo,950.92,323601,312289,635891,4494,4391,8885,3364,3363,6727,0.17928324863736625,0.1751992418238284,0.17725405010085596
15,Heroismo,24 de Agosto,571.9,347779,336465,684244,4494,4391,8885,3366,3363,6729,0.1926250439620604,0.18876249302153317,0.1907061443222461
16,24 de Agosto,Bolhão,680.44,443422,405767,849190,4494,4392,8886,3366,3363,6729,0.2455992726102992,0.2276147470622631,0.23666408848392
17,Bolhão,Trindade,451.8,531024,501045,1032070,4492,4392,8884,3366,3363,6729,0.29419013401637484,0.2810605319220453,0.2876662177819716
18,Trindade,Lapa,857.4300000000001,628813,716084,1344897,4766,4708,9474,3370,3368,6738,0.33712614527665785,0.38661453933777273,0.36178365060640494
19,Lapa,Carolina Michaelis,460.97,620868,710643,1331511,4764,4708,9472,3370,3368,6738,0.3329437681245982,0.3836768383492918,0.35822436902318233
20,Carolina Michaelis,Casa da Música,627.48,586902,676042,1262945,4764,4708,9472,3370,3368,6738,0.31472931663749987,0.36499609472933053,0.33977756129860714
