,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,372,1936,2309,178,179,357,0,0,0,0.00970141489804411,0.05009798186885106,0.029956276208336668
4,Venda Nova,Carreira,583.47,647,3508,4156,178,185,363,0,0,0,0.016836191623271313,0.08780994769381902,0.05300738962065789
5,Carreira,Baguim,786.02,880,4661,5541,178,185,363,0,0,0,0.022890335406226675,0.11666402095423624,0.0706813321731186
6,Baguim,Campainha,751.7,1072,5545,6618,184,183,367,0,0,0,0.02698301221512909,0.14029646733297815,0.08348536176980587
7,Campainha,Rio Tinto,859.99,1485,6844,8330,211,181,392,0,0,0,0.03260319704113918,0.17508033417236044,0.0983898343389735
8,Rio Tinto,Levada,452.83,1726,7938,9665,193,181,374,0,0,0,0.041425213876431506,0.20306120225641702,0.11965011734375068
9,Levada,Nau Vitória,1111.62,2714,9815,12529,195,181,376,0,0,0,0.06444367774305816,0.25105221612380696,0.15427385180400374
10,Nau Vitória,Nasoni,499.02,2836,9977,12813,195,184,379,0,0,0,0.06733307211344584,0.2510366456187872,0.1565189758732949
11,Nasoni,Contumil,650.0,2919,10146,13065,202,192,394,0,0,0,0.06691387227287084,0.24465308118716778,0.1535279030128328
12,Contumil,Estádio do Dragão,619.19,3297,11343,14640,228,182,410,0,0,0,0.06694749760269292,0.2885521950973539,0.1653183633198351
13,Estádio do Dragão,Campanhã,1166.02,6349,21433,27782,297,282,579,170,171,341,0.059724678503269464,0.20744667387556923,0.13253148548820504
14,Campanhã,Heroismo,950.92,13845,33564,47410,352,357,709,302,310,612,0.09173673208074283,0.21796437071570277,0.15548475296712203
15,Heroismo,24 de Agosto,571.9,15040,35030,50070,361,355,716,268,310,578,0.10412635659363881,0.22811946810169775,0.16802025660430167
16,24 de Agosto,Bolhão,680.44,20710,39326,60036,388,373,761,268,310,578,0.13782199927505806,0.2497721421820977,0.19510240386503458
17,Bolhão,Trindade,451.8,31875,40931,72806,373,354,727,268,310,578,0.21679081931542077,0.26692700689832666,0.24238568557874782
18,Trindade,Lapa,857.4300000000001,42352,50539,92892,386,354,740,270,293,563,0.2817169215842383,0.3389034631199284,0.31019485070471486
19,Lapa,Carolina Michaelis,460.97,42043,49649,91693,387,367,754,270,286,556,0.27926526292071746,0.33055667110158166,0.30488095129108844
20,Carolina Michaelis,Casa da Música,627.48,40703,46793,87497,389,386,775,266,259,525,0.271370658552112,0.3170135972575115,0.2940093107578466
21,Casa da Música,Francos,871.87,41984,32895,74879,411,392,803,260,252,512,0.2739483344403652,0.22352180408455316,0.24924600832992083
22,Francos,Ramalde,965.03,39980,29802,69782,425,378,803,233,252,485,0.2672770798821842,0.2067534832081519,0.23757574627087813
23,Ramalde,Viso,621.15,37313,28551,65864,431,374,805,235,252,487,0.2464963704133121,0.1992675084935271,0.2235307721025131
24,Viso,Sete Bicas,743.81,36132,25977,62110,434,375,809,235,238,473,0.23767438385786754,0.18552488247739674,0.212671022145755
25,Sete Bicas,Sra da Hora,674.5,33707,20859,54567,444,375,819,235,235,470,0.21861782977251917,0.14976962437330696,0.18594200565779886
26,Sra da Hora,Vasco da Gama,824.48,8802,9212,18015,194,162,356,0,0,0,0.21006591219081752,0.26327958010611424,0.23428112062418288
27,Vasco da Gama,Estádio do Mar,661.6,7653,9365,17019,195,154,349,0,0,0,0.18170501505987996,0.28156333292328883,0.22576857079330395
28,Estádio do Mar,Pedro Hispano,786.97,7193,9099,16292,194,161,355,0,0,0,0.1716573877398587,0.26164743711348465,0.21246977632902428
29,Pedro Hispano,Parque de Real,656.68,6466,8725,15192,194,161,355,0,0,0,0.1543115061303843,0.2509150595720379,0.19812325853631738
30,Parque de Real,C. Matosinhos,723.67,5847,8500,14348,192,161,353,0,0,0,0.14098834419640038,0.24444850692553138,0.18817555722583404
31,C. Matosinhos,Matosinhos Sul,616.61,4236,6397,10634,190,153,343,0,0,0,0.1032355095298097,0.19357648662061683,0.1435333797773126
32,Matosinhos Sul,Brito Capelo,535.72,2044,2737,4781,193,123,316,0,0,0,0.04903414938517418,0.10303837062503753,0.07005477980448807
33,Brito Capelo,Mercado,487.53,1128,1414,2542,195,121,316,0,0,0,0.02680043043111067,0.05410737702803848,0.037256571374871005
34,Mercado,Sr. de Matosinhos,708.96,268,292,560,195,121,316,0,0,0,0.006370267249526986,0.011172329354147536,0.00820903153642283
35,Sra da Hora,Fonte do Cuco,687.03,12505,8561,21067,100,100,200,156,120,276,0.20742695093312682,0.16670547659305537,0.1886943724533863
36,Fonte do Cuco,Custoias,689.2,11849,8486,20336,100,100,200,156,123,279,0.19655377609533148,0.162879119997078,0.18094248453237863
37,Custoias,Esposade,1779.24,11562,8327,19890,100,100,200,158,122,280,0.19022468094771341,0.16059631410512848,0.1765846899055518
38,Esposade,Crestins,2035.56,11357,8259,19617,100,100,200,150,122,272,0.1931486259267919,0.15928610151070702,0.1772798518330193
39,Crestins,Verdes,591.8199999999999,11183,8109,19292,100,100,200,155,120,275,0.18625984326951178,0.15789829019380708,0.17318399617823538
40,Verdes,Pedras Rubras,960.78,9469,4298,13768,0,0,0,157,120,277,0.24319650400379286,0.1444539150140052,0.2004199311562314
41,Pedras Rubras,Lidador,1147.58,8202,3946,12148,0,0,0,157,120,277,0.21066127799077797,0.13260585119127433,0.17684665266247315
42,Lidador,Vilar do Pinheiro,1987.51,7857,3866,11724,0,0,0,157,120,277,0.20180288194676582,0.12993937396510916,0.17067067632294344
43,Vilar do Pinheiro,Modivas Sul,2037.38,7594,3797,11392,0,0,0,157,120,277,0.1950594115496569,0.1275977826353065,0.1658341571463282
44,Modivas Sul,Modivas Centro,1051.08,7518,3815,11334,0,0,0,155,131,286,0.19558721554969014,0.11745556519264243,0.15979964143509837
45,Modivas Centro,Modivas Norte,852.51,7429,3830,11259,0,0,0,155,121,276,0.19326366975219397,0.12765859309896704,0.16450202382813434
46,Modivas Norte,Mindelo,1834.12,6935,3277,10213,0,0,0,161,100,261,0.17371029104464947,0.13215698985765117,0.1577894859921597
47,Mindelo,Espaço Natureza,776.86,6520,3234,9754,0,0,0,171,100,271,0.1537515959827206,0.130405333545186,0.14513673899470045
48,Espaço Natureza,Varziela,1539.0,6606,3043,9650,0,0,0,155,100,255,0.17187768465709977,0.12271977179062346,0.15260007176828552
49,Varziela,Árvore,858.71,6115,2795,8910,0,0,0,157,100,257,0.15707268243865938,0.11270729897484592,0.13980988731655297
50,Árvore,Azurara,664.57,6082,2810,8893,0,0,0,157,100,257,0.1562239759204543,0.11331815218210685,0.13952910287051365
