,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,2691,743,3435,199,197,396,0,0,0,0.06262795458775357,0.01746291512522791,0.04015948798644662
1,Venda Nova,Carreira,583.47,4803,1224,6027,199,206,405,0,0,0,0.11174258947161136,0.027525782420813855,0.06890638637910695
2,Carreira,Baguim,786.02,7387,1486,8873,238,210,448,0,0,0,0.14370765782639536,0.03276585137189729,0.0917036860508494
3,Baguim,Campainha,751.7,9622,1513,11135,238,184,422,0,0,0,0.18717057237693155,0.03807713247329844,0.12216300616302517
4,Campainha,Rio Tinto,859.99,13069,1885,14955,218,178,396,0,0,0,0.2775616691730803,0.04903248862284946,0.17483895670353208
5,Rio Tinto,Levada,452.83,14666,2358,17024,218,179,397,0,0,0,0.31146840738512865,0.06099368952029078,0.19853396280627225
6,Levada,Nau Vitória,1111.62,18161,3014,21176,218,179,397,0,0,0,0.3856980674242961,0.07796515027739077,0.24694695364773173
7,Nau Vitória,Nasoni,499.02,18752,3155,21907,218,179,397,0,0,0,0.39824536830292795,0.0816011328426833,0.25547630495939194
8,Nasoni,Contumil,650.0,19185,3190,22376,212,199,411,0,0,0,0.41897461585432627,0.07422562477035378,0.25205235496451966
9,Contumil,Estádio do Dragão,619.19,21678,4031,25709,219,191,410,0,0,0,0.45827904212958903,0.09771321062939291,0.2903081303819367
10,Estádio do Dragão,Campanhã,1166.02,32384,9299,41683,319,241,560,157,235,392,0.3002971944428311,0.084284847623858,0.19105539745957806
11,Campanhã,Heroismo,950.92,69782,18812,88594,459,427,886,274,272,546,0.41761632500461393,0.11781080057053957,0.2711117697453954
12,Heroismo,24 de Agosto,571.9,71965,21643,93608,454,438,892,274,270,544,0.43348304830676454,0.13395790679168254,0.2857539831988571
13,24 de Agosto,Bolhão,680.44,80873,30729,111602,426,455,881,274,246,520,0.5055603675127026,0.19291660841164943,0.3495714460838538
14,Bolhão,Trindade,451.8,79104,43891,122996,431,456,887,272,240,512,0.49270508401841456,0.2777686115262497,0.3860923619706197
15,Trindade,Lapa,857.4300000000001,79405,71228,150634,454,440,894,269,254,523,0.48189742460469437,0.4507251068424177,0.4666368866979259
16,Lapa,Carolina Michaelis,460.97,77613,72013,149626,454,437,891,257,259,516,0.47968543845457984,0.4539886492466625,0.46696439542622786
17,Carolina Michaelis,Casa da Música,627.48,68207,73142,141350,454,407,861,252,268,520,0.42481104245173984,0.47379733850853356,0.4488232495035332
18,Casa da Música,Francos,871.87,50670,75678,126349,457,406,863,236,274,510,0.3222509139799413,0.48621868482825736,0.4038176586201918
19,Francos,Ramalde,965.03,43449,74041,117490,457,400,857,218,274,492,0.2843984219245472,0.47969221234950254,0.3825463834899945
20,Ramalde,Viso,621.15,41239,69815,111054,425,407,832,244,274,518,0.2707565476076492,0.4479232606099045,0.3603609053622554
21,Viso,Sete Bicas,743.81,36556,67820,104377,417,379,796,254,276,530,0.23883449576018,0.45119905109361436,0.34405356727961195
22,Sete Bicas,Sra da Hora,674.5,31586,64734,96321,391,355,746,248,311,559,0.2164085762912592,0.42087656347859,0.3213190809925915
23,Sra da Hora,Vasco da Gama,824.48,16974,13411,30385,189,160,349,0,0,0,0.415784836514165,0.3880624945736103,0.4030754533895554
24,Vasco da Gama,Estádio do Mar,661.6,17836,10774,28610,168,164,332,0,0,0,0.49151562130181337,0.30416692464619094,0.3989698795803613
25,Estádio do Mar,Pedro Hispano,786.97,17216,10177,27393,176,160,336,0,0,0,0.4528659369910307,0.29447362653729725,0.3774410272511577
26,Pedro Hispano,Parque de Real,656.68,15904,8714,24619,177,160,337,0,0,0,0.4160125621473745,0.2521603771198187,0.33821923987909874
27,Parque de Real,C. Matosinhos,723.67,15045,7702,22747,177,160,337,0,0,0,0.3935247913157743,0.22287724358136604,0.31250518408282085
28,C. Matosinhos,Matosinhos Sul,616.61,9845,5408,15253,177,160,337,0,0,0,0.25751629622337585,0.15649135199464273,0.20955193101092096
29,Matosinhos Sul,Brito Capelo,535.72,4010,3328,7338,175,162,337,0,0,0,0.10609305091439618,0.09511869710568815,0.10081754552267304
30,Brito Capelo,Mercado,487.53,1783,2179,3963,181,164,345,0,0,0,0.045617530962331815,0.0615341274734254,0.053183681187895133
31,Mercado,Sr. de Matosinhos,708.96,331,542,873,179,162,341,0,0,0,0.008577911479561492,0.015489254686785551,0.011861306199708991
33,Fonte do Cuco,Custoias,689.2,9603,26105,35708,79,58,137,156,216,372,0.17224966530719146,0.39496693147272777,0.2930618282025799
34,Custoias,Esposade,1779.24,9421,25525,34946,79,58,137,152,216,368,0.17204941450377478,0.38618247919162757,0.28915852818955223
35,Esposade,Crestins,2035.56,9328,25168,34496,79,76,155,156,216,372,0.1673226707959502,0.3596288015495854,0.2743592574112585
36,Crestins,Verdes,591.8199999999999,9151,24611,33762,79,78,157,158,198,356,0.16269176092570295,0.37316720768726575,0.2762864963170171
37,Verdes,Pedras Rubras,960.78,6810,20240,27050,0,0,0,158,180,338,0.17380228272146286,0.45341854642829865,0.32271035215113875
38,Pedras Rubras,Lidador,1147.58,6240,17445,23685,0,0,0,158,176,334,0.1592558642469101,0.3996904458512497,0.28595193120009504
39,Lidador,Vilar do Pinheiro,1987.51,6094,16862,22956,0,0,0,158,176,334,0.1555328890011841,0.3863197903269636,0.2771451483824332
40,Vilar do Pinheiro,Modivas Sul,2037.38,6100,15986,22086,0,0,0,158,176,334,0.15568189082397463,0.3662599623818891,0.2666451860161691
41,Modivas Sul,Modivas Centro,1051.08,6161,15772,21933,0,0,0,158,176,334,0.15723261471469438,0.3613620955414668,0.2647978501204188
42,Modivas Centro,Modivas Norte,852.51,6230,15388,21618,0,0,0,158,168,326,0.15899929057719112,0.3693467999363555,0.26739923405062554
43,Modivas Norte,Mindelo,1834.12,5864,14468,20333,0,0,0,158,178,336,0.14966391238836613,0.3277647510905426,0.2440149519389239
44,Mindelo,Espaço Natureza,776.86,5566,13445,19012,0,0,0,158,178,336,0.14206262124586783,0.30458417905619917,0.228160351276341
45,Espaço Natureza,Varziela,1539.0,5328,13553,18882,0,0,0,160,178,338,0.1342968123804392,0.30702374538608207,0.22525951674435762
46,Varziela,Árvore,858.71,5082,12228,17311,0,0,0,160,178,338,0.12809087436929836,0.2770183718696557,0.20652014820084752
47,Árvore,Azurara,664.57,5134,12068,17203,0,0,0,158,178,336,0.13103719905772343,0.2733982481038915,0.20645465956432438
48,Azurara,Santa Clara,1218.09,4996,11910,16906,0,0,0,154,182,336,0.13081971671197798,0.2638824070440191,0.20289534064183362
49,Santa Clara,Vila do Conde,670.57,4673,11713,16387,0,0,0,150,178,328,0.12564127926636112,0.26535423485193427,0.20146111491950752
50,Vila do Conde,Alto de Pega,730.41,2697,8481,11179,0,0,0,159,178,337,0.06841062171911799,0.19213888504366125,0.13376264211012304
51,Alto de Pega,Portas Fronhas,671.05,2334,8256,10591,0,0,0,152,178,330,0.06194140559105715,0.18704092495213293,0.1294193281555162
52,Portas Fronhas,São Brás,562.21,2077,5723,7801,0,0,0,141,178,319,0.05940698219814285,0.1296627153153629,0.09860924080273586
