,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,14446,19917,34363,2042,1993,4035,0,0,0,0.032752022345558095,0.04626814239696246,0.03942801423216253
4,Venda Nova,Carreira,583.47,24279,34752,59031,2042,1993,4035,0,0,0,0.05504603800046114,0.08072717686788902,0.0677306748685612
5,Carreira,Baguim,786.02,33879,44505,78385,2042,1992,4034,0,0,0,0.07681143792589394,0.10343680630910827,0.08995911611611777
6,Baguim,Campainha,751.7,42108,50150,92259,2042,1992,4034,0,0,0,0.09546889928926774,0.11655498457775128,0.10588126465730424
7,Campainha,Rio Tinto,859.99,55518,62108,117626,2041,1993,4034,0,0,0,0.12593373203094638,0.14427395313373303,0.13499472872352294
8,Rio Tinto,Levada,452.83,63250,71693,134943,2041,1993,4034,0,0,0,0.14347247567700563,0.16653942219706053,0.1548687137569435
9,Levada,Nau Vitória,1111.62,82827,89752,172580,2044,1993,4037,0,0,0,0.18760408096295528,0.20848952437652757,0.19791487826868964
10,Nau Vitória,Nasoni,499.02,86637,92000,178637,2044,1994,4038,0,0,0,0.1962316147342131,0.21360479908125926,0.2048106463310457
11,Nasoni,Contumil,650.0,88807,93417,182224,2047,1996,4043,0,0,0,0.20085177819842176,0.21667825553254247,0.20866519614521992
12,Contumil,Estádio do Dragão,619.19,102291,108141,210432,2047,1996,4043,0,0,0,0.23134920115194252,0.25082834066275533,0.24096591212487903
13,Estádio do Dragão,Campanhã,1166.02,193107,189108,382216,3839,3687,7526,1959,2025,3984,0.14684346503700152,0.14562607288230936,0.14623860328325886
14,Campanhã,Heroismo,950.92,368799,350688,719488,4650,4528,9178,3447,3454,6901,0.1983587730431761,0.19114842533963827,0.1947776239499643
15,Heroismo,24 de Agosto,571.9,393336,375794,769130,4648,4528,9176,3451,3454,6905,0.21149200361980774,0.2048328971894331,0.20818513976179387
16,24 de Agosto,Bolhão,680.44,497923,450027,947950,4648,4529,9177,3452,3454,6906,0.2676915148183175,0.24526573425985124,0.25655512268739583
17,Bolhão,Trindade,451.8,590204,552082,1142286,4647,4528,9175,3454,3454,6908,0.31725565872253486,0.3009213164108904,0.3091453021476118
18,Trindade,Lapa,857.4300000000001,679474,765993,1445468,4914,4838,9752,3456,3455,6911,0.35416764715521437,0.4027629966906464,0.3783593380752487
19,Lapa,Carolina Michaelis,460.97,670375,760283,1430659,4917,4839,9756,3456,3455,6911,0.3493066209723315,0.39971522010464733,0.3743981575323471
20,Carolina Michaelis,Casa da Música,627.48,635214,726140,1361355,4915,4838,9753,3456,3455,6911,0.33106010153125764,0.38180807361299973,0.356321980684484
21,Casa da Música,Francos,871.87,580844,611550,1192395,4915,4841,9756,3457,3456,6913,0.3026845735443236,0.32140465546366304,0.31200485958085467
22,Francos,Ramalde,965.03,542052,570422,1112475,4915,4840,9755,3453,3455,6908,0.2826157452230789,0.2998627493838938,0.29120379858144235
23,Ramalde,Viso,621.15,516541,546486,1063027,4913,4840,9753,3453,3455,6908,0.2693753509561754,0.2872795735059176,0.27829167095975765
24,Viso,Sete Bicas,743.81,491907,517297,1009204,4913,4840,9753,3452,3458,6910,0.2565619936261218,0.27182917423187264,0.26416705033985904
25,Sete Bicas,Sra da Hora,674.5,441245,472603,913848,4912,4839,9751,3453,3458,6911,0.2301344700350521,0.2483714870768473,0.23921830088626195
26,Sra da Hora,Vasco da Gama,824.48,148987,155091,304078,2542,2482,5024,0,0,0,0.2713438304166551,0.2892891808053906,0.2802093478658672
27,Vasco da Gama,Estádio do Mar,661.6,143268,147987,291256,2542,2482,5024,0,0,0,0.26092860496338793,0.276038891333564,0.2683935195276349
28,Estádio do Mar,Pedro Hispano,786.97,137654,144190,281845,2542,2483,5025,0,0,0,0.2507047194502784,0.26884778952590704,0.2596697429324249
29,Pedro Hispano,Parque de Real,656.68,125311,133081,258392,2543,2485,5028,0,0,0,0.22813433206911662,0.24793405827606285,0.23791999627441918
30,Parque de Real,C. Matosinhos,723.67,117909,125536,243445,2535,2484,5019,0,0,0,0.2153355425325881,0.23397161330922286,0.22455889375975702
31,C. Matosinhos,Matosinhos Sul,616.61,85643,93017,178660,2536,2481,5017,0,0,0,0.15634807633966324,0.1735731603416341,0.16486620139624877
32,Matosinhos Sul,Brito Capelo,535.72,42082,49369,91452,2528,2476,5004,0,0,0,0.07706712151904076,0.0923117726806982,0.08461023828088406
33,Brito Capelo,Mercado,487.53,21372,28561,49934,2547,2495,5042,0,0,0,0.038848132148163884,0.05299796977716368,0.04585008472340278
34,Mercado,Sr. de Matosinhos,708.96,5096,6354,11451,2523,2475,4998,0,0,0,0.009351801689875976,0.011887392442947996,0.010607421360514882
35,Sra da Hora,Fonte do Cuco,687.03,171641,210670,382311,1537,1496,3033,1934,1988,3922,0.2114785535489308,0.258124044541208,0.2348662904527565
36,Fonte do Cuco,Custoias,689.2,164213,206918,371131,1537,1496,3033,1934,1990,3924,0.20232662528210404,0.2533728066491163,0.22792859195273732
37,Custoias,Esposade,1779.24,160194,203514,363709,1537,1496,3033,1933,1989,3922,0.1974359782675369,0.24928083262145523,0.2234385399424113
38,Esposade,Crestins,2035.56,157907,201397,359304,1537,1496,3033,1933,1989,3922,0.19461665837414308,0.24668746865477845,0.22073254726332797
39,Crestins,Verdes,591.8199999999999,155581,198381,353963,1537,1496,3033,1933,1989,3922,0.19175025723054492,0.24299359646374735,0.21745113160742802
40,Verdes,Pedras Rubras,960.78,120396,129402,249798,0,0,0,1933,1989,3922,0.25114929645188944,0.26233402835065733,0.25682151260350833
41,Pedras Rubras,Lidador,1147.58,107824,114755,222579,0,0,0,1933,1989,3922,0.22492314120846452,0.23264081310498397,0.2288370752732726
42,Lidador,Vilar do Pinheiro,1987.51,104048,110789,214837,0,0,0,1933,1989,3922,0.21704569492550504,0.2246003227829665,0.22087694296438595
43,Vilar do Pinheiro,Modivas Sul,2037.38,101156,107586,208743,0,0,0,1940,1996,3936,0.21025223299814835,0.21734370134271944,0.21384841460784448
44,Modivas Sul,Modivas Centro,1051.08,100491,106804,207296,0,0,0,1940,1996,3936,0.20887055795371473,0.21576273165256846,0.21236567449408872
45,Modivas Centro,Modivas Norte,852.51,99672,105854,205527,0,0,0,1940,1996,3936,0.2071669832711737,0.21384467044829664,0.21055333073193014
46,Modivas Norte,Mindelo,1834.12,90229,96976,187206,0,0,0,1939,1996,3935,0.1876380663584644,0.19590845551734248,0.19183316083397153
47,Mindelo,Espaço Natureza,776.86,86391,92691,179082,0,0,0,1938,1996,3934,0.17974769768095195,0.18725240883808617,0.18355537522788634
48,Espaço Natureza,Varziela,1539.0,85660,92007,177667,0,0,0,1938,1996,3934,0.17822676760530587,0.18587149011886916,0.18210548294263995
49,Varziela,Árvore,858.71,80375,85835,166211,0,0,0,1932,1989,3921,0.16775135941919775,0.17401226516458235,0.17092732002301564
50,Árvore,Azurara,664.57,80171,85437,165609,0,0,0,1932,1989,3921,0.16732425995242717,0.17320663615090945,0.17030820442036423
51,Azurara,Santa Clara,1218.09,79319,84518,163838,0,0,0,1932,1988,3920,0.16554658005915857,0.17142954023934043,0.16853008129339367
52,Santa Clara,Vila do Conde,670.57,76791,81833,158624,0,0,0,1930,1987,3917,0.16043617340543753,0.1660656461969833,0.16329186971302026
53,Vila do Conde,Alto de Pega,730.41,56654,60762,117416,0,0,0,1930,1989,3919,0.1183652686832419,0.12318261690784435,0.12081020504933894
54,Alto de Pega,Portas Fronhas,671.05,53912,57938,111850,0,0,0,1930,1988,3918,0.11263614131933575,0.11751630418336598,0.1151123444264547
55,Portas Fronhas,São Brás,562.21,42911,46295,89207,0,0,0,1930,1987,3917,0.08965401380834716,0.09394818729748207,0.09183234485836274
56,São Brás,Póvoa de Varzim,624.94,41002,44333,85336,0,0,0,1932,1990,3922,0.08557626961825655,0.08983222564435074,0.08773571696448997
57,Sra da Hora,Fonte do Cuco,685.98,131242,130628,261871,815,855,1670,1520,1448,2968,0.23732838961418878,0.2402213640638469,0.23876272237080529
58,Fonte do Cuco,Cândido dos Reis,913.51,126575,129581,256157,815,851,1666,1520,1448,2968,0.22888951855417466,0.23867510680864223,0.2337373099760992
59,Cândido dos Reis,Pias,916.73,121114,124434,245548,815,851,1666,1520,1448,2968,0.21901274996834172,0.2291950231185691,0.22405705953356675
60,Pias,Araújo,1258.13,117321,120367,237689,815,851,1666,1520,1448,2968,0.2121550485399351,0.2217036743295896,0.21688544849040525
61,Araújo,Custió,651.69,114379,116184,230564,815,851,1666,1520,1448,2968,0.20683528707260684,0.21399984361234525,0.21038461643657025
62,Custió,Parque de Maia,1418.51,109065,110490,219555,815,851,1666,1520,1448,2968,0.19722457770817434,0.2035110439913081,0.20033890017189337
63,Parque de Maia,Forum,824.81,95956,95317,191274,815,851,1666,1520,1448,2968,0.173519809699161,0.17556525462129913,0.17453312541301533
64,Forum,Zona Industrial,1119.4,45040,45935,90975,466,394,860,867,885,1752,0.1426808789880709,0.15081291652630732,0.14667421161451258
65,Zona Industrial,Mandim,1194.23,41152,41845,82998,466,394,860,867,885,1752,0.13036625710043678,0.13738684817451804,0.13381380087543931
66,Mandim,Castêlo da Maia,1468.1,37941,38395,76336,466,394,860,867,884,1751,0.12019186576924898,0.1261616176252635,0.12312216731511942
67,Castêlo da Maia,ISMAI,702.48,23972,23281,47253,466,394,860,867,884,1751,0.07594173768289357,0.07649768676725724,0.076214629839993
68,Santo Ovídio,D. João II,463.71,147233,122585,269819,5858,5893,11751,0,0,0,0.11636034293084478,0.09630477053300865,0.10630268927239458
69,D. João II,João de Deus,716.25,199754,181211,380966,5856,5899,11755,0,0,0,0.15792199175627156,0.14221749348937401,0.15004101895521427
70,João de Deus,C.M.Gaia,405.01,307476,285612,593088,5852,5899,11751,0,0,0,0.24325039649319513,0.22415331894285656,0.23366366681321493
71,C.M.Gaia,General Torres,488.39,355564,325445,681009,5852,5905,11757,0,0,0,0.2812940559144725,0.2551550418010853,0.26816563213803707
72,General Torres,Jardim do Morro,419.98,400034,361354,761388,5850,5909,11759,0,0,0,0.3165832116393005,0.2831167928434173,0.29976604447671235
73,Jardim do Morro,São Bento,795.7,415686,383242,798929,5852,5909,11761,0,0,0,0.3288572450340909,0.30026619113511793,0.31449243443218367
74,São Bento,Aliados,443.38,488066,473520,961586,5860,5909,11769,0,0,0,0.38559165915873184,0.37099737011475403,0.3782641331190628
75,Aliados,Trindade,450.27,516909,503949,1020858,5860,5909,11769,0,0,0,0.4083788960076328,0.3948379785466343,0.4015802486053862
76,Trindade,Faria Guimaraes,555.34,428386,409829,838215,5898,5854,11752,0,0,0,0.33626145282349673,0.32411322989955005,0.33021008309946814
77,Faria Guimaraes,Marques,621.04,407407,392869,800277,5898,5854,11752,0,0,0,0.3197944868678946,0.31070064153382937,0.31526458807742336
78,Marques,Combatentes,702.75,333911,315963,649874,5898,5854,11752,0,0,0,0.2621033539190523,0.24987940853347568,0.25601426471830646
79,Combatentes,Salgueiros,471.25,295002,277064,572067,5898,5854,11752,0,0,0,0.23156210467228466,0.21911642954714586,0.2253625656846602
80,Salgueiros,Polo Universitario,775.36,267851,251674,519525,5898,5854,11752,0,0,0,0.21024973082879744,0.1990364788559145,0.20466409629431337
81,Polo Universitario,I.P.O.,827.64,202442,198909,401351,5890,5848,11738,0,0,0,0.1591228999092711,0.1574685777545387,0.1582986985154327
82,I.P.O.,Hospital São João,351.77,92928,109010,201939,5888,5846,11734,0,0,0,0.07306841425692889,0.08632920895579123,0.07967507914610131
83,Verdes (E) ,Botica,683.54,36966,71325,108291,1537,1496,3033,0,0,0,0.11134652549703788,0.22072795125239275,0.16529793101303225
84,Botica,Aeroporto,649.66,32687,66102,98789,1536,1496,3032,0,0,0,0.09852194194161099,0.20456402257872847,0.15084349624013596
