,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,1056,687,1744,126,107,233,0,0,0,0.038837448559638464,0.029737329820400747,0.03465842407423745
4,Venda Nova,Carreira,583.47,1918,1125,3044,133,105,238,0,0,0,0.06678018042850703,0.04963316107215571,0.0592153189477638
5,Carreira,Baguim,786.02,2335,1359,3694,126,105,231,0,0,0,0.08581946780009381,0.05993133943886966,0.0740521367268101
6,Baguim,Campainha,751.7,2910,1504,4414,126,105,231,0,0,0,0.10693950613367899,0.06632235075919622,0.08847716278164136
7,Campainha,Rio Tinto,859.99,3811,1827,5638,126,105,231,0,0,0,0.14004765241793612,0.08056531750550848,0.11301022745774174
8,Rio Tinto,Levada,452.83,4304,2081,6386,126,105,231,0,0,0,0.15817838266306758,0.09179228034481576,0.12800288160931678
9,Levada,Nau Vitória,1111.62,5306,2801,8108,126,105,231,0,0,0,0.19498502440572038,0.12353965621237394,0.16250985704510837
10,Nau Vitória,Nasoni,499.02,5467,2867,8335,124,105,229,0,0,0,0.20412927490244168,0.12645269021079028,0.16851337362461022
11,Nasoni,Contumil,650.0,5578,2926,8504,106,107,213,0,0,0,0.24363117696591402,0.12662987098554504,0.18485587302272397
12,Contumil,Estádio do Dragão,619.19,6642,3556,10198,105,107,212,0,0,0,0.29285927096037456,0.15387811243372768,0.2227131201945669
13,Estádio do Dragão,Campanhã,1166.02,11482,7120,18603,169,168,337,84,145,229,0.20027236414714866,0.09855633148601364,0.14356181401980517
14,Campanhã,Heroismo,950.92,21954,13332,35287,173,179,352,167,256,423,0.2786727245641991,0.1305164131918472,0.1950273277426241
15,Heroismo,24 de Agosto,571.9,23347,14387,37735,177,181,358,167,249,416,0.29313465703776664,0.14266817839756893,0.20906496331653923
16,24 de Agosto,Bolhão,680.44,29043,17494,46538,194,181,375,167,229,396,0.3485837097845732,0.18244539972067966,0.25968884864329256
17,Bolhão,Trindade,451.8,31452,24836,56289,191,180,371,167,238,405,0.380450355286909,0.2536866201360547,0.31172208172780236
18,Trindade,Lapa,857.4300000000001,34373,37547,71920,298,284,582,167,239,406,0.3249389222847991,0.31129547651493755,0.3176702921833078
19,Lapa,Carolina Michaelis,460.97,32614,37249,69863,296,285,581,167,232,399,0.3095780581188906,0.3127658909039247,0.3112695774613059
20,Carolina Michaelis,Casa da Música,627.48,31044,35219,66264,297,285,582,167,216,383,0.2940689397023581,0.3059192298161241,0.30025074725762707
21,Casa da Música,Francos,871.87,27679,29767,57446,294,282,576,169,216,385,0.2625700414733238,0.26002360656949547,0.2612443426530166
22,Francos,Ramalde,965.03,26376,27848,54224,298,284,582,168,216,384,0.2487562996965362,0.2423443893841517,0.2454214934206621
23,Ramalde,Viso,621.15,25837,26423,52260,298,273,571,171,216,387,0.2419748492153786,0.23479749328141117,0.23829191837992517
24,Viso,Sete Bicas,743.81,24739,24879,49619,298,263,561,190,216,406,0.221904225954082,0.2254083946730917,0.22364752872753516
25,Sete Bicas,Sra da Hora,674.5,21533,24331,45865,300,264,564,183,222,405,0.1954310895866368,0.21709381163999955,0.2063548464151871
26,Sra da Hora,Vasco da Gama,824.48,11455,7986,19442,187,125,312,0,0,0,0.2836112477786285,0.295793410098154,0.28849192178484867
27,Vasco da Gama,Estádio do Mar,661.6,11675,7732,19408,174,128,302,0,0,0,0.31064938532317277,0.27968502481881496,0.29752541795708737
28,Estádio do Mar,Pedro Hispano,786.97,11669,7771,19440,169,144,313,0,0,0,0.31966459524159746,0.24985890345220277,0.2875495165908855
29,Pedro Hispano,Parque de Real,656.68,11179,7161,18341,168,146,314,0,0,0,0.30808966784820896,0.22708747573664795,0.27042622820397993
30,Parque de Real,C. Matosinhos,723.67,11040,6886,17926,169,146,315,0,0,0,0.30243318921360846,0.218365207390276,0.26346834684469883
31,C. Matosinhos,Matosinhos Sul,616.61,9293,5150,14443,160,146,306,0,0,0,0.26889781412761915,0.16332017339923025,0.21852416855132903
32,Matosinhos Sul,Brito Capelo,535.72,3571,3386,6957,141,146,287,0,0,0,0.11727582245002431,0.10737258546695158,0.11223793882797338
33,Brito Capelo,Mercado,487.53,1683,1835,3518,146,146,292,0,0,0,0.05336869840420963,0.05820328404102389,0.05578599122261676
34,Mercado,Sr. de Matosinhos,708.96,369,342,712,145,146,291,0,0,0,0.011807467275947427,0.010876458650411666,0.01134036329200165
35,Sra da Hora,Fonte do Cuco,687.03,9055,12253,21308,114,126,240,105,120,225,0.17872738877185296,0.21505747740605619,0.19795762966763858
36,Fonte do Cuco,Custoias,689.2,8707,11893,20601,127,126,253,105,108,213,0.16284268449922537,0.22024995355726568,0.19168733733097854
37,Custoias,Esposade,1779.24,8496,11662,20159,127,126,253,107,105,212,0.15744470700716065,0.2189916574751234,0.1880138369978514
38,Esposade,Crestins,2035.56,8424,11574,19998,127,109,236,109,105,214,0.1546730901855032,0.23343129404443755,0.1922052559180632
39,Crestins,Verdes,591.8199999999999,8351,11424,19776,126,105,231,126,105,231,0.14284323031040463,0.23450201263976034,0.18450631318738447
40,Verdes,Pedras Rubras,960.78,5687,6881,12568,0,0,0,127,105,232,0.1805643227921356,0.2642503216419655,0.21843945158192932
41,Pedras Rubras,Lidador,1147.58,5303,6206,11510,0,0,0,127,105,232,0.16840109342286508,0.23833298174062503,0.20005130149771336
42,Lidador,Vilar do Pinheiro,1987.51,5223,6046,11269,0,0,0,127,106,233,0.16583557014391404,0.2300144272887977,0.1950328184587538
43,Vilar do Pinheiro,Modivas Sul,2037.38,5108,5836,10944,0,0,0,127,83,210,0.16218146811239198,0.28352921499548167,0.21014272045189886
44,Modivas Sul,Modivas Centro,1051.08,5098,5774,10873,0,0,0,127,83,210,0.16186969407902396,0.28055680316084985,0.20877936100184089
45,Modivas Centro,Modivas Norte,852.51,5119,5694,10814,0,0,0,127,84,211,0.1625439560661669,0.2733697478334156,0.20666417648535595
46,Modivas Norte,Mindelo,1834.12,4057,5667,9724,0,0,0,127,84,211,0.12881432518579447,0.27206585527545313,0.1858433703399714
47,Mindelo,Espaço Natureza,776.86,3999,5433,9432,0,0,0,127,84,211,0.12697019897726916,0.2608451399558006,0.18026638401137646
48,Espaço Natureza,Varziela,1539.0,3982,5429,9412,0,0,0,127,84,211,0.12645923522521274,0.26062234233681847,0.17987014042604157
49,Varziela,Árvore,858.71,3999,5123,9123,0,0,0,128,84,212,0.1260053568718845,0.24595205952959356,0.17353140886833526
50,Árvore,Azurara,664.57,3992,5101,9094,0,0,0,125,85,210,0.12879158817198672,0.24200869825235882,0.17461756129975636
51,Azurara,Santa Clara,1218.09,3972,5014,8986,0,0,0,124,85,209,0.12917919729171665,0.23786281323758812,0.17338066789171222
