,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,153,422,576,43,45,88,0,0,0,0.01658053402234884,0.04351413778963748,0.030353399585166897
1,Venda Nova,Carreira,583.47,243,843,1086,43,45,88,0,0,0,0.026205508514414864,0.08675654794376066,0.05716910822260306
2,Carreira,Baguim,786.02,305,1054,1360,43,46,89,0,0,0,0.0329165843326898,0.10610658394337757,0.07074512345731494
3,Baguim,Campainha,751.7,360,1230,1591,43,47,90,0,0,0,0.03879825793947244,0.12124520099282612,0.08185388375622381
4,Campainha,Rio Tinto,859.99,445,1583,2029,43,47,90,0,0,0,0.048000835131579656,0.15598679174653715,0.10439350136383523
5,Rio Tinto,Levada,452.83,508,1785,2294,43,47,90,0,0,0,0.05474681066312639,0.17590740953630754,0.11801956785245434
6,Levada,Nau Vitória,1111.62,964,2130,3095,43,47,90,0,0,0,0.10388775577489714,0.20987946460990714,0.1592389814998468
7,Nau Vitória,Nasoni,499.02,960,2166,3127,43,47,90,0,0,0,0.1034290580421926,0.21343198421588708,0.1608750305995664
8,Nasoni,Contumil,650.0,978,2190,3168,43,47,90,0,0,0,0.10535007761174714,0.21573273317338346,0.162994353293935
9,Contumil,Estádio do Dragão,619.19,1093,2444,3538,43,47,90,0,0,0,0.11777638519339251,0.2408181760293489,0.18203154262994753
10,Estádio do Dragão,Campanhã,1166.02,6089,3762,9851,95,86,181,50,45,95,0.18497727584255483,0.12652028731758755,0.15723409066031488
11,Campanhã,Heroismo,950.92,8931,5815,14747,96,87,183,89,90,179,0.20863573467810037,0.14146448259130678,0.17572886485216785
12,Heroismo,24 de Agosto,571.9,9064,6293,15357,97,88,185,89,84,173,0.21067544738677024,0.1579630445044984,0.18533196733717439
13,24 de Agosto,Bolhão,680.44,10123,7490,17614,95,88,183,89,84,173,0.23768091536510122,0.18802243763570972,0.21368060295318647
14,Bolhão,Trindade,451.8,11737,8276,20014,96,88,184,89,84,173,0.27419102501808384,0.20774573557995815,0.24216144981705143
15,Trindade,Lapa,857.4300000000001,14278,11200,25479,138,130,268,89,84,173,0.2752184670379915,0.22900185957368416,0.25279062847645684
16,Lapa,Carolina Michaelis,460.97,13361,11341,24702,138,126,264,89,84,173,0.2575443020390203,0.23604541821797057,0.2472070755376013
17,Carolina Michaelis,Casa da Música,627.48,12597,11081,23678,138,127,265,89,84,173,0.24282119621150106,0.22959378738845365,0.23644629946845547
18,Casa da Música,Francos,871.87,11018,9389,20407,137,130,267,94,84,178,0.20826673700692896,0.19196416099769853,0.20043504456405675
19,Francos,Ramalde,965.03,10227,9042,19269,137,139,276,89,84,173,0.19795586256551795,0.177799523713888,0.18795712311332818
20,Ramalde,Viso,621.15,9616,8980,18597,137,130,267,89,84,173,0.18614420592567282,0.18360431304428343,0.1849090082580929
21,Viso,Sete Bicas,743.81,9197,8843,18041,137,129,266,89,84,173,0.17802321357027717,0.18161495107113654,0.17976597213287032
22,Sete Bicas,Sra da Hora,674.5,8801,6674,15476,145,129,274,89,87,176,0.16485139336449414,0.1350042208367951,0.15050134464649353
23,Sra da Hora,Vasco da Gama,824.48,2610,2914,5524,86,85,171,0,0,0,0.14051609549370794,0.15872538694899055,0.14956749767908234
24,Vasco da Gama,Estádio do Mar,661.6,2322,2894,5216,86,86,172,0,0,0,0.1250008240841502,0.15581892211008536,0.14040987309711778
25,Estádio do Mar,Pedro Hispano,786.97,2219,2923,5143,86,83,169,0,0,0,0.1195054617695799,0.16306922461754325,0.14090068257656782
26,Pedro Hispano,Parque de Real,656.68,2062,2893,4955,86,83,169,0,0,0,0.11103522251170254,0.16137056274691208,0.13575612925443858
27,Parque de Real,C. Matosinhos,723.67,1903,2854,4758,88,83,171,0,0,0,0.10014797944915295,0.15921402957667388,0.128817465768359
28,C. Matosinhos,Matosinhos Sul,616.61,1517,2482,4000,89,84,173,0,0,0,0.078939026510965,0.13684415081531337,0.10705480941018616
29,Matosinhos Sul,Brito Capelo,535.72,728,784,1513,86,84,170,0,0,0,0.03921520233424756,0.043241102080052,0.04120447044393916
30,Brito Capelo,Mercado,487.53,369,432,801,85,84,169,0,0,0,0.020104264352462098,0.023829217644368954,0.02195572042654598
31,Mercado,Sr. de Matosinhos,708.96,80,62,142,86,84,170,0,0,0,0.004337860127843869,0.0034171075838651793,0.0038829000472896933
33,Fonte do Cuco,Custoias,689.2,3576,3260,6836,40,42,82,44,42,86,0.18291428057071413,0.16729429219797562,0.17511708965350284
34,Custoias,Esposade,1779.24,3478,3228,6707,42,42,84,44,42,86,0.17408495426307605,0.1656698774630446,0.1699302872414148
35,Esposade,Crestins,2035.56,3406,3213,6620,42,42,84,44,42,86,0.17045908435192908,0.16491188704653068,0.16772033837788156
36,Crestins,Verdes,591.8199999999999,3360,3144,6505,42,42,84,42,42,84,0.17244999470487096,0.1613675760327219,0.16690878536879644
37,Verdes,Pedras Rubras,960.78,2350,1313,3664,0,0,0,43,42,85,0.220432122107366,0.1260971252227872,0.17381953541145648
38,Pedras Rubras,Lidador,1147.58,2140,1212,3353,0,0,0,43,42,85,0.20070380062389445,0.11643608611272305,0.15906563580660976
39,Lidador,Vilar do Pinheiro,1987.51,2074,1172,3246,0,0,0,43,42,85,0.19452936300069532,0.11256872869719563,0.15403116722720134
40,Vilar do Pinheiro,Modivas Sul,2037.38,1977,1208,3186,0,0,0,43,42,85,0.1854775899809645,0.11600349553261224,0.1511492139006022
41,Modivas Sul,Modivas Centro,1051.08,1951,1214,3165,0,0,0,43,42,85,0.18300449370483812,0.11658442532014879,0.15018516579710925
42,Modivas Centro,Modivas Norte,852.51,1941,1218,3160,0,0,0,43,42,85,0.1820965727485428,0.11699233453330117,0.14992741974807045
43,Modivas Norte,Mindelo,1834.12,1906,881,2788,0,0,0,43,42,85,0.17879158462809025,0.08464531008514165,0.13227224897157447
44,Mindelo,Espaço Natureza,776.86,1785,873,2658,0,0,0,43,42,85,0.16740811166504035,0.08385812594871528,0.1261245893110915
45,Espaço Natureza,Varziela,1539.0,1760,862,2623,0,0,0,43,42,85,0.16506767356812257,0.08282723202715327,0.12443122010082008
46,Varziela,Árvore,858.71,1634,835,2470,0,0,0,43,33,76,0.1532779126608138,0.10211561225867355,0.13106270327567396
47,Árvore,Azurara,664.57,1626,828,2454,0,0,0,43,26,69,0.1524954837250594,0.12848377339531392,0.1434475928761698
48,Azurara,Santa Clara,1218.09,1592,820,2413,0,0,0,43,41,84,0.14935967867120312,0.08072302248485907,0.11585845362786852
49,Santa Clara,Vila do Conde,670.57,1546,794,2340,0,0,0,43,42,85,0.1450013562594757,0.07624109639217928,0.11102569844269393
50,Vila do Conde,Alto de Pega,730.41,1252,661,1914,0,0,0,41,42,83,0.1231805501506926,0.06353580182931576,0.0929988702772248
51,Alto de Pega,Portas Fronhas,671.05,1219,640,1860,0,0,0,45,42,87,0.10923663677972115,0.06153912467646806,0.08621025162642655
52,Portas Fronhas,São Brás,562.21,983,533,1517,0,0,0,43,42,85,0.09225259819216293,0.051240637570639416,0.0719878647085866
53,São Brás,Póvoa de Varzim,624.94,893,504,1397,0,0,0,42,42,84,0.08575052630186945,0.04838709677433434,0.06706881153810189
55,Fonte do Cuco,Cândido dos Reis,913.51,2077,1076,3153,0,2,2,43,41,84,0.19477076415301284,0.10159927214476004,0.14832523107892143
56,Cândido dos Reis,Pias,916.73,1964,1050,3015,0,2,2,43,41,84,0.18420561799161958,0.09914503558603298,0.1418033336848467
57,Pias,Araújo,1258.13,1906,1026,2932,0,2,2,43,41,84,0.17874841791823376,0.0968519213712715,0.13792341493677213
58,Araújo,Custió,651.69,1847,990,2837,0,2,2,43,41,84,0.1732468680097557,0.09344266880704388,0.13346486502119545
59,Custió,Parque de Maia,1418.51,1704,967,2671,0,1,1,43,46,89,0.15984249895410965,0.08319685231544847,0.11986901562102469
60,Parque de Maia,Forum,824.81,1491,877,2369,0,1,1,43,41,84,0.13990480663046626,0.08447235937222156,0.112557289891127
61,Forum,Zona Industrial,1119.4,533,345,879,0,1,1,44,41,85,0.048915882825745764,0.03330840465497377,0.04130562487470819
62,Zona Industrial,Mandim,1194.23,477,301,779,0,1,1,44,41,85,0.04372837465385667,0.029072989578521356,0.0365823604435692
63,Mandim,Castêlo da Maia,1468.1,446,244,691,0,1,1,44,41,85,0.04092104848129644,0.023585342254468598,0.032468100816975425
64,Castêlo da Maia,ISMAI,702.48,217,104,322,0,1,1,38,41,79,0.023097945514228044,0.010111710323547443,0.01629013724383086
65,Santo Ovídio,D. João II,463.71,1076,2018,3095,128,128,256,0,0,0,0.03895399305530836,0.07298988034384056,0.05597193669957446
66,D. João II,João de Deus,716.25,1646,3143,4790,128,128,256,0,0,0,0.059563313666010656,0.11369682079609715,0.08663006723105392
67,João de Deus,C.M.Gaia,405.01,3223,4924,8148,128,128,256,0,0,0,0.11660045684406806,0.17812473372922105,0.14736259528664455
68,C.M.Gaia,General Torres,488.39,3523,5714,9237,128,128,256,0,0,0,0.12743914728436814,0.20668578736503013,0.16706246732469912
69,General Torres,Jardim do Morro,419.98,3751,6413,10165,128,132,260,0,0,0,0.135689153384986,0.22495644166438086,0.18100946897298648
70,Jardim do Morro,São Bento,795.7,5134,6784,11919,128,127,255,0,0,0,0.18571336754332524,0.24732866700724848,0.21640020296261253
71,São Bento,Aliados,443.38,9182,7640,16823,128,128,256,0,0,0,0.33212248514674103,0.2763525784866954,0.3042375318167182
72,Aliados,Trindade,450.27,10905,7864,18770,128,128,256,0,0,0,0.3944481517915005,0.28445778094366725,0.3394529663675839
73,Trindade,Faria Guimaraes,555.34,7360,3974,11334,128,128,256,0,0,0,0.2662155108860773,0.14375335928059083,0.20498443508333408
74,Faria Guimaraes,Marques,621.04,6685,3749,10434,128,127,255,0,0,0,0.24179383956421963,0.13667513471590859,0.1894406022476098
75,Marques,Combatentes,702.75,4652,2905,7557,129,129,258,0,0,0,0.16697911753990902,0.10426403380544179,0.1356215756726754
76,Combatentes,Salgueiros,471.25,3734,2315,6050,125,127,252,0,0,0,0.13832783243350055,0.08441093026853407,0.11115542539004522
77,Salgueiros,Polo Universitario,775.36,3034,2142,5176,127,127,254,0,0,0,0.11062059251226701,0.07808503800255695,0.09435281525741197
78,Polo Universitario,I.P.O.,827.64,2285,1926,4212,127,128,255,0,0,0,0.08332316406697945,0.06968773973203753,0.07647871577336154
79,I.P.O.,Hospital São João,351.77,1387,1222,2610,127,128,255,0,0,0,0.05059302981730217,0.04423466435161479,0.047401379701192424
80,Verdes (E) ,Botica,683.54,1051,1865,2917,42,42,84,0,0,0,0.11592918588232992,0.2056474456747345,0.16078831577853223
81,Botica,Aeroporto,649.66,865,1769,2635,42,42,84,0,0,0,0.09539092165115928,0.1951058201057224,0.1452483708784408
82,Sra da Hora,Fonte do Cuco,687.03,5893,4395,10289,41,44,85,87,83,87,0.1962216644515945,0.136424362509355,0.16643212611001096
