,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,15964,19807,35772,1941,1901,3842,0,0,0,0.0380793596274242,0.048238356428953494,0.043105974130211076
4,Venda Nova,Carreira,583.47,26403,34545,60949,1941,1901,3842,0,0,0,0.06297737955706308,0.08413093770696298,0.07344404120281
5,Carreira,Baguim,786.02,34539,42695,77235,1941,1901,3842,0,0,0,0.08238377992385312,0.10397925069651402,0.09306909745087769
6,Baguim,Campainha,751.7,41899,47627,89527,1941,1901,3842,0,0,0,0.09993812774791655,0.11599152926263835,0.10788126056402433
7,Campainha,Rio Tinto,859.99,54003,57981,111985,1939,1903,3842,0,0,0,0.12894131804350853,0.1410584135849765,0.13494309649624503
8,Rio Tinto,Levada,452.83,60690,66200,126890,1939,1903,3842,0,0,0,0.1449078236947312,0.16105204379302995,0.15290429710625192
9,Levada,Nau Vitória,1111.62,80684,82804,163489,1939,1905,3844,0,0,0,0.19264596437076403,0.2012354516567205,0.19690272120732674
10,Nau Vitória,Nasoni,499.02,83607,84477,168084,1940,1905,3845,0,0,0,0.19952153417494659,0.20530126103485993,0.202385091955996
11,Nasoni,Contumil,650.0,85207,85486,170694,1943,1905,3848,0,0,0,0.20302531814656585,0.20775473640642406,0.20536667515930748
12,Contumil,Estádio do Dragão,619.19,98295,98087,196383,1944,1907,3851,0,0,0,0.23409141970967287,0.23812827120339858,0.23609045263580503
13,Estádio do Dragão,Campanhã,1166.02,180378,169100,349479,2976,2947,5923,1909,1991,3900,0.16159394527096083,0.14960375174743412,0.15556129656256976
14,Campanhã,Heroismo,950.92,340530,304428,644958,3070,3047,6117,3458,3559,7017,0.2239294791144678,0.19758024451640338,0.2106684507906775
15,Heroismo,24 de Agosto,571.9,360356,324273,684630,3070,3047,6117,3461,3561,7022,0.23685103182084966,0.21039249859584985,0.22353610209511895
16,24 de Agosto,Bolhão,680.44,445955,381706,827661,3067,3047,6114,3461,3561,7022,0.2932376577868139,0.24765521416174602,0.27029400226166606
17,Bolhão,Trindade,451.8,527456,468367,995823,3065,3047,6112,3463,3563,7026,0.34681402412653983,0.303784084120193,0.32515214784228
18,Trindade,Lapa,857.4300000000001,636859,674873,1311732,4734,4678,9412,3460,3560,7020,0.33864251416145963,0.35644805594779677,0.34757525385164173
19,Lapa,Carolina Michaelis,460.97,596706,675719,1272426,4731,4677,9408,3462,3560,7022,0.31731760182673463,0.3569358861477734,0.33719309670575953
20,Carolina Michaelis,Casa da Música,627.48,569982,649325,1219307,4727,4678,9405,3461,3560,7021,0.30328541878643844,0.3429543213851642,0.3231933051580229
21,Casa da Música,Francos,871.87,522033,553470,1075504,4726,4683,9409,3459,3560,7019,0.27787725550239295,0.2921602081516884,0.2850485616697137
22,Francos,Ramalde,965.03,492843,523993,1016836,4726,4682,9408,3459,3560,7019,0.2623392027102014,0.2766316156437354,0.2695148513566843
23,Ramalde,Viso,621.15,473098,505286,978384,4726,4683,9409,3459,3560,7019,0.2518291464609452,0.26672506146381597,0.25930821397246856
24,Viso,Sete Bicas,743.81,452608,481325,933933,4728,4685,9413,3459,3560,7019,0.2408669679521253,0.25401884827922977,0.2474703694336116
25,Sete Bicas,Sra da Hora,674.5,406808,440476,847284,4722,4684,9406,3459,3560,7019,0.2166427124840135,0.23248735753003485,0.22460040019320965
26,Sra da Hora,Vasco da Gama,824.48,161610,166811,328421,3000,2938,5938,0,0,0,0.24939840745203146,0.26285678022776965,0.25605733288401505
27,Vasco da Gama,Estádio do Mar,661.6,156511,160609,317120,3000,2939,5939,0,0,0,0.2415298509099185,0.2529982855844122,0.24720517158820385
28,Estádio do Mar,Pedro Hispano,786.97,153828,159983,313812,3000,2939,5939,0,0,0,0.23738943138388996,0.2520126058412709,0.2446259206464329
29,Pedro Hispano,Parque de Real,656.68,143918,151318,295237,3000,2939,5939,0,0,0,0.22209650289535596,0.2383631291163636,0.23014627801971044
30,Parque de Real,C. Matosinhos,723.67,138347,146188,284536,2996,2939,5935,0,0,0,0.21378424496589535,0.2302822617765563,0.22195402953312915
31,C. Matosinhos,Matosinhos Sul,616.61,109153,116582,225735,2990,2937,5927,0,0,0,0.1690096180236132,0.1837699840130006,0.17632380646816032
32,Matosinhos Sul,Brito Capelo,535.72,44889,53209,98099,2990,2941,5931,0,0,0,0.06950620470825271,0.08376093830595671,0.07657468751230725
33,Brito Capelo,Mercado,487.53,22119,30011,52131,2992,2944,5936,0,0,0,0.03422702731429834,0.04719505790401291,0.04065861121863117
34,Mercado,Sr. de Matosinhos,708.96,5321,6660,11982,2989,2935,5924,0,0,0,0.008241845627090195,0.01050697204870045,0.009364085000389672
35,Sra da Hora,Fonte do Cuco,687.03,165729,204863,370593,1673,1634,3307,1899,1897,3796,0.19911746674097552,0.24880235870169667,0.22382607691688558
36,Fonte do Cuco,Custoias,689.2,159013,201031,360045,1673,1634,3307,1899,1896,3795,0.19104863131431674,0.24422179140728065,0.21748797494371275
37,Custoias,Esposade,1779.24,155180,197277,352458,1670,1630,3300,1900,1897,3797,0.1865332075747791,0.2398408846971434,0.21303586676276662
38,Esposade,Crestins,2035.56,153241,195367,348608,1670,1630,3300,1900,1898,3798,0.18420212113895743,0.23744647926038065,0.21067731304794965
39,Crestins,Verdes,591.8199999999999,151015,192470,343486,1671,1630,3301,1898,1898,3796,0.1815872606098665,0.2339263030209528,0.2076166984511715
40,Verdes,Pedras Rubras,960.78,111416,121389,232806,3,3,6,1899,1899,3798,0.23625316518042844,0.2574000938510522,0.24682662951574033
41,Pedras Rubras,Lidador,1147.58,101766,109548,211315,3,3,6,1899,1899,3798,0.21579012314175308,0.23229128840536128,0.22404070577355717
42,Lidador,Vilar do Pinheiro,1987.51,98858,106356,205214,3,3,6,1899,1899,3798,0.20962305926107377,0.2255228117147441,0.21757293548790893
43,Vilar do Pinheiro,Modivas Sul,2037.38,96477,103634,200111,3,3,6,1899,1899,3798,0.2045739131263686,0.21975137516093424,0.21216264414365144
44,Modivas Sul,Modivas Centro,1051.08,95828,102820,198648,3,3,6,1899,1899,3798,0.20319766645233026,0.21802385998501425,0.21061076321867225
45,Modivas Centro,Modivas Norte,852.51,95247,102107,197354,3,3,6,1899,1899,3798,0.2019659505267503,0.2165133986984361,0.20923967461259319
46,Modivas Norte,Mindelo,1834.12,84190,91912,176102,3,3,6,1899,1899,3798,0.17852077580655298,0.1948944016418189,0.18670758872418597
47,Mindelo,Espaço Natureza,776.86,80667,87694,168362,3,3,6,1899,1899,3798,0.17105084607984036,0.18595119136862792,0.17850101872423416
48,Espaço Natureza,Varziela,1539.0,79827,86948,166775,3,3,6,1899,1899,3798,0.16926878689761676,0.18436836160418787,0.1768185742509023
49,Varziela,Árvore,858.71,75867,82055,157922,3,3,6,1897,1898,3795,0.1610415457591885,0.17408479594154921,0.16756488696552183
50,Árvore,Azurara,664.57,75754,81500,157254,3,3,6,1897,1898,3795,0.16080220301686093,0.17290733199505662,0.16685636019144573
51,Azurara,Santa Clara,1218.09,74920,80472,155392,3,3,6,1897,1899,3796,0.15903159835875105,0.17063620167421498,0.1648369528746678
52,Santa Clara,Vila do Conde,670.57,71617,77059,148676,3,3,6,1897,1899,3796,0.1520202747106992,0.16340039058251088,0.15771332644819727
53,Vila do Conde,Alto de Pega,730.41,57598,62063,119662,3,3,6,1896,1898,3794,0.12232755339402242,0.1316718197628621,0.12700214609699811
54,Alto de Pega,Portas Fronhas,671.05,55977,60278,116256,3,3,6,1896,1898,3794,0.11888544651899381,0.12788353185535734,0.12338685758689562
55,Portas Fronhas,São Brás,562.21,46867,50303,97171,3,3,6,1894,1899,3793,0.09964268805230724,0.10666508677088474,0.10315850956880597
56,São Brás,Póvoa de Varzim,624.94,44957,48198,93155,3,3,6,1894,1896,3790,0.0955815991478142,0.10236250573429663,0.09897383913489981
57,Sra da Hora,Fonte do Cuco,685.98,106135,107927,214062,98,103,201,1562,1562,3124,0.25979005280135464,0.26347895460980725,0.26163693842189417
58,Fonte do Cuco,Cândido dos Reis,913.51,101635,106598,208234,98,98,196,1562,1562,3124,0.24877575035005525,0.2609228073540908,0.25484927885207304
59,Cândido dos Reis,Pias,916.73,96808,103041,199850,98,98,196,1562,1562,3124,0.23696083860043848,0.25221705951328477,0.24458894905686163
60,Pias,Araújo,1258.13,94122,98859,192981,98,98,196,1562,1562,3124,0.23038542669126877,0.24197944624055684,0.2361824364659128
61,Araújo,Custió,651.69,91618,95124,186742,98,98,196,1562,1562,3124,0.22425658866941697,0.23283691375245888,0.22854675121093793
62,Custió,Parque de Maia,1418.51,87149,90088,177238,98,98,196,1562,1562,3124,0.21331710332241102,0.22051215397735568,0.21691462864988334
63,Parque de Maia,Forum,824.81,76308,77382,153691,98,98,196,1562,1562,3124,0.18678224055379988,0.18940980507759003,0.18809602281569499
64,Forum,Zona Industrial,1119.4,30306,32105,62412,60,63,123,886,887,1773,0.13024708851623504,0.1374472478559549,0.13385408618971562
65,Zona Industrial,Mandim,1194.23,26162,27589,53751,60,63,123,886,887,1773,0.11243603649945505,0.11811366071986018,0.11528030374239288
66,Mandim,Castêlo da Maia,1468.1,23217,24432,47649,60,63,123,886,887,1773,0.09977910964632306,0.10459701087208897,0.10219268935927882
67,Castêlo da Maia,ISMAI,702.48,12183,12240,24423,60,63,123,886,886,1772,0.05236080059008588,0.05245654335395774,0.052408738536523836
68,Santo Ovídio,D. João II,463.71,114711,89945,204657,5228,5292,10520,0,0,0,0.10158264614975382,0.07868712469388253,0.09006524125008929
69,D. João II,João de Deus,716.25,161989,138384,300374,5232,5294,10526,0,0,0,0.14333963543744782,0.12101768847863158,0.1321129218520428
70,João de Deus,C.M.Gaia,405.01,261425,227870,489296,5230,5294,10524,0,0,0,0.23141559839265424,0.19927419979171096,0.21524716773953814
71,C.M.Gaia,General Torres,488.39,300624,260584,561208,5229,5294,10523,0,0,0,0.26616567901065097,0.2278822184181448,0.24690571128502825
72,General Torres,Jardim do Morro,419.98,332099,287654,619754,5227,5294,10521,0,0,0,0.294145315521884,0.25155568786948646,0.27271489172264507
73,Jardim do Morro,São Bento,795.7,354821,314170,668991,5222,5297,10519,0,0,0,0.3145716023549992,0.27458786168686383,0.29443719087870746
74,São Bento,Aliados,443.38,419791,394489,814280,5224,5297,10521,0,0,0,0.3720284986819701,0.34478737670913584,0.3583134313794225
75,Aliados,Trindade,450.27,446909,423042,869951,5226,5297,10523,0,0,0,0.3959100439816751,0.36974305409505054,0.3827382730580364
76,Trindade,Faria Guimaraes,555.34,294737,270305,565043,5273,5244,10517,0,0,0,0.25877559191231336,0.23863771637951356,0.24873441864103807
77,Faria Guimaraes,Marques,621.04,273517,252327,525844,5272,5247,10519,0,0,0,0.2401905128504195,0.22263784682179708,0.23143503812352703
78,Marques,Combatentes,702.75,208115,186464,394579,5272,5246,10518,0,0,0,0.18275731231583509,0.16455631976976473,0.17367931204043244
79,Combatentes,Salgueiros,471.25,173701,154218,327920,5267,5244,10511,0,0,0,0.15268194204572105,0.13615042067311917,0.14443426836311005
80,Salgueiros,Polo Universitario,775.36,150041,132514,282555,5269,5242,10511,0,0,0,0.1318342467761837,0.11703412981038953,0.12445319710111064
81,Polo Universitario,I.P.O.,827.64,118382,111864,230247,5217,5237,10454,0,0,0,0.10505420326847542,0.09889086848951678,0.10196664020769425
82,I.P.O.,Hospital São João,351.77,63019,74100,137120,5217,5234,10451,0,0,0,0.055924149873935784,0.0655445520029394,0.06074217539715892
83,Verdes (E) ,Botica,683.54,42012,73884,115897,1668,1627,3295,0,0,0,0.11660919143436889,0.2102385438735242,0.16284134816229173
84,Botica,Aeroporto,649.66,36686,67488,104175,1668,1626,3294,0,0,0,0.10182594699211725,0.1921581021365181,0.14641613650784152
