,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,732,637,1370,80,135,215,0,0,0,0.042418981481307426,0.021856239179195713,0.029507492128818674
4,Venda Nova,Carreira,583.47,1543,1129,2673,81,132,213,0,0,0,0.08821712001835137,0.03961932442333111,0.05810017626932474
5,Carreira,Baguim,786.02,2014,1393,3407,80,132,212,0,0,0,0.11659258796283153,0.04886439463760935,0.07442220343957999
6,Baguim,Campainha,751.7,2658,1513,4172,80,118,198,0,0,0,0.15386575729000082,0.05937142778412538,0.09755095485720637
7,Campainha,Rio Tinto,859.99,3446,1924,5370,81,106,187,0,0,0,0.1969672727091582,0.08403336171349073,0.13295125898968893
8,Rio Tinto,Levada,452.83,3965,2192,6157,82,102,184,0,0,0,0.22387399285834927,0.09950220088754007,0.154928760352792
9,Levada,Nau Vitória,1111.62,4936,3223,8159,88,100,188,0,0,0,0.25968368231378286,0.14922418958540973,0.20092863299018013
10,Nau Vitória,Nasoni,499.02,5146,3306,8453,87,101,188,0,0,0,0.2738489958420455,0.1515852994988648,0.20816477599810268
11,Nasoni,Contumil,650.0,5293,3353,8647,83,104,187,0,0,0,0.2952441611236975,0.14930093861328742,0.21407787694678493
12,Contumil,Estádio do Dragão,619.19,6284,4216,10501,85,114,199,0,0,0,0.3423053614229933,0.17125209857045823,0.24431505004013399
13,Estádio do Dragão,Campanhã,1166.02,11116,7495,18611,159,174,333,97,121,218,0.19035223304288262,0.11088863660729892,0.14772172150029284
14,Campanhã,Heroismo,950.92,23036,13570,36607,160,230,390,221,227,448,0.25777614655138037,0.12805667164683582,0.18740208298923353
15,Heroismo,24 de Agosto,571.9,24437,14767,39205,148,213,361,221,232,453,0.2816149003771711,0.14262196523168952,0.20599549896531874
16,24 de Agosto,Bolhão,680.44,30708,18725,49434,155,211,366,221,219,440,0.3478218072914995,0.1874657841044641,0.2627012688375702
17,Bolhão,Trindade,451.8,33080,27292,60373,155,211,366,221,213,434,0.37468935767002026,0.27736355481199454,0.3233906185907558
18,Trindade,Lapa,857.4300000000001,37100,37806,74906,248,282,530,219,221,440,0.3439022937223111,0.3267037269194247,0.3350014969851465
19,Lapa,Carolina Michaelis,460.97,34550,37599,72150,250,283,533,221,217,438,0.31753965565979475,0.3271133437634333,0.322457770382276
20,Carolina Michaelis,Casa da Música,627.48,32329,35417,67747,246,283,529,223,203,426,0.2981312966114182,0.31772826532849907,0.30806487593783255
21,Casa da Música,Francos,871.87,27791,30340,58131,254,284,538,225,202,427,0.25113008592730285,0.2722587460162539,0.26173132624856094
22,Francos,Ramalde,965.03,25686,28148,53835,267,282,549,220,202,422,0.22887131680132614,0.2535735030291445,0.24115469025042874
23,Ramalde,Viso,621.15,25037,26295,51333,269,279,548,228,202,430,0.2183826612904742,0.23827428051647345,0.22813893261318843
24,Viso,Sete Bicas,743.81,23560,24321,47882,277,280,557,218,202,420,0.20686312693902278,0.21995303782751546,0.2133112807684802
25,Sete Bicas,Sra da Hora,674.5,18331,24187,42518,293,283,576,203,188,391,0.16132395430863591,0.2244713890553006,0.19205906790683006
26,Sra da Hora,Vasco da Gama,824.48,8207,8060,16267,163,161,324,0,0,0,0.2331109676984481,0.2317713128029688,0.23244527498804018
27,Vasco da Gama,Estádio do Mar,661.6,8366,7491,15857,158,160,318,0,0,0,0.24514070303727217,0.21677694152248958,0.23086962806128095
28,Estádio do Mar,Pedro Hispano,786.97,8004,7447,15451,180,166,346,0,0,0,0.2058752521176208,0.20769706781038547,0.20674930242108594
29,Pedro Hispano,Parque de Real,656.68,7535,6705,14240,180,164,344,0,0,0,0.1938070017652488,0.18930055388538633,0.19165857893880275
30,Parque de Real,C. Matosinhos,723.67,7435,6463,13898,182,161,343,0,0,0,0.1891327189160125,0.18584893481287784,0.18759135086760237
31,C. Matosinhos,Matosinhos Sul,616.61,5741,4726,10468,183,161,344,0,0,0,0.14524781823085506,0.13592039951575344,0.14088236935547319
32,Matosinhos Sul,Brito Capelo,535.72,2982,3141,6124,168,161,329,0,0,0,0.08220029374450753,0.09034345555904724,0.08618524527077165
33,Brito Capelo,Mercado,487.53,1448,1735,3183,170,166,336,0,0,0,0.03943574695194842,0.04838852569093356,0.04385884597180417
34,Mercado,Sr. de Matosinhos,708.96,342,251,594,167,151,318,0,0,0,0.009500176121947672,0.007726269315651162,0.008657849305121342
35,Sra da Hora,Fonte do Cuco,687.03,7165,10342,17507,88,84,172,121,97,218,0.1461860891166087,0.24508107953944483,0.19193868291422847
36,Fonte do Cuco,Custoias,689.2,6858,9973,16832,94,84,178,123,84,207,0.13499170133060445,0.25589843265850676,0.1874783443876783
37,Custoias,Esposade,1779.24,6670,9757,16427,95,84,179,126,85,211,0.128849664723122,0.24876372833661337,0.18054112365550712
38,Esposade,Crestins,2035.56,6568,9617,16186,95,81,176,132,85,217,0.12334301337781245,0.24931569662026912,0.1762605391723177
39,Crestins,Verdes,591.8199999999999,6525,9470,15996,95,84,179,140,85,225,0.11813048513801797,0.24145491472592226,0.1693381137177516
40,Verdes,Pedras Rubras,960.78,4431,6689,11121,0,0,0,140,85,225,0.12763828751400424,0.31734500164373863,0.19930526840745946
41,Pedras Rubras,Lidador,1147.58,4069,5857,9927,0,0,0,140,85,225,0.11721066485998653,0.2778774272682841,0.17790699732534337
42,Lidador,Vilar do Pinheiro,1987.51,3975,5604,9580,0,0,0,140,85,225,0.1145139733990517,0.2658782460759942,0.17169603196589664
43,Vilar do Pinheiro,Modivas Sul,2037.38,3894,5431,9326,0,0,0,141,88,229,0.11138171064750714,0.2488823447483663,0.16422038226705127
44,Modivas Sul,Modivas Centro,1051.08,3892,5372,9264,0,0,0,141,86,227,0.11131142212419756,0.2518986376833375,0.16457353903206554
45,Modivas Centro,Modivas Norte,852.51,3915,5354,9270,0,0,0,141,86,227,0.11198245225991331,0.25105061394503014,0.164669068581147
46,Modivas Norte,Mindelo,1834.12,2965,5357,8322,0,0,0,141,85,226,0.08480344511746239,0.25414319947659453,0.14849317573925988
