,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,856,1452,2309,79,79,158,0,0,0,0.050222691045295226,0.08509189954965438,0.06765729529747479
1,Venda Nova,Carreira,583.47,1437,2551,3988,60,80,140,0,0,0,0.1108814851369428,0.1476654983517098,0.1319009212596668
2,Carreira,Baguim,786.02,1779,3117,4897,84,82,166,0,0,0,0.09805880149061719,0.1760364867849843,0.136577899045666
3,Baguim,Campainha,751.7,2151,3419,5571,84,82,166,0,0,0,0.11858801482303424,0.1930736797896899,0.15538213848126176
4,Campainha,Rio Tinto,859.99,2874,4211,7085,84,81,165,0,0,0,0.15844493435570323,0.24069206246355207,0.19882079724501087
5,Rio Tinto,Levada,452.83,3288,4799,8087,84,80,164,0,0,0,0.18122729676508365,0.27773325434519136,0.2283033736334289
6,Levada,Nau Vitória,1111.62,4710,6353,11063,86,83,169,0,0,0,0.25355986619865034,0.3543927803014786,0.3030813565568441
7,Nau Vitória,Nasoni,499.02,4924,6467,11391,86,83,169,0,0,0,0.2650913149813313,0.3607428307590403,0.3120680949194961
8,Nasoni,Contumil,650.0,5052,6551,11604,80,80,160,0,0,0,0.29239653655757225,0.37914575457919314,0.3357711455683827
9,Contumil,Estádio do Dragão,619.19,5966,7668,13635,87,80,167,0,0,0,0.31751701652527503,0.44379249218028977,0.3780082623480366
10,Estádio do Dragão,Campanhã,1166.02,11142,12761,23904,155,184,339,84,83,167,0.20515815841340743,0.21153491036402333,0.2085138518160309
11,Campanhã,Heroismo,950.92,20136,22929,43065,191,186,377,181,180,361,0.23375047297469662,0.27034226555904345,0.2519042485937535
12,Heroismo,24 de Agosto,571.9,21924,24397,46321,197,186,383,181,177,358,0.250734272760607,0.290196621322696,0.2700779838030527
13,24 de Agosto,Bolhão,680.44,28353,29162,57516,193,186,379,181,177,358,0.3275027494846344,0.3468803628644865,0.3370493876642259
14,Bolhão,Trindade,451.8,37001,38143,75144,189,185,374,181,182,363,0.4316959000120049,0.44823844443728217,0.43993734280399
15,Trindade,Lapa,857.4300000000001,45526,51106,96633,273,250,523,180,181,361,0.43941162615353235,0.5168116964307877,0.47720959821015185
16,Lapa,Carolina Michaelis,460.97,41224,50988,92212,256,251,507,179,180,359,0.41353382439760644,0.5157819203702694,0.46444363670859823
17,Carolina Michaelis,Casa da Música,627.48,39684,48349,88033,250,251,501,179,180,359,0.40332755989706776,0.4890894992074058,0.44630940139844055
18,Casa da Música,Francos,871.87,37369,39395,76764,244,244,488,179,180,359,0.38486754588688393,0.404706895458154,0.39479987279835127
