,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,16505,22313,38819,2015,1992,4007,0,0,0,0.03792390405282012,0.0518601666832432,0.04485203860730047
1,Venda Nova,Carreira,583.47,29026,40240,69267,2015,1992,4007,0,0,0,0.06669146917141598,0.09352286441167822,0.0800301612898593
2,Carreira,Baguim,786.02,38416,49884,88301,2017,1992,4009,0,0,0,0.08817849984344843,0.11593802721605725,0.10197170975271179
3,Baguim,Campainha,751.7,47775,56279,104054,2019,1994,4013,0,0,0,0.10955158991524128,0.1306677256706975,0.12004388363474781
4,Campainha,Rio Tinto,859.99,62092,68471,130563,2022,1993,4015,0,0,0,0.1421678045556253,0.15905641673577106,0.15055111814840996
5,Rio Tinto,Levada,452.83,69408,79064,148472,2022,1993,4015,0,0,0,0.15891939390770637,0.18366243268477545,0.1712015548747546
6,Levada,Nau Vitória,1111.62,95029,101444,196473,2128,2089,4217,0,0,0,0.20674422879172832,0.22481994195484487,0.21569850073807656
7,Nau Vitória,Nasoni,499.02,98735,103420,202156,2128,2102,4230,0,0,0,0.2148074745476077,0.2277818550224955,0.22125479080250468
8,Nasoni,Contumil,650.0,101261,105041,206302,2129,2105,4234,0,0,0,0.22019786370310288,0.23102184315213678,0.2255791761122234
9,Contumil,Estádio do Dragão,619.19,117427,122160,239588,2128,2111,4239,0,0,0,0.25547173227368436,0.2679109295489833,0.2616663879585525
10,Estádio do Dragão,Campanhã,1166.02,211692,203115,414808,3025,2960,5985,1950,2022,3972,0.18618556436585917,0.17804443916356444,0.18210818239612103
11,Campanhã,Heroismo,950.92,407696,369353,777050,3776,3726,7502,3491,3512,7003,0.24247701487035475,0.22040539599464282,0.23145958762228463
12,Heroismo,24 de Agosto,571.9,431941,393259,825201,3774,3726,7500,3489,3515,7004,0.2570385329928646,0.23456679406861558,0.24581578379086927
