,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,428,2553,2981,197,197,394,0,0,0,0.010058281631885694,0.06001897515317363,0.035038628392529664
1,Venda Nova,Carreira,583.47,757,4719,5477,195,199,394,0,0,0,0.017983152028628355,0.10980619397226166,0.06436077981234162
2,Carreira,Baguim,786.02,1071,6967,8038,195,196,391,0,0,0,0.025432477055444762,0.16456608328168396,0.09517720038112988
3,Baguim,Campainha,751.7,1236,8240,9477,192,197,389,0,0,0,0.02981354960806717,0.19366499828966385,0.11279230382471124
4,Campainha,Rio Tinto,859.99,1675,10326,12001,178,198,376,0,0,0,0.043569292080557626,0.2414494110781385,0.14777212070162415
5,Rio Tinto,Levada,452.83,1940,11841,13782,178,197,375,0,0,0,0.05047178512514525,0.27828443786242213,0.17014936536312802
6,Levada,Nau Vitória,1111.62,2735,14590,17326,179,197,376,0,0,0,0.0707588397683174,0.34288620539103637,0.21333620952277388
7,Nau Vitória,Nasoni,499.02,2949,14842,17791,179,197,376,0,0,0,0.07628284652659181,0.34880539575728525,0.2190672672671413
8,Nasoni,Contumil,650.0,3043,15119,18163,198,203,401,0,0,0,0.07116813001832208,0.3448245196094804,0.20970241203080373
9,Contumil,Estádio do Dragão,619.19,3551,16978,20530,178,201,379,0,0,0,0.092367658721611,0.39107664724540664,0.2507858821867374
10,Estádio do Dragão,Campanhã,1166.02,8940,26394,35334,278,296,574,159,159,318,0.08986916718097067,0.2553414365741308,0.17419111042237395
11,Campanhã,Heroismo,950.92,18699,51981,70680,438,458,896,239,237,476,0.12151724363768765,0.3296138079252973,0.2268424868286512
12,Heroismo,24 de Agosto,571.9,20657,54168,74826,434,461,895,239,237,476,0.1350040681528886,0.3420788238585313,0.24031579484124427
13,24 de Agosto,Bolhão,680.44,31901,60058,91959,408,462,870,268,237,505,0.20635662754794581,0.3787575779538341,0.29365153719145354
14,Bolhão,Trindade,451.8,47040,64196,111237,411,467,878,268,237,505,0.30302054698312175,0.4021113450370417,0.35325951362431546
15,Trindade,Lapa,857.4300000000001,66207,85588,151796,408,457,865,270,243,513,0.4269050347148933,0.5383741551648644,0.48332956886288414
16,Lapa,Carolina Michaelis,460.97,66037,84268,150306,408,457,865,256,245,501,0.4355594262230734,0.5284242092204733,0.4831643890444016
17,Carolina Michaelis,Casa da Música,627.48,65331,76924,142256,406,429,835,266,271,537,0.42515663329973435,0.4811649057699198,0.4537152502890227
18,Casa da Música,Francos,871.87,68250,56276,124527,380,419,799,284,279,563,0.447512145119551,0.3523968952546216,0.39886020493086344
19,Francos,Ramalde,965.03,66060,48773,114834,376,425,801,306,278,584,0.42048930339056845,0.30342493394748943,0.3612868072233492
20,Ramalde,Viso,621.15,62578,46369,108947,375,419,794,306,278,584,0.3988711676648439,0.2908140892333222,0.344405393798609
21,Viso,Sete Bicas,743.81,61201,41278,102480,363,415,778,306,278,584,0.3966504349261352,0.2602942098470294,0.32753794579948947
22,Sete Bicas,Sra da Hora,674.5,56323,35009,91332,369,415,784,306,270,576,0.36199528406920334,0.22355799315257344,0.2925531466744455
23,Sra da Hora,Vasco da Gama,824.48,13334,16705,30039,178,195,373,0,0,0,0.3468148794613119,0.39660850245405105,0.3728463981840576
24,Vasco da Gama,Estádio do Mar,661.6,11574,17222,28796,171,182,353,0,0,0,0.3133543080353956,0.4380961952110562,0.37766882210329994
25,Estádio do Mar,Pedro Hispano,786.97,10944,17178,28122,176,176,352,0,0,0,0.2878801208316059,0.45187097380190794,0.3698755473167569
26,Pedro Hispano,Parque de Real,656.68,9720,16758,26479,178,176,354,0,0,0,0.25282441331980604,0.440839511915776,0.34630084652006227
27,Parque de Real,C. Matosinhos,723.67,8835,16194,25030,178,176,354,0,0,0,0.2298034974802809,0.42599810677189043,0.32734658006593986
28,C. Matosinhos,Matosinhos Sul,616.61,6218,11425,17643,182,174,356,0,0,0,0.15818783696715702,0.30398653510870716,0.2294489984183641
29,Matosinhos Sul,Brito Capelo,535.72,3201,4377,7579,182,175,357,0,0,0,0.08144484010632487,0.11580042640747844,0.09828581378336093
30,Brito Capelo,Mercado,487.53,1774,2168,3942,178,175,353,0,0,0,0.046143145656611755,0.05736686988460129,0.05170731489145076
31,Mercado,Sr. de Matosinhos,708.96,406,437,843,177,173,350,0,0,0,0.010633371252249137,0.011694497966174269,0.011157871027989274
33,Fonte do Cuco,Custoias,689.2,20358,11388,31747,100,100,200,159,152,311,0.33357099429141623,0.1920624083504707,0.2638374899370323
34,Custoias,Esposade,1779.24,19878,11240,31119,100,100,200,159,158,317,0.325706945255895,0.18493172552580045,0.25546263452434853
35,Esposade,Crestins,2035.56,19464,11121,30585,100,79,179,155,160,315,0.3241880422723409,0.19599049187034528,0.2618983296403807
36,Crestins,Verdes,591.8199999999999,19086,10891,29978,100,80,180,159,160,319,0.3127274784801284,0.1912159511356068,0.2540684456851597
37,Verdes,Pedras Rubras,960.78,16876,6627,23503,0,0,0,159,160,319,0.4279826012883181,0.16702975748622234,0.2970971623907152
38,Pedras Rubras,Lidador,1147.58,14981,5694,20676,0,0,0,159,160,319,0.3799408118029472,0.143508939589203,0.2613542928242667
39,Lidador,Vilar do Pinheiro,1987.51,14420,5467,19887,0,0,0,159,160,319,0.36569867912444787,0.13778766409248008,0.25138594431217565
40,Vilar do Pinheiro,Modivas Sul,2037.38,13664,5288,18953,0,0,0,159,160,319,0.34654088290372664,0.1332770361923258,0.23957469019581398
41,Modivas Sul,Modivas Centro,1051.08,13490,5323,18814,0,0,0,159,160,319,0.3421262067429919,0.1341630062409477,0.23781864536265626
42,Modivas Centro,Modivas Norte,852.51,13211,5380,18592,0,0,0,161,156,317,0.3308835670045655,0.13908028873164932,0.23649457201852472
43,Modivas Norte,Mindelo,1834.12,12093,4703,16797,0,0,0,165,160,325,0.2955432961151485,0.11854652668820961,0.2084064250126555
44,Mindelo,Espaço Natureza,776.86,11263,4738,16001,0,0,0,160,160,320,0.2838653680887854,0.1194071369205284,0.2016362525046569
45,Espaço Natureza,Varziela,1539.0,11299,4575,15875,0,0,0,160,160,320,0.2847774025135429,0.11531712221727008,0.2000472623654065
46,Varziela,Árvore,858.71,10361,4358,14720,0,0,0,160,160,320,0.2611356669366394,0.10985031261449492,0.18549298977556716
