,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,2538,544,3082,178,100,278,0,0,0,0.06601123595505619,0.025199423987186356,0.05133072805294474
4,Venda Nova,Carreira,583.47,4455,885,5340,178,87,265,0,0,0,0.11587534847685795,0.04711993487444949,0.09330281646399177
5,Carreira,Baguim,786.02,7005,1047,8053,138,88,226,0,0,0,0.23503156247006296,0.055134230747638895,0.16498304392327837
6,Baguim,Campainha,751.7,8663,1095,9759,138,110,248,0,0,0,0.29065295996982,0.046119025655271435,0.18219032781417346
7,Campainha,Rio Tinto,859.99,10687,1404,12092,138,120,258,0,0,0,0.358559610201719,0.05418364091600984,0.21698939192929614
8,Rio Tinto,Levada,452.83,11786,1598,13384,138,120,258,0,0,0,0.3954217238547557,0.061658959567289104,0.2401832288373294
9,Levada,Nau Vitória,1111.62,14352,2039,16392,138,120,258,0,0,0,0.48151477383870134,0.07869952875323485,0.2941588458919727
10,Nau Vitória,Nasoni,499.02,14775,2076,16851,136,120,256,0,0,0,0.502963064315232,0.0801052093614076,0.3047484448056268
11,Nasoni,Contumil,650.0,15015,2099,17115,104,122,226,0,0,0,0.6684355901110957,0.07968131522390852,0.35061248596845485
12,Contumil,Estádio do Dragão,619.19,16431,2646,19078,98,148,246,0,0,0,0.7762527131242876,0.08279450202749017,0.35905021213922245
13,Estádio do Dragão,Campanhã,1166.02,23028,6045,29073,217,221,438,137,120,257,0.2848336993482592,0.07800703742904411,0.1836095355524002
14,Campanhã,Heroismo,950.92,41854,12993,54847,338,251,589,195,181,376,0.3448528208942166,0.13110588201138193,0.24877179186992124
15,Heroismo,24 de Agosto,571.9,44480,14648,59129,351,261,612,221,181,402,0.34052252234031377,0.1446606727055578,0.25499091078036273
