,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,10731,14977,25709,2036,1987,4023,0,0,0,0.024403332605690164,0.034897012282985376,0.029586266117692547
4,Venda Nova,Carreira,583.47,19424,27386,46811,2035,1987,4022,0,0,0,0.04419130161850054,0.06381044499217585,0.05388380233543063
5,Carreira,Baguim,786.02,29537,37809,67347,2035,1987,4022,0,0,0,0.06719820393859818,0.08809509365787849,0.07752195328524412
6,Baguim,Campainha,751.7,37693,43560,81254,2035,1987,4022,0,0,0,0.08575385580745262,0.10149399905975211,0.09353000315760654
7,Campainha,Rio Tinto,859.99,51281,55148,106429,2036,1989,4025,0,0,0,0.11660798280511434,0.12836442430882616,0.12241756346371876
8,Rio Tinto,Levada,452.83,58393,63936,122329,2037,1992,4029,0,0,0,0.13271445896062717,0.14859592802789154,0.14056650323513464
9,Levada,Nau Vitória,1111.62,74939,79468,154407,2044,1996,4040,0,0,0,0.16973575969947693,0.1843239305975042,0.17694318274711615
10,Nau Vitória,Nasoni,499.02,78342,81460,159802,2044,1996,4040,0,0,0,0.17744357544815287,0.18894387938880428,0.1831254087812074
11,Nasoni,Contumil,650.0,80729,82916,163645,2044,1996,4040,0,0,0,0.18285205230381485,0.19231991219158628,0.187529737535496
12,Contumil,Estádio do Dragão,619.19,93374,96970,190344,2044,1996,4040,0,0,0,0.2114922371512538,0.2249178121075475,0.21812526873857116
13,Estádio do Dragão,Campanhã,1166.02,172999,167849,340849,3813,3678,7491,1940,2018,3958,0.1325944418571559,0.12962224783450968,0.1311139562105845
14,Campanhã,Heroismo,950.92,336396,323094,659491,4712,4609,9321,3417,3418,6835,0.18035352759973286,0.17528947520329985,0.17783652252545734
15,Heroismo,24 de Agosto,571.9,362571,348515,711086,4710,4609,9319,3417,3418,6835,0.19443171915362617,0.18908068630746958,0.19177176524058376
16,24 de Agosto,Bolhão,680.44,466902,421180,888083,4709,4609,9318,3417,3418,6835,0.25040887970237263,0.22850424852712053,0.23951963544025212
17,Bolhão,Trindade,451.8,555119,519782,1074901,4709,4609,9318,3417,3418,6835,0.2977212636559793,0.2819987788938203,0.2899052919734227
18,Trindade,Lapa,857.4300000000001,644335,728068,1372403,4987,4927,9914,3418,3418,6836,0.3347446613615555,0.3808096296288076,0.35769934505502493
19,Lapa,Carolina Michaelis,460.97,635215,721482,1356697,4991,4930,9921,3421,3421,6842,0.3297311410937865,0.37709016661484696,0.3533293982784012
20,Carolina Michaelis,Casa da Música,627.48,598870,685306,1284177,4997,4937,9934,3436,3436,6872,0.31005800224742736,0.3572056564310283,0.333552474326472
21,Casa da Música,Francos,871.87,544347,574993,1119341,4987,4928,9915,3418,3418,6836,0.28279893532095257,0.3007114309887797,0.29172543611960405
22,Francos,Ramalde,965.03,501897,527661,1029558,4985,4928,9913,3418,3417,6835,0.260803994676464,0.2759932334805082,0.2683737493082474
23,Ramalde,Viso,621.15,477288,503360,980649,4985,4928,9913,3418,3417,6835,0.2480165077417107,0.2632824667354575,0.25562449687746397
24,Viso,Sete Bicas,743.81,453123,472590,925713,4985,4929,9914,3418,3417,6835,0.23545935067244386,0.24716027484306224,0.24129098882221667
25,Sete Bicas,Sra da Hora,674.5,405020,428070,833091,4984,4929,9913,3418,3418,6836,0.21048693229909293,0.2238479049582084,0.217146732213198
26,Sra da Hora,Vasco da Gama,824.48,135780,140962,276742,2548,2489,5037,0,0,0,0.24670826887380934,0.26219474557833783,0.2543608081864104
27,Vasco da Gama,Estádio do Mar,661.6,131871,135526,267397,2548,2489,5037,0,0,0,0.239605582236092,0.2520839596777022,0.245771689334001
28,Estádio do Mar,Pedro Hispano,786.97,127686,132902,260588,2548,2489,5037,0,0,0,0.23200148630712603,0.2472039914222206,0.2395137029502609
29,Pedro Hispano,Parque de Real,656.68,116397,122500,238897,2548,2489,5037,0,0,0,0.21148950075342465,0.22785490616053372,0.21957635683011603
30,Parque de Real,C. Matosinhos,723.67,108869,114348,223218,2548,2489,5037,0,0,0,0.1978124232932155,0.2126928264306298,0.20516547538950777
31,C. Matosinhos,Matosinhos Sul,616.61,77582,81687,159270,2542,2482,5024,0,0,0,0.14129715845952465,0.15237065963053134,0.14676778543134764
32,Matosinhos Sul,Brito Capelo,535.72,36503,40036,76539,2542,2481,5023,0,0,0,0.06648157297518953,0.07470993404233739,0.07054579033684469
33,Brito Capelo,Mercado,487.53,18562,22398,40960,2555,2494,5049,0,0,0,0.0336346103333969,0.041578444973127765,0.03755854053571197
34,Mercado,Sr. de Matosinhos,708.96,3916,4746,8662,2529,2478,5007,0,0,0,0.007169820516373787,0.008866917765222854,0.00800972604516308
35,Sra da Hora,Fonte do Cuco,687.03,148709,177222,325932,1539,1499,3038,1936,1992,3928,0.18301591598815375,0.2167059754133868,0.19991516878629526
36,Fonte do Cuco,Custoias,689.2,142409,174195,316604,1539,1499,3038,1933,1992,3925,0.17542278328728644,0.21300469412193773,0.19428283225647278
37,Custoias,Esposade,1779.24,138556,170922,309478,1539,1499,3038,1936,1992,3928,0.17051959611229642,0.20900333620430936,0.18982340452130755
38,Esposade,Crestins,2035.56,136229,168803,305033,1539,1499,3038,1936,1992,3928,0.16765654115807402,0.20641198942960098,0.187096640962567
39,Crestins,Verdes,591.8199999999999,134103,166086,300189,1539,1499,3038,1936,1992,3928,0.1650394130051238,0.20308931377693476,0.18412560350336407
40,Verdes,Pedras Rubras,960.78,104677,113013,217690,0,0,0,1936,1992,3928,0.2180197759563562,0.2287640059266589,0.22346847913885184
41,Pedras Rubras,Lidador,1147.58,92578,99184,191763,0,0,0,1936,1992,3928,0.19282028617041286,0.20077241775995083,0.19685303722091174
42,Lidador,Vilar do Pinheiro,1987.51,88771,95213,183984,0,0,0,1934,1992,3926,0.18508230723982347,0.19273306483261612,0.18896419952837235
43,Vilar do Pinheiro,Modivas Sul,2037.38,85993,92043,178036,0,0,0,1934,1992,3926,0.17929028734341249,0.186316466114715,0.1828552766741396
44,Modivas Sul,Modivas Centro,1051.08,85229,91151,176381,0,0,0,1934,1992,3926,0.17769848408880948,0.18451170129019256,0.18115541956134007
45,Modivas Centro,Modivas Norte,852.51,84514,90423,174938,0,0,0,1934,1992,3926,0.1762069321141871,0.18303792756953646,0.17967288803549528
