,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,620,819,1439,87,87,174,0,0,0,0.03299276287782035,0.04358932777022331,0.03829104532402183
1,Venda Nova,Carreira,583.47,1109,1499,2608,86,87,173,0,0,0,0.05970261589831506,0.07979586871380323,0.069807315291075
2,Carreira,Baguim,786.02,1675,2021,3697,86,87,173,0,0,0,0.09019189665349697,0.1075881935664877,0.09894032342476977
3,Baguim,Campainha,751.7,2131,2264,4396,82,87,169,0,0,0,0.12036639901219776,0.12049575595509775,0.12043299104789185
4,Campainha,Rio Tinto,859.99,3045,2700,5745,87,77,164,0,0,0,0.16204854585610276,0.162378403737321,0.1622034181539918
5,Rio Tinto,Levada,452.83,3498,3126,6625,87,82,169,0,0,0,0.186189464435147,0.17652185259699793,0.18149867052551255
6,Levada,Nau Vitória,1111.62,4372,4111,8483,87,87,174,0,0,0,0.23266091896132038,0.21877913513031577,0.2257200270458181
7,Nau Vitória,Nasoni,499.02,4642,4240,8883,87,86,173,0,0,0,0.24703060938442548,0.2283006675036745,0.23771977122405216
8,Nasoni,Contumil,650.0,4825,4347,9173,87,86,173,0,0,0,0.2567832752410676,0.23406025719018914,0.24548743967820316
9,Contumil,Estádio do Dragão,619.19,5091,4922,10014,78,87,165,0,0,0,0.3022090770866144,0.2619651197508301,0.2809895359459281
10,Estádio do Dragão,Campanhã,1166.02,9694,9600,19294,246,243,489,109,109,218,0.120922782307473,0.12072599547207102,0.12082478816169395
11,Campanhã,Heroismo,950.92,18756,18229,36985,245,244,489,196,195,391,0.18474256943265277,0.18037199286857064,0.18256228615457468
12,Heroismo,24 de Agosto,571.9,20739,20077,40816,229,243,472,217,195,412,0.2008066013589203,0.1990866003429416,0.1999568469770647
13,24 de Agosto,Bolhão,680.44,28038,25572,53610,221,242,463,215,196,411,0.2774560868077842,0.25349183716931506,0.26548440516840954
14,Bolhão,Trindade,451.8,34013,34403,68417,232,241,473,194,198,392,0.34628967380190484,0.34008751903424905,0.34314293195553774
15,Trindade,Lapa,857.4300000000001,37984,46757,84742,228,241,469,196,199,395,0.3881644856965359,0.4610863758846477,0.42527536894788104
