,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,96,334,430,43,89,132,0,0,0,0.010335917312661504,0.017387585277040193,0.015090451015916833
4,Venda Nova,Carreira,583.47,120,616,737,44,72,116,0,0,0,0.01272097482619284,0.039645083887431494,0.029432490795237524
5,Carreira,Baguim,786.02,145,845,991,44,70,114,0,0,0,0.015283352655245087,0.055940164195114786,0.040248061495515956
6,Baguim,Campainha,751.7,180,970,1151,66,70,136,0,0,0,0.012669458073853725,0.0642096592389277,0.03919750279117121
7,Campainha,Rio Tinto,859.99,219,1249,1469,66,70,136,0,0,0,0.015432082235389019,0.08264944113563229,0.050029252257573056
8,Rio Tinto,Levada,452.83,267,1457,1724,66,70,136,0,0,0,0.01876990516899089,0.09638116091954366,0.05871687504059893
9,Levada,Nau Vitória,1111.62,534,1742,2277,66,70,136,0,0,0,0.03749889700626076,0.11526030091086764,0.07752314901598488
10,Nau Vitória,Nasoni,499.02,551,1782,2334,66,70,136,0,0,0,0.03867062523463253,0.11791185505900259,0.07945655235011712
11,Nasoni,Contumil,650.0,584,1817,2402,66,56,122,0,0,0,0.04102509082682611,0.15024630189999605,0.09115941722106805
12,Contumil,Estádio do Dragão,619.19,596,1994,2590,66,51,117,0,0,0,0.04187026845332763,0.18101671084479096,0.10252384590601678
13,Estádio do Dragão,Campanhã,1166.02,1807,3304,5112,88,113,201,44,93,137,0.06042349316292981,0.06961088170861697,0.06605900728636455
14,Campanhã,Heroismo,950.92,3891,5735,9626,110,115,225,88,169,257,0.08537374743322938,0.08591841193415857,0.08569739652849738
15,Heroismo,24 de Agosto,571.9,4120,6162,10283,110,112,222,72,161,233,0.09901385239625801,0.09611565003864894,0.09725633617500987
16,24 de Agosto,Bolhão,680.44,5931,7475,13406,110,112,222,88,139,227,0.13012400282167888,0.12742574336903564,0.1286055977440768
17,Bolhão,Trindade,451.8,8503,8481,16984,149,122,271,88,124,212,0.15745186828826577,0.14852111232289045,0.15286206800884689
18,Trindade,Lapa,857.4300000000001,10942,11751,22693,169,154,323,88,112,200,0.18760431983960865,0.19251677153887112,0.19011635029771284
19,Lapa,Carolina Michaelis,460.97,10825,11651,22477,154,154,308,88,110,198,0.19651186203619775,0.19245236644846275,0.19438634227640958
20,Carolina Michaelis,Casa da Música,627.48,10411,10750,21162,154,159,313,89,110,199,0.1881529781768138,0.17445566931151277,0.1809361265906706
21,Casa da Música,Francos,871.87,9994,8153,18148,154,154,308,107,110,217,0.16713763132952314,0.1346785249478645,0.1508077425376337
22,Francos,Ramalde,965.03,9212,7450,16663,132,154,286,110,110,220,0.16512538216162692,0.12306561455245779,0.14323648646184753
23,Ramalde,Viso,621.15,8544,7341,15886,138,144,282,110,110,220,0.1496672859589627,0.1257505598220318,0.13757470820176984
24,Viso,Sete Bicas,743.81,8202,7090,15292,153,133,286,110,111,221,0.1359667917463533,0.12603432072968376,0.13117401495439418
25,Sete Bicas,Sra da Hora,674.5,7595,5072,12667,154,132,286,110,110,220,0.125453823477905,0.09091800598979359,0.10889126047679865
26,Sra da Hora,Vasco da Gama,824.48,1993,1626,3620,88,88,176,0,0,0,0.10487590864409264,0.08557942441220959,0.09522766652815112
27,Vasco da Gama,Estádio do Mar,661.6,1730,1675,3406,88,89,177,0,0,0,0.09105878520727853,0.08716869624860255,0.08910275177607986
28,Estádio do Mar,Pedro Hispano,786.97,1743,1699,3442,87,89,176,0,0,0,0.09277680764674744,0.08840520583500369,0.09056616809421793
29,Pedro Hispano,Parque de Real,656.68,1585,1618,3203,87,88,175,0,0,0,0.08435515041007918,0.08515445606313951,0.08475708696704666
30,Parque de Real,C. Matosinhos,723.67,1412,1512,2924,72,88,160,0,0,0,0.09079693615121687,0.07955202829891828,0.08461223683245264
31,C. Matosinhos,Matosinhos Sul,616.61,1046,1056,2102,78,88,166,0,0,0,0.06209477802750946,0.05555738584804047,0.058629172534778916
32,Matosinhos Sul,Brito Capelo,535.72,546,426,973,88,88,176,0,0,0,0.028745946945994874,0.022446245340192388,0.02559609614309363
33,Brito Capelo,Mercado,487.53,336,263,599,88,88,176,0,0,0,0.017691167522084054,0.01386942201322661,0.01578029476765533
34,Mercado,Sr. de Matosinhos,708.96,57,36,93,87,87,174,0,0,0,0.0030655354843872077,0.0019157088122605363,0.0024906221483238723
35,Sra da Hora,Fonte do Cuco,687.03,2892,2644,5536,66,44,110,67,70,137,0.09369785300040366,0.09843450001810647,0.09590176884984887
36,Fonte do Cuco,Custoias,689.2,2748,2658,5406,66,44,110,73,69,142,0.08492212293118824,0.09988274663327759,0.09167388568984956
37,Custoias,Esposade,1779.24,2651,2618,5270,66,44,110,67,66,133,0.0858790859876019,0.10122791671622954,0.09287726991208826
38,Esposade,Crestins,2035.56,2632,2600,5232,66,44,110,66,66,132,0.0859598808475301,0.10050222142963376,0.09261945737578317
39,Crestins,Verdes,591.8199999999999,2587,2575,5163,66,44,110,66,66,132,0.08449691779319377,0.09955635767579255,0.09139329680485116
40,Verdes,Pedras Rubras,960.78,2028,892,2921,0,0,0,66,66,132,0.1239348720763859,0.05454030983185129,0.08923759095411858
41,Pedras Rubras,Lidador,1147.58,1816,832,2648,0,0,0,67,66,133,0.10930175563597369,0.05083551152871715,0.08028843149252307
42,Lidador,Vilar do Pinheiro,1987.51,1757,809,2567,0,0,0,67,48,115,0.10579783803169678,0.06799021226700377,0.0900172637994771
43,Vilar do Pinheiro,Modivas Sul,2037.38,1713,815,2528,0,0,0,67,44,111,0.1030940300577725,0.07476625481440763,0.09186500203337561
44,Modivas Sul,Modivas Centro,1051.08,1680,830,2510,0,0,0,67,44,111,0.10113989002353198,0.07608979873895572,0.09121012410892518
45,Modivas Centro,Modivas Norte,852.51,1645,837,2483,0,0,0,67,44,111,0.09900709300320681,0.07679508590962643,0.09020233343458035
46,Modivas Norte,Mindelo,1834.12,1530,592,2122,0,0,0,68,44,112,0.09072686073404794,0.05425707258382053,0.07639944396074431
47,Mindelo,Espaço Natureza,776.86,1414,628,2042,0,0,0,70,44,114,0.08145980422865423,0.057597666419317586,0.07224985630224359
