,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,11171,15100,26271,2248,2189,4437,0,0,0,0.023006046526954003,0.031936788999477744,0.027412040503143876
1,Venda Nova,Carreira,583.47,20230,27564,47795,2248,2189,4437,0,0,0,0.04166416133589472,0.05829772389680938,0.04987035210574872
2,Carreira,Baguim,786.02,30563,37982,68545,2248,2190,4438,0,0,0,0.06294300064406608,0.0802938729630626,0.07150505796236314
3,Baguim,Campainha,751.7,38770,43729,82499,2248,2190,4438,0,0,0,0.07984530742441193,0.09244270722303319,0.08606168992981539
4,Campainha,Rio Tinto,859.99,50522,54352,104875,2248,2190,4438,0,0,0,0.10404919061426054,0.11490120278818741,0.10940428449909602
5,Rio Tinto,Levada,452.83,57845,63324,121170,2248,2190,4438,0,0,0,0.11912898985793538,0.13386785186275835,0.12640211013521394
6,Levada,Nau Vitória,1111.62,75367,79564,154932,2248,2190,4438,0,0,0,0.15521595947139424,0.1681982647775039,0.1616222795751302
7,Nau Vitória,Nasoni,499.02,78895,81611,160507,2248,2190,4438,0,0,0,0.16248047012063369,0.17252597866304215,0.16743758226751845
8,Nasoni,Contumil,650.0,81348,83084,164432,2249,2190,4439,0,0,0,0.16745735636637957,0.17564026827695825,0.1714944316275121
9,Contumil,Estádio do Dragão,619.19,86399,91702,178102,2247,2190,4437,0,0,0,0.17801448606338846,0.1938585766853474,0.18583476067733712
10,Estádio do Dragão,Campanhã,1166.02,163829,165515,329344,4184,4024,8208,2114,2205,4319,0.1147254734696862,0.11688717973935017,0.1158017691472416
11,Campanhã,Heroismo,950.92,333476,323787,657264,5098,4975,10073,3790,3789,7579,0.16338197968146334,0.1607464702179121,0.16207293858075558
12,Heroismo,24 de Agosto,571.9,360658,349708,710367,5100,4975,10075,3792,3789,7581,0.17661906415769765,0.17361546082809917,0.17512753444237245
13,24 de Agosto,Bolhão,680.44,468506,424371,892877,5098,4973,10071,3792,3791,7583,0.22948180931683493,0.21067557616407168,0.2201418636413767
