,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,2847,632,3480,161,111,272,0,0,0,0.08189556015621836,0.026377794169843694,0.05923941300736694
4,Venda Nova,Carreira,583.47,4961,919,5881,156,93,249,0,0,0,0.14724656451553664,0.04578169849969947,0.10935004829275409
5,Carreira,Baguim,786.02,6964,1063,8028,131,93,224,0,0,0,0.24613471456284833,0.05293919913475321,0.16592407646100527
6,Baguim,Campainha,751.7,8303,1105,9408,131,105,236,0,0,0,0.2934527971165799,0.04872547955456713,0.18456988040466743
7,Campainha,Rio Tinto,859.99,10090,1401,11491,131,108,239,0,0,0,0.3566004860633277,0.0600789484078108,0.2226074899679477
8,Rio Tinto,Levada,452.83,11105,1730,12836,131,110,241,0,0,0,0.3924725294936651,0.07283732964650966,0.2465809445011875
9,Levada,Nau Vitória,1111.62,13369,2206,15575,131,110,241,0,0,0,0.4724972779013115,0.09285000625474696,0.2992142908427136
10,Nau Vitória,Nasoni,499.02,13867,2277,16144,130,110,240,0,0,0,0.49385245194839605,0.0958519810979871,0.31143556947529194
11,Nasoni,Contumil,650.0,14045,2344,16389,100,130,230,0,0,0,0.6502397744626185,0.0834892851466989,0.32990254137101177
12,Contumil,Estádio do Dragão,619.19,15496,2841,18338,86,144,230,0,0,0,0.8342400761760123,0.09136904219292465,0.36913821142138353
13,Estádio do Dragão,Campanhã,1166.02,21793,6162,27956,190,208,398,168,134,302,0.26351724535970794,0.07884120981846267,0.1737875423938254
14,Campanhã,Heroismo,950.92,42774,13742,56517,251,227,478,268,226,494,0.3544488781122053,0.13078358501645804,0.2503438595150175
15,Heroismo,24 de Agosto,571.9,44635,15093,59729,250,229,479,287,218,505,0.3565841549681585,0.1457906811305698,0.26116375672651043
16,24 de Agosto,Bolhão,680.44,52459,19187,71647,235,229,464,287,238,525,0.43022263012601397,0.17686382016849675,0.3109364855635069
17,Bolhão,Trindade,451.8,52333,26171,78505,230,230,460,287,256,543,0.43302531839113456,0.23126285538065935,0.33545816966292946
