,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,1901,754,2656,129,142,271,0,0,0,0.06826012058570002,0.024604289150054037,0.04538510927993718
1,Venda Nova,Carreira,583.47,3083,1219,4303,123,142,265,0,0,0,0.11606711468182818,0.03975956333263691,0.07517778527962002
2,Carreira,Baguim,786.02,4242,1454,5696,128,145,273,0,0,0,0.15343455607180892,0.0464427042726876,0.09660738203930858
3,Baguim,Campainha,751.7,5521,1640,7162,118,155,273,0,0,0,0.21664490085926041,0.04900462634207414,0.12146452521763451
4,Campainha,Rio Tinto,859.99,7299,1961,9261,128,153,281,0,0,0,0.2640147229328908,0.05935823705774738,0.15258254379090883
5,Rio Tinto,Levada,452.83,8245,2319,10564,128,153,281,0,0,0,0.29822987388369926,0.07017588296152119,0.1740581279367482
6,Levada,Nau Vitória,1111.62,9959,3215,13174,128,153,281,0,0,0,0.3602141996342911,0.09730219126938962,0.21706282141425576
7,Nau Vitória,Nasoni,499.02,10237,3317,13554,129,153,282,0,0,0,0.36739973098424417,0.1003733012654003,0.22252368932827568
8,Nasoni,Contumil,650.0,10458,3351,13809,141,148,289,0,0,0,0.34338799794146735,0.10483833195905308,0.22122415515462543
9,Contumil,Estádio do Dragão,619.19,12331,4018,16349,147,144,291,0,0,0,0.38836339224975075,0.12918039786038474,0.2601078898715078
10,Estádio do Dragão,Campanhã,1166.02,19421,8998,28420,236,240,476,170,163,333,0.20853124637540435,0.09753071167610777,0.15329201588189897
11,Campanhã,Heroismo,950.92,41486,17313,58800,275,317,592,292,288,580,0.31473416180399644,0.12376290461384999,0.2164090418392075
12,Heroismo,24 de Agosto,571.9,43034,19165,62199,274,313,587,292,293,585,0.3270073571395968,0.13663090425889068,0.22878287724287183
13,24 de Agosto,Bolhão,680.44,51755,25481,77237,261,316,577,292,299,591,0.4018541472098273,0.17893338549754392,0.2847977318930026
14,Bolhão,Trindade,451.8,51868,37498,89367,259,319,578,292,289,581,0.4040880701149649,0.2667492859205366,0.33229947756165873
