,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,19824,25110,44935,2180,2135,4315,0,0,0,0.04210202174641008,0.05445109964274101,0.048212168052010666
1,Venda Nova,Carreira,583.47,32168,43281,75450,2181,2136,4317,0,0,0,0.06828523443510673,0.09381032841080073,0.0809147458393417
2,Carreira,Baguim,786.02,42917,54069,96986,2181,2136,4317,0,0,0,0.09110052405857316,0.11719180425392683,0.10401017763681626
3,Baguim,Campainha,751.7,52841,60943,113785,2183,2136,4319,0,0,0,0.11206528250386136,0.13209034927680646,0.12196885801370409
4,Campainha,Rio Tinto,859.99,68880,74530,143411,2181,2136,4317,0,0,0,0.14621345270089828,0.16153992592399968,0.15379680845826324
5,Rio Tinto,Levada,452.83,77763,85548,163312,2179,2137,4316,0,0,0,0.16522098192966986,0.18533425698893843,0.1751797559801001
6,Levada,Nau Vitória,1111.62,102001,106299,208300,2183,2137,4320,0,0,0,0.2163212504741097,0.23028816540389058,0.22323034704932768
7,Nau Vitória,Nasoni,499.02,105686,108375,214061,2182,2137,4319,0,0,0,0.22423905253625895,0.2347853851829313,0.2294572773257794
8,Nasoni,Contumil,650.0,107856,109782,217639,2184,2139,4323,0,0,0,0.22863430466048287,0.23761225982299908,0.2330765545084177
9,Contumil,Estádio do Dragão,619.19,124399,125929,250329,2184,2139,4323,0,0,0,0.2637015693880257,0.27256044236746046,0.2680848979337141
10,Estádio do Dragão,Campanhã,1166.02,217784,204484,422268,3804,3745,7549,2107,2200,4307,0.16201764880729,0.15096481500921335,0.1564700986960629
11,Campanhã,Heroismo,950.92,425484,382305,807790,4251,4211,8462,3787,3860,7647,0.2290762734130762,0.20478591493059392,0.21690023103481007
12,Heroismo,24 de Agosto,571.9,451131,407389,858521,4249,4214,8463,3786,3861,7647,0.24297326271693565,0.21811774535030692,0.23050866585882251
13,24 de Agosto,Bolhão,680.44,563532,483791,1047323,4250,4215,8465,3786,3863,7649,0.3034758595851253,0.2589245251046233,0.28113121380589545
14,Bolhão,Trindade,451.8,669129,596466,1265596,4251,4219,8470,3786,3862,7648,0.36030027064496184,0.31912323069364623,0.33964580064203
15,Trindade,Lapa,857.4300000000001,804954,860735,1665689,5413,5370,10783,3789,3866,7655,0.38169739982028783,0.40625875042802667,0.3940065664135653
16,Lapa,Carolina Michaelis,460.97,753069,862181,1615251,5411,5377,10788,3792,3865,7657,0.3570418532451157,0.4066985429609204,0.3819333676216419
17,Carolina Michaelis,Casa da Música,627.48,717295,826977,1544272,5411,5377,10788,3793,3866,7659,0.34004048658589947,0.3900467751929575,0.36510723768166276
18,Casa da Música,Francos,871.87,659514,702073,1361587,5411,5378,10789,3792,3865,7657,0.3126856618008075,0.3311405925223194,0.3219370742031489
19,Francos,Ramalde,965.03,620026,659651,1279677,5410,5381,10791,3794,3865,7659,0.29392479626181306,0.3110368137448852,0.30250374891713566
20,Ramalde,Viso,621.15,593502,634327,1227829,5408,5381,10789,3792,3866,7658,0.281474973854797,0.2990608514888562,0.2902939405197948
21,Viso,Sete Bicas,743.81,566646,602133,1168780,5405,5382,10787,3792,3868,7660,0.2688210161999666,0.2837876963650388,0.27632891344919214
22,Sete Bicas,Sra da Hora,674.5,511212,551879,1063092,5404,5382,10786,3792,3868,7660,0.24254740535949965,0.2601027107401803,0.251354312354016
23,Sra da Hora,Vasco da Gama,824.48,208252,215921,424174,3075,3013,6088,0,0,0,0.3135391749764426,0.33177521963717926,0.3225643396549577
24,Vasco da Gama,Estádio do Mar,661.6,202534,208388,410923,3074,3014,6088,0,0,0,0.3050288653284455,0.32009405264269314,0.3124872218601706
25,Estádio do Mar,Pedro Hispano,786.97,199161,207278,406440,3074,3015,6089,0,0,0,0.2999499899535073,0.31828212685045587,0.3090272428266063
26,Pedro Hispano,Parque de Real,656.68,185547,194810,380357,3075,3012,6087,0,0,0,0.27935473530490285,0.29943573803068363,0.28929131822096193
27,Parque de Real,C. Matosinhos,723.67,177772,187416,365189,3071,3012,6083,0,0,0,0.26799792819153606,0.2880707390452308,0.27793698890028645
28,C. Matosinhos,Matosinhos Sul,616.61,139960,149455,289415,3070,3011,6081,0,0,0,0.21106287314846636,0.22979862427595427,0.22033985828986846
