,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,574,642,1217,72,70,142,0,0,0,0.03697273662543801,0.04249234209147478,0.039693668897427974
4,Venda Nova,Carreira,583.47,957,1134,2092,80,69,149,0,0,0,0.055426572240892584,0.0761381101161548,0.0650178213240677
5,Carreira,Baguim,786.02,1236,1383,2619,85,69,154,0,0,0,0.06736629558110199,0.09280103047125123,0.07876237809681821
6,Baguim,Campainha,751.7,1518,1503,3021,70,69,139,0,0,0,0.10041884691742248,0.10086311763135812,0.10063938417829701
7,Campainha,Rio Tinto,859.99,1986,1875,3862,70,76,146,0,0,0,0.1313964738612577,0.1142567964925326,0.12247445002548298
8,Rio Tinto,Levada,452.83,2276,2070,4346,70,72,142,0,0,0,0.15053055678715382,0.13316293329462273,0.14172443783319438
9,Levada,Nau Vitória,1111.62,2972,2777,5749,69,68,137,0,0,0,0.19944264583110746,0.18908775735094585,0.19430299315482288
10,Nau Vitória,Nasoni,499.02,3104,2826,5931,69,68,137,0,0,0,0.20832554049586458,0.19244952212728642,0.20044547298445353
11,Nasoni,Contumil,650.0,3162,2896,6058,68,68,136,0,0,0,0.21530855801368448,0.19717385745717803,0.20624120773543125
12,Contumil,Estádio do Dragão,619.19,3655,3536,7191,75,68,143,0,0,0,0.22563125905681092,0.24077592002679424,0.23283291602155823
13,Estádio do Dragão,Campanhã,1166.02,7014,6590,13604,209,206,415,85,84,169,0.10592330860650002,0.10087818390977818,0.10341792741740792
14,Campanhã,Heroismo,950.92,13543,12167,25711,211,214,425,153,150,303,0.16215707310829888,0.14585584847297736,0.1540111477442423
15,Heroismo,24 de Agosto,571.9,14654,13146,27801,211,211,422,153,150,303,0.17546213617888431,0.1588257144481062,0.16718114057353667
16,24 de Agosto,Bolhão,680.44,19639,15771,35411,208,209,417,161,150,311,0.23144990022980602,0.19153360762595795,0.21179160359002572
17,Bolhão,Trindade,451.8,24160,21156,45316,208,209,417,167,159,326,0.2798141847557606,0.25014313187813253,0.2651321173079588
18,Trindade,Lapa,857.4300000000001,28354,29654,58008,210,211,421,153,159,312,0.34037275869826544,0.3488410593045032,0.34464977577331096
19,Lapa,Carolina Michaelis,460.97,26767,29386,56153,184,220,404,154,152,306,0.34345874328729636,0.3448420141715976,0.34418124017165336
20,Carolina Michaelis,Casa da Música,627.48,25712,27649,53362,192,217,409,153,150,303,0.32377456667804994,0.3288789680928432,0.3263994519035374
21,Casa da Música,Francos,871.87,23400,22575,45975,224,231,455,141,150,291,0.28073871083555635,0.2591994013703276,0.26973249370667507
22,Francos,Ramalde,965.03,21589,21228,42817,216,215,431,139,156,295,0.2661116034774317,0.24936750858185705,0.25753813057858604
23,Ramalde,Viso,621.15,20737,20491,41228,208,212,420,156,159,315,0.2480029604290025,0.24044289326909524,0.24418692652923982
24,Viso,Sete Bicas,743.81,19536,19426,38962,209,210,419,156,152,308,0.2330380642492098,0.23389266252308036,0.23346337651992186
25,Sete Bicas,Sra da Hora,674.5,16867,18489,35356,209,221,430,165,151,316,0.1959841554695513,0.2170559400530376,0.2064659064853862
26,Sra da Hora,Vasco da Gama,824.48,7449,6654,14103,108,107,215,0,0,0,0.319339346320487,0.28790399473324835,0.3036947759956752
27,Vasco da Gama,Estádio do Mar,661.6,7319,6525,13844,125,107,232,0,0,0,0.2711024452579219,0.28232637436549984,0.27627899876874445
28,Estádio do Mar,Pedro Hispano,786.97,7103,6484,13588,116,107,223,0,0,0,0.28350889639694016,0.28057536211664685,0.2821013261368891
29,Pedro Hispano,Parque de Real,656.68,6511,5947,12458,107,107,214,0,0,0,0.2817357104318531,0.2573270776411856,0.2695313940365193
30,Parque de Real,C. Matosinhos,723.67,6289,5712,12001,107,105,212,0,0,0,0.2721154387207843,0.2518518550741241,0.26207922983918375
31,C. Matosinhos,Matosinhos Sul,616.61,5021,4225,9246,118,107,225,0,0,0,0.1970139434781585,0.18281524690851114,0.19026167444281508
32,Matosinhos Sul,Brito Capelo,535.72,2620,2600,5220,115,107,222,0,0,0,0.10548657731985253,0.1124991434063035,0.1088665078209798
33,Brito Capelo,Mercado,487.53,1605,1393,2999,107,108,215,0,0,0,0.06946086278603972,0.05974572776290092,0.0645807019372072
34,Mercado,Sr. de Matosinhos,708.96,653,328,981,106,94,200,0,0,0,0.02852598000298034,0.016154452324690278,0.022711361994184012
35,Sra da Hora,Fonte do Cuco,687.03,6688,8858,15547,101,102,203,83,85,168,0.15774807832971435,0.20548714820460146,0.18181635857630118
36,Fonte do Cuco,Custoias,689.2,6332,8659,14992,99,102,201,75,85,160,0.15838592111671557,0.20087093940180223,0.18042806644629408
37,Custoias,Esposade,1779.24,6097,8531,14628,99,102,201,57,65,122,0.1716630976595474,0.22361011043593124,0.19856453146675498
38,Esposade,Crestins,2035.56,6013,8485,14499,99,102,201,85,68,153,0.14160686924646584,0.2181691262577881,0.17820919899956797
39,Crestins,Verdes,591.8199999999999,5945,8418,14363,91,102,193,85,68,153,0.1459427200835687,0.2164241139674806,0.1803691352999219
40,Verdes,Pedras Rubras,960.78,4178,4397,8576,0,0,0,85,68,153,0.19822161936919885,0.26076497765925094,0.2260186674981109
41,Pedras Rubras,Lidador,1147.58,3733,3969,7703,0,0,0,85,68,153,0.1770956288516983,0.23541037600384362,0.20301329425265177
42,Lidador,Vilar do Pinheiro,1987.51,3547,3839,7386,0,0,0,85,68,153,0.16826799170514198,0.22764925699517408,0.19465966516737845
43,Vilar do Pinheiro,Modivas Sul,2037.38,3453,3810,7264,0,0,0,85,68,153,0.1638429999672389,0.22597193717191075,0.19145586094709305
44,Modivas Sul,Modivas Centro,1051.08,3430,3787,7218,0,0,0,85,68,153,0.16274942618593713,0.22458042321510838,0.19022986931001323
45,Modivas Centro,Modivas Norte,852.51,3400,3805,7206,0,0,0,84,59,143,0.1632194678521599,0.26010320157659633,0.203192476871333
46,Modivas Norte,Mindelo,1834.12,2771,3581,6352,0,0,0,84,68,152,0.1330267117711512,0.2123481600169227,0.16851262282847002
47,Mindelo,Espaço Natureza,776.86,2639,3464,6103,0,0,0,73,68,141,0.1457706234921376,0.20545670353015216,0.17455539968068365
48,Espaço Natureza,Varziela,1539.0,2633,3464,6097,0,0,0,83,68,151,0.12792724724169727,0.20544392102809733,0.16283541821835426
49,Varziela,Árvore,858.71,2497,3380,5878,0,0,0,85,68,153,0.1184913906913748,0.20045112333646217,0.15491793853363583
50,Árvore,Azurara,664.57,2482,3388,5870,0,0,0,84,68,152,0.11916253861222958,0.2009240946128284,0.1557400768230238
51,Azurara,Santa Clara,1218.09,2459,3335,5794,0,0,0,80,68,148,0.12395769510408161,0.19777475875369202,0.15787364326741612
52,Santa Clara,Vila do Conde,670.57,2425,3121,5546,0,0,0,70,65,135,0.139733414585152,0.1936104519245704,0.16567421034116825
53,Vila do Conde,Alto de Pega,730.41,1904,2416,4320,0,0,0,75,80,155,0.1023810528714798,0.12178956247774186,0.11239834815213119
54,Alto de Pega,Portas Fronhas,671.05,1813,2299,4113,0,0,0,85,84,169,0.086024723201189,0.11038821102479764,0.09813438578807139
55,Portas Fronhas,São Brás,562.21,1504,1941,3446,0,0,0,85,83,168,0.07137053561934736,0.09433206826776477,0.08271462615398216
56,São Brás,Póvoa de Varzim,624.94,1461,1865,3326,0,0,0,85,85,170,0.06934403504942326,0.08847248576860245,0.07890826040901286
57,Sra da Hora,Fonte do Cuco,685.98,3769,4499,8269,0,1,1,68,67,135,0.2235515605965908,0.2673189358813896,0.24541446600951022
58,Fonte do Cuco,Cândido dos Reis,913.51,3600,4484,8084,0,1,1,68,67,135,0.21349080090948544,0.2664079212567467,0.23992423424534437
