,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,205,833,1039,73,108,181,0,0,0,0.013064434297281569,0.03575027494008116,0.026600737001272478
1,Venda Nova,Carreira,583.47,324,1577,1901,73,115,188,0,0,0,0.020575968337943073,0.06348854803924961,0.04682568464459334
2,Carreira,Baguim,786.02,423,1974,2398,73,104,177,0,0,0,0.02687375016805362,0.08791097478141512,0.0627374301668649
3,Baguim,Campainha,751.7,495,2261,2757,60,102,162,0,0,0,0.03823043934601983,0.10266672035532161,0.07880143109261725
4,Campainha,Rio Tinto,859.99,648,2886,3535,59,102,161,0,0,0,0.05091873593198918,0.13101962002908615,0.10166587989412515
5,Rio Tinto,Levada,452.83,724,3375,4100,72,102,174,0,0,0,0.04658806007281261,0.15321972220598268,0.10909627580605025
6,Levada,Nau Vitória,1111.62,1274,4056,5331,73,102,175,0,0,0,0.08082658881869655,0.18413798255419497,0.14104237259595848
7,Nau Vitória,Nasoni,499.02,1327,4153,5481,73,100,173,0,0,0,0.0842019796085162,0.192311431437874,0.1466929922266421
8,Nasoni,Contumil,650.0,1378,4227,5605,71,89,160,0,0,0,0.08990119826550222,0.21989048071983783,0.16220773663072638
9,Contumil,Estádio do Dragão,619.19,1621,4743,6365,80,91,171,0,0,0,0.09385766142809729,0.24134098246590072,0.17234293753593422
10,Estádio do Dragão,Campanhã,1166.02,3537,7150,10688,176,197,373,71,72,143,0.06360443229955742,0.11837223520977974,0.09211737216270474
11,Campanhã,Heroismo,950.92,7042,12201,19243,199,255,454,123,108,231,0.09582948716121695,0.14904356628236404,0.12387107898606366
12,Heroismo,24 de Agosto,571.9,7642,12929,20571,197,251,448,155,111,266,0.09435606435274074,0.15816803732510093,0.12640948780331474
13,24 de Agosto,Bolhão,680.44,10714,15199,25913,197,230,427,143,130,273,0.1373328716382175,0.18553673942490773,0.16202312804756663
14,Bolhão,Trindade,451.8,15440,16721,32161,188,226,414,143,137,280,0.20296959903595785,0.20196491221844354,0.20244600633405155
15,Trindade,Lapa,857.4300000000001,22016,23187,45204,181,220,401,143,136,279,0.2952858473033275,0.28539210509923324,0.2901266336134127
16,Lapa,Carolina Michaelis,460.97,20183,23189,43373,180,215,395,151,135,286,0.2644265268317169,0.2901644209074016,0.2775913193060444
17,Carolina Michaelis,Casa da Música,627.48,19628,21711,41340,182,197,379,175,136,311,0.23731521796353422,0.2846331317731029,0.26001705494523075
18,Casa da Música,Francos,871.87,19349,16373,35722,184,197,381,169,136,305,0.23696604637350052,0.2146463803915669,0.22618608410332847
19,Francos,Ramalde,965.03,18269,15275,33545,187,193,380,185,136,321,0.21176814256164173,0.20255366887776544,0.2074702432287091
20,Ramalde,Viso,621.15,17204,15012,32216,202,208,410,185,136,321,0.19220035516701237,0.19086577783255648,0.191576142981466
21,Viso,Sete Bicas,743.81,16714,13991,30706,196,222,418,187,135,322,0.1884129195341598,0.1718224854832771,0.18047263233254543
22,Sete Bicas,Sra da Hora,674.5,15561,11217,26778,216,226,442,187,134,321,0.167268557139528,0.13671371412123842,0.15294959575065079
23,Sra da Hora,Vasco da Gama,824.48,5305,5100,10405,89,83,172,0,0,0,0.2759836325591116,0.2844979455287751,0.2800922835851702
24,Vasco da Gama,Estádio do Mar,661.6,4797,5139,9937,96,80,176,0,0,0,0.23137687251410582,0.29740803108358704,0.2613910355002337
25,Estádio do Mar,Pedro Hispano,786.97,4591,5045,9637,105,84,189,0,0,0,0.20245665142134395,0.27808164620595877,0.2360677602145061
26,Pedro Hispano,Parque de Real,656.68,4202,4743,8946,106,84,190,0,0,0,0.18356126433310885,0.2614638446313074,0.21800240509652297
27,Parque de Real,C. Matosinhos,723.67,3965,4581,8546,107,84,191,0,0,0,0.17156535026033504,0.2525135921439047,0.20716562417771645
28,C. Matosinhos,Matosinhos Sul,616.61,2824,3430,6254,109,84,193,0,0,0,0.11994579522929692,0.18908185621421783,0.15003610156470293
29,Matosinhos Sul,Brito Capelo,535.72,1647,1463,3110,112,84,196,0,0,0,0.06809376707594367,0.08063576334144447,0.07346890833258686
30,Brito Capelo,Mercado,487.53,1125,976,2101,118,85,203,0,0,0,0.0441665823931505,0.053164078933444166,0.047934007052879375
31,Mercado,Sr. de Matosinhos,708.96,751,489,1241,122,84,206,0,0,0,0.028504629773724328,0.02700617283945731,0.02789360849955719
33,Fonte do Cuco,Custoias,689.2,5617,4911,10528,101,102,203,83,72,155,0.13248192832687128,0.12312139150561828,0.12794453414149626
34,Custoias,Esposade,1779.24,5443,4852,10295,101,102,203,74,72,146,0.1355122422803794,0.12164651029846746,0.12860362434675165
35,Esposade,Crestins,2035.56,5364,4805,10170,101,72,173,87,72,159,0.12362747623419462,0.14385734161486474,0.1324274676747861
36,Crestins,Verdes,591.8199999999999,5308,4731,10040,101,70,171,103,72,175,0.11208169129932818,0.14349794040131866,0.12497730759074473
37,Verdes,Pedras Rubras,960.78,4345,2093,6438,0,0,0,103,72,175,0.1701099204730986,0.11723879933836964,0.14835723063481013
38,Pedras Rubras,Lidador,1147.58,3972,1845,5818,0,0,0,103,72,175,0.15550984576661456,0.10337416112137689,0.1340597355125739
39,Lidador,Vilar do Pinheiro,1987.51,3855,1808,5663,0,0,0,103,86,189,0.1509349233990884,0.08477246013085953,0.12082925228232816
40,Vilar do Pinheiro,Modivas Sul,2037.38,3749,1815,5565,0,0,0,103,88,191,0.14679508878172745,0.08319262142636234,0.11749133418867966
41,Modivas Sul,Modivas Centro,1051.08,3707,1842,5549,0,0,0,105,76,181,0.14237230130984163,0.09774082397987145,0.12363201248620774
42,Modivas Centro,Modivas Norte,852.51,3668,1847,5516,0,0,0,105,75,180,0.14088124543297917,0.09933649361505205,0.12357093217550953
43,Modivas Norte,Mindelo,1834.12,3450,1504,4955,0,0,0,104,72,176,0.1337822730845374,0.08427424313113684,0.11352898810360082
44,Mindelo,Espaço Natureza,776.86,3282,1465,4748,0,0,0,124,72,196,0.10673675225213189,0.08209382309287945,0.09768424766301874
45,Espaço Natureza,Varziela,1539.0,3280,1447,4727,0,0,0,126,72,198,0.1049813140744333,0.08104060717902078,0.09627560247610148
46,Varziela,Árvore,858.71,3113,1401,4514,0,0,0,119,72,191,0.10548872848353077,0.07850331429836822,0.09531621632996165
47,Árvore,Azurara,664.57,3091,1420,4511,0,0,0,119,72,191,0.10474954305554551,0.07952897436372011,0.09524231297276316
48,Azurara,Santa Clara,1218.09,3077,1403,4480,0,0,0,118,63,181,0.10515117773141901,0.08980476485761585,0.09980960860959803
49,Santa Clara,Vila do Conde,670.57,2991,1344,4335,0,0,0,119,72,191,0.10135268639921859,0.07528945434327504,0.0915278031111142
50,Vila do Conde,Alto de Pega,730.41,2363,932,3295,0,0,0,109,71,180,0.08741935110356565,0.05297360480742444,0.07383241784230996
51,Alto de Pega,Portas Fronhas,671.05,2293,901,3194,0,0,0,123,72,195,0.0751754509805861,0.050463274579382815,0.06605095507860335
52,Portas Fronhas,São Brás,562.21,1793,751,2544,0,0,0,133,72,205,0.054362694016616614,0.04207376563310542,0.050046582584359026
53,São Brás,Póvoa de Varzim,624.94,1696,719,2415,0,0,0,133,71,204,0.05144718067450198,0.04083371194915439,0.0477532773436212
55,Fonte do Cuco,Cândido dos Reis,913.51,3875,2150,6026,34,38,72,99,64,163,0.12151761130383376,0.08930551213046214,0.10766046988438992
56,Cândido dos Reis,Pias,916.73,3645,2093,5738,34,38,72,99,64,163,0.11429131270034258,0.08693891999302189,0.10252474101976014
57,Pias,Araújo,1258.13,3482,2073,5556,36,38,74,99,64,163,0.10771585543609515,0.08612790557985202,0.09850017977770742
58,Araújo,Custió,651.69,3341,2038,5379,36,38,74,99,64,163,0.10335434101843054,0.0846503680227468,0.09536980567351376
59,Custió,Parque de Maia,1418.51,3096,1962,5059,36,6,42,99,66,165,0.09578839725425381,0.1111178501892625,0.1012048530200562
60,Parque de Maia,Forum,824.81,2664,1814,4478,40,6,46,104,66,170,0.07737312646709411,0.10271871629794839,0.08596696282251891
61,Forum,Zona Industrial,1119.4,1184,783,1967,35,3,38,38,35,73,0.069736942884878,0.08398212643781723,0.07478707484678956
62,Zona Industrial,Mandim,1194.23,1137,648,1785,35,3,38,38,35,73,0.06696807369166408,0.06952979999037247,0.06787624421896538
63,Mandim,Castêlo da Maia,1468.1,1092,603,1695,35,3,38,38,35,73,0.06429865829397594,0.06474275719536664,0.06445609803828167
64,Castêlo da Maia,ISMAI,702.48,547,428,975,33,3,36,48,35,83,0.02879027156149481,0.0458833619213502,0.03441242765728928
65,Santo Ovídio,D. João II,463.71,1882,3856,5739,210,272,482,0,0,0,0.04151234567879721,0.06564518523193155,0.055130877542806635
66,D. João II,João de Deus,716.25,2795,5951,8747,212,266,478,0,0,0,0.06104801668212908,0.10358427160864908,0.08471881963287033
67,João de Deus,C.M.Gaia,405.01,5330,9109,14439,210,261,471,0,0,0,0.11751067508128123,0.1615795154546776,0.14193098789966013
68,C.M.Gaia,General Torres,488.39,6106,10518,16625,210,262,472,0,0,0,0.13463128076074482,0.1858658470804951,0.1630708069806062
69,General Torres,Jardim do Morro,419.98,6599,11789,18388,214,262,476,0,0,0,0.14276414953498504,0.20832025267305246,0.17884755084207254
70,Jardim do Morro,São Bento,795.7,7611,12337,19948,174,196,370,0,0,0,0.20251280298760735,0.2914164140345902,0.24960768883952256
71,São Bento,Aliados,443.38,11424,15253,26678,222,286,508,0,0,0,0.23824703083660964,0.24692140009819105,0.24313063242875982
72,Aliados,Trindade,450.27,13329,16141,29470,226,288,514,0,0,0,0.27305531138269906,0.2594763899864057,0.2654468884991728
73,Trindade,Faria Guimaraes,555.34,11619,11819,23439,250,272,522,0,0,0,0.21517497758017537,0.2011815760025447,0.2078833966814866
74,Faria Guimaraes,Marques,621.04,10851,11349,22200,243,266,509,0,0,0,0.20673851398367205,0.19752934021854576,0.20192586128912665
75,Marques,Combatentes,702.75,8361,9112,17473,241,267,508,0,0,0,0.16062725391571037,0.15799748728554622,0.15924507342308472
76,Combatentes,Salgueiros,471.25,6858,8123,14982,241,271,512,0,0,0,0.13175712258604289,0.13877783160408327,0.13547316192957598
77,Salgueiros,Polo Universitario,775.36,5740,7598,13338,244,264,508,0,0,0,0.10891749119346864,0.13324584269476467,0.12156057150122877
78,Polo Universitario,I.P.O.,827.64,4452,5885,10338,240,246,486,0,0,0,0.08589695772429161,0.11075965065731452,0.09848177760396988
79,I.P.O.,Hospital São João,351.77,2598,2963,5562,248,246,494,0,0,0,0.04850630532609806,0.05578139114696345,0.052129121342156526
80,Verdes (E) ,Botica,683.54,1039,2704,3743,103,70,173,0,0,0,0.04671061893549309,0.17886197353273067,0.10018226530431755
81,Botica,Aeroporto,649.66,866,2561,3428,103,70,173,0,0,0,0.03892854720357109,0.16944444444443096,0.09173844782126006
82,Sra da Hora,Fonte do Cuco,687.03,9963,7164,17128,120,141,261,187,136,187,0.13837174232883237,0.10736868110263992,0.12404608558785654
