,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,13190,17376,30567,1807,1785,3592,0,0,0,0.03379604009090545,0.045068724518843126,0.039397861277951314
1,Venda Nova,Carreira,583.47,22529,30903,53432,1810,1785,3595,0,0,0,0.05762487658023854,0.08015212419150908,0.06881017198666911
2,Carreira,Baguim,786.02,30553,39167,69721,1811,1786,3597,0,0,0,0.07810746278518292,0.10152970281907558,0.08973718775057972
3,Baguim,Campainha,751.7,37946,44294,82240,1814,1784,3598,0,0,0,0.09684606173733654,0.11494669443655732,0.10582091686113028
4,Campainha,Rio Tinto,859.99,49856,54581,104438,1812,1782,3594,0,0,0,0.127383760405869,0.14180315171944288,0.13453327496368442
5,Rio Tinto,Levada,452.83,56551,62765,119317,1813,1786,3599,0,0,0,0.1444092521943263,0.16269858747754487,0.15348531577193908
6,Levada,Nau Vitória,1111.62,74388,78694,153083,1814,1786,3600,0,0,0,0.18985264274087427,0.2039909276381938,0.19686680297048892
7,Nau Vitória,Nasoni,499.02,77560,80497,158057,1816,1784,3600,0,0,0,0.19772886382197438,0.20889787293242174,0.20326372833670717
8,Nasoni,Contumil,650.0,79300,81599,160899,1816,1784,3600,0,0,0,0.20216455972153205,0.21175692142835448,0.20691810785624629
9,Contumil,Estádio do Dragão,619.19,91980,94363,186343,1816,1782,3598,0,0,0,0.23449177174469943,0.24515478587013512,0.23977289769565174
10,Estádio do Dragão,Campanhã,1166.02,170396,163860,334256,3703,3643,7346,1740,1803,3543,0.13837978090670824,0.13278443147811902,0.13557908315134978
11,Campanhã,Heroismo,950.92,333642,305308,638950,4445,4404,8849,2993,2995,5988,0.19598526799748822,0.1802269441136662,0.18812550001349815
12,Heroismo,24 de Agosto,571.9,354356,325812,680168,4447,4401,8848,2992,2997,5989,0.2081303129180948,0.19234754745442462,0.2002591347134223
13,24 de Agosto,Bolhão,680.44,445113,386686,831799,4456,4403,8859,2991,3001,5992,0.2611761445975653,0.22809369000515758,0.24467855286784426
14,Bolhão,Trindade,451.8,526836,473898,1000734,4458,4401,8859,2989,2999,5988,0.30914000610698894,0.27969025793530117,0.29445773083394267
15,Trindade,Lapa,857.4300000000001,632866,669788,1302655,4671,4637,9308,2999,3008,6007,0.36108354893656336,0.3832672678391107,0.3721592091567176
16,Lapa,Carolina Michaelis,460.97,589817,668971,1258788,4670,4633,9303,3002,3006,6008,0.3364201107772739,0.38309762860457425,0.35971218459677295
17,Carolina Michaelis,Casa da Música,627.48,559892,639081,1198974,4669,4636,9305,3004,3006,6010,0.31930079693860525,0.3658452918181653,0.3425289513293787
18,Casa da Música,Francos,871.87,513092,538743,1051836,4665,4634,9299,3002,3002,6004,0.292838318274327,0.3086577407383956,0.30073288661127917
19,Francos,Ramalde,965.03,480983,503946,984929,4666,4637,9303,3004,3000,6004,0.27440090357213426,0.288696567911423,0.28153391065681993
20,Ramalde,Viso,621.15,459127,483109,942236,4666,4637,9303,3004,3000,6004,0.2619322791263322,0.2767595641325154,0.26933054523594485
21,Viso,Sete Bicas,743.81,438037,457541,895579,4665,4637,9302,3005,2997,6002,0.2498959875424324,0.2622245399876576,0.2560461084428987
