,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,387,2356,2744,190,190,380,0,0,0,0.009454191033102676,0.057423185445039965,0.03343868823907132
4,Venda Nova,Carreira,583.47,677,4318,4995,190,192,382,0,0,0,0.016509584408644622,0.10412613162320565,0.06054722070496849
5,Carreira,Baguim,786.02,879,5787,6667,192,192,384,0,0,0,0.02121096571914594,0.13955548162041306,0.0803832236697795
6,Baguim,Campainha,751.7,1007,6727,7735,190,195,385,0,0,0,0.02454685002605483,0.15972454319371768,0.09301347383824769
7,Campainha,Rio Tinto,859.99,1332,8347,9680,222,192,414,0,0,0,0.027781228026461487,0.20128930533806286,0.10824874214198676
8,Rio Tinto,Levada,452.83,1504,9700,11204,207,192,399,0,0,0,0.033642368864398725,0.23391134778399755,0.13001240383322824
9,Levada,Nau Vitória,1111.62,2388,11929,14317,209,191,400,0,0,0,0.052915083774876005,0.28914916759549714,0.1657168587992226
10,Nau Vitória,Nasoni,499.02,2561,12156,14717,207,197,404,0,0,0,0.05728846079615473,0.28567576800414884,0.16865553881589446
11,Nasoni,Contumil,650.0,2625,12349,14975,224,198,422,0,0,0,0.05427121283794828,0.28876360414591823,0.16429370923363087
12,Contumil,Estádio do Dragão,619.19,3112,13774,16886,224,197,421,0,0,0,0.06431922779173946,0.3237117194214818,0.18569766211729585
13,Estádio do Dragão,Campanhã,1166.02,7489,19601,27091,331,310,641,172,172,344,0.0656126463694901,0.1788220914692088,0.121069934873882
14,Campanhã,Heroismo,950.92,16333,33991,50324,419,394,813,337,343,680,0.09382842077240709,0.19975131735640664,0.14618802043865362
15,Heroismo,24 de Agosto,571.9,17809,35562,53372,421,389,810,301,345,646,0.1075571981912623,0.20970582353300812,0.15924104772330183
16,24 de Agosto,Bolhão,680.44,24938,40483,65422,446,405,851,301,343,644,0.1458549125274701,0.23462692251081094,0.19044247945233667
17,Bolhão,Trindade,451.8,37451,43054,80506,438,398,836,303,349,652,0.22062407352758717,0.24956407913547474,0.23521109720312233
18,Trindade,Lapa,857.4300000000001,55199,57578,112777,452,393,845,303,324,627,0.31948400301667806,0.34845405188309025,0.3336460866893029
19,Lapa,Carolina Michaelis,460.97,51410,57148,108558,452,394,846,299,318,617,0.2992714009750645,0.34853311064397485,0.3233288719982956
20,Carolina Michaelis,Casa da Música,627.48,49924,53854,103779,455,423,878,297,290,587,0.2903680500212068,0.3298125754663702,0.3095815242082872
21,Casa da Música,Francos,871.87,50858,37726,88584,467,424,891,289,282,571,0.2947578183040974,0.23356923602016713,0.2651731285126191
22,Francos,Ramalde,965.03,48540,34499,83040,483,415,898,260,282,542,0.2875500803368953,0.2161972481587725,0.25287665060933207
23,Ramalde,Viso,621.15,45356,33261,78618,485,417,902,262,282,544,0.26722019500419825,0.20787211232217898,0.2384215875578625
24,Viso,Sete Bicas,743.81,43961,30446,74407,497,417,914,264,276,540,0.25436960774938194,0.19206416118831998,0.224561736205429
25,Sete Bicas,Sra da Hora,674.5,40982,25284,66266,496,417,913,264,258,522,0.23742823439484112,0.16412679780493125,0.20285899470116456
26,Sra da Hora,Vasco da Gama,824.48,11817,11779,23597,214,172,386,0,0,0,0.2556509841995113,0.3170723583817057,0.28302009393872746
27,Vasco da Gama,Estádio do Mar,661.6,10483,12033,22517,215,166,381,0,0,0,0.22574355895501583,0.3356169910656224,0.27361492307669744
28,Estádio do Mar,Pedro Hispano,786.97,9845,11862,21708,212,170,382,0,0,0,0.2150152530771983,0.3230594879724125,0.26309776598868106
29,Pedro Hispano,Parque de Real,656.68,8964,11364,20329,214,170,384,0,0,0,0.19393847447615772,0.3094931009468758,0.24509547056996522
30,Parque de Real,C. Matosinhos,723.67,8208,11123,19332,214,170,384,0,0,0,0.1775721726251644,0.3029388992042938,0.2330730672044665
31,C. Matosinhos,Matosinhos Sul,616.61,5944,8537,14482,222,168,390,0,0,0,0.1239719113928304,0.23526785281442,0.17191477846674594
