,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,279,240,520,42,43,85,0,0,0,0.030864197530809195,0.025880741750953562,0.02834315519511752
1,Venda Nova,Carreira,583.47,399,434,833,42,43,85,0,0,0,0.04400374300089356,0.04678184470313479,0.04540913562673324
2,Carreira,Baguim,786.02,463,558,1022,42,43,85,0,0,0,0.051107240878056584,0.0601468884703066,0.055680239071783065
3,Baguim,Campainha,751.7,489,625,1115,42,43,85,0,0,0,0.05397262346786727,0.06733369805679765,0.06073175531873794
4,Campainha,Rio Tinto,859.99,549,773,1323,42,43,85,0,0,0,0.06054322853469839,0.08331976142041776,0.07206547458276819
5,Rio Tinto,Levada,452.83,562,937,1500,42,43,85,0,0,0,0.06203633208714941,0.10094093420635253,0.08171748374745218
6,Levada,Nau Vitória,1111.62,948,1091,2039,42,42,84,0,0,0,0.10452501877130264,0.12031146894591338,0.11241824385860802
7,Nau Vitória,Nasoni,499.02,965,1141,2106,42,42,84,0,0,0,0.10639162737712815,0.12584396287403146,0.11611779512557979
8,Nasoni,Contumil,650.0,992,1163,2156,42,42,84,0,0,0,0.10944858063971075,0.12824461129098935,0.11884659596535005
9,Contumil,Estádio do Dragão,619.19,1011,1381,2392,42,42,84,0,0,0,0.11146345240837588,0.1522801015173824,0.13187177696287913
10,Estádio do Dragão,Campanhã,1166.02,1611,2162,3774,93,133,226,43,64,107,0.05239544563266098,0.04849600873158268,0.05008741285598495
11,Campanhã,Heroismo,950.92,3257,4025,7282,115,133,248,76,126,202,0.07455922280532273,0.06711963630367525,0.07025496443189697
12,Heroismo,24 de Agosto,571.9,3530,4345,7875,111,131,242,85,126,211,0.0783669877990974,0.0729721649547365,0.07529596168586007
13,24 de Agosto,Bolhão,680.44,4459,5497,9957,109,129,238,85,126,211,0.09994015586549769,0.09300271890088467,0.0959869884612002
14,Bolhão,Trindade,451.8,5402,6504,11906,100,128,228,85,126,211,0.12657343111799596,0.11043472907791464,0.1172158565398217
