,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,16698,22637,39336,2222,2199,4421,0,0,0,0.03479306263949493,0.04766045684376201,0.04119328879990735
1,Venda Nova,Carreira,583.47,28697,40119,68817,2221,2200,4421,0,0,0,0.05982007607221959,0.08442727246558596,0.07206523148172106
2,Carreira,Baguim,786.02,39791,51538,91330,2220,2200,4420,0,0,0,0.08298244954671735,0.1084571679517998,0.09566217363974482
3,Baguim,Campainha,751.7,49615,58171,107787,2220,2202,4422,0,0,0,0.10346887894521589,0.12230399120566919,0.11284810038291787
4,Campainha,Rio Tinto,859.99,65441,72086,137527,2220,2204,4424,0,0,0,0.1364726718229719,0.15142155474047267,0.14392008094371597
5,Rio Tinto,Levada,452.83,74504,83659,158164,2218,2204,4422,0,0,0,0.1555138002515384,0.17573131501115472,0.16559055342435486
6,Levada,Nau Vitória,1111.62,97251,104510,201762,2218,2202,4420,0,0,0,0.20299313423054102,0.21972974767555545,0.2113311484400256
7,Nau Vitória,Nasoni,499.02,102043,107254,209298,2216,2201,4417,0,0,0,0.21318743128863854,0.22560225912130513,0.21937376501281766
8,Nasoni,Contumil,650.0,104439,108850,213290,2218,2205,4423,0,0,0,0.2179961758787222,0.22854413213106947,0.2232546528256871
9,Contumil,Estádio do Dragão,619.19,121236,126925,248162,2220,2204,4424,0,0,0,0.25282941905891876,0.2666150464736594,0.2596973039644541
10,Estádio do Dragão,Campanhã,1166.02,212180,205505,417685,4525,4442,8967,2116,2202,4318,0.14124949738010475,0.13649671258993898,0.13887041866742508
11,Campanhã,Heroismo,950.92,426931,398221,825153,5414,5360,10774,3788,3793,7581,0.20244796320314246,0.18977187978096965,0.19612562471894426
12,Heroismo,24 de Agosto,571.9,455987,427380,883368,5416,5364,10780,3793,3798,7591,0.21605460226809636,0.20346352861696923,0.20977400353014447
13,24 de Agosto,Bolhão,680.44,581625,511831,1093456,5418,5367,10785,3794,3796,7590,0.2754952305315017,0.243650171289712,0.25961247056492076
14,Bolhão,Trindade,451.8,690302,632078,1322381,5413,5363,10776,3792,3796,7588,0.3272159819842227,0.3010162483323174,0.3141466378629122
