,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,627,815,1443,81,80,161,0,0,0,0.03589391860996798,0.047181054326550495,0.041502433251748114
4,Venda Nova,Carreira,583.47,1064,1433,2497,81,80,161,0,0,0,0.06086288451932902,0.08293033929198479,0.07182807943741885
5,Carreira,Baguim,786.02,1528,1820,3348,82,80,162,0,0,0,0.08630783231232358,0.10533350823756682,0.09570322783096222
6,Baguim,Campainha,751.7,1909,1986,3896,85,80,165,0,0,0,0.10401137391467374,0.11496435542748008,0.10932191040573136
7,Campainha,Rio Tinto,859.99,2565,2428,4993,80,84,164,0,0,0,0.1484781666540856,0.13382322961456183,0.1409719793899393
8,Rio Tinto,Levada,452.83,3045,2837,5882,80,84,164,0,0,0,0.1762418050473542,0.15637575421664396,0.16606651071942946
9,Levada,Nau Vitória,1111.62,3814,3649,7464,80,81,161,0,0,0,0.22077070784969896,0.20859715690530758,0.21464612631866975
10,Nau Vitória,Nasoni,499.02,4056,3764,7820,80,81,161,0,0,0,0.23472612759176656,0.21516462943291365,0.22488462851805796
11,Nasoni,Contumil,650.0,4235,3851,8086,81,80,161,0,0,0,0.242067835781282,0.22289291486882828,0.23253992476888263
12,Contumil,Estádio do Dragão,619.19,5133,4526,9659,84,80,164,0,0,0,0.28290759580865077,0.2619628689736134,0.27269065588912034
13,Estádio do Dragão,Campanhã,1166.02,9791,8691,18482,200,221,421,100,81,181,0.1439866628457853,0.12815182899260716,0.13607950526496046
14,Campanhã,Heroismo,950.92,17451,16027,33479,201,213,414,181,162,343,0.19762930732935974,0.1859713707283376,0.19187116001824098
15,Heroismo,24 de Agosto,571.9,19154,17731,36886,218,217,435,181,161,342,0.20825352991150467,0.20428411437640512,0.20632628426082092
16,24 de Agosto,Bolhão,680.44,25040,22309,47350,220,220,440,161,161,322,0.2863500120202211,0.25511602724315646,0.2707330196316888
17,Bolhão,Trindade,451.8,31350,30374,61725,220,220,440,180,161,341,0.34017435924343303,0.34734455179837453,0.3436654008370398
18,Trindade,Lapa,857.4300000000001,34206,41535,75742,222,221,443,181,149,330,0.3684490126497617,0.49045326804668815,0.42664995211314155
19,Lapa,Carolina Michaelis,460.97,33139,41130,74270,234,211,445,186,157,343,0.34280833577518344,0.48667686191908155,0.4099147959563977
20,Carolina Michaelis,Casa da Música,627.48,31302,39115,70418,220,212,432,197,158,355,0.3247976886915542,0.46031507940993066,0.3882969927724838
21,Casa da Música,Francos,871.87,27678,32027,59706,220,221,441,188,146,334,0.294006869704998,0.3815307763784142,0.3352623547561707
22,Francos,Ramalde,965.03,25567,29111,54678,220,221,441,180,159,339,0.2774251310145298,0.3339649224588599,0.3049080703247288
23,Ramalde,Viso,621.15,24466,27714,52180,220,199,419,180,158,338,0.26547648394123696,0.3372923698942021,0.2993262826940663
24,Viso,Sete Bicas,743.81,23374,25803,49178,220,209,429,175,158,333,0.2570932800905842,0.3059868835531358,0.2806205088908561
25,Sete Bicas,Sra da Hora,674.5,19947,24035,43982,220,205,425,165,159,324,0.22554695807180747,0.2871155405359951,0.25548578640515285
26,Sra da Hora,Vasco da Gama,824.48,7745,8132,15878,121,119,240,0,0,0,0.2963646282727509,0.3164046821024203,0.3063011549632953
27,Vasco da Gama,Estádio do Mar,661.6,7934,7722,15656,120,119,239,0,0,0,0.3060957850665428,0.3004545362511085,0.30328696243459013
28,Estádio do Mar,Pedro Hispano,786.97,7912,7681,15594,116,119,235,0,0,0,0.31581079021773883,0.298853513313004,0.3072239138276816
29,Pedro Hispano,Parque de Real,656.68,7362,6955,14318,113,119,232,0,0,0,0.3016342183219716,0.270615203165741,0.2857236027892499
30,Parque de Real,C. Matosinhos,723.67,7067,6674,13742,121,118,239,0,0,0,0.2704035399943571,0.2618868326123384,0.26619863844172864
31,C. Matosinhos,Matosinhos Sul,616.61,5244,5111,10355,121,119,240,0,0,0,0.20064354230798798,0.198851836591651,0.19975515489030424
32,Matosinhos Sul,Brito Capelo,535.72,2564,2691,5256,121,119,240,0,0,0,0.09813516167942636,0.10473033068722813,0.10140526631246141
33,Brito Capelo,Mercado,487.53,1199,1515,2714,120,119,239,0,0,0,0.04626869909236788,0.05896236194865373,0.05258897474047673
34,Mercado,Sr. de Matosinhos,708.96,244,317,562,122,138,260,0,0,0,0.009281864118831413,0.010668276972624798,0.0100177294027679
35,Sra da Hora,Fonte do Cuco,687.03,7677,9146,16824,100,100,200,99,78,177,0.16636259532786285,0.22340161912807358,0.19317675201101508
36,Fonte do Cuco,Custoias,689.2,7392,8845,16238,100,100,200,98,78,176,0.16104544765820655,0.21604703362014285,0.18697563529206707
37,Custoias,Esposade,1779.24,7160,8629,15790,100,98,198,101,91,192,0.15350494725424305,0.19731825182332866,0.17470580900669402
38,Esposade,Crestins,2035.56,7025,8501,15527,102,98,200,100,96,196,0.15001350024749593,0.1890320339594504,0.16912836575190585
39,Crestins,Verdes,591.8199999999999,6975,8350,15326,102,98,200,100,98,198,0.14894097238928383,0.18364950299846522,0.16603954129053078
40,Verdes,Pedras Rubras,960.78,5026,5262,10288,0,0,0,100,97,197,0.20266282584747997,0.2187767586361558,0.21059709732210713
