,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,437,2648,3085,195,195,390,0,0,0,0.010375118708452044,0.06288055545666857,0.0366278370825603
1,Venda Nova,Carreira,583.47,760,5022,5782,195,195,390,0,0,0,0.018061890068355055,0.11923431599466372,0.0686481030315094
2,Carreira,Baguim,786.02,1065,7317,8383,195,195,390,0,0,0,0.025285232413526756,0.17374165919776077,0.09951344580564377
3,Baguim,Campainha,751.7,1268,8627,9895,186,195,381,0,0,0,0.031570811285817985,0.2048260053986897,0.12024472953256336
4,Campainha,Rio Tinto,859.99,1690,10669,12359,177,197,374,0,0,0,0.04421105917792044,0.25073707543867857,0.15299615330457644
5,Rio Tinto,Levada,452.83,1995,12285,14280,179,200,379,0,0,0,0.05159977007555415,0.28438893369917434,0.17444365589276795
6,Levada,Nau Vitória,1111.62,2915,14994,17910,177,198,375,0,0,0,0.07624914173119864,0.35060974262834926,0.22111153900489416
7,Nau Vitória,Nasoni,499.02,3169,15253,18422,173,199,372,0,0,0,0.0848294445923133,0.3548547772258805,0.22927848006026996
8,Nasoni,Contumil,650.0,3298,15467,18766,197,217,414,0,0,0,0.07751767746067928,0.3299961887168697,0.20985544785341675
9,Contumil,Estádio do Dragão,619.19,3843,17326,21170,177,203,380,0,0,0,0.10052380779787881,0.3951598870111428,0.25792150274601716
10,Estádio do Dragão,Campanhã,1166.02,9197,28364,37562,274,296,570,163,161,324,0.09233964502054198,0.27309207393419166,0.18460624817324756
11,Campanhã,Heroismo,950.92,18778,53757,72535,415,445,860,239,237,476,0.12610191810129154,0.34705510959979424,0.23875453274722605
12,Heroismo,24 de Agosto,571.9,20724,55969,76694,412,441,853,243,239,482,0.13885029929665801,0.3621984690473745,0.2524624249360555
