,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,11378,16058,27436,2043,1984,4027,0,1,1,0.025783615235401822,0.037450767270454995,0.031533410030609756
1,Venda Nova,Carreira,583.47,20249,29223,49472,2044,1985,4029,0,1,1,0.045864603942285954,0.0681185665009767,0.05683185995872088
2,Carreira,Baguim,786.02,30602,39860,70462,2044,1985,4029,0,1,1,0.06931506767026692,0.09291226494360566,0.08094430013098028
3,Baguim,Campainha,751.7,39090,45785,84875,2044,1985,4029,0,0,0,0.0885382931859769,0.10678625711215965,0.09752866508805502
4,Campainha,Rio Tinto,859.99,52587,57447,110034,2044,1987,4031,0,0,0,0.11910959326757492,0.13385055819810104,0.12637585407555196
5,Rio Tinto,Levada,452.83,60051,66927,126978,2047,1991,4038,0,0,0,0.13581741687140503,0.15562394460928244,0.14558333978525195
6,Levada,Nau Vitória,1111.62,77054,83197,160252,2044,1987,4031,0,0,0,0.17452714419215778,0.19384750695400965,0.1840507266302128
7,Nau Vitória,Nasoni,499.02,80970,85434,166404,2044,1987,4031,0,0,0,0.18339739304245273,0.19905777245214265,0.19111686064033262
8,Nasoni,Contumil,650.0,83485,87007,170492,2044,1987,4031,0,0,0,0.18909272509458266,0.20272427495513523,0.19581212216055088
9,Contumil,Estádio do Dragão,619.19,96655,101415,198071,2044,1987,4031,0,0,0,0.21892416729587744,0.2362948284048359,0.22748668369962352
10,Estádio do Dragão,Campanhã,1166.02,178363,177200,355563,3816,3674,7490,1940,2007,3947,0.13663776486901463,0.1372240849666457,0.13692933803294025
11,Campanhã,Heroismo,950.92,347183,338910,686094,4687,4580,9267,3362,3360,6722,0.1880563753114508,0.1859529760122783,0.18701144327323488
12,Heroismo,24 de Agosto,571.9,373728,365045,738773,4688,4580,9268,3360,3361,6721,0.20246525956085035,0.20026524416783018,0.20137217208275998
13,24 de Agosto,Bolhão,680.44,482542,441389,923931,4688,4580,9268,3360,3362,6722,0.26141465936475106,0.242115109422902,0.25182493536820394
14,Bolhão,Trindade,451.8,569443,541578,1111022,4688,4580,9268,3360,3363,6723,0.30849273125400006,0.29703164792377074,0.3027974612653104
15,Trindade,Lapa,857.4300000000001,666923,757446,1424369,4950,4881,9831,3367,3372,6739,0.35023517744536414,0.4006483202712365,0.37535098636852854
16,Lapa,Carolina Michaelis,460.97,657563,750884,1408447,4953,4881,9834,3364,3371,6735,0.3453372578595091,0.39722935592510444,0.37118883389365476
17,Carolina Michaelis,Casa da Música,627.48,621163,714783,1335947,4953,4883,9836,3364,3371,6735,0.3262209714899712,0.37804508098440326,0.35204163754134826
18,Casa da Música,Francos,871.87,565708,598308,1164016,4952,4884,9836,3364,3372,6736,0.2971308119334633,0.3163644452689975,0.30671543658779743
19,Francos,Ramalde,965.03,523075,551036,1074112,4951,4884,9835,3364,3372,6736,0.2747696043308961,0.29136878956832934,0.28304188512575323
20,Ramalde,Viso,621.15,497691,526151,1023842,4950,4886,9836,3365,3370,6735,0.2614308264178521,0.2782196641052313,0.2697974087990438
21,Viso,Sete Bicas,743.81,473010,494842,967853,4950,4886,9836,3365,3370,6735,0.24846653151137996,0.2616640482122788,0.25504340793137353
22,Sete Bicas,Sra da Hora,674.5,425564,451020,876585,4946,4885,9831,3365,3371,6736,0.22364505324672046,0.23848791479926174,0.23104362130970488
23,Sra da Hora,Vasco da Gama,824.48,139851,144438,284290,2548,2476,5024,0,0,0,0.2541060367445101,0.27007140653332207,0.26197432010380517
24,Vasco da Gama,Estádio do Mar,661.6,135255,138356,273611,2547,2476,5023,0,0,0,0.24585071017537344,0.25869864022626937,0.2521838725894722
25,Estádio do Mar,Pedro Hispano,786.97,130865,135608,266474,2547,2475,5022,0,0,0,0.2378722089867815,0.25366356603577195,0.2456546878191693
26,Pedro Hispano,Parque de Real,656.68,119655,125462,245118,2546,2475,5021,0,0,0,0.2175804173330597,0.23468569523006494,0.2260121167545072
27,Parque de Real,C. Matosinhos,723.67,112382,117719,230101,2546,2473,5019,0,0,0,0.2043561985647285,0.22037851314045712,0.21225083573264578
28,C. Matosinhos,Matosinhos Sul,616.61,81165,85081,166247,2547,2475,5022,0,0,0,0.1475331285548471,0.15914970873636558,0.15325814566939475
29,Matosinhos Sul,Brito Capelo,535.72,38570,42523,81093,2549,2479,5028,0,0,0,0.07005303699701163,0.07941482530761308,0.07466876357258462
