,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,44,401,446,39,37,76,0,0,0,0.005341880341872982,0.050198571298559945,0.027180006202365315
1,Venda Nova,Carreira,583.47,111,706,817,39,37,76,0,0,0,0.01324508363467735,0.08835917282323669,0.04981378495016018
2,Carreira,Baguim,786.02,142,954,1096,39,38,77,0,0,0,0.016889584318601613,0.11625449440563297,0.06592681267324045
3,Baguim,Campainha,751.7,160,1056,1217,39,38,77,0,0,0,0.019019867003349688,0.12875958598933165,0.07317713091850962
4,Campainha,Rio Tinto,859.99,203,1364,1568,39,38,77,0,0,0,0.024156719056546268,0.16628101764397676,0.09429598329449898
5,Rio Tinto,Levada,452.83,228,1604,1832,39,38,77,0,0,0,0.027109723084497606,0.19545953589327536,0.11019144888623209
6,Levada,Nau Vitória,1111.62,633,1858,2492,39,39,78,0,0,0,0.07525473262433485,0.22062657557671778,0.14794065410052631
7,Nau Vitória,Nasoni,499.02,664,1907,2571,39,39,78,0,0,0,0.07885407142901033,0.22645089166688534,0.15265248154794783
8,Nasoni,Contumil,650.0,676,1942,2619,38,39,77,0,0,0,0.08247688212409642,0.2305409816967083,0.1574703871024323
9,Contumil,Estádio do Dragão,619.19,732,2245,2978,38,39,77,0,0,0,0.08928112935135914,0.2665884070993349,0.17908611418474943
10,Estádio do Dragão,Campanhã,1166.02,2101,3181,5282,78,78,156,39,38,77,0.07922886557548803,0.12108037191479071,0.1000563162222936
11,Campanhã,Heroismo,950.92,4691,4921,9612,78,78,156,78,82,160,0.12962654121908332,0.13234875088742976,0.13100604738333038
12,Heroismo,24 de Agosto,571.9,4818,5332,10150,78,78,156,78,79,157,0.13313455341813102,0.14633213666589723,0.13975587643757975
13,24 de Agosto,Bolhão,680.44,5561,6618,12179,79,78,157,78,77,155,0.15274217608846183,0.18414506458427093,0.1683429255368995
14,Bolhão,Trindade,451.8,7048,7572,14620,78,78,156,78,77,155,0.1947588492711,0.2106622974777585,0.20268323574027117
15,Trindade,Lapa,857.4300000000001,10985,10233,21218,117,117,234,76,79,155,0.24899372069901798,0.22808945999589159,0.23845419952459265
16,Lapa,Carolina Michaelis,460.97,10051,10309,20361,117,119,236,59,79,138,0.2518899370019261,0.22760595207581572,0.2389795217294719
17,Carolina Michaelis,Casa da Música,627.48,9383,10168,19551,117,120,237,58,79,137,0.23662947171581414,0.22341836256353761,0.22956973097118694
18,Casa da Música,Francos,871.87,8599,7633,16232,117,118,235,67,78,145,0.20529521744639348,0.17026708887009115,0.18718657975805417
19,Francos,Ramalde,965.03,8031,7135,15166,117,126,243,77,78,155,0.18100998354891243,0.15326336658097206,0.16680223141505593
20,Ramalde,Viso,621.15,7378,7114,14493,118,118,236,78,78,156,0.1645915663419796,0.15868272678260692,0.16163714656229325
21,Viso,Sete Bicas,743.81,6919,7037,13956,118,118,236,78,78,156,0.15434376460411817,0.15697219032622958,0.15565797746517387
22,Sete Bicas,Sra da Hora,674.5,6743,4976,11720,112,117,229,78,76,154,0.15489845148289438,0.1128016009797291,0.1337097930430882
23,Sra da Hora,Vasco da Gama,824.48,1785,1756,3541,78,77,155,0,0,0,0.10595408334324309,0.10558621814344381,0.10577133740527829
24,Vasco da Gama,Estádio do Mar,661.6,1430,1730,3161,78,78,156,0,0,0,0.08492100394213051,0.10271582573467292,0.09381841483840171
25,Estádio do Mar,Pedro Hispano,786.97,1411,1669,3081,78,79,157,0,0,0,0.08380364070780305,0.09785291187746002,0.09087301919444574
26,Pedro Hispano,Parque de Real,656.68,1290,1685,2976,78,79,157,0,0,0,0.07662196454199553,0.09876096473813131,0.0877619710101148
27,Parque de Real,C. Matosinhos,723.67,1156,1660,2817,78,78,156,0,0,0,0.06865355525811781,0.09858347022035682,0.08361851273923732
28,C. Matosinhos,Matosinhos Sul,616.61,795,1399,2194,76,78,154,0,0,0,0.04846064680114282,0.08306073367018402,0.06598536612442343
29,Matosinhos Sul,Brito Capelo,535.72,420,665,1086,74,78,152,0,0,0,0.02632031208146424,0.0395026620578821,0.033084939043047094
30,Brito Capelo,Mercado,487.53,241,355,596,77,78,155,0,0,0,0.014514857464942988,0.02107648526105473,0.017816837904276638
31,Mercado,Sr. de Matosinhos,708.96,37,74,111,77,78,155,0,0,0,0.0022697608808823285,0.004392212725610545,0.0033378334221003986
33,Fonte do Cuco,Custoias,689.2,2427,2853,5280,40,39,79,40,39,79,0.13078743409721238,0.15768998678963092,0.14406844112258355
34,Custoias,Esposade,1779.24,2370,2859,5230,39,39,78,40,40,80,0.12924816637992373,0.15589344095194294,0.14257080366593333
35,Esposade,Crestins,2035.56,2303,2852,5156,39,39,78,39,39,78,0.12731406642372894,0.1576510908002712,0.14248257861200006
36,Crestins,Verdes,591.8199999999999,2257,2816,5074,39,39,78,39,39,78,0.12474912950094712,0.1556573140946758,0.14020322179781144
37,Verdes,Pedras Rubras,960.78,1799,1177,2976,0,0,0,39,39,78,0.18604997355654823,0.1217379310026008,0.15389395227957453
38,Pedras Rubras,Lidador,1147.58,1686,1116,2802,0,0,0,39,39,78,0.17431891436919877,0.11539496228257645,0.1448569383258876
39,Lidador,Vilar do Pinheiro,1987.51,1616,1114,2730,0,0,0,39,39,78,0.16711980749802102,0.11522247215263581,0.14117113982532842
40,Vilar do Pinheiro,Modivas Sul,2037.38,1541,1057,2599,0,0,0,39,39,78,0.15941564479889564,0.1093645865103394,0.13439011565461753
41,Modivas Sul,Modivas Centro,1051.08,1528,1055,2584,0,0,0,39,39,78,0.1580459901350481,0.10916147159160101,0.13360373086332458
42,Modivas Centro,Modivas Norte,852.51,1510,1085,2595,0,0,0,39,39,78,0.15613667334384596,0.11220318325907933,0.13416992830146263
43,Modivas Norte,Mindelo,1834.12,1669,568,2237,0,0,0,39,39,78,0.17256385315457431,0.0587694489618672,0.11566665105822076
44,Mindelo,Espaço Natureza,776.86,1565,544,2110,0,0,0,39,39,78,0.16190765737650198,0.05629271850483563,0.1091001879406688
45,Espaço Natureza,Varziela,1539.0,1569,546,2116,0,0,0,38,39,77,0.16654320874015507,0.05651322941973772,0.11081373869474888
46,Varziela,Árvore,858.71,1502,517,2019,0,0,0,38,39,77,0.15947209060696496,0.053460402734594153,0.10577785908719273
47,Árvore,Azurara,664.57,1495,516,2011,0,0,0,39,39,78,0.15460354723813508,0.053374133488966885,0.10398884036355098
48,Azurara,Santa Clara,1218.09,1430,504,1935,0,0,0,38,40,78,0.15181084313324517,0.05084336996146938,0.10003265176310373
49,Santa Clara,Vila do Conde,670.57,1392,451,1843,0,0,0,38,40,78,0.14775940914762883,0.04548785359567583,0.09531245758252474
50,Vila do Conde,Alto de Pega,730.41,1122,369,1491,0,0,0,40,39,79,0.11315341806851495,0.03817837139840072,0.076140420345294
51,Alto de Pega,Portas Fronhas,671.05,1092,343,1436,0,0,0,43,39,82,0.10249390554176897,0.03549034279717624,0.0706263574071456
52,Portas Fronhas,São Brás,562.21,846,305,1152,0,0,0,39,39,78,0.08754347911247827,0.03163759337021802,0.059590536241348135
53,São Brás,Póvoa de Varzim,624.94,760,284,1044,0,0,0,39,39,78,0.07862401719824309,0.0293631100083554,0.05399356360329924
55,Fonte do Cuco,Cândido dos Reis,913.51,1887,931,2819,0,0,0,39,39,78,0.19517524388681862,0.0963288601828063,0.14575205203481245
56,Cândido dos Reis,Pias,916.73,1780,911,2691,0,0,0,40,39,79,0.17945566461306872,0.09426754790926657,0.13740077155676134
57,Pias,Araújo,1258.13,1687,910,2597,0,0,0,40,39,79,0.17008451699435528,0.09414968182862615,0.13259769963405862
58,Araújo,Custió,651.69,1576,882,2459,0,0,0,40,39,79,0.15890116030682097,0.09127605203291403,0.1255166131842593
59,Custió,Parque de Maia,1418.51,1466,866,2333,0,0,0,40,34,74,0.14787215462662529,0.10272035365064855,0.1271267325565819
60,Parque de Maia,Forum,824.81,1296,742,2039,0,0,0,40,38,78,0.1307108125440719,0.07878447131826175,0.10541336425457463
61,Forum,Zona Industrial,1119.4,485,430,915,0,0,0,39,40,79,0.05015147836879431,0.04342257017458808,0.046744436245145585
62,Zona Industrial,Mandim,1194.23,464,321,786,0,0,0,39,40,79,0.048016874250136427,0.0324347555459616,0.040127193893592206
63,Mandim,Castêlo da Maia,1468.1,436,291,728,0,0,0,39,40,79,0.04515957171902597,0.029410629165613034,0.037185423590715624
64,Castêlo da Maia,ISMAI,702.48,224,255,479,0,0,0,35,39,74,0.025920701175813774,0.026364764268077552,0.026154734427141984
65,Santo Ovídio,D. João II,463.71,871,1930,2802,116,117,233,0,0,0,0.03480204342244721,0.07640015231587903,0.05569036419726061
66,D. João II,João de Deus,716.25,1123,3043,4167,117,117,234,0,0,0,0.04446887898294964,0.12043161132147587,0.08245024515221276
67,João de Deus,C.M.Gaia,405.01,2912,4732,7645,118,118,236,0,0,0,0.11426865822752685,0.18567673582405955,0.14997269702579322
68,C.M.Gaia,General Torres,488.39,3115,5670,8786,117,118,235,0,0,0,0.12327329907469585,0.22249299391791733,0.17309425223001557
69,General Torres,Jardim do Morro,419.98,3542,6536,10078,115,117,232,0,0,0,0.14259410620479726,0.25864939375231005,0.2011219882869481
70,Jardim do Morro,São Bento,795.7,4165,6971,11136,112,118,230,0,0,0,0.17216944430574155,0.27350851259719056,0.22416079238570233
71,São Bento,Aliados,443.38,6625,7060,13686,117,119,236,0,0,0,0.2621711619838121,0.2746874383914428,0.26848233525715126
72,Aliados,Trindade,450.27,8477,6774,15252,117,119,236,0,0,0,0.33544719615934543,0.26357280825463497,0.29920544971586854
73,Trindade,Faria Guimaraes,555.34,7009,4798,11807,118,118,236,0,0,0,0.27499223473294404,0.18827943424847796,0.231635834490711
74,Faria Guimaraes,Marques,621.04,6411,4645,11056,118,121,239,0,0,0,0.251536658733491,0.17772526469023803,0.21416771028481482
75,Marques,Combatentes,702.75,4722,4054,8777,119,119,238,0,0,0,0.183731461214638,0.1577551941083414,0.1707433276614897
76,Combatentes,Salgueiros,471.25,3992,3678,7671,120,119,239,0,0,0,0.15402155320759028,0.1431281157578277,0.14859762410080474
