,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,3772,852,4625,216,203,419,0,0,0,0.08086848422463282,0.019432953746203522,0.051103776140811456
4,Venda Nova,Carreira,583.47,6807,1404,8211,218,209,427,0,0,0,0.14456042770167438,0.031109792341346407,0.08903072561664264
5,Carreira,Baguim,786.02,9701,1643,11344,216,209,425,0,0,0,0.2079263856444189,0.036399860166044753,0.12357569429152433
6,Baguim,Campainha,751.7,12553,1722,14275,218,191,409,0,0,0,0.2665860858081912,0.041741909811497294,0.16158550484151996
7,Campainha,Rio Tinto,859.99,16198,2196,18394,218,189,407,0,0,0,0.34400326984604657,0.05380374293525394,0.2092423101749414
8,Rio Tinto,Levada,452.83,17830,2606,20437,218,195,413,0,0,0,0.3786603987135873,0.0618876423909489,0.22909456945713574
9,Levada,Nau Vitória,1111.62,22092,3208,25300,218,203,421,0,0,0,0.46917040024786016,0.0731684882498424,0.2782241101395523
10,Nau Vitória,Nasoni,499.02,22664,3450,26115,218,207,425,0,0,0,0.481325046413363,0.07716988464253174,0.28447770879792283
11,Nasoni,Contumil,650.0,23185,3484,26670,235,193,428,0,0,0,0.4567751096770926,0.0835955492675531,0.28849554154849183
12,Contumil,Estádio do Dragão,619.19,26083,4596,30679,229,191,420,0,0,0,0.5273206174887426,0.11140750833188731,0.33817917975312506
13,Estádio do Dragão,Campanhã,1166.02,38859,10274,49134,282,197,479,153,185,338,0.39309390732931115,0.11618827932145037,0.262347044230815
14,Campanhã,Heroismo,950.92,91224,20453,111677,395,338,733,249,251,500,0.62027039369129,0.15121987784994306,0.39556049396247384
15,Heroismo,24 de Agosto,571.9,92787,23712,116499,401,340,741,249,261,510,0.6253863206436029,0.17162089866180877,0.4065800944647614
16,24 de Agosto,Bolhão,680.44,101439,35234,136674,392,346,738,249,248,497,0.692780838924048,0.2586233750223573,0.48352315884463803
17,Bolhão,Trindade,451.8,98020,50738,148759,384,355,739,244,240,484,0.6832811202526509,0.3725308947353573,0.5319373954069283
18,Trindade,Lapa,857.4300000000001,101145,83266,184412,394,377,771,244,247,491,0.6946025128686234,0.5835586569781116,0.6396444626532072
